Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 3.55, 3.7, 3.4999, 3.55, 3.55, 4675
2022-02-07T05:00:00Z, 3.6, 3.65, 3.32, 3.65, 3.65, 8615
2022-02-04T05:00:00Z, 3.5, 3.75, 3.5, 3.5, 3.5, 2443
2022-02-03T05:00:00Z, 3.4, 3.63, 3.39, 3.42, 3.42, 7432
2022-02-02T05:00:00Z, 3.05, 3.69, 3.05, 3.69, 3.69, 29679
2022-02-01T05:00:00Z, 3.22, 3.53, 3.2, 3.52, 3.52, 8853
2022-01-31T05:00:00Z, 3.09, 3.2, 3.02, 3.02, 3.02, 7595
2022-01-28T05:00:00Z, 3, 3.0373, 2.88, 2.98, 2.98, 3123
2022-01-27T05:00:00Z, 3, 3.25, 3, 3.045, 3.045, 1507
2022-01-26T05:00:00Z, 3.18, 3.31, 2.8267, 3.07, 3.07, 12487
2022-01-25T05:00:00Z, 3.4, 3.495, 2.75, 3, 3, 28314
2022-01-24T05:00:00Z, 3.29, 3.61, 2.41, 3.0101, 3.0101, 78601
2022-01-21T05:00:00Z, 4.49, 4.65, 3.47, 4, 4, 58279
2022-01-20T05:00:00Z, 4.1, 4.41, 3.555, 4.2, 4.2, 78397
2022-01-19T05:00:00Z, 4.65, 4.65, 4.11, 4.35, 4.35, 33745
2022-01-18T05:00:00Z, 4.8, 4.95, 4.29, 4.43, 4.43, 46185
2022-01-14T05:00:00Z, 4.8, 4.82, 4.5, 4.8, 4.8, 5035
2022-01-13T05:00:00Z, 4.61, 4.9, 4.41, 4.7, 4.7, 54941
2022-01-12T05:00:00Z, 4.79, 5.1, 4.7999, 4.9, 4.9, 17432
2022-01-11T05:00:00Z, 4.6, 4.9, 4.55, 4.89, 4.89, 12449
2022-01-10T05:00:00Z, 4.81, 4.48, 4.4, 4.48, 4.48, 1336
2022-01-07T05:00:00Z, 4.6, 4.9, 4.26, 4.8485, 4.8485, 40453
2022-01-06T05:00:00Z, 4.99, 5, 4.25, 4.69, 4.69, 19875
2022-01-05T05:00:00Z, 4.61, 4.7865, 4.6, 4.77, 4.77, 10027
2022-01-04T05:00:00Z, 4.7, 5, 4.7, 4.927, 4.927, 18152
2022-01-03T05:00:00Z, 4.6, 4.6, 4.6, 4.6, 4.6, 277
2021-12-31T05:00:00Z, 4.55, 4.69, 4.4, 4.69, 4.69, 39098
2021-12-30T05:00:00Z, 4.47, 4.77, 4.29, 4.7, 4.7, 4841
2021-12-29T05:00:00Z, 4.8, 4.51, 4.21, 4.48, 4.48, 16700
2021-12-28T05:00:00Z, 4.59, 4.6001, 4.5, 4.55, 4.55, 15407
2021-12-27T05:00:00Z, 4.75, 4.99, 4.52, 4.52, 4.52, 16434
2021-12-23T05:00:00Z, 4.77, 4.8999, 4.53, 4.745, 4.745, 21958
2021-12-22T05:00:00Z, 4.6, 4.6738, 4.36, 4.62, 4.62, 12817
