Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 14.225, 14.925, 14.06, 14.85, 14.85, 2612009
2022-02-07T05:00:00Z, 13.98, 15.07, 13.95, 14.41, 14.41, 3137518
2022-02-04T05:00:00Z, 14.1, 14.649, 13.94, 14.25, 14.25, 2443126
2022-02-03T05:00:00Z, 14.29, 14.84, 14.05, 14.08, 14.08, 4132713
2022-02-02T05:00:00Z, 15.52, 15.815, 14.57, 14.9, 14.9, 3815657
2022-02-01T05:00:00Z, 15.54, 15.7398, 14.73, 15.22, 15.22, 4505371
2022-01-31T05:00:00Z, 13.81, 15.09, 13.75, 15.08, 15.08, 3617139
2022-01-28T05:00:00Z, 13.16, 13.6, 12.55, 13.59, 13.59, 5658454
2022-01-27T05:00:00Z, 14.84, 15.08, 13.115, 13.22, 13.22, 5875354
2022-01-26T05:00:00Z, 15.71, 15.95, 14.4417, 14.49, 14.49, 5396370
2022-01-25T05:00:00Z, 15.08, 15.35, 14.38, 15.22, 15.22, 3938379
2022-01-24T05:00:00Z, 14.82, 15.67, 13.895, 15.63, 15.63, 5728127
2022-01-21T05:00:00Z, 16.32, 16.74, 15.53, 15.58, 15.58, 5508748
2022-01-20T05:00:00Z, 17.12, 18.1899, 16.62, 16.66, 16.66, 4413118
2022-01-19T05:00:00Z, 17.12, 17.66, 16.7, 16.83, 16.83, 3055842
2022-01-18T05:00:00Z, 17.55, 17.66, 17.03, 17.04, 17.04, 3182984
2022-01-14T05:00:00Z, 18.04, 18.3, 17.66, 18.13, 18.13, 2844370
2022-01-13T05:00:00Z, 19.02, 19.32, 18.295, 18.31, 18.31, 2257325
2022-01-12T05:00:00Z, 20.09, 20.33, 19.1001, 19.18, 19.18, 2303111
2022-01-11T05:00:00Z, 19.28, 19.685, 19.05, 19.65, 19.65, 2767905
2022-01-10T05:00:00Z, 18.91, 19.15, 18.48, 19.13, 19.13, 2638948
2022-01-07T05:00:00Z, 19.48, 20.24, 19, 19.25, 19.25, 2228398
2022-01-06T05:00:00Z, 19.9, 20.33, 19, 19.47, 19.47, 3545739
2022-01-05T05:00:00Z, 21.65, 21.74, 20.02, 20.21, 20.21, 2861120
2022-01-04T05:00:00Z, 22.335, 22.36, 20.97, 21.55, 21.55, 2235442
2022-01-03T05:00:00Z, 22.34, 22.96, 21.97, 22.14, 22.14, 2259034
2021-12-31T05:00:00Z, 22.1, 23, 21.92, 21.93, 21.93, 2468034
2021-12-30T05:00:00Z, 21.21, 22.32, 21.11, 21.89, 21.89, 2556006
2021-12-29T05:00:00Z, 21, 21.5, 20.47, 21.16, 21.16, 1771391
2021-12-28T05:00:00Z, 21.95, 22.07, 20.91, 21.45, 21.45, 1894246
2021-12-27T05:00:00Z, 22.36, 22.42, 21.52, 21.99, 21.99, 1599173
2021-12-23T05:00:00Z, 21.47, 22.17, 21.11, 22, 22, 2326424
2021-12-22T05:00:00Z, 21.6, 22.29, 21.4, 21.62, 21.62, 2089816
2021-12-21T05:00:00Z, 20.82, 21.78, 20.74, 21.67, 21.67, 3487970
2021-12-20T05:00:00Z, 20.91, 21.16, 19.84, 20.13, 20.13, 4409636
2021-12-17T05:00:00Z, 20.9, 22.015, 20.66, 21.68, 21.68, 3270787
2021-12-16T05:00:00Z, 22.94, 23.12, 21.04, 21.33, 21.33, 3623099
2021-12-15T05:00:00Z, 21.37, 22.2997, 20.51, 22.02, 22.02, 3380255
2021-12-14T05:00:00Z, 22.3, 22.52, 21.25, 21.49, 21.49, 4272738
2021-12-13T05:00:00Z, 23.14, 23.75, 22.43, 22.9, 22.9, 2883210
2021-12-10T05:00:00Z, 24.06, 24.55, 23.21, 23.68, 23.68, 2022974
2021-12-09T05:00:00Z, 24.97, 25.78, 23.8482, 24.11, 24.11, 1834043
2021-12-08T05:00:00Z, 25.79, 26.01, 24.93, 25.27, 25.27, 1979206
2021-12-07T05:00:00Z, 25.4, 26.21, 25.15, 25.7, 25.7, 2169576
2021-12-06T05:00:00Z, 24.42, 25.21, 23.45, 24.45, 24.45, 2419546
2021-12-03T05:00:00Z, 26.15, 26.32, 23.7203, 24.72, 24.72, 3617181
2021-12-02T05:00:00Z, 25.66, 26.8305, 25.16, 26.21, 26.21, 3009966
2021-12-01T05:00:00Z, 28.28, 28.42, 25.21, 25.64, 25.64, 3396567
