Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 5.15, 5.26, 5, 5.26, 5.26, 19889
2022-02-07T05:00:00Z, 5.09, 5.2087, 5.01, 5.11, 5.11, 68343
2022-02-04T05:00:00Z, 5.13, 5.2188, 5.02, 5.04, 5.04, 71680
2022-02-03T05:00:00Z, 5.15, 5.29, 5.09, 5.13, 5.13, 56535
2022-02-02T05:00:00Z, 5.5, 5.6, 5.2, 5.3, 5.3, 76073
2022-02-01T05:00:00Z, 5.4, 5.66, 5.35, 5.59, 5.59, 64737
2022-01-31T05:00:00Z, 5.05, 5.4219, 4.83, 5.39, 5.39, 92255
2022-01-28T05:00:00Z, 4.77, 5.06, 4.71, 4.94, 4.94, 124006
2022-01-27T05:00:00Z, 5.2, 5.2544, 4.75, 4.85, 4.85, 102162
2022-01-26T05:00:00Z, 5.4, 5.4437, 5.05, 5.11, 5.11, 60869
2022-01-25T05:00:00Z, 4.97, 5.35, 4.85, 5.29, 5.29, 89898
2022-01-24T05:00:00Z, 5.16, 5.27, 4.83, 4.97, 4.97, 182541
2022-01-21T05:00:00Z, 5.46, 5.46, 5.18, 5.28, 5.28, 153656
2022-01-20T05:00:00Z, 5.51, 5.575, 5.46, 5.46, 5.46, 83936
2022-01-19T05:00:00Z, 5.75, 5.8473, 5.46, 5.51, 5.51, 64617
2022-01-18T05:00:00Z, 5.82, 5.84, 5.63, 5.79, 5.79, 65728
2022-01-14T05:00:00Z, 5.71, 5.79, 5.6501, 5.71, 5.71, 49134
2022-01-13T05:00:00Z, 5.87, 6.01, 5.66, 5.69, 5.69, 55571
2022-01-12T05:00:00Z, 6.1, 6.2, 5.83, 5.87, 5.87, 95604
2022-01-11T05:00:00Z, 5.82, 6.1599, 5.82, 6.1, 6.1, 103133
2022-01-10T05:00:00Z, 5.61, 5.81, 5.53, 5.81, 5.81, 97939
2022-01-07T05:00:00Z, 5.6, 5.9, 5.56, 5.79, 5.79, 74551
2022-01-06T05:00:00Z, 5.8, 5.84, 5.5101, 5.58, 5.58, 320903
2022-01-05T05:00:00Z, 6.34, 6.37, 5.7, 5.76, 5.76, 257252
2022-01-04T05:00:00Z, 6.27, 6.3, 5.97, 6, 6, 81221
2022-01-03T05:00:00Z, 5.9, 6.27, 5.76, 6.26, 6.26, 289244
2021-12-31T05:00:00Z, 5.95, 5.9615, 5.5, 5.67, 5.67, 269080
2021-12-30T05:00:00Z, 5.65, 6.25, 5.5701, 5.97, 5.97, 193043
2021-12-29T05:00:00Z, 5.77, 5.8816, 5.3338, 5.65, 5.65, 226843
2021-12-28T05:00:00Z, 6, 6.07, 5.6858, 5.76, 5.76, 202949
2021-12-27T05:00:00Z, 6.3, 6.35, 5.97, 5.97, 5.97, 160440
2021-12-23T05:00:00Z, 6.44, 6.5, 6.21, 6.33, 6.33, 124373
2021-12-22T05:00:00Z, 6.44, 6.5, 6.38, 6.46, 6.46, 69605
2021-12-21T05:00:00Z, 6.38, 6.59, 6.3591, 6.49, 6.49, 136731
2021-12-20T05:00:00Z, 6.59, 6.5, 6.17, 6.29, 6.29, 200894
2021-12-17T05:00:00Z, 6.55, 6.86, 6.55, 6.63, 6.63, 235656
2021-12-16T05:00:00Z, 6.95, 7, 6.56, 6.63, 6.63, 146604
2021-12-15T05:00:00Z, 6.99, 7.06, 6.585, 6.98, 6.98, 86356
2021-12-14T05:00:00Z, 7.02, 7.17, 6.92, 7.02, 7.02, 43773
2021-12-13T05:00:00Z, 7.2, 7.28, 7.05, 7.14, 7.14, 44235
2021-12-10T05:00:00Z, 7.4, 7.51, 7.165, 7.26, 7.26, 73789
2021-12-09T05:00:00Z, 7.5, 7.6, 7.36, 7.4, 7.4, 80428
2021-12-08T05:00:00Z, 7.4, 7.64, 7.37, 7.52, 7.52, 61563
2021-12-07T05:00:00Z, 7.2, 7.38, 7.15, 7.34, 7.34, 104320
2021-12-06T05:00:00Z, 6.8, 7.12, 6.62, 7.1, 7.1, 180308
2021-12-03T05:00:00Z, 6.93, 6.98, 6.515, 6.75, 6.75, 238743
2021-12-02T05:00:00Z, 6.45, 6.99, 6.3443, 6.93, 6.93, 124591
2021-12-01T05:00:00Z, 6.65, 6.94, 6.34, 6.38, 6.38, 140766
2021-11-30T05:00:00Z, 7.1, 7.1439, 6.42, 6.53, 6.53, 345404
2021-11-29T05:00:00Z, 7.26, 7.4626, 7.11, 7.12, 7.12, 76052
2021-11-26T05:00:00Z, 7.2, 7.47, 6.96, 7.37, 7.37, 124706
2021-11-24T05:00:00Z, 7.35, 7.495, 7.2101, 7.42, 7.42, 93315
2021-11-23T05:00:00Z, 7.4, 7.56, 7.12, 7.31, 7.31, 223029
2021-11-22T05:00:00Z, 7.86, 7.86, 7.07, 7.09, 7.09, 199631
2021-11-19T05:00:00Z, 7.73, 7.8399, 7.48, 7.5, 7.5, 116129
2021-11-18T05:00:00Z, 8.02, 8.11, 7.62, 7.73, 7.73, 193201
2021-11-17T05:00:00Z, 8.45, 8.5, 7.91, 8.02, 8.02, 206978
2021-11-16T05:00:00Z, 8.65, 8.79, 8.27, 8.41, 8.41, 147144
2021-11-15T05:00:00Z, 8.43, 8.8899, 8.35, 8.85, 8.85, 157767
2021-11-12T05:00:00Z, 8.25, 8.37, 8.095, 8.305, 8.305, 95990
2021-11-11T05:00:00Z, 8.25, 8.61, 8.03, 8.28, 8.28, 142477
2021-11-10T05:00:00Z, 8.4, 8.48, 8.06, 8.1, 8.1, 114831
2021-11-09T05:00:00Z, 8.31, 8.52, 8.15, 8.4, 8.4, 127544
2021-11-08T05:00:00Z, 8.28, 8.45, 8.26, 8.36, 8.36, 151754
2021-11-05T04:00:00Z, 8.49, 8.42, 8.22, 8.28, 8.28, 163680
2021-11-04T04:00:00Z, 8.4, 8.56, 8, 8.2, 8.2, 315624
2021-11-03T04:00:00Z, 8.2, 8.455, 8.01, 8.39, 8.39, 61934
2021-11-02T04:00:00Z, 8.3, 8.49, 8.26, 8.31, 8.31, 53933
2021-11-01T04:00:00Z, 8.2, 8.4835, 8.205, 8.36, 8.36, 52936
2021-10-29T04:00:00Z, 8.3, 8.45, 8.16, 8.2, 8.2, 95660
2021-10-28T04:00:00Z, 8.29, 8.51, 8.229, 8.47, 8.47, 42919
2021-10-27T04:00:00Z, 8.3, 8.39, 8.23, 8.29, 8.29, 39969
2021-10-26T04:00:00Z, 8.46, 8.59, 8.23, 8.29, 8.29, 62982
2021-10-25T04:00:00Z, 8.61, 8.7066, 8.46, 8.5, 8.5, 88292
