Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 10.79, 11, 10.75, 10.89, 10.89, 31402
2022-02-07T05:00:00Z, 10.77, 10.87, 10.74, 10.83, 10.83, 10284
2022-02-04T05:00:00Z, 10.81, 10.8799, 10.74, 10.77, 10.77, 11414
2022-02-03T05:00:00Z, 10.83, 10.86, 10.72, 10.79, 10.79, 13482
2022-02-02T05:00:00Z, 10.7, 10.8525, 10.72, 10.79, 10.79, 6485
2022-02-01T05:00:00Z, 10.79, 10.9, 10.69, 10.69, 10.69, 33641
2022-01-31T05:00:00Z, 10.77, 10.83, 10.58, 10.78, 10.78, 21264
2022-01-28T05:00:00Z, 10.74, 10.83, 10.7, 10.76, 10.76, 49148
2022-01-27T05:00:00Z, 10.73, 10.82, 10.71, 10.76, 10.76, 12261
2022-01-26T05:00:00Z, 10.8, 10.86, 10.65, 10.66, 10.66, 11556
2022-01-25T05:00:00Z, 10.82, 11.0149, 10.67, 10.88, 10.88, 22936
2022-01-24T05:00:00Z, 10.5, 10.76, 10.5, 10.7, 10.7, 11875
2022-01-21T05:00:00Z, 10.67, 10.75, 10.54, 10.58, 10.58, 36724
2022-01-20T05:00:00Z, 10.76, 10.88, 10.65, 10.65, 10.65, 26307
2022-01-19T05:00:00Z, 10.8, 10.98, 10.75, 10.87, 10.87, 45772
2022-01-18T05:00:00Z, 10.88, 10.89, 10.75, 10.75, 10.75, 9757
2022-01-14T05:00:00Z, 10.9, 10.95, 10.82, 10.82, 10.82, 6554
2022-01-13T05:00:00Z, 10.84, 11.0575, 10.84, 10.9, 10.9, 39750
2022-01-12T05:00:00Z, 10.77, 11.0268, 10.74, 10.825, 10.825, 5831
2022-01-11T05:00:00Z, 10.87, 10.94, 10.72, 10.93, 10.93, 57928
2022-01-10T05:00:00Z, 10.78, 11.03, 10.77, 10.82, 10.82, 18043
2022-01-07T05:00:00Z, 10.91, 11.06, 10.77, 11.02, 11.02, 40089
2022-01-06T05:00:00Z, 10.95, 11.085, 10.87, 11, 11, 14964
2022-01-05T05:00:00Z, 10.94, 11.05, 10.82, 10.87, 10.87, 32742
2022-01-04T05:00:00Z, 10.97, 11.05, 10.76, 10.79, 10.79, 9125
2022-01-03T05:00:00Z, 11, 11, 10.71, 10.71, 10.71, 34032
2021-12-31T05:00:00Z, 10.69, 10.89, 10.67, 10.67, 10.67, 19316
2021-12-30T05:00:00Z, 10.89, 11.07, 10.67, 10.84, 10.84, 8195
2021-12-29T05:00:00Z, 10.8, 11.27, 10.68, 10.73, 10.73, 20243
2021-12-28T05:00:00Z, 10.7, 11.18, 10.67, 10.75, 10.75, 23850
2021-12-27T05:00:00Z, 10.69, 10.76, 10.66, 10.72, 10.72, 23379
2021-12-23T05:00:00Z, 10.63, 10.8, 10.6, 10.76, 10.76, 13714
2021-12-22T05:00:00Z, 10.49, 10.72, 10.46, 10.65, 10.65, 5545
2021-12-21T05:00:00Z, 10.59, 10.935, 10.56, 10.63, 10.63, 12865
2021-12-20T05:00:00Z, 10.68, 10.67, 10.46, 10.59, 10.59, 26691
2021-12-17T05:00:00Z, 10.72, 10.89, 10.66, 10.85, 10.85, 35249
2021-12-16T05:00:00Z, 10.75, 10.81, 10.75, 10.8, 10.8, 10712
2021-12-15T05:00:00Z, 10.89, 10.89, 10.75, 10.75, 10.75, 14781
2021-12-14T05:00:00Z, 10.72, 10.89, 10.66, 10.89, 10.89, 44189
2021-12-13T05:00:00Z, 10.59, 10.85, 10.62, 10.79, 10.79, 25146
