Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 4.33, 4.38, 4.295, 4.38, 4.38, 1552803
2022-02-07T05:00:00Z, 4.3, 4.36, 4.27, 4.31, 4.31, 1121165
2022-02-04T05:00:00Z, 4.29, 4.36, 4.24, 4.33, 4.33, 1740450
2022-02-03T05:00:00Z, 4.25, 4.3066, 4.22, 4.24, 4.24, 2404549
2022-02-02T05:00:00Z, 4.35, 4.385, 4.285, 4.3, 4.3, 1244265
2022-02-01T05:00:00Z, 4.25, 4.37, 4.2, 4.35, 4.35, 1621883
2022-01-31T05:00:00Z, 4.15, 4.23, 4.08, 4.22, 4.22, 1947800
2022-01-28T05:00:00Z, 4, 4.15, 3.91, 4.14, 4.14, 3429274
2022-01-27T05:00:00Z, 4.1, 4.14, 3.96, 4, 4, 2321292
2022-01-26T05:00:00Z, 4.18, 4.24, 4.005, 4.04, 4.04, 1722535
2022-01-25T05:00:00Z, 4.17, 4.215, 4.025, 4.11, 4.11, 2341166
2022-01-24T05:00:00Z, 4.15, 4.23, 4.03, 4.21, 4.21, 2379598
2022-01-21T05:00:00Z, 4.2, 4.335, 4.18, 4.2, 4.2, 2858069
2022-01-20T05:00:00Z, 4.26, 4.365, 4.24, 4.25, 4.25, 1774261
2022-01-19T05:00:00Z, 4.23, 4.29, 4.2, 4.26, 4.26, 1405902
2022-01-18T05:00:00Z, 4.38, 4.38, 4.16, 4.19, 4.19, 2238541
2022-01-14T05:00:00Z, 4.34, 4.4, 4.29, 4.38, 4.38, 1430373
2022-01-13T05:00:00Z, 4.45, 4.525, 4.41, 4.44, 4.44, 1219240
2022-01-12T05:00:00Z, 4.56, 4.59, 4.43, 4.47, 4.47, 1722849
2022-01-11T05:00:00Z, 4.47, 4.6, 4.46, 4.56, 4.56, 1428438
2022-01-10T05:00:00Z, 4.55, 4.61, 4.45, 4.5, 4.5, 1951872
2022-01-07T05:00:00Z, 4.59, 4.69, 4.58, 4.59, 4.59, 2497855
2022-01-06T05:00:00Z, 4.53, 4.66, 4.49, 4.59, 4.59, 2202897
2022-01-05T05:00:00Z, 4.55, 4.685, 4.52, 4.53, 4.53, 1903338
2022-01-04T05:00:00Z, 4.63, 4.66, 4.53, 4.58, 4.58, 1828277
