Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 9.94, 9.94, 9.94, 9.94, 9.94, 519
2022-02-07T05:00:00Z, 9.98, 9.98, 9.98, 9.98, 9.98, 0
2022-02-04T05:00:00Z, 9.98, 9.98, 9.98, 9.98, 9.98, 0
2022-02-03T05:00:00Z, 9.98, 9.98, 9.98, 9.98, 9.98, 0
2022-02-02T05:00:00Z, 9.98, 9.98, 9.98, 9.98, 9.98, 0
2022-02-01T05:00:00Z, 9.98, 9.98, 9.98, 9.98, 9.98, 0
2022-01-31T05:00:00Z, 9.98, 9.98, 9.98, 9.98, 9.98, 0
2022-01-28T05:00:00Z, 9.98, 9.98, 9.98, 9.98, 9.98, 422
2022-01-27T05:00:00Z, 9.98, 9.99, 9.9899, 9.9899, 9.9899, 2209
2022-01-26T05:00:00Z, 10, 10, 10, 10, 10, 0
2022-01-25T05:00:00Z, 9.96, 10, 9.97, 10, 10, 700
2022-01-24T05:00:00Z, 10.07, 10.07, 10.07, 10.07, 10.07, 0
2022-01-21T05:00:00Z, 10.07, 10.07, 10.07, 10.07, 10.07, 0
2022-01-20T05:00:00Z, 10.07, 10.07, 10.07, 10.07, 10.07, 0
2022-01-19T05:00:00Z, 10.04, 10.07, 10.07, 10.07, 10.07, 238
2022-01-18T05:00:00Z, 10.07, 10.07, 10.07, 10.07, 10.07, 0
2022-01-14T05:00:00Z, 9.99, 10.07, 10.07, 10.07, 10.07, 212
2022-01-13T05:00:00Z, 9.96, 10.23, 10.1, 10.1, 10.1, 215
2022-01-12T05:00:00Z, 10.0693, 10.0693, 10.0693, 10.0693, 10.0693, 0
2022-01-11T05:00:00Z, 10.0693, 10.0693, 10.0693, 10.0693, 10.0693, 0
2022-01-10T05:00:00Z, 10.28, 10.45, 10.0693, 10.0693, 10.0693, 4387
2022-01-07T05:00:00Z, 10, 10.02, 9.99, 10.02, 10.02, 116400
2022-01-06T05:00:00Z, 10.085, 10.085, 10.085, 10.085, 10.085, 209
2022-01-05T05:00:00Z, 10.02, 10.06, 10.03, 10.06, 10.06, 2925
2022-01-04T05:00:00Z, 9.85, 9.98, 9.94, 9.98, 9.98, 405
2022-01-03T05:00:00Z, 9.88, 9.88, 9.88, 9.88, 9.88, 2271
2021-12-31T05:00:00Z, 9.94, 10.01, 9.93, 9.95, 9.95, 3396
2021-12-30T05:00:00Z, 11.04, 11.04, 10.03, 10.03, 10.03, 481
2021-12-29T05:00:00Z, 9.98, 9.98, 9.98, 9.98, 9.98, 0
