Date, Open, High, Low, Close, Adj Close, Volume
2022-02-07T05:00:00Z, 10.04, 10.04, 10.03, 10.04, 10.04, 4213
2022-02-04T05:00:00Z, 10.0276, 10.0276, 10.02, 10.02, 10.02, 201
2022-02-03T05:00:00Z, 10.0219, 10.0219, 10.0219, 10.0219, 10.0219, 155
2022-02-02T05:00:00Z, 10.02, 10.0205, 10.0205, 10.0205, 10.0205, 368
2022-02-01T05:00:00Z, 10.03, 10.04, 10.0218, 10.0218, 10.0218, 6018
2022-01-31T05:00:00Z, 10.01, 10.04, 10.01, 10.04, 10.04, 103703
2022-01-28T05:00:00Z, 9.99, 10.01, 10.01, 10.01, 10.01, 292
2022-01-27T05:00:00Z, 10.02, 10.03, 10.0085, 10.01, 10.01, 9345
2022-01-26T05:00:00Z, 10.03, 10.03, 10.01, 10.0102, 10.0102, 16198
2022-01-25T05:00:00Z, 10, 10.01, 10, 10.01, 10.01, 26012
2022-01-24T05:00:00Z, 10, 10.0067, 9.99, 9.99, 9.99, 47404
2022-01-21T05:00:00Z, 10, 10.01, 10, 10.0003, 10.0003, 3017
2022-01-20T05:00:00Z, 10.03, 10, 10, 10, 10, 120
2022-01-19T05:00:00Z, 9.99, 10.025, 10.02, 10.02, 10.02, 40865
2022-01-18T05:00:00Z, 10.01, 10.01, 10.01, 10.01, 10.01, 1628
2022-01-14T05:00:00Z, 10.03, 10.01, 10.0054, 10.01, 10.01, 646
2022-01-13T05:00:00Z, 10.01, 10, 10, 10, 10, 4010
2022-01-12T05:00:00Z, 10.03, 10.03, 10.03, 10.03, 10.03, 152
2022-01-11T05:00:00Z, 10.02, 10.02, 10, 10.015, 10.015, 150468
2022-01-10T05:00:00Z, 10, 10.03, 10, 10.015, 10.015, 9740
2022-01-07T05:00:00Z, 10, 10.02, 10.0001, 10.01, 10.01, 7025
2022-01-06T05:00:00Z, 10.01, 10.01, 9.9918, 10, 10, 23709
2022-01-05T05:00:00Z, 10.01, 10.0162, 10.01, 10.0162, 10.0162, 2319
2022-01-04T05:00:00Z, 10, 10, 10, 10, 10, 5111
2022-01-03T05:00:00Z, 10.01, 10.02, 9.99, 10, 10, 7929
2021-12-31T05:00:00Z, 10.01, 10.01, 10, 10, 10, 39895
2021-12-30T05:00:00Z, 9.9801, 10, 9.9801, 10, 10, 1305
2021-12-29T05:00:00Z, 9.96, 10.005, 9.96, 10.005, 10.005, 5313
2021-12-28T05:00:00Z, 9.99, 9.99, 9.97, 9.98, 9.98, 10714
2021-12-27T05:00:00Z, 9.99, 9.99, 9.99, 9.99, 9.99, 0
2021-12-23T05:00:00Z, 10.01, 10, 9.99, 9.99, 9.99, 8058
2021-12-22T05:00:00Z, 9.99, 10, 9.98, 9.99, 9.99, 38470
2021-12-21T05:00:00Z, 9.9909, 9.9909, 9.9909, 9.9909, 9.9909, 0
2021-12-20T05:00:00Z, 9.99, 9.9909, 9.99, 9.9909, 9.9909, 100220
2021-12-17T05:00:00Z, 9.98, 9.98, 9.98, 9.98, 9.98, 0
2021-12-16T05:00:00Z, 9.98, 9.98, 9.98, 9.98, 9.98, 0
2021-12-15T05:00:00Z, 9.98, 9.98, 9.98, 9.98, 9.98, 123
2021-12-14T05:00:00Z, 9.98, 9.98, 9.98, 9.98, 9.98, 0
2021-12-13T05:00:00Z, 10, 10, 9.98, 9.98, 9.98, 759
2021-12-10T05:00:00Z, 9.98, 9.99, 9.98, 9.9895, 9.9895, 555
2021-12-09T05:00:00Z, 10, 10, 9.99, 10, 10, 3360
2021-12-08T05:00:00Z, 9.99, 9.99, 9.99, 9.99, 9.99, 180
2021-12-07T05:00:00Z, 10, 10, 9.9801, 10, 10, 5740
2021-12-06T05:00:00Z, 9.96, 9.98, 9.98, 9.98, 9.98, 698
2021-12-03T05:00:00Z, 9.96, 9.96, 9.96, 9.96, 9.96, 0
2021-12-02T05:00:00Z, 9.98, 9.99, 9.96, 9.96, 9.96, 26909
2021-12-01T05:00:00Z, 9.985, 9.9901, 9.9901, 9.9901, 9.9901, 1174
2021-11-30T05:00:00Z, 10, 10.01, 9.99, 10.01, 10.01, 8650
2021-11-29T05:00:00Z, 10, 10, 10, 10, 10, 7903
2021-11-26T05:00:00Z, 9.99, 10, 9.99, 10, 10, 831
2021-11-24T05:00:00Z, 9.99, 9.9901, 9.9901, 9.9901, 9.9901, 215
2021-11-23T05:00:00Z, 10, 10.005, 9.98, 10, 10, 259038
2021-11-22T05:00:00Z, 9.975, 9.983, 9.9719, 9.98, 9.98, 211700
2021-11-19T05:00:00Z, 9.96, 9.9724, 9.9724, 9.9724, 9.9724, 186
2021-11-18T05:00:00Z, 9.96, 9.96, 9.96, 9.96, 9.96, 444
2021-11-17T05:00:00Z, 9.96, 9.96, 9.96, 9.96, 9.96, 169
2021-11-16T05:00:00Z, 9.96, 9.9601, 9.9601, 9.9601, 9.9601, 263
2021-11-15T05:00:00Z, 9.99, 9.96, 9.96, 9.96, 9.96, 470
2021-11-12T05:00:00Z, 9.96, 9.9601, 9.9601, 9.9601, 9.9601, 207
2021-11-11T05:00:00Z, 9.95, 9.98, 9.95, 9.98, 9.98, 5241
2021-11-10T05:00:00Z, 9.95, 9.97, 9.95, 9.95, 9.95, 460784
2021-11-09T05:00:00Z, 9.965, 9.98, 9.94, 9.94, 9.94, 176716
2021-11-08T05:00:00Z, 9.97, 9.98, 9.96, 9.96, 9.96, 257428
2021-11-05T04:00:00Z, 9.97, 9.97, 9.9608, 9.97, 9.97, 6450
2021-11-04T04:00:00Z, 9.96, 9.99, 9.95, 9.96, 9.96, 895619
2021-11-03T04:00:00Z, 10, 9.98, 9.98, 9.98, 9.98, 292
2021-11-02T04:00:00Z, 9.99, 9.99, 9.99, 9.99, 9.99, 0
2021-11-01T04:00:00Z, 9.97, 9.99, 9.99, 9.99, 9.99, 1531
2021-10-29T04:00:00Z, 9.99, 9.99, 9.98, 9.98, 9.98, 1913
2021-10-28T04:00:00Z, 9.97, 9.99, 9.98, 9.9841, 9.9841, 1601
2021-10-27T04:00:00Z, 9.99, 10, 9.98, 9.98, 9.98, 20298
2021-10-26T04:00:00Z, 9.99, 9.99, 9.97, 9.97, 9.97, 2606
2021-10-25T04:00:00Z, 9.98, 9.98, 9.98, 9.98, 9.98, 8581
2021-10-22T04:00:00Z, 9.96, 9.9753, 9.9753, 9.9753, 9.9753, 172
2021-10-21T04:00:00Z, 9.971, 9.971, 9.971, 9.971, 9.971, 313
2021-10-20T04:00:00Z, 9.97, 9.9707, 9.97, 9.9707, 9.9707, 1505
2021-10-19T04:00:00Z, 9.97, 9.9727, 9.971, 9.971, 9.971, 1072
2021-10-18T04:00:00Z, 9.98, 9.98, 9.97, 9.9707, 9.9707, 18907
2021-10-15T04:00:00Z, 9.9691, 9.9691, 9.965, 9.965, 9.965, 201
2021-10-14T04:00:00Z, 9.97, 9.97, 9.96, 9.96, 9.96, 1450
2021-10-13T04:00:00Z, 9.97, 9.9701, 9.9567, 9.9567, 9.9567, 758
2021-10-12T04:00:00Z, 9.97, 9.97, 9.97, 9.97, 9.97, 0
2021-10-11T04:00:00Z, 9.98, 9.97, 9.93, 9.97, 9.97, 15725
2021-10-08T04:00:00Z, 9.94, 9.96, 9.91, 9.96, 9.96, 159097
2021-10-07T04:00:00Z, 9.95, 9.97, 9.945, 9.945, 9.945, 6286
2021-10-06T04:00:00Z, 9.96, 9.96, 9.952, 9.952, 9.952, 1241
2021-10-05T04:00:00Z, 9.95, 9.95, 9.95, 9.95, 9.95, 1011
2021-10-04T04:00:00Z, 9.95, 9.95, 9.95, 9.95, 9.95, 9104
2021-10-01T04:00:00Z, 9.95, 9.96, 9.95, 9.9502, 9.9502, 9786
2021-09-30T04:00:00Z, 9.92, 9.95, 9.9, 9.95, 9.95, 173403
2021-09-29T04:00:00Z, 9.94, 9.95, 9.93, 9.93, 9.93, 86641
2021-09-28T04:00:00Z, 9.91, 9.9414, 9.9353, 9.94, 9.94, 2283
2021-09-27T04:00:00Z, 9.9401, 9.9401, 9.9401, 9.9401, 9.9401, 0
2021-09-24T04:00:00Z, 9.94, 9.9401, 9.9401, 9.9401, 9.9401, 273
2021-09-23T04:00:00Z, 9.94, 9.94, 9.94, 9.94, 9.94, 3447
2021-09-22T04:00:00Z, 9.98, 9.9441, 9.94, 9.9407, 9.9407, 2937
2021-09-21T04:00:00Z, 9.94, 9.94, 9.94, 9.94, 9.94, 0
2021-09-20T04:00:00Z, 9.92, 9.94, 9.89, 9.94, 9.94, 11632
2021-09-17T04:00:00Z, 9.89, 9.92, 9.89, 9.92, 9.92, 3032
2021-09-16T04:00:00Z, 9.94, 9.94, 9.91, 9.94, 9.94, 3009
2021-09-15T04:00:00Z, 9.94, 9.9301, 9.9301, 9.9301, 9.9301, 286
2021-09-14T04:00:00Z, 9.93, 9.9301, 9.93, 9.9301, 9.9301, 2012
2021-09-13T04:00:00Z, 9.92, 9.92, 9.91, 9.92, 9.92, 12394
2021-09-10T04:00:00Z, 9.905, 9.905, 9.905, 9.905, 9.905, 3128
2021-09-09T04:00:00Z, 9.89, 9.89, 9.89, 9.89, 9.89, 1367
2021-09-08T04:00:00Z, 9.93, 9.91, 9.8901, 9.894, 9.894, 1633
2021-09-07T04:00:00Z, 9.91, 9.885, 9.885, 9.885, 9.885, 269
2021-09-03T04:00:00Z, 9.91, 9.91, 9.91, 9.91, 9.91, 0
2021-09-02T04:00:00Z, 9.9, 9.92, 9.88, 9.91, 9.91, 26236
2021-09-01T04:00:00Z, 9.9, 9.9, 9.895, 9.895, 9.895, 428
2021-08-31T04:00:00Z, 9.9, 9.91, 9.88, 9.9, 9.9, 55342
2021-08-30T04:00:00Z, 9.9, 9.9, 9.9, 9.9, 9.9, 0
2021-08-27T04:00:00Z, 9.88, 9.9, 9.84, 9.9, 9.9, 82286
2021-08-26T04:00:00Z, 9.88, 9.88, 9.8684, 9.88, 9.88, 49744
2021-08-25T04:00:00Z, 9.87, 9.87, 9.84, 9.87, 9.87, 190175
2021-08-24T04:00:00Z, 9.85, 9.87, 9.84, 9.87, 9.87, 46502
2021-08-23T04:00:00Z, 9.86, 9.86, 9.8411, 9.86, 9.86, 22441
2021-08-20T04:00:00Z, 9.85, 9.85, 9.84, 9.84, 9.84, 6355
2021-08-19T04:00:00Z, 9.8402, 9.8402, 9.8402, 9.8402, 9.8402, 0
2021-08-18T04:00:00Z, 9.85, 9.85, 9.84, 9.8402, 9.8402, 179265
2021-08-17T04:00:00Z, 9.845, 9.88, 9.84, 9.85, 9.85, 33656
2021-08-16T04:00:00Z, 9.86, 9.86, 9.84, 9.85, 9.85, 15454
2021-08-13T04:00:00Z, 9.86, 9.87, 9.855, 9.86, 9.86, 151193
