Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 9.9, 9.89, 9.8812, 9.885, 9.885, 9518
2022-02-07T05:00:00Z, 9.88, 9.89, 9.85, 9.8798, 9.8798, 60335
2022-02-04T05:00:00Z, 9.86, 9.88, 9.85, 9.8575, 9.8575, 495394
2022-02-03T05:00:00Z, 9.85, 9.88, 9.85, 9.85, 9.85, 936
2022-02-02T05:00:00Z, 9.86, 9.86, 9.83, 9.86, 9.86, 11363
2022-02-01T05:00:00Z, 9.81, 9.88, 9.84, 9.87, 9.87, 47381
2022-01-31T05:00:00Z, 9.83, 9.8452, 9.83, 9.83, 9.83, 2822
2022-01-28T05:00:00Z, 9.83, 9.84, 9.83, 9.83, 9.83, 19122
2022-01-27T05:00:00Z, 9.84, 9.84, 9.83, 9.84, 9.84, 2867
2022-01-26T05:00:00Z, 9.84, 9.84, 9.82, 9.82, 9.82, 3452
2022-01-25T05:00:00Z, 9.85, 9.83, 9.8, 9.82, 9.82, 32688
2022-01-24T05:00:00Z, 9.76, 9.83, 9.76, 9.8, 9.8, 19112
2022-01-21T05:00:00Z, 9.75, 9.85, 9.75, 9.75, 9.75, 89719
2022-01-20T05:00:00Z, 9.85, 9.87, 9.84, 9.87, 9.87, 57562
2022-01-19T05:00:00Z, 9.85, 9.84, 9.84, 9.84, 9.84, 914
2022-01-18T05:00:00Z, 9.84, 9.8574, 9.84, 9.8463, 9.8463, 1880
2022-01-14T05:00:00Z, 9.84, 9.85, 9.84, 9.84, 9.84, 6912
2022-01-13T05:00:00Z, 9.88, 9.8577, 9.84, 9.85, 9.85, 10217
2022-01-12T05:00:00Z, 9.85, 9.855, 9.84, 9.84, 9.84, 20668
2022-01-11T05:00:00Z, 9.86, 9.86, 9.82, 9.85, 9.85, 35882
2022-01-10T05:00:00Z, 9.86, 9.86, 9.85, 9.85, 9.85, 3116
2022-01-07T05:00:00Z, 9.85, 9.875, 9.85, 9.85, 9.85, 45020
2022-01-06T05:00:00Z, 9.85, 9.875, 9.8432, 9.85, 9.85, 106923
2022-01-05T05:00:00Z, 9.85, 9.86, 9.85, 9.85, 9.85, 209863
2022-01-04T05:00:00Z, 9.83, 9.8761, 9.8761, 9.8761, 9.8761, 1089
2022-01-03T05:00:00Z, 9.83, 9.84, 9.83, 9.84, 9.84, 7552
2021-12-31T05:00:00Z, 9.86, 9.84, 9.82, 9.84, 9.84, 54724
2021-12-30T05:00:00Z, 9.88, 9.86, 9.83, 9.83, 9.83, 17552
2021-12-29T05:00:00Z, 9.88, 9.84, 9.84, 9.84, 9.84, 2135
2021-12-28T05:00:00Z, 9.87, 9.8432, 9.8432, 9.8432, 9.8432, 319
2021-12-27T05:00:00Z, 9.88, 9.88, 9.84, 9.84, 9.84, 2061
2021-12-23T05:00:00Z, 9.85, 9.85, 9.835, 9.835, 9.835, 6060
2021-12-22T05:00:00Z, 9.82, 9.83, 9.82, 9.82, 9.82, 6296
2021-12-21T05:00:00Z, 9.87, 9.8265, 9.82, 9.82, 9.82, 1630
2021-12-20T05:00:00Z, 9.82, 9.83, 9.81, 9.82, 9.82, 14282
2021-12-17T05:00:00Z, 9.84, 9.85, 9.81, 9.85, 9.85, 8753
2021-12-16T05:00:00Z, 9.87, 9.89, 9.805, 9.82, 9.82, 575895
2021-12-15T05:00:00Z, 9.82, 9.87, 9.82, 9.87, 9.87, 12295
2021-12-14T05:00:00Z, 9.81, 9.84, 9.8, 9.84, 9.84, 210373
2021-12-13T05:00:00Z, 9.83, 9.83, 9.81, 9.81, 9.81, 100798
2021-12-10T05:00:00Z, 9.8, 9.84, 9.8, 9.84, 9.84, 468
2021-12-09T05:00:00Z, 9.82, 9.83, 9.81, 9.83, 9.83, 29444
2021-12-08T05:00:00Z, 9.8, 9.82, 9.79, 9.82, 9.82, 12880
2021-12-07T05:00:00Z, 9.79, 9.8, 9.78, 9.8, 9.8, 65187
2021-12-06T05:00:00Z, 9.81, 9.88, 9.77, 9.77, 9.77, 41342
2021-12-03T05:00:00Z, 9.85, 9.85, 9.8, 9.82, 9.82, 16113
2021-12-02T05:00:00Z, 9.93, 9.93, 9.8, 9.81, 9.81, 47419
2021-12-01T05:00:00Z, 9.9, 9.9, 9.9, 9.9, 9.9, 0
2021-11-30T05:00:00Z, 9.85, 9.9, 9.87, 9.9, 9.9, 44667
2021-11-29T05:00:00Z, 9.9, 9.9, 9.88, 9.88, 9.88, 86447
2021-11-26T05:00:00Z, 9.88, 9.88, 9.86, 9.86, 9.86, 2471
2021-11-24T05:00:00Z, 9.86, 9.89, 9.86, 9.88, 9.88, 11383
2021-11-23T05:00:00Z, 9.88, 9.88, 9.87, 9.88, 9.88, 2093
2021-11-22T05:00:00Z, 9.92, 9.915, 9.88, 9.88, 9.88, 17613
2021-11-19T05:00:00Z, 9.88, 9.9, 9.88, 9.9, 9.9, 51354
2021-11-18T05:00:00Z, 9.87, 9.875, 9.85, 9.85, 9.85, 4140
2021-11-17T05:00:00Z, 9.89, 9.8954, 9.87, 9.88, 9.88, 269223
2021-11-16T05:00:00Z, 9.9, 9.9002, 9.88, 9.88, 9.88, 845502
2021-11-15T05:00:00Z, 9.9, 9.91, 9.87, 9.91, 9.91, 18946
2021-11-12T05:00:00Z, 9.88, 9.91, 9.87, 9.88, 9.88, 140479
2021-11-11T05:00:00Z, 9.85, 9.88, 9.855, 9.87, 9.87, 322344
2021-11-10T05:00:00Z, 9.85, 9.89, 9.85, 9.86, 9.86, 274999
2021-11-09T05:00:00Z, 9.87, 9.88, 9.86, 9.87, 9.87, 466149
2021-11-08T05:00:00Z, 9.88, 9.9, 9.85, 9.86, 9.86, 2618048
2021-11-05T04:00:00Z, 9.77, 9.8, 9.75, 9.78, 9.78, 51413
2021-11-04T04:00:00Z, 9.8, 9.82, 9.78, 9.8, 9.8, 37407
2021-11-03T04:00:00Z, 9.77, 9.8, 9.76, 9.8, 9.8, 25263
2021-11-02T04:00:00Z, 9.78, 9.83, 9.75, 9.83, 9.83, 59537
2021-11-01T04:00:00Z, 9.75, 9.78, 9.7509, 9.78, 9.78, 53988
2021-10-29T04:00:00Z, 9.76, 9.77, 9.74, 9.76, 9.76, 6313
2021-10-28T04:00:00Z, 9.75, 9.78, 9.74, 9.78, 9.78, 241191
2021-10-27T04:00:00Z, 9.75, 9.76, 9.75, 9.76, 9.76, 16663
2021-10-26T04:00:00Z, 9.75, 9.78, 9.76, 9.76, 9.76, 8839
2021-10-25T04:00:00Z, 9.76, 9.78, 9.75, 9.76, 9.76, 23162
2021-10-22T04:00:00Z, 9.76, 9.77, 9.7501, 9.76, 9.76, 7061
2021-10-21T04:00:00Z, 9.76, 9.76, 9.755, 9.76, 9.76, 493
2021-10-20T04:00:00Z, 9.76, 9.77, 9.76, 9.77, 9.77, 11697
2021-10-19T04:00:00Z, 9.76, 9.77, 9.76, 9.77, 9.77, 7977
2021-10-18T04:00:00Z, 9.76, 9.78, 9.765, 9.765, 9.765, 276026
2021-10-15T04:00:00Z, 9.78, 9.78, 9.77, 9.78, 9.78, 94351
2021-10-14T04:00:00Z, 9.75, 9.78, 9.75, 9.78, 9.78, 65607
2021-10-13T04:00:00Z, 9.78, 9.77, 9.76, 9.77, 9.77, 9289
