Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 12.1, 12.51, 12.0499, 12.51, 12.51, 5995
2022-02-07T05:00:00Z, 12.18, 12.2, 12.0101, 12.14, 12.14, 11482
2022-02-04T05:00:00Z, 11.67, 12.09, 11.65, 12.09, 12.09, 19212
2022-02-03T05:00:00Z, 12, 12.05, 10.63, 11.93, 11.93, 33500
2022-02-02T05:00:00Z, 12.48, 13, 12, 12, 12, 24339
2022-02-01T05:00:00Z, 12.77, 13.76, 12.5501, 12.65, 12.65, 7831
2022-01-31T05:00:00Z, 12.22, 12.93, 11.14, 12.66, 12.66, 46296
2022-01-28T05:00:00Z, 12.25, 12.88, 12, 12.22, 12.22, 15731
2022-01-27T05:00:00Z, 12.34, 12.59, 12, 12.21, 12.21, 15116
2022-01-26T05:00:00Z, 12.86, 12.88, 12.28, 12.29, 12.29, 21610
2022-01-25T05:00:00Z, 12.74, 12.828, 12.5, 12.68, 12.68, 9124
2022-01-24T05:00:00Z, 12.98, 12.9899, 12, 12.91, 12.91, 72038
2022-01-21T05:00:00Z, 13.61, 13.76, 13.01, 13.33, 13.33, 21787
2022-01-20T05:00:00Z, 13.66, 14.15, 13.7701, 13.855, 13.855, 7403
2022-01-19T05:00:00Z, 13.71, 14.12, 13.57, 13.99, 13.99, 15445
2022-01-18T05:00:00Z, 13.75, 13.9, 13.5001, 13.9, 13.9, 14073
2022-01-14T05:00:00Z, 13.75, 13.9, 13.71, 13.9, 13.9, 3300
2022-01-13T05:00:00Z, 13.68, 13.965, 13.7, 13.9, 13.9, 6399
2022-01-12T05:00:00Z, 13.85, 13.8899, 13.6, 13.68, 13.68, 9190
2022-01-11T05:00:00Z, 13.48, 13.97, 13.48, 13.55, 13.55, 6002
2022-01-10T05:00:00Z, 13.12, 13.5, 13.0201, 13.27, 13.27, 16438
2022-01-07T05:00:00Z, 13.6, 13.71, 13.45, 13.52, 13.52, 15973
2022-01-06T05:00:00Z, 13.86, 13.9, 13.68, 13.71, 13.71, 4943
2022-01-05T05:00:00Z, 14.23, 14.23, 13.65, 13.83, 13.83, 6148
2022-01-04T05:00:00Z, 13.92, 14.34, 13.83, 14.23, 14.23, 34975
2022-01-03T05:00:00Z, 14.06, 14.25, 13.99, 14.21, 14.21, 19252
2021-12-31T05:00:00Z, 13.52, 14.2, 12.6001, 14.14, 14.14, 140078
2021-12-30T05:00:00Z, 13.06, 13.99, 12.79, 13.75, 13.75, 35381
2021-12-29T05:00:00Z, 13.81, 13.9639, 13.8, 13.81, 13.81, 16145
2021-12-28T05:00:00Z, 14.35, 14.4, 13.9, 14, 14, 24332
2021-12-27T05:00:00Z, 14.2, 14.52, 13.775, 13.88, 13.88, 27972
2021-12-23T05:00:00Z, 14.14, 14.58, 13.85, 14.48, 14.48, 29281
