Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 11.35, 11.5, 10.9, 11.19, 11.19, 800295
2022-02-07T05:00:00Z, 10.8, 11.52, 10.7104, 11.31, 11.31, 580828
2022-02-04T05:00:00Z, 11.55, 11.67, 10.61, 10.75, 10.75, 1729748
2022-02-03T05:00:00Z, 11.74, 12.19, 11.3, 11.45, 11.45, 758727
2022-02-02T05:00:00Z, 12.57, 12.9, 12.06, 12.16, 12.16, 601066
2022-02-01T05:00:00Z, 12.67, 12.85, 12.02, 12.54, 12.54, 501300
2022-01-31T05:00:00Z, 11.88, 12.63, 11.48, 12.36, 12.36, 1654323
2022-01-28T05:00:00Z, 11.55, 12.1, 11.01, 11.78, 11.78, 1100831
2022-01-27T05:00:00Z, 12.32, 12.9, 11.49, 11.67, 11.67, 719261
2022-01-26T05:00:00Z, 12.78, 12.92, 12.06, 12.47, 12.47, 1144089
2022-01-25T05:00:00Z, 12.38, 12.75, 11.52, 12.32, 12.32, 898725
2022-01-24T05:00:00Z, 12, 12.84, 11, 12.77, 12.77, 1758806
2022-01-21T05:00:00Z, 13.06, 13.3, 12.01, 12.37, 12.37, 2359473
2022-01-20T05:00:00Z, 13.9, 14.02, 13.17, 13.44, 13.44, 1141845
2022-01-19T05:00:00Z, 13.62, 14.24, 13.4, 13.83, 13.83, 780543
2022-01-18T05:00:00Z, 13.53, 13.79, 13.21, 13.55, 13.55, 1047669
2022-01-14T05:00:00Z, 13.3, 14, 13, 13.92, 13.92, 1027306
2022-01-13T05:00:00Z, 14.1, 14.12, 13.34, 13.46, 13.46, 1024232
2022-01-12T05:00:00Z, 14.29, 14.7, 13.68, 13.84, 13.84, 1127758
2022-01-11T05:00:00Z, 14.23, 14.79, 13.9, 14.22, 14.22, 1131895
2022-01-10T05:00:00Z, 13.935, 14.8, 13.5, 14.21, 14.21, 1109696
2022-01-07T05:00:00Z, 14.77, 15.1291, 13.7, 13.94, 13.94, 2224361
2022-01-06T05:00:00Z, 14.35, 16.44, 13.97, 15.23, 15.23, 4908610
2022-01-05T05:00:00Z, 15.59, 15.57, 12.8082, 13.57, 13.57, 2433748
2022-01-04T05:00:00Z, 16.21, 16.78, 15.54, 15.59, 15.59, 621994
2022-01-03T05:00:00Z, 15.5, 16.35, 14.25, 16.22, 16.22, 984827
2021-12-31T05:00:00Z, 15.77, 15.987, 15.04, 15.08, 15.08, 447285
2021-12-30T05:00:00Z, 15.62, 16.36, 15.3, 15.95, 15.95, 702662
2021-12-29T05:00:00Z, 17.08, 17.49, 15.54, 15.66, 15.66, 804010
2021-12-28T05:00:00Z, 19.2, 19.69, 16.45, 16.77, 16.77, 1578838
2021-12-27T05:00:00Z, 18.58, 19.17, 17.68, 19.05, 19.05, 1058213
2021-12-23T05:00:00Z, 17, 18.7099, 16.45, 17.75, 17.75, 1796408
2021-12-22T05:00:00Z, 14.6, 18, 14.5, 17.41, 17.41, 2983845
2021-12-21T05:00:00Z, 14.6, 15.15, 14.21, 14.45, 14.45, 895015
2021-12-20T05:00:00Z, 14.1, 14.44, 13.67, 14.03, 14.03, 1041571
2021-12-17T05:00:00Z, 13.88, 15.4, 13.7, 14.45, 14.45, 2892037
2021-12-16T05:00:00Z, 14.92, 15, 13.5, 13.87, 13.87, 861470
2021-12-15T05:00:00Z, 14.66, 14.9, 13.77, 14.73, 14.73, 1342983
2021-12-14T05:00:00Z, 12.89, 15.3697, 12.89, 15.24, 15.24, 1681401
2021-12-13T05:00:00Z, 14.25, 14.3299, 12.56, 12.96, 12.96, 2161372
2021-12-10T05:00:00Z, 15.39, 15.78, 13.6, 13.96, 13.96, 2720479
2021-12-09T05:00:00Z, 15.1, 15.4381, 14.9, 15.24, 15.24, 606442
2021-12-08T05:00:00Z, 16.2, 16.3, 14.76, 14.92, 14.92, 2132811
2021-12-07T05:00:00Z, 15.39, 16.55, 14.83, 16.05, 16.05, 2164726
2021-12-06T05:00:00Z, 14.465, 16.34, 14.18, 14.72, 14.72, 4449508
2021-12-03T05:00:00Z, 16.22, 16.35, 13.91, 14.19, 14.19, 5862279
2021-12-02T05:00:00Z, 16.28, 16.9, 15.49, 16.07, 16.07, 3316540
2021-12-01T05:00:00Z, 18.4, 18.48, 15.6101, 16.06, 16.06, 7799098
