Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 1.18, 1.25, 1.15, 1.21, 1.21, 368522
2022-02-07T05:00:00Z, 1.23, 1.259, 1.13, 1.17, 1.17, 650625
2022-02-04T05:00:00Z, 1.26, 1.293, 1.18, 1.23, 1.23, 710138
2022-02-03T05:00:00Z, 1.37, 1.4, 1.26, 1.29, 1.29, 510118
2022-02-02T05:00:00Z, 1.54, 1.54, 1.35, 1.42, 1.42, 1324051
2022-02-01T05:00:00Z, 1.62, 1.62, 1.52, 1.55, 1.55, 857844
2022-01-31T05:00:00Z, 1.67, 1.69, 1.52, 1.65, 1.65, 2026764
2022-01-28T05:00:00Z, 1.57, 1.64, 1.45, 1.56, 1.56, 591785
2022-01-27T05:00:00Z, 1.69, 1.73, 1.55, 1.55, 1.55, 558918
2022-01-26T05:00:00Z, 1.78, 1.8149, 1.66, 1.69, 1.69, 309324
2022-01-25T05:00:00Z, 1.7, 1.94, 1.66, 1.76, 1.76, 933807
2022-01-24T05:00:00Z, 1.835, 1.85, 1.54, 1.82, 1.82, 1596585
2022-01-21T05:00:00Z, 2.25, 2.29, 2.02, 2.08, 2.08, 979842
2022-01-20T05:00:00Z, 2.44, 2.48, 2.27, 2.3, 2.3, 909259
2022-01-19T05:00:00Z, 2.63, 2.6478, 2.45, 2.46, 2.46, 751560
2022-01-18T05:00:00Z, 2.57, 2.62, 2.52, 2.575, 2.575, 665027
2022-01-14T05:00:00Z, 2.65, 2.71, 2.6, 2.66, 2.66, 605460
2022-01-13T05:00:00Z, 2.65, 2.95, 2.56, 2.66, 2.66, 4739324
2022-01-12T05:00:00Z, 3.2, 3.2, 2.72, 2.74, 2.74, 7242416
2022-01-11T05:00:00Z, 2.73, 2.8, 2.7, 2.74, 2.74, 572717
2022-01-10T05:00:00Z, 2.63, 2.79, 2.55, 2.79, 2.79, 636637
2022-01-07T05:00:00Z, 2.57, 2.66, 2.52, 2.63, 2.63, 632090
2022-01-06T05:00:00Z, 2.73, 2.78, 2.55, 2.57, 2.57, 1021772
2022-01-05T05:00:00Z, 2.8, 2.92, 2.7, 2.77, 2.77, 1028838
2022-01-04T05:00:00Z, 2.93, 2.93, 2.75, 2.83, 2.83, 961280
2022-01-03T05:00:00Z, 2.65, 2.9499, 2.605, 2.915, 2.915, 1361975
2021-12-31T05:00:00Z, 2.61, 2.66, 2.4838, 2.56, 2.56, 627408
2021-12-30T05:00:00Z, 2.61, 2.67, 2.54, 2.61, 2.61, 720462
2021-12-29T05:00:00Z, 2.75, 2.79, 2.53, 2.57, 2.57, 1437863
2021-12-28T05:00:00Z, 2.96, 2.99, 2.7317, 2.79, 2.79, 1586312
2021-12-27T05:00:00Z, 3.11, 3.14, 2.9513, 2.99, 2.99, 1147177
2021-12-23T05:00:00Z, 3.05, 3.15, 2.91, 3.11, 3.11, 1619257
2021-12-22T05:00:00Z, 3.2, 3.26, 2.8273, 2.85, 2.85, 3826570
2021-12-21T05:00:00Z, 3.23, 3.59, 3.121, 3.26, 3.26, 4034051
2021-12-20T05:00:00Z, 2.79, 3.29, 2.7, 3.11, 3.11, 4342835
2021-12-17T05:00:00Z, 2.62, 2.87, 2.57, 2.78, 2.78, 2106976
2021-12-16T05:00:00Z, 2.71, 2.7162, 2.57, 2.6, 2.6, 863820
2021-12-15T05:00:00Z, 2.74, 2.83, 2.58, 2.72, 2.72, 1317743
2021-12-14T05:00:00Z, 2.95, 3.05, 2.69, 2.74, 2.74, 2345176
2021-12-13T05:00:00Z, 2.92, 3.24, 2.88, 3.08, 3.08, 4699094
2021-12-10T05:00:00Z, 2.78, 3.02, 2.6501, 2.95, 2.95, 4191504
2021-12-09T05:00:00Z, 2.6, 3.16, 2.59, 2.68, 2.68, 12024192
2021-12-08T05:00:00Z, 2.45, 2.68, 2.4, 2.59, 2.59, 3606314
2021-12-07T05:00:00Z, 2.91, 2.96, 2.58, 2.63, 2.63, 18767604
2021-12-06T05:00:00Z, 2.35, 2.6903, 2.22, 2.57, 2.57, 2084146
2021-12-03T05:00:00Z, 2.59, 2.63, 2.28, 2.33, 2.33, 1011443
2021-12-02T05:00:00Z, 2.57, 2.64, 2.31, 2.57, 2.57, 1253682
2021-12-01T05:00:00Z, 2.89, 2.95, 2.6, 2.65, 2.65, 1574131
2021-11-30T05:00:00Z, 3.25, 3.2899, 2.83, 2.87, 2.87, 1574472
2021-11-29T05:00:00Z, 3.53, 3.58, 3.25, 3.34, 3.34, 2116470
2021-11-26T05:00:00Z, 3.03, 3.43, 2.93, 3.39, 3.39, 2312319
2021-11-24T05:00:00Z, 3, 3.37, 2.96, 3.24, 3.24, 2497580
2021-11-23T05:00:00Z, 2.725, 3.05, 2.71, 2.92, 2.92, 1634566
2021-11-22T05:00:00Z, 3, 3.0463, 2.65, 2.71, 2.71, 1157198
2021-11-19T05:00:00Z, 2.98, 3.46, 2.8617, 2.967, 2.967, 1275237
2021-11-18T05:00:00Z, 3.21, 3.327, 2.84, 3.05, 3.05, 1363384
2021-11-17T05:00:00Z, 3.55, 3.58, 3.22, 3.3, 3.3, 1129089
2021-11-16T05:00:00Z, 3.66, 3.7399, 3.52, 3.63, 3.63, 803168
2021-11-15T05:00:00Z, 4.44, 4.4679, 3.58, 3.63, 3.63, 3374742
2021-11-12T05:00:00Z, 4.95, 5, 4.51, 4.58, 4.58, 1885214
2021-11-11T05:00:00Z, 5.24, 5.27, 4.75, 4.92, 4.92, 1858423
2021-11-10T05:00:00Z, 5.47, 6.25, 5.24, 5.32, 5.32, 4739830
