Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 31.24, 32.42, 31.08, 32.08, 32.08, 189069
2022-02-07T05:00:00Z, 31.17, 31.46, 30.48, 31.06, 31.06, 240382
2022-02-04T05:00:00Z, 30.19, 30.67, 29.3, 30.29, 30.29, 247611
2022-02-03T05:00:00Z, 30.88, 31.82, 30.29, 30.57, 30.57, 268376
2022-02-02T05:00:00Z, 31.96, 32.39, 30.69, 30.8, 30.8, 326906
2022-02-01T05:00:00Z, 30.6, 33.12, 30.12, 31.49, 31.49, 574638
2022-01-31T05:00:00Z, 29.98, 30.68, 29.63, 30.09, 30.09, 307609
2022-01-28T05:00:00Z, 29.18, 30.45, 28.23, 30.44, 30.44, 452047
2022-01-27T05:00:00Z, 30.4, 30.69, 28.41, 29.06, 29.06, 659885
2022-01-26T05:00:00Z, 31.85, 32.23, 30.21, 30.53, 30.53, 198698
2022-01-25T05:00:00Z, 30.21, 32.25, 29.69, 31.58, 31.58, 321865
2022-01-24T05:00:00Z, 28.53, 31.22, 28.41, 30.93, 30.93, 489139
2022-01-21T05:00:00Z, 29, 30.5, 28.95, 29.25, 29.25, 550630
2022-01-20T05:00:00Z, 31.03, 31.545, 29.56, 29.59, 29.59, 322608
2022-01-19T05:00:00Z, 30.83, 31.475, 30.15, 30.89, 30.89, 273303
2022-01-18T05:00:00Z, 31.58, 31.84, 30.34, 30.49, 30.49, 245171
2022-01-14T05:00:00Z, 32.84, 33.2, 31.2, 32.27, 32.27, 290830
2022-01-13T05:00:00Z, 32.13, 33.68, 31.97, 33.11, 33.11, 203956
2022-01-12T05:00:00Z, 33.6, 33.7, 31.6001, 31.9, 31.9, 300024
2022-01-11T05:00:00Z, 34.13, 34.13, 33.16, 33.2, 33.2, 228453
2022-01-10T05:00:00Z, 33.26, 34.06, 32.22, 34.06, 34.06, 210875
2022-01-07T05:00:00Z, 34.5, 35.17, 33.58, 33.78, 33.78, 286246
2022-01-06T05:00:00Z, 36.15, 36.131, 34.4, 34.59, 34.59, 187677
2022-01-05T05:00:00Z, 36.24, 37.215, 35.23, 35.33, 35.33, 262278
2022-01-04T05:00:00Z, 35.45, 36.3, 35.22, 36.02, 36.02, 313908
2022-01-03T05:00:00Z, 35.23, 36.11, 34.61, 35.02, 35.02, 312055
2021-12-31T05:00:00Z, 35.21, 35.68, 34.5, 34.55, 34.55, 201797
2021-12-30T05:00:00Z, 35.06, 36.17, 35, 35.35, 35.35, 324452
2021-12-29T05:00:00Z, 35.26, 35.805, 34.84, 35.06, 35.06, 170205
2021-12-28T05:00:00Z, 36.02, 36.675, 35.56, 35.7, 35.7, 182467
2021-12-27T05:00:00Z, 35.98, 36.35, 35.1653, 36.06, 36.06, 204251
2021-12-23T05:00:00Z, 36.34, 36.3311, 35.305, 36.13, 36.13, 321233
2021-12-22T05:00:00Z, 36.17, 36.52, 35.53, 35.99, 35.99, 223989
2021-12-21T05:00:00Z, 34.65, 36.475, 34.515, 36.1, 36.1, 426856
2021-12-20T05:00:00Z, 32.97, 34.48, 32.875, 33.81, 33.81, 277551
2021-12-17T05:00:00Z, 32.02, 34.78, 31.6, 34.48, 34.48, 664782
2021-12-16T05:00:00Z, 34.44, 35.08, 32.31, 32.51, 32.51, 386326
2021-12-15T05:00:00Z, 35.9, 35.98, 33.69, 34.59, 34.59, 470609
2021-12-14T05:00:00Z, 34.95, 36.38, 34.2, 35.9, 35.9, 328725
2021-12-13T05:00:00Z, 35.21, 35.64, 34.2, 35.18, 35.18, 261197
2021-12-10T05:00:00Z, 35.04, 36.34, 35.04, 35.43, 35.43, 384287
2021-12-09T05:00:00Z, 36.09, 36.96, 35.51, 36.2, 36.2, 261862
2021-12-08T05:00:00Z, 35.03, 37.18, 34.86, 36.93, 36.93, 350145
2021-12-07T05:00:00Z, 35.28, 36.02, 34.38, 34.71, 34.71, 252583
2021-12-06T05:00:00Z, 33.11, 35.54, 33.11, 34.79, 34.79, 417609
2021-12-03T05:00:00Z, 32.68, 33.17, 31.71, 32.44, 32.44, 567421
2021-12-02T05:00:00Z, 29.57, 33.51, 29.42, 33.16, 33.16, 833168
2021-12-01T05:00:00Z, 30.79, 32.53, 29.33, 29.39, 29.39, 763199
2021-11-30T05:00:00Z, 30.14, 30.68, 28.85, 29.86, 29.86, 884797
2021-11-29T05:00:00Z, 32.5, 32.6, 30.53, 30.67, 30.67, 832156
2021-11-26T05:00:00Z, 32.31, 32.1108, 30.46, 31.76, 31.76, 365466
2021-11-24T05:00:00Z, 33.44, 33.87, 32.89, 33.63, 33.63, 278482
2021-11-23T05:00:00Z, 34.4, 34.72, 33.5, 33.9, 33.9, 386444
2021-11-22T05:00:00Z, 32.66, 34.2, 32.5, 33.42, 33.42, 334718
2021-11-19T05:00:00Z, 33.03, 33.38, 32.23, 32.45, 32.45, 369643
2021-11-18T05:00:00Z, 35.08, 35.62, 33.21, 33.66, 33.66, 253632
2021-11-17T05:00:00Z, 34.61, 35.16, 34.03, 34.74, 34.74, 312572
2021-11-16T05:00:00Z, 34.39, 34.69, 33.87, 34.62, 34.62, 263605
2021-11-15T05:00:00Z, 35.22, 35.53, 34.63, 34.85, 34.85, 235154
2021-11-12T05:00:00Z, 35.44, 35.7157, 34.77, 34.99, 34.99, 335079
2021-11-11T05:00:00Z, 36.56, 36.77, 35.33, 35.66, 35.66, 280037
2021-11-10T05:00:00Z, 36.62, 37.16, 36.0015, 36.44, 36.44, 200008
2021-11-09T05:00:00Z, 36.13, 36.93, 35.7, 36.9, 36.9, 228801
2021-11-08T05:00:00Z, 37.57, 37.59, 36.17, 36.22, 36.22, 327700
2021-11-05T04:00:00Z, 35.65, 37.64, 35.42, 37.5, 37.5, 424487
2021-11-04T04:00:00Z, 35.02, 35.655, 34.38, 34.47, 34.47, 357237
