Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 2.08, 2.12, 2.0709, 2.11, 2.11, 8286
2022-02-07T05:00:00Z, 2.1, 2.13, 2.08, 2.09, 2.09, 19425
2022-02-04T05:00:00Z, 2.13, 2.18, 2.0742, 2.09, 2.09, 22578
2022-02-03T05:00:00Z, 2.16, 2.22, 2.14, 2.14, 2.14, 42084
2022-02-02T05:00:00Z, 2.27, 2.3, 2.215, 2.22, 2.22, 5674
2022-02-01T05:00:00Z, 2.19, 2.22, 2.1246, 2.21, 2.21, 29210
2022-01-31T05:00:00Z, 2.105, 2.25, 2.06, 2.19, 2.19, 12156
2022-01-28T05:00:00Z, 2.01, 2.12, 1.9741, 2.12, 2.12, 19109
2022-01-27T05:00:00Z, 2.06, 2.1048, 2, 2.05, 2.05, 17550
2022-01-26T05:00:00Z, 2.1, 2.1599, 2.07, 2.07, 2.07, 22114
2022-01-25T05:00:00Z, 2.04, 2.09, 2.0101, 2.07, 2.07, 12202
2022-01-24T05:00:00Z, 2.04, 2.08, 1.9001, 2.06, 2.06, 64109
2022-01-21T05:00:00Z, 2.18, 2.19, 2.04, 2.065, 2.065, 87662
2022-01-20T05:00:00Z, 2.23, 2.25, 2.1171, 2.21, 2.21, 12700
2022-01-19T05:00:00Z, 2.18, 2.21, 2.12, 2.19, 2.19, 35546
2022-01-18T05:00:00Z, 2.17, 2.22, 2.13, 2.18, 2.18, 22425
2022-01-14T05:00:00Z, 2.26, 2.31, 2.13, 2.19, 2.19, 59016
2022-01-13T05:00:00Z, 2.26, 2.3699, 2.2536, 2.29, 2.29, 28599
2022-01-12T05:00:00Z, 2.34, 2.4, 2.3112, 2.35, 2.35, 12903
2022-01-11T05:00:00Z, 2.17, 2.39, 2.17, 2.37, 2.37, 62893
2022-01-10T05:00:00Z, 2.24, 2.24, 2.17, 2.17, 2.17, 40898
2022-01-07T05:00:00Z, 2.21, 2.27, 2.18, 2.27, 2.27, 12225
2022-01-06T05:00:00Z, 2.21, 2.28, 2.17, 2.25, 2.25, 52513
2022-01-05T05:00:00Z, 2.22, 2.3, 2.1801, 2.21, 2.21, 33390
2022-01-04T05:00:00Z, 2.22, 2.25, 2.17, 2.24, 2.24, 18104
2022-01-03T05:00:00Z, 2.24, 2.24, 2.1526, 2.21, 2.21, 19640
2021-12-31T05:00:00Z, 2.2, 2.24, 2.1201, 2.21, 2.21, 79090
2021-12-30T05:00:00Z, 2.15, 2.2454, 2.12, 2.19, 2.19, 45999
2021-12-29T05:00:00Z, 2.24, 2.3, 2.1406, 2.15, 2.15, 64354
2021-12-28T05:00:00Z, 2.25, 2.3014, 2.2302, 2.26, 2.26, 34941
2021-12-27T05:00:00Z, 2.3, 2.3628, 2.25, 2.27, 2.27, 42042
2021-12-23T05:00:00Z, 2.36, 2.42, 2.28, 2.32, 2.32, 63415
2021-12-22T05:00:00Z, 2.36, 2.46, 2.242, 2.37, 2.37, 76813
2021-12-21T05:00:00Z, 2.25, 2.265, 2.14, 2.22, 2.22, 71264
2021-12-20T05:00:00Z, 2.28, 2.29, 2.2, 2.25, 2.25, 38714
2021-12-17T05:00:00Z, 2.3, 2.379, 2.2, 2.29, 2.29, 28598
2021-12-16T05:00:00Z, 2.39, 2.44, 2.2081, 2.28, 2.28, 20845
2021-12-15T05:00:00Z, 2.26, 2.37, 2.21, 2.22, 2.22, 76684
2021-12-14T05:00:00Z, 2.32, 2.369, 2.26, 2.27, 2.27, 24667
2021-12-13T05:00:00Z, 2.39, 2.43, 2.29, 2.32, 2.32, 60086
2021-12-10T05:00:00Z, 2.46, 2.5, 2.37, 2.4, 2.4, 20549
2021-12-09T05:00:00Z, 2.47, 2.49, 2.4101, 2.47, 2.47, 8224
2021-12-08T05:00:00Z, 2.4, 2.48, 2.38, 2.44, 2.44, 40531
2021-12-07T05:00:00Z, 2.34, 2.54, 2.34, 2.48, 2.48, 55635
2021-12-06T05:00:00Z, 2.32, 2.3599, 2.2527, 2.34, 2.34, 28859
2021-12-03T05:00:00Z, 2.37, 2.3832, 2.15, 2.31, 2.31, 81082
2021-12-02T05:00:00Z, 2.37, 2.4799, 2.35, 2.39, 2.39, 31741
2021-12-01T05:00:00Z, 2.51, 2.542, 2.3501, 2.38, 2.38, 53819
2021-11-30T05:00:00Z, 2.52, 2.5296, 2.37, 2.46, 2.46, 127188
2021-11-29T05:00:00Z, 2.56, 2.6585, 2.49, 2.5, 2.5, 132059
2021-11-26T05:00:00Z, 2.51, 2.55, 2.48, 2.55, 2.55, 40552
2021-11-24T05:00:00Z, 2.61, 2.6285, 2.53, 2.57, 2.57, 69442
2021-11-23T05:00:00Z, 2.72, 2.72, 2.54, 2.61, 2.61, 76236
2021-11-22T05:00:00Z, 2.72, 2.77, 2.58, 2.66, 2.66, 73639
2021-11-19T05:00:00Z, 2.79, 2.79, 2.72, 2.73, 2.73, 29170
2021-11-18T05:00:00Z, 2.8, 2.85, 2.7, 2.72, 2.72, 133548
2021-11-17T05:00:00Z, 2.87, 2.8985, 2.71, 2.81, 2.81, 142908
2021-11-16T05:00:00Z, 3, 3.03, 2.75, 2.81, 2.81, 302898
2021-11-15T05:00:00Z, 3.07, 3.14, 3.05, 3.1, 3.1, 75579
2021-11-12T05:00:00Z, 3.1, 3.1215, 3.03, 3.06, 3.06, 54409
2021-11-11T05:00:00Z, 3.06, 3.13, 3.05, 3.1, 3.1, 56613
2021-11-10T05:00:00Z, 3.1, 3.18, 3.05, 3.07, 3.07, 40175
2021-11-09T05:00:00Z, 3.14, 3.14, 3.06, 3.08, 3.08, 21682
2021-11-08T05:00:00Z, 3.12, 3.144, 3.07, 3.08, 3.08, 62041
2021-11-05T04:00:00Z, 3.15, 3.2099, 3.1, 3.14, 3.14, 23921
2021-11-04T04:00:00Z, 3.16, 3.2, 3.09, 3.1, 3.1, 58953
2021-11-03T04:00:00Z, 3.18, 3.22, 3.15, 3.2, 3.2, 22413
2021-11-02T04:00:00Z, 3.15, 3.21, 3.1125, 3.15, 3.15, 44406
2021-11-01T04:00:00Z, 3.19, 3.23, 3.101, 3.15, 3.15, 34053
2021-10-29T04:00:00Z, 3.139, 3.18, 3.12, 3.17, 3.17, 37720
2021-10-28T04:00:00Z, 3.08, 3.13, 3.07, 3.12, 3.12, 20743
2021-10-27T04:00:00Z, 3.08, 3.1079, 3.04, 3.07, 3.07, 33877
2021-10-26T04:00:00Z, 3.15, 3.1699, 3.05, 3.09, 3.09, 40629
2021-10-25T04:00:00Z, 3.13, 3.158, 3.08, 3.11, 3.11, 48914
2021-10-22T04:00:00Z, 3.15, 3.18, 3.05, 3.05, 3.05, 57854
2021-10-21T04:00:00Z, 3.21, 3.24, 3.1302, 3.2, 3.2, 49788
2021-10-20T04:00:00Z, 3.15, 3.21, 3.12, 3.19, 3.19, 45088
2021-10-19T04:00:00Z, 3.22, 3.2599, 3.14, 3.15, 3.15, 41089
2021-10-18T04:00:00Z, 3.22, 3.24, 3.16, 3.19, 3.19, 21816
2021-10-15T04:00:00Z, 3.25, 3.2799, 3.22, 3.23, 3.23, 21265
2021-10-14T04:00:00Z, 3.281, 3.3155, 3.2214, 3.23, 3.23, 37096
2021-10-13T04:00:00Z, 3.25, 3.34, 3.13, 3.3, 3.3, 83984
2021-10-12T04:00:00Z, 3.17, 3.25, 3.12, 3.19, 3.19, 37184
2021-10-11T04:00:00Z, 3.322, 3.3699, 3.15, 3.18, 3.18, 105812
2021-10-08T04:00:00Z, 3.442, 3.47, 3.34, 3.36, 3.36, 27142
2021-10-07T04:00:00Z, 3.4, 3.41, 3.33, 3.36, 3.36, 46307
2021-10-06T04:00:00Z, 3.36, 3.43, 3.33, 3.37, 3.37, 40816
2021-10-05T04:00:00Z, 3.45, 3.51, 3.38, 3.4, 3.4, 65471
2021-10-04T04:00:00Z, 3.51, 3.55, 3.4, 3.48, 3.48, 107614
2021-10-01T04:00:00Z, 3.45, 3.7, 3.4001, 3.56, 3.56, 269903
2021-09-30T04:00:00Z, 3.5, 3.55, 3.3954, 3.52, 3.52, 92260
2021-09-29T04:00:00Z, 3.55, 3.59, 3.33, 3.41, 3.41, 89205
2021-09-28T04:00:00Z, 3.6, 3.62, 3.5, 3.55, 3.55, 116923
2021-09-27T04:00:00Z, 3.46, 3.65, 3.4, 3.62, 3.62, 188327
2021-09-24T04:00:00Z, 3.45, 3.56, 3.3579, 3.51, 3.51, 193168
2021-09-23T04:00:00Z, 3.37, 3.49, 3.32, 3.45, 3.45, 351462
2021-09-22T04:00:00Z, 3.31, 3.43, 3.18, 3.41, 3.41, 782693
2021-09-21T04:00:00Z, 3.35, 3.8, 3.18, 3.54, 3.54, 23249099
2021-09-20T04:00:00Z, 3.09, 3.1, 3.02, 3.03, 3.03, 55186
2021-09-17T04:00:00Z, 3.25, 3.2334, 3.185, 3.23, 3.23, 31159
2021-09-16T04:00:00Z, 3.2, 3.33, 3.12, 3.26, 3.26, 98103
2021-09-15T04:00:00Z, 3.1, 3.245, 3.0792, 3.22, 3.22, 64143
2021-09-14T04:00:00Z, 3.097, 3.16, 3.07, 3.09, 3.09, 32718
2021-09-13T04:00:00Z, 3.07, 3.13, 3.0201, 3.07, 3.07, 86351
2021-09-10T04:00:00Z, 3.2, 3.25, 3.11, 3.13, 3.13, 56739
2021-09-09T04:00:00Z, 3.24, 3.37, 3.15, 3.19, 3.19, 140185
2021-09-08T04:00:00Z, 3.22, 3.28, 3.15, 3.15, 3.15, 26113
2021-09-07T04:00:00Z, 3.32, 3.3499, 3.23, 3.27, 3.27, 31898
2021-09-03T04:00:00Z, 3.3, 3.34, 3.25, 3.27, 3.27, 41270
2021-09-02T04:00:00Z, 3.2, 3.37, 3.16, 3.34, 3.34, 114794
2021-09-01T04:00:00Z, 3.17, 3.2, 3.1494, 3.16, 3.16, 13233
2021-08-31T04:00:00Z, 3.16, 3.24, 3.12, 3.16, 3.16, 30585
2021-08-30T04:00:00Z, 3.181, 3.2199, 3.11, 3.15, 3.15, 38410
2021-08-27T04:00:00Z, 3.28, 3.2922, 3.18, 3.21, 3.21, 49099
2021-08-26T04:00:00Z, 3.22, 3.29, 3.2, 3.26, 3.26, 33624
2021-08-25T04:00:00Z, 3.15, 3.24, 3.11, 3.18, 3.18, 61944
2021-08-24T04:00:00Z, 3.08, 3.1302, 3.0601, 3.09, 3.09, 26088
2021-08-23T04:00:00Z, 3, 3.1, 2.95, 3.06, 3.06, 50146
2021-08-20T04:00:00Z, 2.91, 2.97, 2.86, 2.94, 2.94, 50003
2021-08-19T04:00:00Z, 2.99, 3.15, 2.87, 2.95, 2.95, 71856
2021-08-18T04:00:00Z, 2.88, 3.03, 2.85, 3, 3, 92372
2021-08-17T04:00:00Z, 2.84, 2.91, 2.8, 2.88, 2.88, 168847
2021-08-16T04:00:00Z, 2.96, 3.17, 2.89, 3.05, 3.05, 134068
2021-08-13T04:00:00Z, 3.22, 3.27, 3.11, 3.11, 3.11, 64179
2021-08-12T04:00:00Z, 3.24, 3.29, 3.2, 3.21, 3.21, 37197
2021-08-11T04:00:00Z, 3.36, 3.36, 3.22, 3.3, 3.3, 34192
2021-08-10T04:00:00Z, 3.31, 3.47, 3.28, 3.36, 3.36, 80322
2021-08-09T04:00:00Z, 3.29, 3.35, 3.2708, 3.31, 3.31, 13648
2021-08-06T04:00:00Z, 3.21, 3.39, 3.11, 3.34, 3.34, 48116
2021-08-05T04:00:00Z, 3.17, 3.21, 3.16, 3.19, 3.19, 12487
2021-08-04T04:00:00Z, 3.18, 3.23, 3.1601, 3.18, 3.18, 20077
2021-08-03T04:00:00Z, 3.21, 3.32, 3.12, 3.18, 3.18, 48544
2021-08-02T04:00:00Z, 3.22, 3.3, 3.17, 3.3, 3.3, 45884
2021-07-30T04:00:00Z, 3.21, 3.35, 3.18, 3.2, 3.2, 30274
2021-07-29T04:00:00Z, 3.22, 3.3, 3.17, 3.21, 3.21, 75689
2021-07-28T04:00:00Z, 3.3, 3.36, 3.2, 3.23, 3.23, 144548
2021-07-27T04:00:00Z, 3.26, 3.31, 3.1, 3.21, 3.21, 82470
2021-07-26T04:00:00Z, 3.31, 3.4404, 3.2587, 3.34, 3.34, 84118
2021-07-23T04:00:00Z, 3.51, 3.56, 3.2317, 3.27, 3.27, 72179
