Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 1.96, 2.06, 1.9, 2.06, 2.06, 25116
2022-02-07T05:00:00Z, 2.1, 2.155, 1.9992, 2.01, 2.01, 57442
2022-02-04T05:00:00Z, 2.18, 2.28, 2.05, 2.12, 2.12, 84478
2022-02-03T05:00:00Z, 2.06, 2.16, 2.06, 2.16, 2.16, 39858
2022-02-02T05:00:00Z, 2.29, 2.3, 2.13, 2.145, 2.145, 83551
2022-02-01T05:00:00Z, 2.09, 2.3288, 2.08, 2.24, 2.24, 143611
2022-01-31T05:00:00Z, 1.95, 2.11, 1.95, 2.08, 2.08, 88953
2022-01-28T05:00:00Z, 1.95, 2.15, 1.9, 1.95, 1.95, 81445
2022-01-27T05:00:00Z, 2.25, 2.3991, 1.96, 1.98, 1.98, 466626
2022-01-26T05:00:00Z, 2.24, 2.27, 2.05, 2.05, 2.05, 58524
2022-01-25T05:00:00Z, 2.35, 2.49, 2.2075, 2.24, 2.24, 37824
2022-01-24T05:00:00Z, 2.02, 2.38, 1.96, 2.35, 2.35, 293261
2022-01-21T05:00:00Z, 2.43, 2.4661, 2.13, 2.185, 2.185, 226619
2022-01-20T05:00:00Z, 2.49, 2.6495, 2.4, 2.46, 2.46, 168044
2022-01-19T05:00:00Z, 2.57, 2.6637, 2.43, 2.43, 2.43, 130886
2022-01-18T05:00:00Z, 2.64, 2.64, 2.43, 2.55, 2.55, 186393
2022-01-14T05:00:00Z, 2.73, 2.7872, 2.4502, 2.58, 2.58, 277672
2022-01-13T05:00:00Z, 3.1, 3.11, 2.73, 2.75, 2.75, 315231
2022-01-12T05:00:00Z, 3.15, 3.1851, 2.91, 2.99, 2.99, 320646
2022-01-11T05:00:00Z, 2.89, 3.1696, 2.64, 3.11, 3.11, 892736
2022-01-10T05:00:00Z, 3.09, 3.13, 2.78, 2.88, 2.88, 448380
2022-01-07T05:00:00Z, 3, 3.24, 2.8583, 3.18, 3.18, 432119
2022-01-06T05:00:00Z, 3.26, 3.47, 2.92, 3.03, 3.03, 328059
2022-01-05T05:00:00Z, 3.52, 3.71, 3.21, 3.34, 3.34, 621729
2022-01-04T05:00:00Z, 3.51, 3.82, 3.33, 3.41, 3.41, 560519
2022-01-03T05:00:00Z, 3.45, 3.75, 3.11, 3.58, 3.58, 1092282
2021-12-31T05:00:00Z, 3.13, 3.98, 3.03, 3.57, 3.57, 2112343
2021-12-30T05:00:00Z, 3.09, 3.38, 3.05, 3.2, 3.2, 640494
2021-12-29T05:00:00Z, 3.07, 3.15, 2.91, 3.03, 3.03, 344404
2021-12-28T05:00:00Z, 3.13, 3.2, 2.8659, 3.07, 3.07, 377252
2021-12-27T05:00:00Z, 2.8, 3.15, 2.63, 3.06, 3.06, 451942
2021-12-23T05:00:00Z, 2.54, 2.89, 2.549, 2.77, 2.77, 384655
2021-12-22T05:00:00Z, 2.4, 2.58, 2.23, 2.54, 2.54, 274389
2021-12-21T05:00:00Z, 2.36, 2.56, 2.3158, 2.35, 2.35, 87156
2021-12-20T05:00:00Z, 2.85, 2.895, 2.33, 2.42, 2.42, 248319
2021-12-17T05:00:00Z, 2.82, 2.905, 2.61, 2.74, 2.74, 218336
2021-12-16T05:00:00Z, 2.98, 3.17, 2.85, 2.94, 2.94, 78424
2021-12-15T05:00:00Z, 2.97, 3.06, 2.88, 2.98, 2.98, 59771
2021-12-14T05:00:00Z, 3.08, 3.18, 2.83, 2.94, 2.94, 114226
2021-12-13T05:00:00Z, 3.06, 3.25, 2.8, 2.94, 2.94, 102175
2021-12-10T05:00:00Z, 3.1, 3.4, 2.96, 3.07, 3.07, 65894
2021-12-09T05:00:00Z, 3.12, 3.27, 3.05, 3.1, 3.1, 62822
2021-12-08T05:00:00Z, 3.44, 3.44, 3.11, 3.31, 3.31, 96769
2021-12-07T05:00:00Z, 3.15, 3.49, 3.1, 3.39, 3.39, 153604
2021-12-06T05:00:00Z, 3.05, 3.38, 2.8, 3.3, 3.3, 282843
2021-12-03T05:00:00Z, 2.98, 3.07, 2.9, 3.05, 3.05, 116051
2021-12-02T05:00:00Z, 3.15, 3.205, 2.935, 2.94, 2.94, 99993
2021-12-01T05:00:00Z, 3.15, 3.41, 3.09, 3.15, 3.15, 91214
2021-11-30T05:00:00Z, 3.31, 3.42, 3.02, 3.06, 3.06, 169924
2021-11-29T05:00:00Z, 3.51, 3.7, 3.4101, 3.42, 3.42, 107148
2021-11-26T05:00:00Z, 3.39, 3.64, 3.3, 3.51, 3.51, 141468
2021-11-24T05:00:00Z, 3.01, 3.6, 3, 3.59, 3.59, 368330
2021-11-23T05:00:00Z, 3.03, 3.25, 2.9132, 3.15, 3.15, 128720
2021-11-22T05:00:00Z, 3.11, 3.35, 2.88, 3.13, 3.13, 358904
2021-11-19T05:00:00Z, 3, 3.89, 2.88, 3.29, 3.29, 2335093
2021-11-18T05:00:00Z, 3.05, 3.14, 2.85, 2.88, 2.88, 183865
2021-11-17T05:00:00Z, 3.06, 3.38, 2.81, 3.16, 3.16, 760719
2021-11-16T05:00:00Z, 3.95, 3.9799, 3.13, 3.23, 3.23, 558693
2021-11-15T05:00:00Z, 4.18, 4.19, 3.61, 3.84, 3.84, 495708
2021-11-12T05:00:00Z, 4.01, 4.45, 3.88, 4.14, 4.14, 645637
2021-11-11T05:00:00Z, 4.24, 4.65, 3.73, 4.115, 4.115, 2079183
2021-11-10T05:00:00Z, 4.99, 5.8, 3.65, 3.75, 3.75, 7255426
