Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 1.77, 1.81, 1.75, 1.79, 1.79, 71500
2022-02-07T05:00:00Z, 1.77, 1.8024, 1.75, 1.79, 1.79, 141713
2022-02-04T05:00:00Z, 1.725, 1.77, 1.69, 1.76, 1.76, 155811
2022-02-03T05:00:00Z, 1.77, 1.78, 1.71, 1.73, 1.73, 135055
2022-02-02T05:00:00Z, 1.92, 1.92, 1.77, 1.8, 1.8, 104499
2022-02-01T05:00:00Z, 1.85, 1.96, 1.81, 1.9, 1.9, 341201
2022-01-31T05:00:00Z, 1.79, 1.8688, 1.73, 1.82, 1.82, 476624
2022-01-28T05:00:00Z, 1.68, 1.76, 1.67, 1.73, 1.73, 151540
2022-01-27T05:00:00Z, 1.83, 1.83, 1.67, 1.68, 1.68, 277783
2022-01-26T05:00:00Z, 1.85, 1.88, 1.8, 1.81, 1.81, 313675
2022-01-25T05:00:00Z, 1.8, 1.8359, 1.77, 1.82, 1.82, 238965
2022-01-24T05:00:00Z, 1.78, 1.8464, 1.7, 1.82, 1.82, 686755
2022-01-21T05:00:00Z, 1.91, 1.95, 1.7801, 1.83, 1.83, 429532
2022-01-20T05:00:00Z, 2.05, 2.07, 1.89, 1.89, 1.89, 659152
2022-01-19T05:00:00Z, 2.16, 2.1601, 1.96, 2.01, 2.01, 797515
2022-01-18T05:00:00Z, 2.1, 2.19, 2, 2.18, 2.18, 635565
2022-01-14T05:00:00Z, 1.98, 2.01, 1.93, 2.01, 2.01, 191783
2022-01-13T05:00:00Z, 2.02, 2.03, 1.96, 1.96, 1.96, 248564
2022-01-12T05:00:00Z, 2.04, 2.04, 1.959, 2, 2, 194437
2022-01-11T05:00:00Z, 2.04, 2.0699, 2, 2.03, 2.03, 211712
2022-01-10T05:00:00Z, 2.03, 2.05, 2, 2.04, 2.04, 229659
2022-01-07T05:00:00Z, 2.06, 2.11, 2.04, 2.05, 2.05, 189985
2022-01-06T05:00:00Z, 2.1, 2.12, 2.012, 2.09, 2.09, 183873
2022-01-05T05:00:00Z, 2.14, 2.1486, 2.07, 2.1, 2.1, 139454
2022-01-04T05:00:00Z, 2.14, 2.17, 2.09, 2.14, 2.14, 252245
2022-01-03T05:00:00Z, 2.1, 2.12, 2.02, 2.08, 2.08, 322212
2021-12-31T05:00:00Z, 1.99, 2.04, 1.98, 2.04, 2.04, 621010
2021-12-30T05:00:00Z, 2.08, 2.12, 1.9501, 1.98, 1.98, 901766
2021-12-29T05:00:00Z, 2.17, 2.17, 2.06, 2.09, 2.09, 548114
2021-12-28T05:00:00Z, 2.12, 2.2, 2.06, 2.14, 2.14, 549620
2021-12-27T05:00:00Z, 2.23, 2.26, 2.0938, 2.11, 2.11, 527791
2021-12-23T05:00:00Z, 2.21, 2.24, 2.15, 2.19, 2.19, 527971
2021-12-22T05:00:00Z, 2.24, 2.29, 2.16, 2.24, 2.24, 242480
2021-12-21T05:00:00Z, 2.28, 2.29, 2.16, 2.18, 2.18, 333908
2021-12-20T05:00:00Z, 2.29, 2.39, 2.18, 2.23, 2.23, 371115
2021-12-17T05:00:00Z, 2.2, 2.34, 2.14, 2.31, 2.31, 356966
2021-12-16T05:00:00Z, 2.44, 2.45, 2.09, 2.18, 2.18, 796842
2021-12-15T05:00:00Z, 2.45, 2.5, 2.2, 2.36, 2.36, 912455
2021-12-14T05:00:00Z, 2.44, 2.57, 2.4, 2.45, 2.45, 395003
2021-12-13T05:00:00Z, 2.62, 2.668, 2.4, 2.5, 2.5, 871157
2021-12-10T05:00:00Z, 2.31, 3.02, 2.25, 2.68, 2.68, 5057935
2021-12-09T05:00:00Z, 2.33, 2.41, 2.26, 2.27, 2.27, 257917
2021-12-08T05:00:00Z, 2.33, 2.3999, 2.3, 2.35, 2.35, 189678
2021-12-07T05:00:00Z, 2.2, 2.39, 2.15, 2.34, 2.34, 510051
2021-12-06T05:00:00Z, 2.21, 2.25, 2.05, 2.14, 2.14, 721259
2021-12-03T05:00:00Z, 2.35, 2.376, 2.15, 2.22, 2.22, 703123
2021-12-02T05:00:00Z, 2.58, 2.63, 2.29, 2.32, 2.32, 1281645
2021-12-01T05:00:00Z, 2.65, 2.75, 2.58, 2.58, 2.58, 341993
2021-11-30T05:00:00Z, 2.58, 2.7, 2.48, 2.63, 2.63, 563764
2021-11-29T05:00:00Z, 2.6, 2.61, 2.51, 2.57, 2.57, 328419
2021-11-26T05:00:00Z, 2.6, 2.66, 2.55, 2.6, 2.6, 256423
2021-11-24T05:00:00Z, 2.62, 2.72, 2.58, 2.64, 2.64, 431394
2021-11-23T05:00:00Z, 2.66, 2.75, 2.57, 2.66, 2.66, 521395
2021-11-22T05:00:00Z, 2.68, 2.72, 2.64, 2.7, 2.7, 223879
2021-11-19T05:00:00Z, 2.69, 2.74, 2.6401, 2.66, 2.66, 206913
2021-11-18T05:00:00Z, 2.79, 2.81, 2.65, 2.66, 2.66, 451522
2021-11-17T05:00:00Z, 2.86, 2.87, 2.73, 2.77, 2.77, 367089
2021-11-16T05:00:00Z, 2.92, 2.96, 2.81, 2.85, 2.85, 260986
2021-11-15T05:00:00Z, 2.8, 2.91, 2.8, 2.86, 2.86, 207272
2021-11-12T05:00:00Z, 2.79, 2.87, 2.76, 2.82, 2.82, 229286
2021-11-11T05:00:00Z, 2.79, 2.85, 2.76, 2.81, 2.81, 264780
2021-11-10T05:00:00Z, 2.76, 2.8, 2.75, 2.76, 2.76, 231441
2021-11-09T05:00:00Z, 2.78, 2.86, 2.7301, 2.84, 2.84, 211893
2021-11-08T05:00:00Z, 2.78, 2.8, 2.7051, 2.8, 2.8, 342756
2021-11-05T04:00:00Z, 2.8, 2.82, 2.72, 2.75, 2.75, 283728
2021-11-04T04:00:00Z, 2.82, 2.855, 2.7901, 2.82, 2.82, 207947
2021-11-03T04:00:00Z, 2.81, 2.84, 2.72, 2.82, 2.82, 246893
