Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 53.48, 53.54, 53.46, 53.5, 53.5, 9911235
2022-02-07T05:00:00Z, 53.61, 53.685, 53.5303, 53.66, 53.66, 9001189
2022-02-04T05:00:00Z, 53.83, 53.85, 53.72, 53.8, 53.8, 2546242
2022-02-03T05:00:00Z, 54.06, 54.07, 53.965, 54, 54, 2634268
2022-02-02T05:00:00Z, 54.33, 54.42, 54.32, 54.35, 54.35, 2386707
2022-02-01T05:00:00Z, 54.39, 54.4, 54.23, 54.31, 54.31, 3599005
2022-01-31T05:00:00Z, 54.4, 54.45, 54.37, 54.4, 54.4, 3310488
2022-01-28T05:00:00Z, 54.5, 54.62, 54.5, 54.6, 54.6, 2072558
2022-01-27T05:00:00Z, 54.56, 54.62, 54.55, 54.56, 54.56, 2249955
2022-01-26T05:00:00Z, 54.6, 54.63, 54.435, 54.44, 54.44, 2951377
2022-01-25T05:00:00Z, 54.71, 54.7456, 54.63, 54.63, 54.63, 2405204
2022-01-24T05:00:00Z, 54.78, 54.82, 54.7401, 54.77, 54.77, 2655461
2022-01-21T05:00:00Z, 54.78, 54.82, 54.74, 54.76, 54.76, 2824252
2022-01-20T05:00:00Z, 54.655, 54.66, 54.62, 54.65, 54.65, 2093340
2022-01-19T05:00:00Z, 54.5, 54.53, 54.47, 54.5, 54.5, 2620936
2022-01-18T05:00:00Z, 54.565, 54.61, 54.46, 54.5, 54.5, 4264134
2022-01-14T05:00:00Z, 54.86, 54.87, 54.74, 54.77, 54.77, 2144479
2022-01-13T05:00:00Z, 54.87, 54.93, 54.835, 54.905, 54.905, 3768518
2022-01-12T05:00:00Z, 54.87, 54.89, 54.795, 54.82, 54.82, 7902817
2022-01-11T05:00:00Z, 54.68, 54.75, 54.66, 54.75, 54.75, 3155135
2022-01-10T05:00:00Z, 54.67, 54.75, 54.65, 54.73, 54.73, 2873281
2022-01-07T05:00:00Z, 54.81, 54.82, 54.7048, 54.78, 54.78, 2500648
2022-01-06T05:00:00Z, 54.78, 54.79, 54.73, 54.77, 54.77, 3089286
2022-01-05T05:00:00Z, 54.94, 54.98, 54.87, 54.89, 54.89, 3583662
2022-01-04T05:00:00Z, 55, 55.035, 54.94, 55, 55, 3096607
2022-01-03T05:00:00Z, 55.03, 55.08, 54.98, 54.99, 54.99, 3859578
2021-12-31T05:00:00Z, 55.17, 55.21, 55.15, 55.16, 55.16, 2121498
2021-12-30T05:00:00Z, 55.17, 55.17, 55.13, 55.16, 55.16, 3391578
2021-12-29T05:00:00Z, 55.16, 55.17, 55.06, 55.11, 55.11, 11857367
2021-12-28T05:00:00Z, 55.33, 55.35, 55.31, 55.33, 55.33, 3237258
2021-12-27T05:00:00Z, 55.29, 55.35, 55.29, 55.35, 55.35, 4312632
2021-12-23T05:00:00Z, 55.36, 55.37, 55.28, 55.36, 55.36, 2637848
2021-12-22T05:00:00Z, 57.06, 57.1, 57.03, 57.1, 57.1, 2465372
2021-12-21T05:00:00Z, 57.3, 57.3, 57.03, 57.06, 57.06, 2167353
2021-12-20T05:00:00Z, 57.38, 57.4, 57.31, 57.35, 57.35, 2547073
2021-12-17T05:00:00Z, 57.39, 57.42, 57.36, 57.4, 57.4, 1859604
2021-12-16T05:00:00Z, 57.22, 57.36, 57.21, 57.24, 57.24, 2123252
2021-12-15T05:00:00Z, 57.29, 57.385, 57.265, 57.33, 57.33, 2451682
2021-12-14T05:00:00Z, 57.4, 57.42, 57.35, 57.415, 57.415, 2266877
2021-12-13T05:00:00Z, 57.37, 57.46, 57.36, 57.44, 57.44, 1947556
2021-12-10T05:00:00Z, 57.32, 57.35, 57.28, 57.31, 57.31, 2045664
2021-12-09T05:00:00Z, 57.31, 57.34, 57.2, 57.31, 57.31, 4010461
2021-12-08T05:00:00Z, 57.21, 57.25, 57.15, 57.15, 57.15, 1952362
2021-12-07T05:00:00Z, 57.27, 57.34, 57.21, 57.21, 57.21, 2167637
2021-12-06T05:00:00Z, 57.39, 57.42, 57.34, 57.34, 57.34, 2875146
2021-12-03T05:00:00Z, 57.24, 57.42, 57.195, 57.37, 57.37, 1781654
2021-12-02T05:00:00Z, 57.38, 57.39, 57.25, 57.28, 57.28, 2125518
2021-12-01T05:00:00Z, 57.14, 57.25, 57.085, 57.25, 57.25, 3081557
2021-11-30T05:00:00Z, 57.23, 57.31, 57.12, 57.23, 57.23, 2770888
2021-11-29T05:00:00Z, 56.97, 57.08, 56.97, 57.06, 57.06, 2451234
2021-11-26T05:00:00Z, 57.01, 57.189, 56.99, 57.15, 57.15, 1487841
2021-11-24T05:00:00Z, 56.69, 56.81, 56.66, 56.81, 56.81, 1671548
2021-11-23T05:00:00Z, 56.76, 56.79, 56.72, 56.74, 56.74, 2430265
2021-11-22T05:00:00Z, 57.13, 57.155, 57.01, 57.04, 57.04, 2091674
2021-11-19T05:00:00Z, 57.15, 57.24, 57.15, 57.22, 57.22, 2539361
2021-11-18T05:00:00Z, 56.97, 57.04, 56.96, 57, 57, 2110306
2021-11-17T05:00:00Z, 56.82, 56.96, 56.81, 56.95, 56.95, 2595544
2021-11-16T05:00:00Z, 56.86, 56.92, 56.85, 56.86, 56.86, 2366710
2021-11-15T05:00:00Z, 57.03, 57.03, 56.91, 56.94, 56.94, 2103368
2021-11-12T05:00:00Z, 56.99, 57.03, 56.95, 57.01, 57.01, 1692369
2021-11-11T05:00:00Z, 56.95, 56.98, 56.92, 56.92, 56.92, 1578396
2021-11-10T05:00:00Z, 57.19, 57.22, 56.97, 57, 57, 2518153
2021-11-09T05:00:00Z, 57.24, 57.31, 57.23, 57.3, 57.3, 2205373
2021-11-08T05:00:00Z, 57.16, 57.17, 57.03, 57.04, 57.04, 1994824
2021-11-05T04:00:00Z, 57.11, 57.23, 57.1, 57.22, 57.22, 2180751
2021-11-04T04:00:00Z, 56.87, 57.01, 56.85, 56.985, 56.985, 2691050
2021-11-03T04:00:00Z, 56.8, 56.82, 56.67, 56.77, 56.77, 2373529
2021-11-02T04:00:00Z, 56.75, 56.84, 56.74, 56.83, 56.83, 2871671
2021-11-01T04:00:00Z, 56.51, 56.63, 56.48, 56.62, 56.62, 3044444
2021-10-29T04:00:00Z, 56.6, 56.71, 56.59, 56.67, 56.67, 2831587
2021-10-28T04:00:00Z, 56.86, 56.935, 56.79, 56.85, 56.85, 2605045
2021-10-27T04:00:00Z, 56.945, 57.01, 56.84, 56.98, 56.98, 2060164
2021-10-26T04:00:00Z, 56.68, 56.73, 56.65, 56.72, 56.72, 3717980
2021-10-25T04:00:00Z, 56.63, 56.69, 56.62, 56.685, 56.685, 2466536
2021-10-22T04:00:00Z, 56.56, 56.66, 56.54, 56.6546, 56.6546, 1847266
2021-10-21T04:00:00Z, 56.6, 56.62, 56.51, 56.54, 56.54, 2043240
2021-10-20T04:00:00Z, 56.67, 56.7, 56.61, 56.63, 56.63, 2403433
2021-10-19T04:00:00Z, 56.67, 56.68, 56.61, 56.64, 56.64, 2621305
2021-10-18T04:00:00Z, 56.68, 56.74, 56.64, 56.69, 56.69, 2942147
2021-10-15T04:00:00Z, 56.84, 56.87, 56.8, 56.84, 56.84, 2945872
2021-10-14T04:00:00Z, 56.91, 56.98, 56.88, 56.96, 56.96, 1765479
2021-10-13T04:00:00Z, 56.77, 56.81, 56.735, 56.78, 56.78, 2098967
2021-10-12T04:00:00Z, 56.56, 56.63, 56.55, 56.57, 56.57, 1920437
2021-10-11T04:00:00Z, 56.59, 56.62, 56.57, 56.59, 56.59, 1375740
2021-10-08T04:00:00Z, 56.75, 56.75, 56.645, 56.66, 56.66, 1280003
2021-10-07T04:00:00Z, 56.85, 56.85, 56.75, 56.75, 56.75, 2141706
2021-10-06T04:00:00Z, 56.81, 56.86, 56.7628, 56.85, 56.85, 3148289
2021-10-05T04:00:00Z, 56.95, 56.95, 56.755, 56.77, 56.77, 3710675
2021-10-04T04:00:00Z, 56.96, 57, 56.91, 56.95, 56.95, 1782143
2021-10-01T04:00:00Z, 57.09, 57.09, 56.98, 57.02, 57.02, 2433875
2021-09-30T04:00:00Z, 56.95, 57, 56.92, 56.96, 56.96, 2512996
2021-09-29T04:00:00Z, 57.07, 57.12, 56.9832, 57.03, 57.03, 1729533
2021-09-28T04:00:00Z, 56.98, 57.03, 56.9099, 56.99, 56.99, 2221303
2021-09-27T04:00:00Z, 57.07, 57.12, 57.05, 57.11, 57.11, 2021959
2021-09-24T04:00:00Z, 57.16, 57.165, 57.11, 57.14, 57.14, 1834557
2021-09-23T04:00:00Z, 57.44, 57.49, 57.25, 57.28, 57.28, 1549410
2021-09-22T04:00:00Z, 57.48, 57.5465, 57.425, 57.51, 57.51, 2151546
2021-09-21T04:00:00Z, 57.5, 57.52, 57.44, 57.47, 57.47, 1737504
2021-09-20T04:00:00Z, 57.44, 57.5, 57.42, 57.5, 57.5, 2074141
2021-09-17T04:00:00Z, 57.29, 57.34, 57.28, 57.34, 57.34, 2105201
2021-09-16T04:00:00Z, 57.39, 57.47, 57.37, 57.4, 57.4, 2117706
2021-09-15T04:00:00Z, 57.56, 57.57, 57.47, 57.49, 57.49, 2156968
2021-09-14T04:00:00Z, 57.51, 57.61, 57.5, 57.61, 57.61, 2526793
2021-09-13T04:00:00Z, 57.5, 57.55, 57.49, 57.54, 57.54, 2786541
2021-09-10T04:00:00Z, 57.57, 57.57, 57.49, 57.52, 57.52, 2403335
2021-09-09T04:00:00Z, 57.55, 57.67, 57.52, 57.66, 57.66, 2268918
2021-09-08T04:00:00Z, 57.49, 57.51, 57.455, 57.49, 57.49, 1686705
2021-09-07T04:00:00Z, 57.45, 57.48, 57.405, 57.43, 57.43, 3471214
2021-09-03T04:00:00Z, 57.58, 57.61, 57.55, 57.61, 57.61, 1786721
2021-09-02T04:00:00Z, 57.7, 57.72, 57.661, 57.72, 57.72, 3586684
2021-09-01T04:00:00Z, 57.59, 57.635, 57.58, 57.6, 57.6, 2096083
2021-08-31T04:00:00Z, 57.73, 57.73, 57.56, 57.62, 57.62, 2878897
2021-08-30T04:00:00Z, 57.81, 57.88, 57.765, 57.88, 57.88, 1929304
2021-08-27T04:00:00Z, 57.725, 57.82, 57.7, 57.82, 57.82, 1747667
2021-08-26T04:00:00Z, 57.71, 57.74, 57.68, 57.74, 57.74, 1683345
2021-08-25T04:00:00Z, 57.83, 57.85, 57.69, 57.72, 57.72, 2256167
2021-08-24T04:00:00Z, 57.95, 57.97, 57.91, 57.95, 57.95, 2388702
2021-08-23T04:00:00Z, 57.95, 57.98, 57.9212, 57.94, 57.94, 1556347
2021-08-20T04:00:00Z, 57.99, 58.03, 57.9632, 58, 58, 2496092
2021-08-19T04:00:00Z, 57.97, 58.02, 57.92, 58.02, 58.02, 2278574
2021-08-18T04:00:00Z, 57.96, 57.99, 57.92, 57.95, 57.95, 1667994
2021-08-17T04:00:00Z, 57.92, 57.98, 57.91, 57.96, 57.96, 1947963
2021-08-16T04:00:00Z, 57.96, 58.0195, 57.92, 57.94, 57.94, 1988326
2021-08-13T04:00:00Z, 57.87, 57.95, 57.86, 57.94, 57.94, 1575643
2021-08-12T04:00:00Z, 57.87, 57.93, 57.86, 57.91, 57.91, 1662103
2021-08-11T04:00:00Z, 57.87, 57.95, 57.84, 57.9, 57.9, 1944036
2021-08-10T04:00:00Z, 57.96, 57.97, 57.87, 57.89, 57.89, 1779240
2021-08-09T04:00:00Z, 57.92, 57.94, 57.853, 57.88, 57.88, 1854939
2021-08-06T04:00:00Z, 57.88, 57.91, 57.84, 57.86, 57.86, 2052564
2021-08-05T04:00:00Z, 58.081, 58.09, 58.0021, 58.06, 58.06, 1718287
2021-08-04T04:00:00Z, 58.05, 58.084, 57.945, 58.03, 58.03, 2089259
2021-08-03T04:00:00Z, 57.98, 58.02, 57.97, 58, 58, 2500351
2021-08-02T04:00:00Z, 57.91, 57.99, 57.89, 57.94, 57.94, 2495735
2021-07-30T04:00:00Z, 57.88, 57.91, 57.87, 57.91, 57.91, 1732314
2021-07-29T04:00:00Z, 57.83, 57.86, 57.8, 57.85, 57.85, 1600773
2021-07-28T04:00:00Z, 57.81, 57.89, 57.81, 57.86, 57.86, 2800434
2021-07-27T04:00:00Z, 57.86, 57.87, 57.81, 57.84, 57.84, 3988128
2021-07-26T04:00:00Z, 57.83, 57.835, 57.76, 57.76, 57.76, 3988281
2021-07-23T04:00:00Z, 57.76, 57.82, 57.7623, 57.81, 57.81, 2828648
2021-07-22T04:00:00Z, 57.68, 57.78, 57.6712, 57.77, 57.77, 2631519
2021-07-21T04:00:00Z, 57.71, 57.73, 57.6701, 57.71, 57.71, 4089464
2021-07-20T04:00:00Z, 57.85, 57.86, 57.7228, 57.76, 57.76, 3167153
2021-07-19T04:00:00Z, 57.74, 57.775, 57.72, 57.76, 57.76, 2328464
2021-07-16T04:00:00Z, 57.59, 57.64, 57.545, 57.62, 57.62, 2581006
2021-07-15T04:00:00Z, 57.55, 57.57, 57.48, 57.55, 57.55, 2716997
2021-07-14T04:00:00Z, 57.4, 57.47, 57.38, 57.45, 57.45, 3098231
2021-07-13T04:00:00Z, 57.4, 57.45, 57.32, 57.35, 57.35, 10372391
