Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 10.01, 10.01, 9.99, 10.0018, 10.0018, 213844
2022-02-07T05:00:00Z, 10, 10, 9.98, 9.98, 9.98, 150545
2022-02-04T05:00:00Z, 10.01, 10.01, 10.01, 10.01, 10.01, 0
2022-02-03T05:00:00Z, 10.01, 10.01, 10.01, 10.01, 10.01, 10000
2022-02-02T05:00:00Z, 10.01, 10.01, 10.01, 10.01, 10.01, 10073
2022-02-01T05:00:00Z, 9.98, 10.01, 9.96, 10.01, 10.01, 68563
2022-01-31T05:00:00Z, 9.97, 9.97, 9.97, 9.97, 9.97, 0
2022-01-28T05:00:00Z, 9.97, 9.98, 9.97, 9.97, 9.97, 1923
2022-01-27T05:00:00Z, 9.97, 9.97, 9.97, 9.97, 9.97, 477
2022-01-26T05:00:00Z, 9.99, 10, 9.98, 10, 10, 15109
2022-01-25T05:00:00Z, 10, 10, 10, 10, 10, 2918
2022-01-24T05:00:00Z, 10, 10, 9.99, 9.99, 9.99, 15406
2022-01-21T05:00:00Z, 10.03, 10.01, 10, 10, 10, 20609
2022-01-20T05:00:00Z, 10.03, 10.03, 10, 10, 10, 894
2022-01-19T05:00:00Z, 10.01, 10.01, 10.01, 10.01, 10.01, 898
2022-01-18T05:00:00Z, 10.03, 10.03, 10.03, 10.03, 10.03, 0
2022-01-14T05:00:00Z, 10.03, 10.03, 10.03, 10.03, 10.03, 0
2022-01-13T05:00:00Z, 10.03, 10.03, 10.03, 10.03, 10.03, 0
2022-01-12T05:00:00Z, 10.03, 10.03, 10.03, 10.03, 10.03, 564
2022-01-11T05:00:00Z, 10.1, 10.1, 10.1, 10.1, 10.1, 230
2022-01-10T05:00:00Z, 10.02, 10.02, 10.02, 10.02, 10.02, 0
2022-01-07T05:00:00Z, 10.02, 10.02, 10.02, 10.02, 10.02, 0
2022-01-06T05:00:00Z, 10.02, 10.02, 10.02, 10.02, 10.02, 0
2022-01-05T05:00:00Z, 10.02, 10.02, 10.02, 10.02, 10.02, 0
2022-01-04T05:00:00Z, 10.02, 10.02, 10.02, 10.02, 10.02, 0
2022-01-03T05:00:00Z, 10, 10.025, 10, 10.02, 10.02, 3480
2021-12-31T05:00:00Z, 10.15, 10.06, 10, 10.005, 10.005, 3621
2021-12-30T05:00:00Z, 10.25, 10.25, 10.25, 10.25, 10.25, 0
2021-12-29T05:00:00Z, 10.25, 10.25, 10.25, 10.25, 10.25, 0
2021-12-28T05:00:00Z, 10.09, 10.275, 10.09, 10.25, 10.25, 836
2021-12-27T05:00:00Z, 10, 10, 10, 10, 10, 0
2021-12-23T05:00:00Z, 10, 10, 10, 10, 10, 0
2021-12-22T05:00:00Z, 10.03, 10.04, 10, 10, 10, 55307
2021-12-21T05:00:00Z, 10.05, 10.05, 10.03, 10.05, 10.05, 17435
2021-12-20T05:00:00Z, 10.05, 10.05, 10.05, 10.05, 10.05, 0
2021-12-17T05:00:00Z, 10.05, 10.05, 10.05, 10.05, 10.05, 1198
2021-12-16T05:00:00Z, 10.05, 10.05, 10.05, 10.05, 10.05, 116
2021-12-15T05:00:00Z, 10.05, 10.05, 10.03, 10.05, 10.05, 17311
2021-12-14T05:00:00Z, 10.04, 10.05, 10.02, 10.04, 10.04, 47288
2021-12-13T05:00:00Z, 10.04, 10.05, 10.03, 10.04, 10.04, 27447
2021-12-10T05:00:00Z, 10.05, 10.05, 10.04, 10.05, 10.05, 1211
2021-12-09T05:00:00Z, 10.035, 10.0412, 10.01, 10.04, 10.04, 22259
2021-12-08T05:00:00Z, 10, 10.04, 10, 10.04, 10.04, 26023
2021-12-07T05:00:00Z, 10.035, 10.05, 10, 10, 10, 169714
2021-12-06T05:00:00Z, 10.04, 10.05, 10.02, 10.03, 10.03, 399238
2021-12-03T05:00:00Z, 10.05, 10.06, 10.01, 10.03, 10.03, 15101096
