Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 3.8, 4.0474, 3.7117, 3.94, 3.94, 61814
2022-02-07T05:00:00Z, 4, 4.05, 3.84, 3.86, 3.86, 55290
2022-02-04T05:00:00Z, 3.94, 4.1, 3.9084, 3.98, 3.98, 50115
2022-02-03T05:00:00Z, 3.7, 3.96, 3.56, 3.94, 3.94, 56382
2022-02-02T05:00:00Z, 3.9, 4.0829, 3.595, 3.79, 3.79, 111716
2022-02-01T05:00:00Z, 3.55, 4.55, 3.43, 4.03, 4.03, 1480067
2022-01-31T05:00:00Z, 3.37, 3.43, 3.283, 3.39, 3.39, 20705
2022-01-28T05:00:00Z, 3.39, 3.468, 3.3, 3.31, 3.31, 19049
2022-01-27T05:00:00Z, 3.59, 3.65, 3.2801, 3.3, 3.3, 31036
2022-01-26T05:00:00Z, 3.7, 3.73, 3.585, 3.59, 3.59, 40610
2022-01-25T05:00:00Z, 3.69, 3.83, 3.4299, 3.57, 3.57, 30168
2022-01-24T05:00:00Z, 3.65, 3.67, 3.4, 3.46, 3.46, 102739
2022-01-21T05:00:00Z, 3.85, 3.9799, 3.76, 3.84, 3.84, 97124
2022-01-20T05:00:00Z, 3.89, 4.03, 3.86, 3.895, 3.895, 61160
2022-01-19T05:00:00Z, 3.93, 3.97, 3.8, 3.82, 3.82, 85075
2022-01-18T05:00:00Z, 3.95, 4, 3.8, 3.95, 3.95, 70530
2022-01-14T05:00:00Z, 4.05, 4.1099, 3.93, 3.95, 3.95, 69824
2022-01-13T05:00:00Z, 4.35, 4.39, 4.1, 4.11, 4.11, 42979
2022-01-12T05:00:00Z, 4.16, 4.41, 4.05, 4.35, 4.35, 117721
2022-01-11T05:00:00Z, 3.93, 4.41, 3.9189, 4.22, 4.22, 161377
2022-01-10T05:00:00Z, 3.94, 4.29, 3.709, 4, 4, 193111
2022-01-07T05:00:00Z, 4.31, 4.34, 3.8503, 3.95, 3.95, 153231
2022-01-06T05:00:00Z, 3.9, 4.9, 3.6, 4.31, 4.31, 678647
2022-01-05T05:00:00Z, 4.25, 4.38, 3.81, 3.97, 3.97, 162021
2022-01-04T05:00:00Z, 4.27, 4.74, 4.2301, 4.33, 4.33, 296305
2022-01-03T05:00:00Z, 4.26, 4.46, 4.17, 4.21, 4.21, 94158
2021-12-31T05:00:00Z, 4.11, 4.5, 4.08, 4.34, 4.34, 149988
2021-12-30T05:00:00Z, 3.91, 4.14, 3.91, 4.14, 4.14, 113641
2021-12-29T05:00:00Z, 4.14, 4.2001, 3.8, 4.02, 4.02, 189835
2021-12-28T05:00:00Z, 4.55, 4.655, 4.09, 4.15, 4.15, 473018
2021-12-27T05:00:00Z, 4.81, 4.8805, 4.51, 4.65, 4.65, 242251
2021-12-23T05:00:00Z, 5.1, 5.29, 4.74, 4.8, 4.8, 631320
2021-12-22T05:00:00Z, 5.89, 6.25, 4.69, 5.37, 5.37, 10374625
2021-12-21T05:00:00Z, 4.71, 4.7299, 4.38, 4.57, 4.57, 4097508
2021-12-20T05:00:00Z, 4.5, 4.64, 4.42, 4.64, 4.64, 128473
2021-12-17T05:00:00Z, 4.4, 4.73, 4.38, 4.48, 4.48, 83980
2021-12-16T05:00:00Z, 4.89, 4.89, 4.36, 4.58, 4.58, 187105
2021-12-15T05:00:00Z, 4.9, 4.98, 4.6, 4.89, 4.89, 177162
2021-12-14T05:00:00Z, 5.15, 5.3, 4.61, 4.88, 4.88, 138181
2021-12-13T05:00:00Z, 5.3, 5.57, 4.94, 5.16, 5.16, 76092
2021-12-10T05:00:00Z, 5.12, 5.45, 5.055, 5.31, 5.31, 128213
2021-12-09T05:00:00Z, 5.45, 5.4553, 5.01, 5.08, 5.08, 113619
2021-12-08T05:00:00Z, 5.42, 5.5, 5.21, 5.5, 5.5, 62986
2021-12-07T05:00:00Z, 5.1, 5.9, 4.97, 5.36, 5.36, 179128
2021-12-06T05:00:00Z, 5.15, 5.2686, 4.911, 5.02, 5.02, 158192
2021-12-03T05:00:00Z, 5.6, 5.78, 5.15, 5.22, 5.22, 146801
2021-12-02T05:00:00Z, 6.31, 6.3413, 5.45, 5.74, 5.74, 245357
2021-12-01T05:00:00Z, 6.65, 7.12, 5.5, 5.81, 5.81, 4019295
2021-11-30T05:00:00Z, 6.12, 6.3, 5.81, 6, 6, 60254
2021-11-29T05:00:00Z, 6.5, 6.5699, 6.03, 6.17, 6.17, 47878
2021-11-26T05:00:00Z, 5.94, 6.375, 5.81, 6.23, 6.23, 31296
2021-11-24T05:00:00Z, 6.17, 6.3395, 5.8, 5.835, 5.835, 125197
2021-11-23T05:00:00Z, 6.17, 6.2999, 5.91, 5.96, 5.96, 79422
2021-11-22T05:00:00Z, 6.76, 6.83, 6.1, 6.17, 6.17, 104401
2021-11-19T05:00:00Z, 7, 7.25, 6.5527, 6.85, 6.85, 99351
2021-11-18T05:00:00Z, 7.02, 7.02, 6.5, 6.97, 6.97, 104901
2021-11-17T05:00:00Z, 7.22, 7.38, 6.86, 6.89, 6.89, 87385
2021-11-16T05:00:00Z, 7.28, 7.48, 6.2, 6.47, 6.47, 219730
2021-11-15T05:00:00Z, 7.75, 7.76, 7.1, 7.12, 7.12, 101281
2021-11-12T05:00:00Z, 7.94, 7.98, 7.61, 7.77, 7.77, 79703
2021-11-11T05:00:00Z, 7.83, 7.99, 7.5, 7.6334, 7.6334, 79891
2021-11-10T05:00:00Z, 7.46, 7.58, 7.2042, 7.4569, 7.4569, 70198
2021-11-09T05:00:00Z, 7.1, 7.67, 6.66, 7.46, 7.46, 247047
2021-11-08T05:00:00Z, 7.65, 7.85, 6.6, 7.02, 7.02, 208417
2021-11-05T04:00:00Z, 8.77, 8.9, 7.02, 7.02, 7.02, 681094
