Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 8.95, 8.94, 8.63, 8.77, 8.77, 352030
2022-02-07T05:00:00Z, 9.25, 9.37, 8.9, 8.94, 8.94, 259264
2022-02-04T05:00:00Z, 9.09, 9.52, 8.99, 9.25, 9.25, 359516
2022-02-03T05:00:00Z, 8.93, 9.12, 8.795, 8.86, 8.86, 289319
2022-02-02T05:00:00Z, 8.95, 9.14, 8.83, 9.09, 9.09, 251540
2022-02-01T05:00:00Z, 8.56, 9, 8.56, 8.98, 8.98, 344598
2022-01-31T05:00:00Z, 8.53, 8.81, 8.5, 8.69, 8.69, 262259
2022-01-28T05:00:00Z, 8.65, 8.74, 8.36, 8.66, 8.66, 329446
2022-01-27T05:00:00Z, 8.93, 9.09, 8.38, 8.62, 8.62, 367504
2022-01-26T05:00:00Z, 9.19, 9.29, 8.57, 8.72, 8.72, 281304
2022-01-25T05:00:00Z, 8.6, 9.04, 8.335, 8.95, 8.95, 231238
2022-01-24T05:00:00Z, 8.36, 8.77, 8.21, 8.72, 8.72, 426816
2022-01-21T05:00:00Z, 8.86, 9.0898, 8.5811, 8.61, 8.61, 645630
2022-01-20T05:00:00Z, 9.13, 9.47, 9.02, 9.06, 9.06, 337158
2022-01-19T05:00:00Z, 9.43, 9.53, 9.21, 9.37, 9.37, 267190
2022-01-18T05:00:00Z, 9.63, 9.72, 9.23, 9.4, 9.4, 341524
2022-01-14T05:00:00Z, 9.37, 9.6, 9.32, 9.5, 9.5, 267261
2022-01-13T05:00:00Z, 9.38, 9.54, 9.34, 9.38, 9.38, 288822
2022-01-12T05:00:00Z, 9.12, 9.44, 9.1, 9.38, 9.38, 334053
2022-01-11T05:00:00Z, 8.87, 9.2, 8.64, 9.16, 9.16, 237332
2022-01-10T05:00:00Z, 8.82, 8.92, 8.64, 8.76, 8.76, 202472
2022-01-07T05:00:00Z, 8.91, 9.06, 8.77, 8.79, 8.79, 263209
2022-01-06T05:00:00Z, 8.8, 9.03, 8.72, 8.97, 8.97, 569884
2022-01-05T05:00:00Z, 9.21, 9.33, 8.6, 8.61, 8.61, 351392
2022-01-04T05:00:00Z, 8.8, 9.14, 8.7, 9.03, 9.03, 300801
2022-01-03T05:00:00Z, 8.41, 8.68, 8.4, 8.61, 8.61, 358409
2021-12-31T05:00:00Z, 8.19, 8.48, 8.11, 8.42, 8.42, 256565
2021-12-30T05:00:00Z, 8.33, 8.37, 8.16, 8.19, 8.19, 169588
2021-12-29T05:00:00Z, 8.29, 8.46, 8.21, 8.32, 8.32, 132675
2021-12-28T05:00:00Z, 8.54, 8.67, 8.31, 8.35, 8.35, 212028
2021-12-27T05:00:00Z, 8.22, 8.54, 7.97, 8.53, 8.53, 222386
2021-12-23T05:00:00Z, 8.32, 8.36, 8.17, 8.21, 8.21, 152938
2021-12-22T05:00:00Z, 8.1, 8.33, 7.88, 8.24, 8.24, 266990
2021-12-21T05:00:00Z, 8.07, 8.155, 7.95, 8.1, 8.1, 298079
2021-12-20T05:00:00Z, 7.83, 7.91, 7.51, 7.79, 7.79, 399858
2021-12-17T05:00:00Z, 8, 8.34, 7.96, 8.09, 8.09, 1722368
2021-12-16T05:00:00Z, 8.59, 8.725, 8.17, 8.22, 8.22, 596182
2021-12-15T05:00:00Z, 8.26, 8.45, 7.78, 8.43, 8.43, 520357
2021-12-14T05:00:00Z, 8.26, 8.41, 8.11, 8.32, 8.32, 852320
2021-12-13T05:00:00Z, 8.52, 8.54, 8.21, 8.38, 8.38, 443771
2021-12-10T05:00:00Z, 8.575, 8.63, 8.3611, 8.61, 8.61, 290571
2021-12-09T05:00:00Z, 8.67, 8.65, 8.36, 8.37, 8.37, 247391
2021-12-08T05:00:00Z, 9, 8.97, 8.68, 8.79, 8.79, 313224
2021-12-07T05:00:00Z, 8.35, 8.92, 8.3, 8.89, 8.89, 348170
2021-12-06T05:00:00Z, 7.91, 8.33, 7.78, 8.1, 8.1, 422352
2021-12-03T05:00:00Z, 8.09, 8.19, 7.76, 7.83, 7.83, 477085
2021-12-02T05:00:00Z, 7.69, 8.15, 7.69, 8.07, 8.07, 262354
2021-12-01T05:00:00Z, 8.475, 8.73, 7.86, 7.88, 7.88, 572151
2021-11-30T05:00:00Z, 8.13, 8.26, 7.88, 8.14, 8.14, 1634650
2021-11-29T05:00:00Z, 8.66, 8.75, 8.25, 8.3, 8.3, 444766
2021-11-26T05:00:00Z, 8.51, 8.95, 8.23, 8.44, 8.44, 362847
2021-11-24T05:00:00Z, 9.15, 9.27, 9.05, 9.06, 9.06, 258492
2021-11-23T05:00:00Z, 9.51, 9.69, 9.15, 9.25, 9.25, 539842
2021-11-22T05:00:00Z, 9.09, 9.35, 8.98, 9.1, 9.1, 264658
2021-11-19T05:00:00Z, 9.14, 9.26, 8.8901, 8.98, 8.98, 431378
2021-11-18T05:00:00Z, 9.59, 9.7, 9.1995, 9.53, 9.53, 246501
2021-11-17T05:00:00Z, 9.55, 10.12, 9.49, 9.63, 9.63, 438569
2021-11-16T05:00:00Z, 9.7, 9.66, 9.445, 9.5, 9.5, 309341
2021-11-15T05:00:00Z, 9.59, 9.7, 9.26, 9.7, 9.7, 367834
2021-11-12T05:00:00Z, 9.73, 9.82, 9.54, 9.63, 9.63, 325225
2021-11-11T05:00:00Z, 9.87, 10.05, 9.6827, 9.8, 9.8, 247583
2021-11-10T05:00:00Z, 10.01, 10.03, 9.62, 9.71, 9.71, 393717
2021-11-09T05:00:00Z, 10.31, 10.4413, 9.91, 10.09, 10.09, 508166
2021-11-08T05:00:00Z, 10.2, 10.645, 10.1, 10.3, 10.3, 611729
2021-11-05T04:00:00Z, 10.12, 10.24, 9.731, 10.06, 10.06, 413756
2021-11-04T04:00:00Z, 9.92, 10.01, 9.69, 9.92, 9.92, 334780
2021-11-03T04:00:00Z, 10.05, 10.2396, 9.45, 9.62, 9.62, 640506
2021-11-02T04:00:00Z, 9.64, 9.8, 9.5832, 9.74, 9.74, 500669
2021-11-01T04:00:00Z, 9.91, 9.97, 9.67, 9.77, 9.77, 644442
2021-10-29T04:00:00Z, 9.72, 9.7915, 9.302, 9.61, 9.61, 586587
2021-10-28T04:00:00Z, 9.83, 9.86, 9.51, 9.77, 9.77, 266242
2021-10-27T04:00:00Z, 9.82, 10.08, 9.62, 9.75, 9.75, 411027
2021-10-26T04:00:00Z, 10.32, 10.36, 9.9, 9.94, 9.94, 505562
2021-10-25T04:00:00Z, 10, 10.48, 9.951, 10.3, 10.3, 466434
2021-10-22T04:00:00Z, 9.92, 10.01, 9.6, 9.87, 9.87, 414718
2021-10-21T04:00:00Z, 9.99, 10.34, 9.59, 9.89, 9.89, 629640
2021-10-20T04:00:00Z, 9.75, 10.19, 9.4222, 9.99, 9.99, 1043346
2021-10-19T04:00:00Z, 8.72, 9.95, 8.62, 9.78, 9.78, 2467223
2021-10-18T04:00:00Z, 8.44, 8.87, 8.4, 8.55, 8.55, 411686
2021-10-15T04:00:00Z, 8.38, 8.48, 8.25, 8.27, 8.27, 386856
2021-10-14T04:00:00Z, 8.21, 8.33, 8.1572, 8.24, 8.24, 379711
2021-10-13T04:00:00Z, 8.16, 8.25, 7.97, 8.09, 8.09, 433688
2021-10-12T04:00:00Z, 8.19, 8.39, 8.08, 8.19, 8.19, 269057
2021-10-11T04:00:00Z, 8.1, 8.3862, 8.0075, 8.26, 8.26, 374904
2021-10-08T04:00:00Z, 7.95, 8.04, 7.7925, 7.91, 7.91, 441475
2021-10-07T04:00:00Z, 7.43, 7.85, 7.3, 7.84, 7.84, 612285
2021-10-06T04:00:00Z, 7.27, 7.46, 7.07, 7.43, 7.43, 406981
2021-10-05T04:00:00Z, 7.58, 7.89, 7.42, 7.43, 7.43, 457889
2021-10-04T04:00:00Z, 7.55, 7.92, 7.42, 7.47, 7.47, 426623
2021-10-01T04:00:00Z, 7.23, 7.43, 7.08, 7.3, 7.3, 255646
2021-09-30T04:00:00Z, 7.22, 7.28, 7.03, 7.21, 7.21, 222883
2021-09-29T04:00:00Z, 7.5, 7.48, 7.01, 7.26, 7.26, 408684
2021-09-28T04:00:00Z, 7.26, 7.62, 7.19, 7.49, 7.49, 601776
2021-09-27T04:00:00Z, 6.97, 7.3, 6.88, 7.28, 7.28, 690725
2021-09-24T04:00:00Z, 6.5, 6.94, 6.46, 6.67, 6.67, 523433
2021-09-23T04:00:00Z, 6.19, 6.57, 6.12, 6.54, 6.54, 316873
2021-09-22T04:00:00Z, 6, 6.25, 5.87, 6.08, 6.08, 289671
2021-09-21T04:00:00Z, 5.95, 6.0136, 5.675, 5.87, 5.87, 187818
2021-09-20T04:00:00Z, 5.82, 5.93, 5.677, 5.9, 5.9, 212321
2021-09-17T04:00:00Z, 6.06, 6.12, 5.845, 5.96, 5.96, 1309050
2021-09-16T04:00:00Z, 6.06, 6.16, 5.89, 6.02, 6.02, 290094
2021-09-15T04:00:00Z, 6.11, 6.26, 6.04, 6.12, 6.12, 229583
2021-09-14T04:00:00Z, 6.26, 6.34, 5.8, 5.93, 5.93, 529607
2021-09-13T04:00:00Z, 6.04, 6.34, 5.92, 6.3, 6.3, 234468
2021-09-10T04:00:00Z, 6.07, 6.12, 5.83, 5.84, 5.84, 274165
2021-09-09T04:00:00Z, 6, 6.13, 5.9112, 5.99, 5.99, 230570
2021-09-08T04:00:00Z, 6.3, 6.34, 6, 6.07, 6.07, 262211
2021-09-07T04:00:00Z, 6.03, 6.265, 6, 6.25, 6.25, 227252
2021-09-03T04:00:00Z, 6.1, 6.18, 5.98, 6.13, 6.13, 337630
2021-09-02T04:00:00Z, 6.08, 6.23, 6.04, 6.11, 6.11, 284453
2021-09-01T04:00:00Z, 6, 6.12, 5.87, 6.01, 6.01, 424679
2021-08-31T04:00:00Z, 5.88, 6.02, 5.7601, 6, 6, 258833
2021-08-30T04:00:00Z, 5.92, 5.89, 5.65, 5.84, 5.84, 233361
2021-08-27T04:00:00Z, 5.45, 5.83, 5.42, 5.81, 5.81, 387965
2021-08-26T04:00:00Z, 5.25, 5.37, 5.17, 5.34, 5.34, 212748
2021-08-25T04:00:00Z, 5.4, 5.43, 5.23, 5.26, 5.26, 210016
2021-08-24T04:00:00Z, 5.43, 5.45, 5.2903, 5.4, 5.4, 252140
2021-08-23T04:00:00Z, 5.21, 5.38, 5.15, 5.35, 5.35, 381406
2021-08-20T04:00:00Z, 4.85, 5.05, 4.8, 4.96, 4.96, 575853
2021-08-19T04:00:00Z, 4.93, 4.9909, 4.7201, 4.93, 4.93, 364803
2021-08-18T04:00:00Z, 5.07, 5.2306, 4.98, 5, 5, 246445
2021-08-17T04:00:00Z, 5.08, 5.35, 5.02, 5.07, 5.07, 335338
2021-08-16T04:00:00Z, 5.12, 5.1601, 4.98, 5.08, 5.08, 256811
2021-08-13T04:00:00Z, 5.45, 5.42, 5.23, 5.24, 5.24, 222208
2021-08-12T04:00:00Z, 5.5, 5.57, 5.37, 5.45, 5.45, 175898
2021-08-11T04:00:00Z, 5.31, 5.62, 5.26, 5.56, 5.56, 358871
2021-08-10T04:00:00Z, 5.17, 5.4, 5.14, 5.38, 5.38, 254261
2021-08-09T04:00:00Z, 5.04, 5.15, 4.96, 5.13, 5.13, 208099
2021-08-06T04:00:00Z, 5.32, 5.43, 5.22, 5.26, 5.26, 250850
2021-08-05T04:00:00Z, 5.24, 5.52, 5.19, 5.23, 5.23, 304132
2021-08-04T04:00:00Z, 5.69, 5.9, 4.92, 5.16, 5.16, 633893
2021-08-03T04:00:00Z, 5.61, 5.91, 5.45, 5.91, 5.91, 404929
2021-08-02T04:00:00Z, 5.55, 5.95, 5.48, 5.61, 5.61, 433864
2021-07-30T04:00:00Z, 5.52, 5.63, 5.481, 5.55, 5.55, 241308
2021-07-29T04:00:00Z, 5.54, 5.665, 5.41, 5.65, 5.65, 422909
2021-07-28T04:00:00Z, 5.38, 5.535, 5.26, 5.48, 5.48, 291167
2021-07-27T04:00:00Z, 5.67, 5.74, 5.34, 5.39, 5.39, 511724
2021-07-26T04:00:00Z, 5.75, 5.99, 5.61, 5.76, 5.76, 290420
2021-07-23T04:00:00Z, 5.53, 5.63, 5.4, 5.59, 5.59, 210900
2021-07-22T04:00:00Z, 5.73, 5.82, 5.52, 5.53, 5.53, 223468
2021-07-21T04:00:00Z, 5.68, 5.92, 5.64, 5.82, 5.82, 220139
2021-07-20T04:00:00Z, 5.5, 5.78, 5.4, 5.58, 5.58, 315153
2021-07-19T04:00:00Z, 5.45, 5.64, 5.31, 5.54, 5.54, 509551
2021-07-16T04:00:00Z, 6.137, 6.34, 5.76, 5.8, 5.8, 542852
2021-07-15T04:00:00Z, 6.41, 6.525, 6, 6.12, 6.12, 570764
2021-07-14T04:00:00Z, 6.86, 7.035, 6.45, 6.48, 6.48, 539027
2021-07-13T04:00:00Z, 6.85, 7.25, 6.63, 6.8, 6.8, 2088754
2021-07-12T04:00:00Z, 6.4, 6.85, 6.31, 6.81, 6.81, 460481
2021-07-09T04:00:00Z, 6.4, 6.57, 6.28, 6.52, 6.52, 187300
2021-07-08T04:00:00Z, 6.19, 6.3899, 6.145, 6.32, 6.32, 211844
2021-07-07T04:00:00Z, 6.48, 6.6, 6.14, 6.26, 6.26, 208993
2021-07-06T04:00:00Z, 6.7, 6.73, 6.49, 6.51, 6.51, 225897
2021-07-02T04:00:00Z, 6.9, 6.93, 6.74, 6.74, 6.74, 126381
2021-07-01T04:00:00Z, 6.96, 7.04, 6.875, 6.94, 6.94, 434111
2021-06-30T04:00:00Z, 6.61, 6.77, 6.56, 6.72, 6.72, 254206
2021-06-29T04:00:00Z, 6.63, 6.75, 6.49, 6.5, 6.5, 173863
2021-06-28T04:00:00Z, 6.81, 6.81, 6.46, 6.56, 6.56, 288870
2021-06-25T04:00:00Z, 6.92, 7.05, 6.82, 6.82, 6.82, 1092135
2021-06-24T04:00:00Z, 6.73, 6.94, 6.67, 6.92, 6.92, 204720
2021-06-23T04:00:00Z, 6.91, 7.02, 6.72, 6.78, 6.78, 252758
2021-06-22T04:00:00Z, 6.79, 6.89, 6.7, 6.79, 6.79, 186639
2021-06-21T04:00:00Z, 6.84, 6.99, 6.78, 6.92, 6.92, 360883
2021-06-18T04:00:00Z, 6.3, 6.89, 6.24, 6.86, 6.86, 928092
2021-06-17T04:00:00Z, 6.87, 6.9, 6.32, 6.52, 6.52, 400959
2021-06-16T04:00:00Z, 6.89, 6.99, 6.82, 6.89, 6.89, 329066
2021-06-15T04:00:00Z, 6.98, 7.01, 6.85, 7, 7, 331845
2021-06-14T04:00:00Z, 7.02, 7.1, 6.86, 6.91, 6.91, 271247
2021-06-11T04:00:00Z, 6.95, 6.9609, 6.84, 6.87, 6.87, 144510
2021-06-10T04:00:00Z, 6.92, 6.944, 6.744, 6.8, 6.8, 218106
2021-06-09T04:00:00Z, 6.99, 6.99, 6.73, 6.75, 6.75, 189679
2021-06-08T04:00:00Z, 6.73, 7, 6.5, 6.91, 6.91, 303037
2021-06-07T04:00:00Z, 6.99, 7.05, 6.71, 6.78, 6.78, 413015
2021-06-04T04:00:00Z, 6.98, 7.0526, 6.9, 6.96, 6.96, 330826
2021-06-03T04:00:00Z, 6.88, 6.98, 6.8, 6.92, 6.92, 573672
2021-06-02T04:00:00Z, 6.94, 6.98, 6.81, 6.84, 6.84, 384891
2021-06-01T04:00:00Z, 6.6, 6.98, 6.53, 6.89, 6.89, 611748
2021-05-28T04:00:00Z, 6.35, 6.41, 6.29, 6.36, 6.36, 162770
2021-05-27T04:00:00Z, 6.09, 6.37, 6.09, 6.33, 6.33, 388537
2021-05-26T04:00:00Z, 5.94, 6.02, 5.82, 6.02, 6.02, 285588
2021-05-25T04:00:00Z, 6.17, 6.31, 5.89, 5.89, 5.89, 307213
2021-05-24T04:00:00Z, 6.17, 6.2549, 6.01, 6.22, 6.22, 132517
