Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 17.34, 17.96, 17.17, 17.81, 17.81, 71862
2022-02-07T05:00:00Z, 17.89, 17.82, 17, 17.08, 17.08, 138498
2022-02-04T05:00:00Z, 18.47, 18.73, 17.67, 17.72, 17.72, 178656
2022-02-03T05:00:00Z, 17.76, 18.48, 17.6, 18.36, 18.36, 91958
2022-02-02T05:00:00Z, 17.85, 18.0444, 17.36, 17.76, 17.76, 125961
2022-02-01T05:00:00Z, 18.44, 18.44, 17.57, 17.9, 17.9, 188732
2022-01-31T05:00:00Z, 16.05, 19.1599, 15.91, 18.56, 18.56, 952143
2022-01-28T05:00:00Z, 13.8, 14.08, 13.6, 13.94, 13.94, 55762
2022-01-27T05:00:00Z, 14.15, 14.416, 13.77, 13.89, 13.89, 33395
2022-01-26T05:00:00Z, 14.55, 14.63, 13.79, 14, 14, 55384
2022-01-25T05:00:00Z, 14.05, 14.5399, 13.9285, 14.18, 14.18, 60743
2022-01-24T05:00:00Z, 13.45, 14.545, 13.16, 14.34, 14.34, 80357
2022-01-21T05:00:00Z, 13.95, 14.7, 13.51, 13.55, 13.55, 105073
2022-01-20T05:00:00Z, 14.49, 14.72, 13.9, 13.9, 13.9, 73323
2022-01-19T05:00:00Z, 15.27, 15.34, 14.29, 14.49, 14.49, 78163
2022-01-18T05:00:00Z, 15.45, 16.14, 15.11, 15.25, 15.25, 65809
2022-01-14T05:00:00Z, 15.75, 16.65, 15.39, 15.43, 15.43, 48014
2022-01-13T05:00:00Z, 16.01, 16.84, 15.62, 15.76, 15.76, 82154
2022-01-12T05:00:00Z, 16.21, 16.15, 15.8, 15.82, 15.82, 67738
2022-01-11T05:00:00Z, 16.3, 16.3, 15.92, 15.99, 15.99, 30178
2022-01-10T05:00:00Z, 16.72, 16.73, 15.9527, 16.3, 16.3, 43912
2022-01-07T05:00:00Z, 16.71, 17.045, 16.55, 16.72, 16.72, 19427
2022-01-06T05:00:00Z, 16.95, 17.28, 16.5101, 16.69, 16.69, 35294
2022-01-05T05:00:00Z, 18, 18.03, 16.95, 16.96, 16.96, 44481
2022-01-04T05:00:00Z, 17.26, 17.775, 17.31, 17.65, 17.65, 27253
2022-01-03T05:00:00Z, 17, 17.4899, 16.86, 17.26, 17.26, 33370
2021-12-31T05:00:00Z, 16.72, 16.9, 16.57, 16.77, 16.77, 32377
2021-12-30T05:00:00Z, 16.97, 17.1752, 16.73, 16.8, 16.8, 28875
2021-12-29T05:00:00Z, 16.91, 16.96, 16.595, 16.76, 16.76, 23963
2021-12-28T05:00:00Z, 16.725, 16.93, 16.3624, 16.68, 16.68, 37968
2021-12-27T05:00:00Z, 16.45, 16.945, 16.4, 16.59, 16.59, 25149
2021-12-23T05:00:00Z, 16.5, 16.9616, 16.45, 16.56, 16.56, 49657
2021-12-22T05:00:00Z, 16.54, 16.77, 16.26, 16.5, 16.5, 44353
2021-12-21T05:00:00Z, 16.85, 17.11, 16.25, 16.46, 16.46, 59009
2021-12-20T05:00:00Z, 17.05, 17.05, 16.25, 16.5, 16.5, 78649
