Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 23.87, 24.15, 23.72, 24.09, 24.09, 1017331
2022-02-07T05:00:00Z, 23.38, 23.91, 23.14, 23.72, 23.72, 1119036
2022-02-04T05:00:00Z, 22.65, 23.615, 22.41, 23.45, 23.45, 903932
2022-02-03T05:00:00Z, 21.99, 23.47, 21.72, 22.68, 22.68, 1621751
2022-02-02T05:00:00Z, 21.96, 22.07, 21.37, 21.62, 21.62, 809472
2022-02-01T05:00:00Z, 21.61, 22.13, 21.42, 22.07, 22.07, 743499
2022-01-31T05:00:00Z, 20.8, 21.66, 20.73, 21.58, 21.58, 1520686
2022-01-28T05:00:00Z, 20.3, 20.85, 19.93, 20.81, 20.81, 497558
2022-01-27T05:00:00Z, 21.085, 21.38, 20.5, 20.52, 20.52, 660512
2022-01-26T05:00:00Z, 21.41, 21.695, 20.7, 20.89, 20.89, 572836
2022-01-25T05:00:00Z, 21.49, 21.58, 20.83, 21.05, 21.05, 931995
2022-01-24T05:00:00Z, 21.35, 22.03, 20.72, 21.94, 21.94, 706246
2022-01-21T05:00:00Z, 22.19, 22.54, 21.84, 21.84, 21.84, 743218
2022-01-20T05:00:00Z, 23.39, 23.57, 22.45, 22.49, 22.49, 669778
2022-01-19T05:00:00Z, 24.05, 24.05, 23.34, 23.37, 23.37, 426128
2022-01-18T05:00:00Z, 24.04, 24.11, 23.59, 23.87, 23.87, 497062
2022-01-14T05:00:00Z, 24.18, 24.52, 24.06, 24.44, 24.44, 525405
2022-01-13T05:00:00Z, 24.81, 24.99, 24.46, 24.53, 24.53, 442738
2022-01-12T05:00:00Z, 24.84, 24.96, 24.23, 24.53, 24.53, 525824
2022-01-11T05:00:00Z, 24.23, 24.83, 23.97, 24.62, 24.62, 529452
2022-01-10T05:00:00Z, 24.07, 24.36, 23.71, 24.35, 24.35, 634004
2022-01-07T05:00:00Z, 24.2, 24.39, 23.83, 24.29, 24.29, 709176
2022-01-06T05:00:00Z, 24.38, 24.56, 24.02, 24.26, 24.26, 511709
2022-01-05T05:00:00Z, 25.28, 25.44, 24.3, 24.3, 24.3, 590385
