Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 24.045, 24.08, 24.02, 24.04, 24.04, 143857
2022-02-07T05:00:00Z, 24.02, 24.06, 23.999, 24.05, 24.05, 179482
2022-02-04T05:00:00Z, 24.02, 24.07, 23.95, 24.05, 24.05, 118745
2022-02-03T05:00:00Z, 24.17, 24.18, 24.1, 24.11, 24.11, 109506
2022-02-02T05:00:00Z, 24.22, 24.26, 24.17, 24.26, 24.26, 335166
2022-02-01T05:00:00Z, 24.19, 24.23, 24.1197, 24.23, 24.23, 206930
2022-01-31T05:00:00Z, 24.11, 24.18, 24.0502, 24.18, 24.18, 141030
2022-01-28T05:00:00Z, 24.03, 24.13, 23.96, 24.12, 24.12, 113324
2022-01-27T05:00:00Z, 24.19, 24.195, 24, 24.06, 24.06, 71780
2022-01-26T05:00:00Z, 24.23, 24.29, 24.11, 24.18, 24.18, 185660
2022-01-25T05:00:00Z, 24.18, 24.2399, 24.145, 24.21, 24.21, 369662
2022-01-24T05:00:00Z, 24.2, 24.29, 24.14, 24.29, 24.29, 210311
2022-01-21T05:00:00Z, 24.45, 24.45, 24.33, 24.357, 24.357, 94761
2022-01-20T05:00:00Z, 24.43, 24.47, 24.35, 24.37, 24.37, 120531
2022-01-19T05:00:00Z, 24.41, 24.44, 24.36, 24.4, 24.4, 260737
2022-01-18T05:00:00Z, 24.4, 24.43, 24.34, 24.42, 24.42, 137887
2022-01-14T05:00:00Z, 24.4, 24.5, 24.4, 24.5, 24.5, 148390
2022-01-13T05:00:00Z, 24.5, 24.52, 24.44, 24.47, 24.47, 190125
2022-01-12T05:00:00Z, 24.48, 24.53, 24.4591, 24.52, 24.52, 111140
2022-01-11T05:00:00Z, 24.43, 24.45, 24.3591, 24.45, 24.45, 276042
2022-01-10T05:00:00Z, 24.31, 24.4, 24.2691, 24.38, 24.38, 284030
2022-01-07T05:00:00Z, 24.41, 24.42, 24.36, 24.36, 24.36, 328407
2022-01-06T05:00:00Z, 24.4, 24.435, 24.39, 24.4051, 24.4051, 218971
