Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 27.11, 27.24, 26.73, 27.07, 27.07, 48411
2022-02-07T05:00:00Z, 26.37, 26.85, 26.37, 26.69, 26.69, 32431
2022-02-04T05:00:00Z, 26.5, 26.95, 26.36, 26.64, 26.64, 23765
2022-02-03T05:00:00Z, 26.66, 26.985, 26.39, 26.67, 26.67, 27413
2022-02-02T05:00:00Z, 26.46, 26.98, 26.24, 26.53, 26.53, 94499
2022-02-01T05:00:00Z, 26.86, 27.19, 26.42, 26.62, 26.62, 40007
2022-01-31T05:00:00Z, 26.33, 26.7552, 26.03, 26.53, 26.53, 29851
2022-01-28T05:00:00Z, 26.47, 26.8, 25.65, 26.29, 26.29, 32483
2022-01-27T05:00:00Z, 26.7, 27.13, 26.52, 26.58, 26.58, 55062
2022-01-26T05:00:00Z, 27.49, 27.72, 26.65, 26.74, 26.74, 51387
2022-01-25T05:00:00Z, 26.03, 27.52, 26.06, 27.22, 27.22, 51531
2022-01-24T05:00:00Z, 26.55, 27.56, 26.5, 27.19, 27.19, 63701
2022-01-21T05:00:00Z, 26.95, 28.01, 26.81, 27.47, 27.47, 42400
2022-01-20T05:00:00Z, 27.16, 27.9799, 27.1, 27.1, 27.1, 44009
2022-01-19T05:00:00Z, 27.9, 28.16, 27.34, 27.39, 27.39, 17720
2022-01-18T05:00:00Z, 28, 28.34, 27.73, 28.04, 28.04, 137026
2022-01-14T05:00:00Z, 28, 28.08, 27.71, 28.01, 28.01, 12018
2022-01-13T05:00:00Z, 27.86, 28.3274, 27.71, 27.89, 27.89, 29596
2022-01-12T05:00:00Z, 28.25, 28.34, 27.94, 27.95, 27.95, 30943
2022-01-11T05:00:00Z, 27.84, 28.33, 27.23, 28.21, 28.21, 38389
2022-01-10T05:00:00Z, 28.71, 28.9208, 27.78, 27.95, 27.95, 55515
2022-01-07T05:00:00Z, 28.04, 28.805, 28.13, 28.63, 28.63, 21187
2022-01-06T05:00:00Z, 28.16, 28.4, 27.6, 28.31, 28.31, 18466
2022-01-05T05:00:00Z, 27.54, 28.49, 27.68, 27.85, 27.85, 28839
2022-01-04T05:00:00Z, 27.34, 28.3, 27.24, 28.14, 28.14, 48635
2022-01-03T05:00:00Z, 27.61, 27.76, 27.02, 27.22, 27.22, 21983
2021-12-31T05:00:00Z, 26.91, 27.46, 26.94, 27.15, 27.15, 17140
2021-12-30T05:00:00Z, 27.5, 27.55, 26.985, 27.11, 27.11, 18309
2021-12-29T05:00:00Z, 27.9, 27.89, 27.43, 27.55, 27.55, 21548
2021-12-28T05:00:00Z, 27.92, 28, 26.47, 27.8, 27.8, 20137
2021-12-27T05:00:00Z, 27.51, 27.91, 27.13, 27.74, 27.74, 29685
2021-12-23T05:00:00Z, 27.27, 27.49, 26.88, 27.28, 27.28, 12470
2021-12-22T05:00:00Z, 27.03, 27.22, 26.68, 27.13, 27.13, 20215
