Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 10.035, 10.04, 10.03, 10.03, 10.03, 462821
2022-02-07T05:00:00Z, 10.025, 10.04, 10.02, 10.035, 10.035, 1214476
2022-02-04T05:00:00Z, 10.03, 10.04, 10.03, 10.03, 10.03, 26122
2022-02-03T05:00:00Z, 10.04, 10.044, 10.02, 10.04, 10.04, 134788
2022-02-02T05:00:00Z, 10.02, 10.04, 10.02, 10.03, 10.03, 17057
2022-02-01T05:00:00Z, 10.03, 10.04, 10.02, 10.03, 10.03, 38764
2022-01-31T05:00:00Z, 10.02, 10.029, 10.01, 10.01, 10.01, 24655
2022-01-28T05:00:00Z, 10.01, 10.02, 10.01, 10.01, 10.01, 179111
2022-01-27T05:00:00Z, 10.02, 10.0215, 10.01, 10.02, 10.02, 85575
2022-01-26T05:00:00Z, 10.01, 10.02, 10.01, 10.01, 10.01, 143683
2022-01-25T05:00:00Z, 10.01, 10.02, 10.01, 10.01, 10.01, 132566
2022-01-24T05:00:00Z, 10, 10.02, 9.99, 10.01, 10.01, 517542
2022-01-21T05:00:00Z, 10.01, 10.03, 10.01, 10.01, 10.01, 86528
2022-01-20T05:00:00Z, 10.01, 10.03, 10.01, 10.01, 10.01, 36499
2022-01-19T05:00:00Z, 10.01, 10.02, 10, 10.02, 10.02, 199031
2022-01-18T05:00:00Z, 10.01, 10.03, 10, 10.015, 10.015, 154273
2022-01-14T05:00:00Z, 10, 10.01, 10, 10.01, 10.01, 150057
2022-01-13T05:00:00Z, 10, 10.03, 10, 10, 10, 33951
2022-01-12T05:00:00Z, 10.01, 10.01, 10, 10, 10, 9867
2022-01-11T05:00:00Z, 10, 10.01, 10, 10, 10, 12663
2022-01-10T05:00:00Z, 10.01, 10.015, 10, 10, 10, 75917
2022-01-07T05:00:00Z, 10.01, 10.015, 10.01, 10.01, 10.01, 556929
2022-01-06T05:00:00Z, 10, 10.007, 10, 10, 10, 32855
2022-01-05T05:00:00Z, 10, 10.01, 9.99, 10, 10, 35171
2022-01-04T05:00:00Z, 10, 10.0085, 10, 10, 10, 15488
2022-01-03T05:00:00Z, 10, 10.02, 10, 10, 10, 18996
2021-12-31T05:00:00Z, 9.99, 10.02, 9.99, 10.01, 10.01, 169717
2021-12-30T05:00:00Z, 10, 10.01, 9.99, 9.99, 9.99, 44093
2021-12-29T05:00:00Z, 9.99, 10, 9.99, 9.99, 9.99, 131252
2021-12-28T05:00:00Z, 9.99, 10, 9.99, 9.99, 9.99, 27355
2021-12-27T05:00:00Z, 9.99, 10, 9.98, 9.99, 9.99, 27860
2021-12-23T05:00:00Z, 10.01, 10, 9.99, 9.99, 9.99, 37002
2021-12-22T05:00:00Z, 9.99, 10, 9.985, 9.99, 9.99, 75270
2021-12-21T05:00:00Z, 9.99, 10, 9.98, 9.99, 9.99, 35060
2021-12-20T05:00:00Z, 9.97, 9.99, 9.97, 9.98, 9.98, 151935
2021-12-17T05:00:00Z, 9.97, 9.98, 9.97, 9.97, 9.97, 26757
2021-12-16T05:00:00Z, 9.975, 9.98, 9.965, 9.97, 9.97, 139294
2021-12-15T05:00:00Z, 9.97, 9.97, 9.96, 9.96, 9.96, 53260
2021-12-14T05:00:00Z, 9.965, 9.97, 9.96, 9.96, 9.96, 41027
2021-12-13T05:00:00Z, 9.99, 9.99, 9.96, 9.9625, 9.9625, 412249
2021-12-10T05:00:00Z, 9.98, 9.98, 9.97, 9.97, 9.97, 301013
2021-12-09T05:00:00Z, 9.98, 9.99, 9.97, 9.99, 9.99, 295770
2021-12-08T05:00:00Z, 9.99, 9.9901, 9.98, 9.99, 9.99, 303595
2021-12-07T05:00:00Z, 9.97, 9.99, 9.97, 9.99, 9.99, 98909
2021-12-06T05:00:00Z, 9.98, 9.99, 9.97, 9.98, 9.98, 107934
2021-12-03T05:00:00Z, 9.99, 10, 9.97, 9.98, 9.98, 115589
2021-12-02T05:00:00Z, 9.98, 9.99, 9.97, 9.98, 9.98, 160675
2021-12-01T05:00:00Z, 9.99, 9.9913, 9.98, 9.99, 9.99, 147267
2021-11-30T05:00:00Z, 9.98, 9.99, 9.98, 9.99, 9.99, 164177
2021-11-29T05:00:00Z, 9.98, 9.99, 9.98, 9.99, 9.99, 26483
2021-11-26T05:00:00Z, 9.99, 10, 9.98, 9.99, 9.99, 131686
2021-11-24T05:00:00Z, 9.98, 10, 9.98, 10, 10, 132414
2021-11-23T05:00:00Z, 9.98, 9.99, 9.98, 9.98, 9.98, 178625
2021-11-22T05:00:00Z, 9.99, 9.99, 9.98, 9.99, 9.99, 114041
2021-11-19T05:00:00Z, 9.98, 10, 9.98, 9.99, 9.99, 87354
2021-11-18T05:00:00Z, 9.98, 10, 9.97, 9.99, 9.99, 249966
2021-11-17T05:00:00Z, 9.98, 10.01, 9.98, 9.99, 9.99, 108145
2021-11-16T05:00:00Z, 9.98, 10.01, 9.98, 10.01, 10.01, 395623
2021-11-15T05:00:00Z, 9.98, 10, 9.97, 9.98, 9.98, 76026
2021-11-12T05:00:00Z, 9.96, 10, 9.96, 9.99, 9.99, 343408
2021-11-11T05:00:00Z, 9.97, 9.98, 9.96, 9.97, 9.97, 321700
2021-11-10T05:00:00Z, 9.99, 10, 9.97, 9.97, 9.97, 130916
2021-11-09T05:00:00Z, 9.96, 9.99, 9.96, 9.97, 9.97, 73705
2021-11-08T05:00:00Z, 9.98, 9.9899, 9.96, 9.96, 9.96, 109018
2021-11-05T04:00:00Z, 9.98, 10, 9.97, 9.98, 9.98, 188615
2021-11-04T04:00:00Z, 9.99, 10.0099, 9.97, 9.98, 9.98, 117413
2021-11-03T04:00:00Z, 9.99, 10.01, 9.99, 10, 10, 89147
2021-11-02T04:00:00Z, 9.98, 10.05, 9.97, 10, 10, 191718
2021-11-01T04:00:00Z, 9.98, 9.99, 9.96, 9.98, 9.98, 197605
2021-10-29T04:00:00Z, 9.96, 9.98, 9.95, 9.98, 9.98, 64337
2021-10-28T04:00:00Z, 9.95, 9.96, 9.95, 9.95, 9.95, 15432
2021-10-27T04:00:00Z, 9.96, 9.96, 9.94, 9.95, 9.95, 42394
2021-10-26T04:00:00Z, 9.96, 9.97, 9.94, 9.96, 9.96, 29775
2021-10-25T04:00:00Z, 9.95, 9.96, 9.95, 9.95, 9.95, 17040
2021-10-22T04:00:00Z, 9.94, 9.96, 9.94, 9.95, 9.95, 50782
2021-10-21T04:00:00Z, 9.95, 9.95, 9.94, 9.94, 9.94, 11006
2021-10-20T04:00:00Z, 9.94, 9.95, 9.93, 9.94, 9.94, 60141
2021-10-19T04:00:00Z, 9.95, 9.96, 9.93, 9.94, 9.94, 69281
2021-10-18T04:00:00Z, 9.96, 9.96, 9.93, 9.95, 9.95, 60210
2021-10-15T04:00:00Z, 9.96, 9.97, 9.93, 9.95, 9.95, 296543
2021-10-14T04:00:00Z, 9.94, 9.965, 9.93, 9.945, 9.945, 94198
2021-10-13T04:00:00Z, 9.95, 9.96, 9.94, 9.95, 9.95, 36228
2021-10-12T04:00:00Z, 9.94, 9.96, 9.94, 9.96, 9.96, 33294
2021-10-11T04:00:00Z, 9.95, 9.95, 9.93, 9.93, 9.93, 36204
2021-10-08T04:00:00Z, 9.95, 9.95, 9.92, 9.95, 9.95, 61728
2021-10-07T04:00:00Z, 9.94, 9.95, 9.9316, 9.95, 9.95, 12339
2021-10-06T04:00:00Z, 9.94, 9.95, 9.93, 9.95, 9.95, 15354
2021-10-05T04:00:00Z, 9.93, 9.94, 9.92, 9.925, 9.925, 18654
2021-10-04T04:00:00Z, 9.93, 9.94, 9.91, 9.931, 9.931, 40300
2021-10-01T04:00:00Z, 9.95, 9.97, 9.9218, 9.94, 9.94, 30866
2021-09-30T04:00:00Z, 9.94, 9.95, 9.91, 9.95, 9.95, 258951
2021-09-29T04:00:00Z, 9.91, 9.94, 9.91, 9.94, 9.94, 23947
2021-09-28T04:00:00Z, 9.93, 9.94, 9.91, 9.94, 9.94, 54779
2021-09-27T04:00:00Z, 9.95, 9.96, 9.94, 9.96, 9.96, 16947
2021-09-24T04:00:00Z, 9.92, 9.97, 9.8951, 9.96, 9.96, 59870
2021-09-23T04:00:00Z, 9.92, 9.94, 9.91, 9.93, 9.93, 21841
2021-09-22T04:00:00Z, 9.91, 9.95, 9.91, 9.93, 9.93, 29776
2021-09-21T04:00:00Z, 9.94, 9.95, 9.9, 9.95, 9.95, 94617
2021-09-20T04:00:00Z, 9.91, 9.93, 9.9, 9.93, 9.93, 48491
2021-09-17T04:00:00Z, 9.94, 9.96, 9.91, 9.94, 9.94, 16734
2021-09-16T04:00:00Z, 9.9, 9.97, 9.9, 9.96, 9.96, 63741
2021-09-15T04:00:00Z, 9.93, 9.94, 9.9, 9.94, 9.94, 72095
2021-09-14T04:00:00Z, 9.92, 9.94, 9.9, 9.93, 9.93, 32993
2021-09-13T04:00:00Z, 9.93, 9.93, 9.89, 9.92, 9.92, 52869
2021-09-10T04:00:00Z, 9.92, 9.93, 9.9, 9.93, 9.93, 26422
2021-09-09T04:00:00Z, 9.9, 9.93, 9.9, 9.93, 9.93, 31615
2021-09-08T04:00:00Z, 9.92, 9.92, 9.89, 9.92, 9.92, 16540
2021-09-07T04:00:00Z, 9.9, 9.92, 9.88, 9.92, 9.92, 88988
2021-09-03T04:00:00Z, 9.88, 9.9, 9.8728, 9.9, 9.9, 70509
2021-09-02T04:00:00Z, 9.88, 9.91, 9.87, 9.91, 9.91, 112218
2021-09-01T04:00:00Z, 9.89, 9.9, 9.88, 9.89, 9.89, 19933
2021-08-31T04:00:00Z, 9.89, 9.9, 9.87, 9.89, 9.89, 71026
2021-08-30T04:00:00Z, 9.875, 9.89, 9.86, 9.88, 9.88, 33757
2021-08-27T04:00:00Z, 9.86, 9.88, 9.85, 9.88, 9.88, 58356
2021-08-26T04:00:00Z, 9.87, 9.88, 9.86, 9.88, 9.88, 54325
2021-08-25T04:00:00Z, 9.87, 9.89, 9.84, 9.89, 9.89, 50759
2021-08-24T04:00:00Z, 9.87, 9.9, 9.86, 9.88, 9.88, 83186
2021-08-23T04:00:00Z, 9.86, 9.88, 9.86, 9.88, 9.88, 164731
2021-08-20T04:00:00Z, 9.855, 9.87, 9.84, 9.87, 9.87, 201775
2021-08-19T04:00:00Z, 9.865, 9.88, 9.86, 9.87, 9.87, 61897
2021-08-18T04:00:00Z, 9.86, 9.88, 9.85, 9.86, 9.86, 91557
2021-08-17T04:00:00Z, 9.865, 9.87, 9.84, 9.86, 9.86, 104800
2021-08-16T04:00:00Z, 9.87, 9.88, 9.86, 9.87, 9.87, 58574
2021-08-13T04:00:00Z, 9.87, 9.88, 9.86, 9.86, 9.86, 145700
2021-08-12T04:00:00Z, 9.86, 9.87, 9.86, 9.86, 9.86, 15852
2021-08-11T04:00:00Z, 9.865, 9.87, 9.86, 9.86, 9.86, 37760
2021-08-10T04:00:00Z, 9.86, 9.87, 9.86, 9.86, 9.86, 105634
2021-08-09T04:00:00Z, 9.87, 9.872, 9.86, 9.86, 9.86, 96235
2021-08-06T04:00:00Z, 9.87, 9.89, 9.85, 9.87, 9.87, 60744
2021-08-05T04:00:00Z, 9.875, 9.88, 9.87, 9.87, 9.87, 30725
2021-08-04T04:00:00Z, 9.87, 9.885, 9.87, 9.88, 9.88, 86280
2021-08-03T04:00:00Z, 9.85, 9.88, 9.85, 9.86, 9.86, 57261
2021-08-02T04:00:00Z, 9.861, 9.87, 9.85, 9.86, 9.86, 81426
2021-07-30T04:00:00Z, 9.855, 9.87, 9.85, 9.86, 9.86, 67947
2021-07-29T04:00:00Z, 9.865, 9.87, 9.85, 9.86, 9.86, 75855
2021-07-28T04:00:00Z, 9.86, 9.87, 9.86, 9.86, 9.86, 58718
2021-07-27T04:00:00Z, 9.865, 9.89, 9.86, 9.87, 9.87, 77406
2021-07-26T04:00:00Z, 9.855, 9.87, 9.85, 9.87, 9.87, 87996
2021-07-23T04:00:00Z, 9.865, 9.88, 9.86, 9.86, 9.86, 98630
2021-07-22T04:00:00Z, 9.86, 9.87, 9.85, 9.86, 9.86, 75578
2021-07-21T04:00:00Z, 9.865, 9.89, 9.86, 9.86, 9.86, 32224
2021-07-20T04:00:00Z, 9.865, 9.89, 9.85, 9.87, 9.87, 63610
2021-07-19T04:00:00Z, 9.865, 9.88, 9.86, 9.88, 9.88, 178529
2021-07-16T04:00:00Z, 9.861, 9.88, 9.86, 9.87, 9.87, 189959
2021-07-15T04:00:00Z, 9.861, 9.88, 9.86, 9.88, 9.88, 77897
2021-07-14T04:00:00Z, 9.865, 9.88, 9.86, 9.88, 9.88, 108158
2021-07-13T04:00:00Z, 9.87, 9.89, 9.86, 9.87, 9.87, 39345
2021-07-12T04:00:00Z, 9.861, 9.88, 9.85, 9.88, 9.88, 39801
2021-07-09T04:00:00Z, 9.86, 9.87, 9.85, 9.85, 9.85, 69463
2021-07-08T04:00:00Z, 9.855, 9.86, 9.85, 9.86, 9.86, 77920
2021-07-07T04:00:00Z, 9.85, 9.87, 9.85, 9.85, 9.85, 169513
2021-07-06T04:00:00Z, 9.85, 9.87, 9.85, 9.85, 9.85, 85617
2021-07-02T04:00:00Z, 9.855, 9.87, 9.84, 9.85, 9.85, 144943
2021-07-01T04:00:00Z, 9.85, 9.86, 9.84, 9.85, 9.85, 160795
2021-06-30T04:00:00Z, 9.855, 9.86, 9.85, 9.85, 9.85, 38951
2021-06-29T04:00:00Z, 9.86, 9.87, 9.85, 9.85, 9.85, 43150
2021-06-28T04:00:00Z, 9.87, 9.87, 9.85, 9.85, 9.85, 100543
2021-06-25T04:00:00Z, 9.87, 9.9, 9.84, 9.86, 9.86, 91941
2021-06-24T04:00:00Z, 9.861, 9.88, 9.85, 9.85, 9.85, 54484
2021-06-23T04:00:00Z, 9.86, 9.88, 9.85, 9.87, 9.87, 107672
2021-06-22T04:00:00Z, 9.87, 9.88, 9.85, 9.86, 9.86, 89257
2021-06-21T04:00:00Z, 9.86, 9.8824, 9.84, 9.85, 9.85, 255540
2021-06-18T04:00:00Z, 9.89, 9.9299, 9.85, 9.88, 9.88, 220147
2021-06-17T04:00:00Z, 9.91, 9.91, 9.88, 9.89, 9.89, 71826
2021-06-16T04:00:00Z, 9.891, 9.91, 9.87, 9.91, 9.91, 1382382
2021-06-15T04:00:00Z, 9.891, 9.91, 9.88, 9.89, 9.89, 135976
2021-06-14T04:00:00Z, 9.91, 9.92, 9.89, 9.9, 9.9, 144000
2021-06-11T04:00:00Z, 9.91, 9.94, 9.9, 9.92, 9.92, 76878
2021-06-10T04:00:00Z, 9.92, 9.94, 9.92, 9.94, 9.94, 45219
2021-06-09T04:00:00Z, 9.95, 9.95, 9.9, 9.94, 9.94, 92532
2021-06-08T04:00:00Z, 9.92, 9.95, 9.88, 9.92, 9.92, 243042
2021-06-07T04:00:00Z, 9.87, 9.91, 9.87, 9.91, 9.91, 130965
2021-06-04T04:00:00Z, 9.9, 9.9, 9.88, 9.9, 9.9, 157343
2021-06-03T04:00:00Z, 9.9, 9.94, 9.88, 9.92, 9.92, 97162
2021-06-02T04:00:00Z, 9.89, 9.91, 9.87, 9.89, 9.89, 191237
2021-06-01T04:00:00Z, 9.88, 9.94, 9.8794, 9.92, 9.92, 59045
2021-05-28T04:00:00Z, 9.9, 9.91, 9.87, 9.89, 9.89, 58077
2021-05-27T04:00:00Z, 9.88, 9.94, 9.87, 9.94, 9.94, 69471
2021-05-26T04:00:00Z, 9.86, 9.96, 9.86, 9.91, 9.91, 185043
2021-05-25T04:00:00Z, 9.88, 9.88, 9.86, 9.88, 9.88, 203796
2021-05-24T04:00:00Z, 9.87, 9.88, 9.85, 9.87, 9.87, 376354
2021-05-21T04:00:00Z, 9.88, 9.88, 9.86, 9.87, 9.87, 84220
2021-05-20T04:00:00Z, 9.89, 9.89, 9.86, 9.87, 9.87, 260365
2021-05-19T04:00:00Z, 9.87, 9.89, 9.86, 9.88, 9.88, 207208
2021-05-18T04:00:00Z, 9.87, 9.9, 9.87, 9.88, 9.88, 138822
2021-05-17T04:00:00Z, 9.87, 9.9, 9.87, 9.88, 9.88, 150965
2021-05-14T04:00:00Z, 9.88, 9.89, 9.84, 9.88, 9.88, 293880
2021-05-13T04:00:00Z, 9.87, 9.91, 9.85, 9.87, 9.87, 359562
2021-05-12T04:00:00Z, 9.89, 9.91, 9.85, 9.86, 9.86, 267664
2021-05-11T04:00:00Z, 9.85, 9.92, 9.84, 9.89, 9.89, 476324
2021-05-10T04:00:00Z, 9.93, 9.975, 9.9, 9.95, 9.95, 264747
2021-05-07T04:00:00Z, 9.92, 9.955, 9.9, 9.95, 9.95, 184457
2021-05-06T04:00:00Z, 9.91, 9.97, 9.89, 9.94, 9.94, 279213
2021-05-05T04:00:00Z, 9.96, 9.961, 9.89, 9.92, 9.92, 448370
2021-05-04T04:00:00Z, 9.96, 9.98, 9.93, 9.97, 9.97, 238768
2021-05-03T04:00:00Z, 9.97, 10.02, 9.96, 10, 10, 150813
2021-04-30T04:00:00Z, 9.96, 10.02, 9.94, 9.98, 9.98, 205976
2021-04-29T04:00:00Z, 10.02, 10.02, 9.96, 9.98, 9.98, 94371
2021-04-28T04:00:00Z, 10.01, 10.05, 10, 10.02, 10.02, 158001
2021-04-27T04:00:00Z, 9.97, 10.089, 9.97, 10.02, 10.02, 390336
2021-04-26T04:00:00Z, 9.94, 10.02, 9.91, 10.01, 10.01, 219928
2021-04-23T04:00:00Z, 9.91, 9.96, 9.9, 9.95, 9.95, 174649
2021-04-22T04:00:00Z, 9.97, 9.9709, 9.88, 9.92, 9.92, 258120
2021-04-21T04:00:00Z, 9.88, 10, 9.88, 10, 10, 342147
2021-04-20T04:00:00Z, 9.91, 9.96, 9.88, 9.91, 9.91, 328824
2021-04-19T04:00:00Z, 9.9, 9.92, 9.89, 9.92, 9.92, 554788
2021-04-16T04:00:00Z, 9.93, 9.94, 9.87, 9.93, 9.93, 295972
2021-04-15T04:00:00Z, 9.96, 9.97, 9.92, 9.95, 9.95, 238482
2021-04-14T04:00:00Z, 9.97, 10, 9.95, 9.98, 9.98, 206276
2021-04-13T04:00:00Z, 9.97, 10.02, 9.93, 10.005, 10.005, 320365
2021-04-12T04:00:00Z, 10.05, 10.09, 9.98, 10.01, 10.01, 272675
