Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 2.44, 2.61, 2.42, 2.48, 2.48, 36059
2022-02-07T05:00:00Z, 2.49, 2.57, 2.4483, 2.4713, 2.4713, 14295
2022-02-04T05:00:00Z, 2.47, 2.6065, 2.42, 2.5956, 2.5956, 13564
2022-02-03T05:00:00Z, 2.44, 2.63, 2.44, 2.555, 2.555, 24654
2022-02-02T05:00:00Z, 2.42, 2.83, 2.28, 2.56, 2.56, 186003
2022-02-01T05:00:00Z, 2.34, 2.55, 2.25, 2.44, 2.44, 67331
2022-01-31T05:00:00Z, 2.47, 2.548, 2.27, 2.4, 2.4, 62547
2022-01-28T05:00:00Z, 2.62, 2.685, 2.33, 2.48, 2.48, 107303
2022-01-27T05:00:00Z, 2.71, 2.89, 2.36, 2.81, 2.81, 329733
2022-01-26T05:00:00Z, 2.88, 3.01, 2.62, 2.72, 2.72, 266031
2022-01-25T05:00:00Z, 3.25, 3.33, 2.68, 3.03, 3.03, 1450172
2022-01-24T05:00:00Z, 3.81, 3.92, 2.4, 3.1, 3.1, 10457949
2022-01-21T05:00:00Z, 2.85, 3.34, 2.22, 2.468, 2.468, 526818
2022-01-20T05:00:00Z, 3.37, 3.3702, 2.585, 2.85, 2.85, 216359
2022-01-19T05:00:00Z, 3.33, 3.4, 3.3, 3.34, 3.34, 7725
2022-01-18T05:00:00Z, 3.29, 3.44, 3.13, 3.41, 3.41, 72658
2022-01-14T05:00:00Z, 2.93, 3.18, 2.85, 3.07, 3.07, 31436
2022-01-13T05:00:00Z, 3.2, 3.2999, 2.96, 3.06, 3.06, 88337
2022-01-12T05:00:00Z, 3.37, 4.95, 3.22, 3.28, 3.28, 3349844
2022-01-11T05:00:00Z, 3.0699, 3.27, 3.06, 3.27, 3.27, 16360
2022-01-10T05:00:00Z, 2.91, 3.04, 2.91, 3.04, 3.04, 1563
2022-01-07T05:00:00Z, 3.35, 3.4186, 2.88, 3.11, 3.11, 5189
2022-01-06T05:00:00Z, 3.03, 3.03, 2.9201, 3.03, 3.03, 1344
2022-01-05T05:00:00Z, 3.04, 3.37, 2.96, 2.96, 2.96, 19598
2022-01-04T05:00:00Z, 2.95, 3.01, 2.92, 2.93, 2.93, 4561
2022-01-03T05:00:00Z, 3.01, 3.1, 3.01, 3.1, 3.1, 13647
2021-12-31T05:00:00Z, 3.15, 3.2961, 2.87, 2.9524, 2.9524, 32861
2021-12-30T05:00:00Z, 3.21, 3.49, 3.05, 3.1501, 3.1501, 31545
2021-12-29T05:00:00Z, 3.02, 3.96, 3.01, 3.49, 3.49, 33640
2021-12-28T05:00:00Z, 3.51, 3.5499, 3.22, 3.22, 3.22, 12959
2021-12-27T05:00:00Z, 3.62, 3.8, 3.5, 3.51, 3.51, 13118
2021-12-23T05:00:00Z, 3.87, 3.891, 3.7, 3.84, 3.84, 10623
2021-12-22T05:00:00Z, 3.57, 3.91, 3.73, 3.7301, 3.7301, 905
2021-12-21T05:00:00Z, 3.7, 3.8745, 3.5, 3.58, 3.58, 6904
2021-12-20T05:00:00Z, 3.91, 3.97, 3.8, 3.81, 3.81, 11275
2021-12-17T05:00:00Z, 4, 4, 3.93, 3.975, 3.975, 4786
2021-12-16T05:00:00Z, 4.06, 4.108, 3.9677, 3.9677, 3.9677, 12721
2021-12-15T05:00:00Z, 4.32, 4.32, 4.0501, 4.09, 4.09, 8563
2021-12-14T05:00:00Z, 4.6, 4.6, 4.11, 4.41, 4.41, 14962
2021-12-13T05:00:00Z, 4.25, 4.6, 4.25, 4.5752, 4.5752, 40311
2021-12-10T05:00:00Z, 4.29, 4.35, 4.2, 4.25, 4.25, 15759
2021-12-09T05:00:00Z, 4.3, 4.55, 4.26, 4.3399, 4.3399, 32073
2021-12-08T05:00:00Z, 4.23, 4.5899, 4.06, 4.5, 4.5, 23352
2021-12-07T05:00:00Z, 4.15, 4.47, 4.23, 4.46, 4.46, 8461
2021-12-06T05:00:00Z, 4.19, 4.28, 4.17, 4.28, 4.28, 12293
2021-12-03T05:00:00Z, 4.26, 4.29, 4.2, 4.2, 4.2, 12895
2021-12-02T05:00:00Z, 4.24, 4.2578, 4.2, 4.25, 4.25, 3968
2021-12-01T05:00:00Z, 4.28, 4.27, 4.08, 4.19, 4.19, 11995
2021-11-30T05:00:00Z, 4.29, 4.29, 4.1, 4.27, 4.27, 16474
2021-11-29T05:00:00Z, 4.24, 4.2999, 4.1027, 4.2999, 4.2999, 3137
2021-11-26T05:00:00Z, 4.27, 4.28, 4.05, 4.14, 4.14, 29790
2021-11-24T05:00:00Z, 4.05, 4.3, 3.9, 4.29, 4.29, 56503
2021-11-23T05:00:00Z, 4.28, 4.3, 4.05, 4.14, 4.14, 12656
2021-11-22T05:00:00Z, 4.18, 4.18, 4.05, 4.18, 4.18, 24924
2021-11-19T05:00:00Z, 4.1, 4.295, 4.05, 4.12, 4.12, 24572
2021-11-18T05:00:00Z, 4.25, 4.3, 4.06, 4.2, 4.2, 27723
2021-11-17T05:00:00Z, 4.22, 4.4, 4.05, 4.23, 4.23, 113386
2021-11-16T05:00:00Z, 4.3, 4.35, 4.03, 4.08, 4.08, 78094
2021-11-15T05:00:00Z, 4.34, 4.49, 4.3, 4.49, 4.49, 123179
2021-11-12T05:00:00Z, 5.2, 5.25, 4.27, 4.55, 4.55, 424655
