Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 6.26, 6.36, 6.15, 6.27, 6.27, 522248
2022-02-07T05:00:00Z, 6.3, 6.46, 6.12, 6.29, 6.29, 427704
2022-02-04T05:00:00Z, 6.01, 6.31, 5.93, 6.25, 6.25, 563905
2022-02-03T05:00:00Z, 6.15, 6.1, 5.88, 6, 6, 808651
2022-02-02T05:00:00Z, 6.46, 6.71, 6.12, 6.19, 6.19, 549557
2022-02-01T05:00:00Z, 6.49, 6.58, 6.2, 6.56, 6.56, 807492
2022-01-31T05:00:00Z, 5.94, 6.43, 5.87, 6.4, 6.4, 764968
2022-01-28T05:00:00Z, 5.92, 6.06, 5.6, 5.87, 5.87, 746767
2022-01-27T05:00:00Z, 6.06, 6.175, 5.685, 5.73, 5.73, 809919
2022-01-26T05:00:00Z, 6.18, 6.44, 5.75, 5.83, 5.83, 1217151
2022-01-25T05:00:00Z, 6.2, 6.35, 5.805, 5.91, 5.91, 1110666
2022-01-24T05:00:00Z, 6.1, 6.4, 5.75, 6.37, 6.37, 751509
2022-01-21T05:00:00Z, 6.28, 6.52, 6.095, 6.11, 6.11, 859587
2022-01-20T05:00:00Z, 6.5, 6.87, 6.36, 6.38, 6.38, 937484
2022-01-19T05:00:00Z, 6.42, 6.62, 6.28, 6.38, 6.38, 1188698
2022-01-18T05:00:00Z, 6.48, 6.55, 6.175, 6.26, 6.26, 1215214
2022-01-14T05:00:00Z, 6.74, 6.85, 6.48, 6.65, 6.65, 1120523
2022-01-13T05:00:00Z, 7.07, 7.125, 6.69, 6.72, 6.72, 888203
2022-01-12T05:00:00Z, 7.06, 7.635, 6.895, 6.93, 6.93, 1035001
2022-01-11T05:00:00Z, 6.89, 7.16, 6.66, 7.02, 7.02, 1237186
2022-01-10T05:00:00Z, 6.61, 6.915, 6.27, 6.9, 6.9, 1374773
2022-01-07T05:00:00Z, 6.94, 7.07, 6.59, 6.69, 6.69, 1225449
2022-01-06T05:00:00Z, 7.04, 7.23, 6.87, 6.95, 6.95, 785617
2022-01-05T05:00:00Z, 7.51, 7.63, 7.03, 7.09, 7.09, 629883
2022-01-04T05:00:00Z, 8.17, 8.23, 7.45, 7.68, 7.68, 586817
2022-01-03T05:00:00Z, 7.87, 8.13, 7.6, 8.1, 8.1, 554941
2021-12-31T05:00:00Z, 7.94, 8.11, 7.7, 7.82, 7.82, 949558
2021-12-30T05:00:00Z, 7.48, 8.03, 7.46, 7.89, 7.89, 1498092
2021-12-29T05:00:00Z, 7.63, 7.85, 7.43, 7.5, 7.5, 788908
2021-12-28T05:00:00Z, 7.7, 7.85, 7.51, 7.7, 7.7, 701662
2021-12-27T05:00:00Z, 8, 8.2, 7.71, 7.82, 7.82, 624688
2021-12-23T05:00:00Z, 7.8, 8.15, 7.7113, 8.04, 8.04, 746879
2021-12-22T05:00:00Z, 8.02, 8.22, 7.8, 7.84, 7.84, 522580
2021-12-21T05:00:00Z, 7.68, 8.06, 7.65, 7.94, 7.94, 784887
2021-12-20T05:00:00Z, 7.54, 7.72, 7.33, 7.55, 7.55, 1081306
2021-12-17T05:00:00Z, 7.48, 8, 7.3, 7.87, 7.87, 2683629
2021-12-16T05:00:00Z, 8.06, 8.145, 7.51, 7.54, 7.54, 750064
2021-12-15T05:00:00Z, 7.78, 7.92, 7.55, 7.79, 7.79, 1648073
2021-12-14T05:00:00Z, 7.96, 8.175, 7.51, 7.77, 7.77, 922931
2021-12-13T05:00:00Z, 7.87, 8.095, 7.77, 7.95, 7.95, 748605
2021-12-10T05:00:00Z, 8.23, 8.29, 7.88, 7.94, 7.94, 889086
2021-12-09T05:00:00Z, 8.33, 8.45, 7.8122, 8.08, 8.08, 1379342
2021-12-08T05:00:00Z, 8.19, 8.45, 7.8711, 8.44, 8.44, 1882387
2021-12-07T05:00:00Z, 7.47, 7.91, 7.4, 7.87, 7.87, 1744908
