Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 12.88, 13.67, 12.82, 13.15, 13.15, 4939176
2022-02-07T05:00:00Z, 13.22, 13.3877, 12.461, 12.66, 12.66, 4200748
2022-02-04T05:00:00Z, 12.44, 13.4, 12.34, 13.04, 13.04, 5227190
2022-02-03T05:00:00Z, 12.26, 12.9, 12.11, 12.22, 12.22, 5176828
2022-02-02T05:00:00Z, 11.92, 12.47, 11.89, 12.25, 12.25, 6747497
2022-02-01T05:00:00Z, 10.77, 12.29, 10.59, 11.96, 11.96, 5702873
2022-01-31T05:00:00Z, 11.23, 11.35, 10.64, 10.8, 10.8, 6354896
2022-01-28T05:00:00Z, 11.105, 11.6162, 10.7, 11.23, 11.23, 4817978
2022-01-27T05:00:00Z, 11.33, 11.765, 10.75, 11.04, 11.04, 3995244
2022-01-26T05:00:00Z, 11.505, 11.88, 10.91, 11.12, 11.12, 5566957
2022-01-25T05:00:00Z, 10.53, 11.06, 10.19, 10.98, 10.98, 5970831
2022-01-24T05:00:00Z, 10.2, 10.78, 9.83, 10.73, 10.73, 6933228
2022-01-21T05:00:00Z, 11.14, 11.25, 10.57, 10.75, 10.75, 6429578
2022-01-20T05:00:00Z, 12.29, 12.44, 11.255, 11.3, 11.3, 6135997
2022-01-19T05:00:00Z, 13.4, 13.44, 12.46, 12.48, 12.48, 4939431
2022-01-18T05:00:00Z, 13.66, 14.13, 12.88, 13.13, 13.13, 6213467
2022-01-14T05:00:00Z, 12.57, 13.45, 12.3808, 13.44, 13.44, 7378449
2022-01-13T05:00:00Z, 13.01, 13.51, 12.38, 12.47, 12.47, 5218620
2022-01-12T05:00:00Z, 12.37, 13.27, 12.1608, 13.22, 13.22, 6236432
2022-01-11T05:00:00Z, 11.35, 12.16, 11.17, 11.98, 11.98, 4947921
2022-01-10T05:00:00Z, 11.45, 12.14, 11.03, 11.3, 11.3, 4885335
2022-01-07T05:00:00Z, 11.58, 12, 11.3093, 11.37, 11.37, 3054702
2022-01-06T05:00:00Z, 11.69, 11.725, 10.83, 11.38, 11.38, 3676881
2022-01-05T05:00:00Z, 11.54, 12.18, 11.27, 11.4, 11.4, 5641755
2022-01-04T05:00:00Z, 11.64, 11.7799, 11.125, 11.24, 11.24, 4172339
2022-01-03T05:00:00Z, 10.41, 11.89, 10.41, 11.34, 11.34, 6784597
2021-12-31T05:00:00Z, 10.17, 10.28, 9.9, 10.07, 10.07, 2276486
2021-12-30T05:00:00Z, 10.4, 10.5275, 10.02, 10.23, 10.23, 2372848
2021-12-29T05:00:00Z, 10.7, 10.98, 10.32, 10.42, 10.42, 2975801
2021-12-28T05:00:00Z, 10.86, 10.939, 10.3, 10.69, 10.69, 2459968
2021-12-27T05:00:00Z, 10.46, 10.915, 10.2377, 10.87, 10.87, 2146353
2021-12-23T05:00:00Z, 11.11, 11.18, 10.56, 10.58, 10.58, 2518961
2021-12-22T05:00:00Z, 10.71, 11.2327, 10.6, 10.91, 10.91, 3736897
2021-12-21T05:00:00Z, 10.24, 11.09, 10.15, 10.83, 10.83, 4181568
2021-12-20T05:00:00Z, 9.95, 10.13, 9.57, 10.04, 10.04, 4029131
