Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 10.05, 10.1, 9.985, 10.06, 10.06, 7779
2022-02-07T05:00:00Z, 10.05, 10.07, 10, 10.04, 10.04, 12464
2022-02-04T05:00:00Z, 9.99, 10.04, 9.96, 10.04, 10.04, 703
2022-02-03T05:00:00Z, 10.01, 10.015, 9.975, 9.98, 9.98, 3189
2022-02-02T05:00:00Z, 10, 10.045, 10, 10.02, 10.02, 7098
2022-02-01T05:00:00Z, 10.01, 10.065, 10.03, 10.05, 10.05, 11572
2022-01-31T05:00:00Z, 9.98, 10.025, 10, 10.01, 10.01, 4914
2022-01-28T05:00:00Z, 9.995, 10.0075, 9.9701, 10, 10, 20847
2022-01-27T05:00:00Z, 10.01, 10.012, 10, 10, 10, 10729
2022-01-26T05:00:00Z, 9.9, 10.03, 9.567, 10.0226, 10.0226, 11491
2022-01-25T05:00:00Z, 10.05, 10.05, 9.92, 9.97, 9.97, 6966
2022-01-24T05:00:00Z, 9.98, 10.05, 9.94, 10.05, 10.05, 26137
2022-01-21T05:00:00Z, 10.05, 10.079, 10.0001, 10.04, 10.04, 14438
2022-01-20T05:00:00Z, 10.04, 10.085, 10.04, 10.05, 10.05, 2971
2022-01-19T05:00:00Z, 10.06, 10.09, 10.05, 10.05, 10.05, 3592
2022-01-18T05:00:00Z, 10.06, 10.098, 10.0496, 10.07, 10.07, 2389
2022-01-14T05:00:00Z, 10.06, 10.1335, 10.05, 10.09, 10.09, 3562
2022-01-13T05:00:00Z, 10.28, 10.28, 10.0101, 10.0101, 10.0101, 415
2022-01-12T05:00:00Z, 10.1, 10.1393, 10.09, 10.1393, 10.1393, 54260
2022-01-11T05:00:00Z, 10.08, 10.1, 10.08, 10.1, 10.1, 1978
2022-01-10T05:00:00Z, 10.07, 10.11, 9.9901, 10.11, 10.11, 10327
2022-01-07T05:00:00Z, 10.13, 10.13, 10.075, 10.075, 10.075, 6071
2022-01-06T05:00:00Z, 10.12, 10.13, 10.11, 10.13, 10.13, 10718
2022-01-05T05:00:00Z, 10.13, 10.14, 10.12, 10.125, 10.125, 6289
2022-01-04T05:00:00Z, 10.1, 10.14, 10.09, 10.13, 10.13, 2500
2022-01-03T05:00:00Z, 10.1, 10.1, 10.022, 10.03, 10.03, 2441
2021-12-31T05:00:00Z, 10.1, 10.1, 10.022, 10.07, 10.07, 7591
2021-12-30T05:00:00Z, 10.11, 10.1006, 10.021, 10.0804, 10.0804, 4386
2021-12-29T05:00:00Z, 10.11, 10.12, 10.09, 10.11, 10.11, 18458
2021-12-28T05:00:00Z, 10.105, 10.11, 10.065, 10.1, 10.1, 19432
2021-12-27T05:00:00Z, 10.05, 10.14, 10.05, 10.11, 10.11, 16702
