Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 9.75, 9.759, 9.71, 9.7246, 9.7246, 3433
2022-02-07T05:00:00Z, 9.69, 9.82, 9.7, 9.82, 9.82, 3467
2022-02-04T05:00:00Z, 9.685, 9.685, 9.685, 9.685, 9.685, 0
2022-02-03T05:00:00Z, 9.685, 9.685, 9.685, 9.685, 9.685, 0
2022-02-02T05:00:00Z, 9.67, 9.685, 9.66, 9.685, 9.685, 2023
2022-02-01T05:00:00Z, 9.67, 9.67, 9.67, 9.67, 9.67, 0
2022-01-31T05:00:00Z, 9.66, 9.67, 9.65, 9.67, 9.67, 1109
2022-01-28T05:00:00Z, 9.61, 9.61, 9.61, 9.61, 9.61, 0
2022-01-27T05:00:00Z, 9.58, 9.61, 9.58, 9.61, 9.61, 335
2022-01-26T05:00:00Z, 9.68, 9.68, 9.68, 9.68, 9.68, 0
2022-01-25T05:00:00Z, 9.68, 9.68, 9.68, 9.68, 9.68, 0
2022-01-24T05:00:00Z, 9.63, 9.68, 9.6, 9.68, 9.68, 2966
2022-01-21T05:00:00Z, 9.65, 9.65, 9.65, 9.65, 9.65, 0
2022-01-20T05:00:00Z, 9.65, 9.65, 9.65, 9.65, 9.65, 0
2022-01-19T05:00:00Z, 9.71, 9.65, 9.65, 9.65, 9.65, 150002
2022-01-18T05:00:00Z, 9.7, 9.7, 9.65, 9.65, 9.65, 1521
2022-01-14T05:00:00Z, 9.69, 9.72, 9.66, 9.72, 9.72, 7634
2022-01-13T05:00:00Z, 9.73, 9.73, 9.73, 9.73, 9.73, 0
2022-01-12T05:00:00Z, 9.73, 9.73, 9.73, 9.73, 9.73, 0
2022-01-11T05:00:00Z, 9.73, 9.73, 9.73, 9.73, 9.73, 0
2022-01-10T05:00:00Z, 9.74, 9.73, 9.72, 9.73, 9.73, 627
2022-01-07T05:00:00Z, 9.7, 9.85, 9.7, 9.74, 9.74, 2887
2022-01-06T05:00:00Z, 9.7, 9.7, 9.7, 9.7, 9.7, 0
2022-01-05T05:00:00Z, 9.7, 9.7, 9.7, 9.7, 9.7, 0
2022-01-04T05:00:00Z, 9.7, 9.7025, 9.69, 9.7, 9.7, 10700
2022-01-03T05:00:00Z, 9.65, 9.675, 9.675, 9.675, 9.675, 68201
2021-12-31T05:00:00Z, 9.7, 9.7, 9.7, 9.7, 9.7, 0
2021-12-30T05:00:00Z, 9.7, 9.7, 9.7, 9.7, 9.7, 0
2021-12-29T05:00:00Z, 9.7, 9.7, 9.7, 9.7, 9.7, 0
2021-12-28T05:00:00Z, 9.7, 9.7, 9.7, 9.7, 9.7, 121
2021-12-27T05:00:00Z, 9.71, 9.71, 9.71, 9.71, 9.71, 0
2021-12-23T05:00:00Z, 9.69, 9.71, 9.69, 9.71, 9.71, 1712
2021-12-22T05:00:00Z, 9.69, 9.69, 9.69, 9.69, 9.69, 370
2021-12-21T05:00:00Z, 9.69, 9.69, 9.69, 9.69, 9.69, 3577
2021-12-20T05:00:00Z, 9.68, 9.68, 9.68, 9.68, 9.68, 6941
2021-12-17T05:00:00Z, 9.67, 9.68, 9.67, 9.68, 9.68, 4387
2021-12-16T05:00:00Z, 9.66, 9.68, 9.65, 9.68, 9.68, 509325
2021-12-15T05:00:00Z, 9.69, 9.69, 9.69, 9.69, 9.69, 0
2021-12-14T05:00:00Z, 9.67, 9.69, 9.6599, 9.69, 9.69, 205371
2021-12-13T05:00:00Z, 9.705, 9.705, 9.705, 9.705, 9.705, 0
2021-12-10T05:00:00Z, 9.67, 9.71, 9.67, 9.705, 9.705, 38024
2021-12-09T05:00:00Z, 9.69, 9.69, 9.68, 9.69, 9.69, 1666
2021-12-08T05:00:00Z, 9.69, 9.69, 9.69, 9.69, 9.69, 1816
2021-12-07T05:00:00Z, 9.67, 9.69, 9.67, 9.69, 9.69, 3001
2021-12-06T05:00:00Z, 9.67, 9.69, 9.65, 9.69, 9.69, 4964
2021-12-03T05:00:00Z, 9.67, 9.7, 9.65, 9.69, 9.69, 40841
2021-12-02T05:00:00Z, 9.69, 9.71, 9.66, 9.67, 9.67, 73871
2021-12-01T05:00:00Z, 9.71, 9.71, 9.71, 9.71, 9.71, 0
2021-11-30T05:00:00Z, 9.7, 9.72, 9.67, 9.71, 9.71, 112469
2021-11-29T05:00:00Z, 9.72, 9.73, 9.72, 9.73, 9.73, 53599
2021-11-26T05:00:00Z, 9.75, 9.75, 9.75, 9.75, 9.75, 0
2021-11-24T05:00:00Z, 9.75, 9.75, 9.75, 9.75, 9.75, 0
2021-11-23T05:00:00Z, 9.75, 9.75, 9.75, 9.75, 9.75, 0
2021-11-22T05:00:00Z, 9.72, 9.75, 9.72, 9.75, 9.75, 28399
2021-11-19T05:00:00Z, 9.71, 9.75, 9.71, 9.75, 9.75, 29503
2021-11-18T05:00:00Z, 9.78, 9.78, 9.78, 9.78, 9.78, 0
