Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 1.78, 1.97, 1.7, 1.85, 1.85, 3894328
2022-02-07T05:00:00Z, 1.66, 1.74, 1.66, 1.71, 1.71, 119461
2022-02-04T05:00:00Z, 1.65, 1.7099, 1.62, 1.67, 1.67, 134255
2022-02-03T05:00:00Z, 1.69, 1.74, 1.66, 1.68, 1.68, 83928
2022-02-02T05:00:00Z, 1.85, 1.89, 1.6811, 1.71, 1.71, 238079
2022-02-01T05:00:00Z, 1.82, 1.89, 1.74, 1.85, 1.85, 208101
2022-01-31T05:00:00Z, 1.68, 1.8, 1.63, 1.77, 1.77, 503690
2022-01-28T05:00:00Z, 1.58, 1.64, 1.5201, 1.64, 1.64, 108659
2022-01-27T05:00:00Z, 1.68, 1.71, 1.55, 1.58, 1.58, 137957
2022-01-26T05:00:00Z, 1.72, 1.7898, 1.65, 1.68, 1.68, 88876
2022-01-25T05:00:00Z, 1.6, 1.71, 1.58, 1.68, 1.68, 176421
2022-01-24T05:00:00Z, 1.67, 1.7, 1.55, 1.67, 1.67, 353861
2022-01-21T05:00:00Z, 1.81, 1.84, 1.7, 1.71, 1.71, 200607
2022-01-20T05:00:00Z, 1.84, 1.94, 1.81, 1.85, 1.85, 124684
2022-01-19T05:00:00Z, 1.94, 1.9591, 1.78, 1.81, 1.81, 192145
2022-01-18T05:00:00Z, 1.89, 1.97, 1.86, 1.89, 1.89, 291664
2022-01-14T05:00:00Z, 1.82, 1.9, 1.75, 1.85, 1.85, 273540
2022-01-13T05:00:00Z, 1.82, 1.8302, 1.75, 1.79, 1.79, 112219
2022-01-12T05:00:00Z, 1.83, 1.88, 1.76, 1.79, 1.79, 148898
2022-01-11T05:00:00Z, 1.78, 1.81, 1.735, 1.8, 1.8, 124460
2022-01-10T05:00:00Z, 1.77, 1.79, 1.72, 1.77, 1.77, 172202
2022-01-07T05:00:00Z, 1.87, 1.92, 1.78, 1.79, 1.79, 190109
2022-01-06T05:00:00Z, 1.9, 1.92, 1.82, 1.89, 1.89, 152123
2022-01-05T05:00:00Z, 2.07, 2.085, 1.87, 1.88, 1.88, 180215
2022-01-04T05:00:00Z, 2.06, 2.12, 1.95, 2.07, 2.07, 199674
2022-01-03T05:00:00Z, 1.93, 2.06, 1.9, 2.02, 2.02, 214390
2021-12-31T05:00:00Z, 1.91, 1.98, 1.88, 1.88, 1.88, 312595
2021-12-30T05:00:00Z, 1.89, 2, 1.88, 1.94, 1.94, 271465
2021-12-29T05:00:00Z, 1.97, 1.99, 1.88, 1.88, 1.88, 303575
2021-12-28T05:00:00Z, 2.03, 2.03, 1.93, 1.97, 1.97, 267947
2021-12-27T05:00:00Z, 2.05, 2.07, 2.0057, 2.02, 2.02, 147881
2021-12-23T05:00:00Z, 2.03, 2.1, 2.02, 2.05, 2.05, 111865
