Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 1.76, 1.7806, 1.73, 1.74, 1.74, 280330
2022-02-07T05:00:00Z, 1.8, 1.8105, 1.71, 1.77, 1.77, 519992
2022-02-04T05:00:00Z, 1.8, 1.8145, 1.76, 1.8, 1.8, 391163
2022-02-03T05:00:00Z, 1.83, 1.89, 1.76, 1.81, 1.81, 1337218
2022-02-02T05:00:00Z, 1.9, 1.92, 1.78, 1.86, 1.86, 599257
2022-02-01T05:00:00Z, 1.91, 2.0881, 1.86, 1.87, 1.87, 3568940
2022-01-31T05:00:00Z, 1.89, 1.9399, 1.86, 1.9, 1.9, 80704
2022-01-28T05:00:00Z, 1.9, 1.95, 1.86, 1.88, 1.88, 252630
2022-01-27T05:00:00Z, 1.98, 2.1, 1.8601, 1.89, 1.89, 505339
2022-01-26T05:00:00Z, 2.01, 2.0499, 1.9201, 1.99, 1.99, 107941
2022-01-25T05:00:00Z, 2.02, 2.05, 1.95, 2, 2, 68814
2022-01-24T05:00:00Z, 2.03, 2.05, 1.91, 2.02, 2.02, 75350
2022-01-21T05:00:00Z, 2.14, 2.14, 2.03, 2.06, 2.06, 69260
2022-01-20T05:00:00Z, 2.23, 2.23, 2.12, 2.13, 2.13, 349162
2022-01-19T05:00:00Z, 2.27, 2.3129, 2.2, 2.25, 2.25, 40145
2022-01-18T05:00:00Z, 2.31, 2.34, 2.28, 2.29, 2.29, 37594
2022-01-14T05:00:00Z, 2.25, 2.35, 2.25, 2.35, 2.35, 58023
2022-01-13T05:00:00Z, 2.27, 2.36, 2.24, 2.3, 2.3, 208311
2022-01-12T05:00:00Z, 2.33, 2.34, 2.26, 2.26, 2.26, 81089
2022-01-11T05:00:00Z, 2.35, 2.36, 2.3201, 2.34, 2.34, 45084
2022-01-10T05:00:00Z, 2.45, 2.46, 2.3, 2.35, 2.35, 98634
2022-01-07T05:00:00Z, 2.39, 2.47, 2.36, 2.46, 2.46, 48669
2022-01-06T05:00:00Z, 2.27, 2.44, 2.23, 2.38, 2.38, 34920
2022-01-05T05:00:00Z, 2.4, 2.441, 2.24, 2.31, 2.31, 178800
2022-01-04T05:00:00Z, 2.35, 2.4, 2.34, 2.37, 2.37, 39837
2022-01-03T05:00:00Z, 2.37, 2.4, 2.28, 2.35, 2.35, 103616
2021-12-31T05:00:00Z, 2.31, 2.38, 2.26, 2.31, 2.31, 109305
2021-12-30T05:00:00Z, 2.33, 2.4576, 2.33, 2.39, 2.39, 41249
2021-12-29T05:00:00Z, 2.36, 2.43, 2.33, 2.37, 2.37, 30674
2021-12-28T05:00:00Z, 2.4, 2.5, 2.34, 2.44, 2.44, 100188
2021-12-27T05:00:00Z, 2.55, 2.6, 2.45, 2.48, 2.48, 96110
2021-12-23T05:00:00Z, 2.5, 2.705, 2.37, 2.56, 2.56, 161009
2021-12-22T05:00:00Z, 2.42, 2.51, 2.36, 2.45, 2.45, 98393
2021-12-21T05:00:00Z, 2.51, 2.6, 2.42, 2.48, 2.48, 140283
2021-12-20T05:00:00Z, 2.41, 2.63, 2.38, 2.6, 2.6, 374877
2021-12-17T05:00:00Z, 2.5, 3.5, 2.47, 2.63, 2.63, 2739609
2021-12-16T05:00:00Z, 2.77, 2.8, 2.5, 2.56, 2.56, 515278
2021-12-15T05:00:00Z, 2.74, 2.79, 2.5, 2.77, 2.77, 56238
2021-12-14T05:00:00Z, 2.6, 2.62, 2.565, 2.59, 2.59, 27975
2021-12-13T05:00:00Z, 2.6, 2.69, 2.57, 2.6, 2.6, 40242
2021-12-10T05:00:00Z, 2.73, 2.79, 2.54, 2.62, 2.62, 47982
2021-12-09T05:00:00Z, 2.59, 2.6201, 2.52, 2.54, 2.54, 28700
2021-12-08T05:00:00Z, 2.72, 2.72, 2.55, 2.65, 2.65, 9044
2021-12-07T05:00:00Z, 2.6, 2.6999, 2.57, 2.68, 2.68, 22534
2021-12-06T05:00:00Z, 2.5, 2.61, 2.45, 2.6, 2.6, 23406
2021-12-03T05:00:00Z, 2.55, 2.6, 2.44, 2.51, 2.51, 79919
2021-12-02T05:00:00Z, 2.56, 2.67, 2.5207, 2.62, 2.62, 41338
2021-12-01T05:00:00Z, 2.69, 2.79, 2.64, 2.64, 2.64, 162110
2021-11-30T05:00:00Z, 2.47, 2.72, 2.45, 2.64, 2.64, 65423
2021-11-29T05:00:00Z, 2.52, 2.55, 2.47, 2.47, 2.47, 39551
2021-11-26T05:00:00Z, 2.5, 2.57, 2.45, 2.48, 2.48, 31570
2021-11-24T05:00:00Z, 2.55, 2.63, 2.5, 2.62, 2.62, 40820
2021-11-23T05:00:00Z, 2.6, 2.62, 2.52, 2.54, 2.54, 21207
2021-11-22T05:00:00Z, 2.58, 2.6877, 2.5109, 2.63, 2.63, 33616
2021-11-19T05:00:00Z, 2.56, 2.66, 2.43, 2.57, 2.57, 70137
2021-11-18T05:00:00Z, 2.66, 2.78, 2.56, 2.62, 2.62, 33967
