Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 5.99, 6.24, 5.945, 6.19, 6.19, 232646
2022-02-07T05:00:00Z, 5.8, 5.975, 5.66, 5.96, 5.96, 293650
2022-02-04T05:00:00Z, 5.86, 5.88, 5.6, 5.67, 5.67, 292052
2022-02-03T05:00:00Z, 5.88, 5.95, 5.81, 5.82, 5.82, 203017
2022-02-02T05:00:00Z, 5.87, 6.08, 5.775, 5.87, 5.87, 215456
2022-02-01T05:00:00Z, 5.92, 6.06, 5.77, 5.99, 5.99, 306196
2022-01-31T05:00:00Z, 5.62, 5.95, 5.47, 5.94, 5.94, 296585
2022-01-28T05:00:00Z, 5.32, 5.54, 5.2201, 5.54, 5.54, 221338
2022-01-27T05:00:00Z, 5.67, 5.74, 5.33, 5.36, 5.36, 287155
2022-01-26T05:00:00Z, 6.02, 6.0597, 5.6, 5.62, 5.62, 387962
2022-01-25T05:00:00Z, 5.53, 6.02, 5.41, 5.92, 5.92, 789169
2022-01-24T05:00:00Z, 5.36, 5.49, 4.99, 5.44, 5.44, 546430
2022-01-21T05:00:00Z, 5.72, 5.7444, 5.43, 5.43, 5.43, 355266
2022-01-20T05:00:00Z, 5.82, 6.079, 5.78, 5.81, 5.81, 319997
2022-01-19T05:00:00Z, 6.01, 6.05, 5.83, 5.86, 5.86, 294500
2022-01-18T05:00:00Z, 6.09, 6.15, 5.95, 6.01, 6.01, 355972
2022-01-14T05:00:00Z, 6.4, 6.39, 6.15, 6.18, 6.18, 229880
2022-01-13T05:00:00Z, 6.58, 6.63, 6.38, 6.43, 6.43, 249055
2022-01-12T05:00:00Z, 6.72, 6.8094, 6.5, 6.5, 6.5, 705870
2022-01-11T05:00:00Z, 6.34, 6.63, 6.18, 6.5, 6.5, 341766
2022-01-10T05:00:00Z, 6.51, 6.51, 6.22, 6.37, 6.37, 385846
2022-01-07T05:00:00Z, 6.95, 7.01, 6.52, 6.56, 6.56, 508551
2022-01-06T05:00:00Z, 7.16, 7.22, 6.9175, 6.93, 6.93, 279654
2022-01-05T05:00:00Z, 7.14, 7.31, 7.102, 7.16, 7.16, 488914
2022-01-04T05:00:00Z, 7.16, 7.2884, 7.07, 7.21, 7.21, 354716
2022-01-03T05:00:00Z, 7.21, 7.24, 7.03, 7.11, 7.11, 636645
2021-12-31T05:00:00Z, 7.15, 7.25, 7.01, 7.06, 7.06, 318104
2021-12-30T05:00:00Z, 6.81, 7.14, 6.79, 7.05, 7.05, 253147
2021-12-29T05:00:00Z, 7.13, 7.2, 6.75, 6.78, 6.78, 426733
2021-12-28T05:00:00Z, 7.5, 7.58, 7.11, 7.12, 7.12, 462405
2021-12-27T05:00:00Z, 7.67, 7.94, 7.52, 7.58, 7.58, 437838
2021-12-23T05:00:00Z, 7.29, 7.79, 7.2, 7.61, 7.61, 568086
2021-12-22T05:00:00Z, 7.8, 7.85, 7.15, 7.34, 7.34, 1587084
2021-12-21T05:00:00Z, 9.63, 10.05, 9.52, 9.89, 9.89, 425822
2021-12-20T05:00:00Z, 9.6, 9.7, 9.3, 9.39, 9.39, 206928
2021-12-17T05:00:00Z, 9.23, 9.83, 9.23, 9.76, 9.76, 1098028
2021-12-16T05:00:00Z, 9.62, 9.82, 9.29, 9.34, 9.34, 419243
2021-12-15T05:00:00Z, 9.48, 9.69, 9.34, 9.64, 9.64, 170708
2021-12-14T05:00:00Z, 9.65, 9.7635, 9.42, 9.5, 9.5, 137274
2021-12-13T05:00:00Z, 10.11, 10.19, 9.48, 9.59, 9.59, 147049
2021-12-10T05:00:00Z, 10.32, 10.41, 10.165, 10.2, 10.2, 77556
2021-12-09T05:00:00Z, 10.35, 10.5, 10.25, 10.31, 10.31, 59943
2021-12-08T05:00:00Z, 10.06, 10.42, 10.04, 10.37, 10.37, 117612
2021-12-07T05:00:00Z, 9.9, 10.32, 9.84, 10.11, 10.11, 158171
2021-12-06T05:00:00Z, 9.35, 9.77, 9.315, 9.73, 9.73, 156972
2021-12-03T05:00:00Z, 9.4, 9.58, 9.25, 9.36, 9.36, 134068
2021-12-02T05:00:00Z, 9.1, 9.53, 9.06, 9.51, 9.51, 140653
2021-12-01T05:00:00Z, 9.59, 9.69, 9.065, 9.1, 9.1, 180884
2021-11-30T05:00:00Z, 9.39, 9.46, 8.9, 9.18, 9.18, 272745
2021-11-29T05:00:00Z, 9.92, 10, 9.54, 9.57, 9.57, 110781
2021-11-26T05:00:00Z, 10.01, 10.07, 9.63, 9.74, 9.74, 136843
2021-11-24T05:00:00Z, 10, 10.215, 10, 10.2, 10.2, 55691
2021-11-23T05:00:00Z, 9.98, 10.14, 9.95, 10.11, 10.11, 88398
2021-11-22T05:00:00Z, 10.17, 10.2, 9.95, 9.99, 9.99, 291300
2021-11-19T05:00:00Z, 10.1, 10.1, 9.94, 10.01, 10.01, 246718
2021-11-18T05:00:00Z, 9.95, 10.1, 9.97, 10.05, 10.05, 88492
2021-11-17T05:00:00Z, 10.31, 10.36, 10, 10.1, 10.1, 179619
2021-11-16T05:00:00Z, 10.13, 10.4, 10.0901, 10.31, 10.31, 72785
2021-11-15T05:00:00Z, 10, 10.24, 9.95, 10.21, 10.21, 220281
2021-11-12T05:00:00Z, 10.53, 10.68, 9.97, 10.01, 10.01, 180667
2021-11-11T05:00:00Z, 10.43, 10.68, 10.37, 10.65, 10.65, 113421
2021-11-10T05:00:00Z, 10.28, 10.46, 10.27, 10.37, 10.37, 71968
2021-11-09T05:00:00Z, 10.31, 10.4, 10.19, 10.36, 10.36, 51041
2021-11-08T05:00:00Z, 10.32, 10.47, 10.2, 10.29, 10.29, 84583
2021-11-05T04:00:00Z, 10.15, 10.43, 10.15, 10.32, 10.32, 108514
2021-11-04T04:00:00Z, 10.32, 10.54, 10.101, 10.15, 10.15, 69973
2021-11-03T04:00:00Z, 10.06, 10.4, 10, 10.32, 10.32, 140983
2021-11-02T04:00:00Z, 9.83, 10.21, 9.7, 10.14, 10.14, 141687
2021-11-01T04:00:00Z, 9.65, 9.94, 9.53, 9.8, 9.8, 70166
2021-10-29T04:00:00Z, 9.62, 9.7, 9.48, 9.62, 9.62, 68946
2021-10-28T04:00:00Z, 9.76, 9.8499, 9.6, 9.62, 9.62, 93084
2021-10-27T04:00:00Z, 9.75, 9.775, 9.64, 9.65, 9.65, 70213
2021-10-26T04:00:00Z, 9.79, 9.92, 9.6, 9.68, 9.68, 154501
2021-10-25T04:00:00Z, 9.86, 10.03, 9.83, 9.86, 9.86, 106248
2021-10-22T04:00:00Z, 10.01, 10.07, 9.9, 9.98, 9.98, 96475
2021-10-21T04:00:00Z, 10.14, 10.26, 10.03, 10.09, 10.09, 53268
2021-10-20T04:00:00Z, 10.17, 10.2609, 10.12, 10.13, 10.13, 56924
2021-10-19T04:00:00Z, 10.11, 10.3, 10, 10.22, 10.22, 91481
2021-10-18T04:00:00Z, 10.05, 10.235, 9.99, 10.07, 10.07, 97194
2021-10-15T04:00:00Z, 10.18, 10.23, 10.01, 10.02, 10.02, 104154
2021-10-14T04:00:00Z, 9.99, 10.15, 9.89, 9.99, 9.99, 88462
2021-10-13T04:00:00Z, 9.92, 9.92, 9.75, 9.87, 9.87, 55477
2021-10-12T04:00:00Z, 9.72, 9.81, 9.63, 9.77, 9.77, 131406
2021-10-11T04:00:00Z, 9.9, 10.02, 9.64, 9.71, 9.71, 128399
2021-10-08T04:00:00Z, 10, 10.07, 9.83, 10.04, 10.04, 97349
2021-10-07T04:00:00Z, 9.9, 10.08, 9.735, 9.94, 9.94, 72420
2021-10-06T04:00:00Z, 9.74, 9.84, 9.51, 9.8, 9.8, 142984
2021-10-05T04:00:00Z, 9.83, 9.94, 9.81, 9.85, 9.85, 81285
2021-10-04T04:00:00Z, 10.14, 10.23, 9.765, 9.79, 9.79, 119809
2021-10-01T04:00:00Z, 9.97, 10.3, 9.885, 10.23, 10.23, 193012
2021-09-30T04:00:00Z, 10.08, 10.19, 9.91, 9.95, 9.95, 142212
2021-09-29T04:00:00Z, 9.85, 10.13, 9.79, 9.96, 9.96, 254908
2021-09-28T04:00:00Z, 10.03, 10.13, 9.85, 9.87, 9.87, 243024
2021-09-27T04:00:00Z, 10.17, 10.24, 10, 10, 10, 164417
2021-09-24T04:00:00Z, 9.58, 10.29, 9.5, 10.19, 10.19, 233412
2021-09-23T04:00:00Z, 10.15, 10.63, 10.12, 10.56, 10.56, 318339
2021-09-22T04:00:00Z, 10.12, 10.33, 9.99, 10.05, 10.05, 153167
2021-09-21T04:00:00Z, 10.11, 10.23, 9.87, 9.91, 9.91, 116516
2021-09-20T04:00:00Z, 10.27, 10.435, 10.03, 10.1, 10.1, 193148
2021-09-17T04:00:00Z, 10.6, 10.75, 10.44, 10.58, 10.58, 783511
2021-09-16T04:00:00Z, 10.71, 10.765, 10.43, 10.51, 10.51, 171221
2021-09-15T04:00:00Z, 11.06, 11.22, 10.65, 10.73, 10.73, 173229
2021-09-14T04:00:00Z, 11.45, 11.49, 11.02, 11.06, 11.06, 180166
2021-09-13T04:00:00Z, 11.39, 11.58, 11.335, 11.39, 11.39, 94659
2021-09-10T04:00:00Z, 11.26, 11.49, 11.185, 11.29, 11.29, 129741
2021-09-09T04:00:00Z, 11.33, 11.5, 11.24, 11.25, 11.25, 170362
2021-09-08T04:00:00Z, 11.4, 11.59, 11.205, 11.34, 11.34, 126670
2021-09-07T04:00:00Z, 11.36, 11.58, 11.33, 11.5, 11.5, 74064
2021-09-03T04:00:00Z, 11.44, 11.49, 11.3, 11.44, 11.44, 87098
2021-09-02T04:00:00Z, 11.45, 11.52, 11.35, 11.5, 11.5, 85296
2021-09-01T04:00:00Z, 11.4, 11.5, 11.23, 11.39, 11.39, 75157
2021-08-31T04:00:00Z, 11.37, 11.59, 11.34, 11.34, 11.34, 80906
2021-08-30T04:00:00Z, 11.65, 11.72, 11.38, 11.39, 11.39, 94705
2021-08-27T04:00:00Z, 11.47, 11.78, 11.28, 11.64, 11.64, 138843
2021-08-26T04:00:00Z, 11.36, 11.445, 11.24, 11.27, 11.27, 92176
2021-08-25T04:00:00Z, 11.57, 11.58, 11.42, 11.42, 11.42, 59732
2021-08-24T04:00:00Z, 11.58, 11.58, 11.4, 11.46, 11.46, 93245
2021-08-23T04:00:00Z, 11.22, 11.47, 11.15, 11.41, 11.41, 100915
