Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 4.68, 4.77, 4.46, 4.72, 4.72, 2731562
2022-02-07T05:00:00Z, 4.72, 4.91, 4.66, 4.83, 4.83, 4980636
2022-02-04T05:00:00Z, 4.16, 4.55, 4.1, 4.51, 4.51, 2438625
2022-02-03T05:00:00Z, 4.16, 4.28, 4.08, 4.09, 4.09, 1572484
2022-02-02T05:00:00Z, 4.53, 4.58, 4.24, 4.36, 4.36, 1625743
2022-02-01T05:00:00Z, 4.42, 4.665, 4.25, 4.51, 4.51, 3082471
2022-01-31T05:00:00Z, 3.86, 4.3, 3.82, 4.3, 4.3, 3324253
2022-01-28T05:00:00Z, 3.65, 3.798, 3.5, 3.76, 3.76, 3068521
2022-01-27T05:00:00Z, 4.01, 4.06, 3.67, 3.71, 3.71, 3469507
2022-01-26T05:00:00Z, 4.15, 4.29, 3.955, 4.01, 4.01, 4724187
2022-01-25T05:00:00Z, 3.9, 4.02, 3.81, 3.93, 3.93, 3729930
2022-01-24T05:00:00Z, 3.86, 4.1, 3.7, 4.02, 4.02, 7459183
2022-01-21T05:00:00Z, 4.8, 4.865, 4.32, 4.35, 4.35, 5307730
2022-01-20T05:00:00Z, 5.36, 5.46, 5.03, 5.04, 5.04, 2483018
2022-01-19T05:00:00Z, 5.29, 5.49, 5.12, 5.14, 5.14, 2520611
2022-01-18T05:00:00Z, 5.38, 5.63, 5.19, 5.21, 5.21, 3774708
2022-01-14T05:00:00Z, 5.07, 5.76, 5.05, 5.68, 5.68, 8289371
2022-01-13T05:00:00Z, 5.34, 5.45, 5.06, 5.1, 5.1, 2311226
2022-01-12T05:00:00Z, 5.23, 5.42, 5.19, 5.34, 5.34, 4060133
2022-01-11T05:00:00Z, 4.67, 5.11, 4.63, 4.99, 4.99, 3360789
2022-01-10T05:00:00Z, 4.7, 4.715, 4.49, 4.65, 4.65, 3225991
2022-01-07T05:00:00Z, 4.57, 4.76, 4.46, 4.67, 4.67, 2614997
2022-01-06T05:00:00Z, 4.76, 4.88, 4.52, 4.68, 4.68, 2463619
2022-01-05T05:00:00Z, 5.06, 5.1616, 4.725, 4.74, 4.74, 3322308
2022-01-04T05:00:00Z, 5.39, 5.4, 4.89, 5.18, 5.18, 3183947
2022-01-03T05:00:00Z, 5.24, 5.36, 5.13, 5.25, 5.25, 2543048
2021-12-31T05:00:00Z, 5.12, 5.49, 5.08, 5.15, 5.15, 3772628
2021-12-30T05:00:00Z, 4.91, 5.22, 4.865, 5.06, 5.06, 2515101
2021-12-29T05:00:00Z, 4.97, 5.12, 4.85, 4.89, 4.89, 2387355
2021-12-28T05:00:00Z, 5.24, 5.2697, 4.88, 4.92, 4.92, 3529369
2021-12-27T05:00:00Z, 5.55, 5.6299, 5.33, 5.38, 5.38, 3056239
2021-12-23T05:00:00Z, 5.18, 5.53, 5.075, 5.45, 5.45, 3534404
2021-12-22T05:00:00Z, 5.1, 5.22, 4.97, 5.18, 5.18, 2463594
2021-12-21T05:00:00Z, 5.06, 5.21, 4.99, 5.16, 5.16, 4668558
2021-12-20T05:00:00Z, 5.08, 5.1, 4.775, 4.9, 4.9, 4038450
2021-12-17T05:00:00Z, 5.21, 5.4399, 4.92, 5.3, 5.3, 5565373
2021-12-16T05:00:00Z, 5.7, 5.78, 5.33, 5.42, 5.42, 3810957
2021-12-15T05:00:00Z, 5.6, 5.6, 5.22, 5.5, 5.5, 5656365
2021-12-14T05:00:00Z, 5.56, 5.82, 5.4643, 5.56, 5.56, 4496039
2021-12-13T05:00:00Z, 5.8, 5.8663, 5.54, 5.64, 5.64, 3024715
2021-12-10T05:00:00Z, 6.1, 6.2199, 5.625, 5.81, 5.81, 3378322
2021-12-09T05:00:00Z, 6.21, 6.3142, 5.86, 5.9, 5.9, 2448773
2021-12-08T05:00:00Z, 6.34, 6.5, 6.04, 6.33, 6.33, 2599701
2021-12-07T05:00:00Z, 6.13, 6.73, 6.08, 6.44, 6.44, 4949919
2021-12-06T05:00:00Z, 5.75, 5.98, 5.23, 5.91, 5.91, 5951592
2021-12-03T05:00:00Z, 8.41, 8.45, 6, 6.06, 6.06, 14885711
2021-12-02T05:00:00Z, 8.4, 8.7205, 8.14, 8.51, 8.51, 3387993
2021-12-01T05:00:00Z, 8.85, 9.1868, 8.49, 8.55, 8.55, 3426185
2021-11-30T05:00:00Z, 8.8, 9.09, 8.359, 8.79, 8.79, 3673656
2021-11-29T05:00:00Z, 8.66, 9, 8.49, 8.8, 8.8, 2497024
2021-11-26T05:00:00Z, 8.44, 8.6, 8.16, 8.52, 8.52, 3185936
2021-11-24T05:00:00Z, 8.8, 9.01, 8.52, 8.93, 8.93, 2248062
2021-11-23T05:00:00Z, 8.97, 9.275, 8.54, 8.98, 8.98, 2835334
2021-11-22T05:00:00Z, 9.8, 9.878, 8.7, 8.95, 8.95, 3496136
2021-11-19T05:00:00Z, 9.55, 10.2, 9.46, 9.73, 9.73, 3488695
2021-11-18T05:00:00Z, 10.45, 10.5, 9.05, 9.43, 9.43, 4891728
2021-11-17T05:00:00Z, 10.88, 11.04, 10.18, 10.49, 10.49, 3262300
