Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 4.38, 4.48, 4.33, 4.45, 4.45, 93039
2022-02-07T05:00:00Z, 4.38, 4.5, 4.35, 4.37, 4.37, 113920
2022-02-04T05:00:00Z, 4.36, 4.445, 4.25, 4.35, 4.35, 197619
2022-02-03T05:00:00Z, 4.36, 4.47, 4.27, 4.39, 4.39, 179393
2022-02-02T05:00:00Z, 4.41, 4.52, 4.39, 4.44, 4.44, 201516
2022-02-01T05:00:00Z, 4.37, 4.47, 4.29, 4.44, 4.44, 238392
2022-01-31T05:00:00Z, 4.13, 4.45, 4.04, 4.43, 4.43, 285384
2022-01-28T05:00:00Z, 4.14, 4.2, 3.96, 4.09, 4.09, 161811
2022-01-27T05:00:00Z, 4.3, 4.38, 4.06, 4.14, 4.14, 206506
2022-01-26T05:00:00Z, 4.53, 4.625, 4.26, 4.32, 4.32, 161244
2022-01-25T05:00:00Z, 4.56, 4.59, 4.36, 4.47, 4.47, 145557
2022-01-24T05:00:00Z, 4.44, 4.54, 4.35, 4.53, 4.53, 292771
2022-01-21T05:00:00Z, 4.54, 4.66, 4.43, 4.45, 4.45, 214406
2022-01-20T05:00:00Z, 4.71, 4.78, 4.48, 4.49, 4.49, 131379
2022-01-19T05:00:00Z, 4.85, 4.93, 4.67, 4.69, 4.69, 217781
2022-01-18T05:00:00Z, 5.05, 5.1178, 4.86, 4.88, 4.88, 125659
2022-01-14T05:00:00Z, 5.08, 5.18, 5.055, 5.14, 5.14, 117522
2022-01-13T05:00:00Z, 5.15, 5.28, 5.1, 5.12, 5.12, 66806
2022-01-12T05:00:00Z, 5.36, 5.4, 5.14, 5.14, 5.14, 131865
2022-01-11T05:00:00Z, 5.22, 5.37, 5.21, 5.34, 5.34, 100429
2022-01-10T05:00:00Z, 5.15, 5.3, 5.13, 5.25, 5.25, 96872
2022-01-07T05:00:00Z, 5.43, 5.475, 5.2, 5.26, 5.26, 133123
2022-01-06T05:00:00Z, 5.49, 5.7299, 5.31, 5.35, 5.35, 129385
2022-01-05T05:00:00Z, 5.76, 5.8489, 5.49, 5.52, 5.52, 171050
2022-01-04T05:00:00Z, 5.92, 5.96, 5.74, 5.74, 5.74, 202747
2022-01-03T05:00:00Z, 5.79, 5.93, 5.71, 5.92, 5.92, 196395
2021-12-31T05:00:00Z, 5.63, 5.78, 5.62, 5.67, 5.67, 207011
2021-12-30T05:00:00Z, 5.56, 5.7, 5.47, 5.63, 5.63, 236999
2021-12-29T05:00:00Z, 5.57, 5.6111, 5.49, 5.5, 5.5, 209920
2021-12-28T05:00:00Z, 5.59, 5.63, 5.51, 5.56, 5.56, 206446
2021-12-27T05:00:00Z, 5.5, 5.57, 5.47, 5.56, 5.56, 423778
2021-12-23T05:00:00Z, 5.46, 5.558, 5.38, 5.47, 5.47, 184615
2021-12-22T05:00:00Z, 5.22, 5.45, 5.16, 5.42, 5.42, 208510
2021-12-21T05:00:00Z, 5.18, 5.42, 5.11, 5.3, 5.3, 449691
2021-12-20T05:00:00Z, 5.08, 5.23, 4.9, 5.07, 5.07, 213690
2021-12-17T05:00:00Z, 5.13, 5.34, 5.04, 5.25, 5.25, 1753178
2021-12-16T05:00:00Z, 5.38, 5.46, 5.105, 5.15, 5.15, 291155
2021-12-15T05:00:00Z, 5.19, 5.39, 5.155, 5.36, 5.36, 322257
2021-12-14T05:00:00Z, 5.2, 5.4, 4.9829, 5.21, 5.21, 294636
2021-12-13T05:00:00Z, 5, 5.37, 4.975, 5.29, 5.29, 378805
2021-12-10T05:00:00Z, 5.13, 5.18, 4.97, 5.05, 5.05, 381237
2021-12-09T05:00:00Z, 5.1, 5.24, 5.04, 5.08, 5.08, 295998
2021-12-08T05:00:00Z, 5.18, 5.31, 5.1, 5.16, 5.16, 286485
2021-12-07T05:00:00Z, 5.18, 5.3, 5.1, 5.15, 5.15, 592450
2021-12-06T05:00:00Z, 5.03, 5.2481, 5.02, 5.04, 5.04, 427180
2021-12-03T05:00:00Z, 5.13, 5.15, 5.025, 5.08, 5.08, 204112
2021-12-02T05:00:00Z, 5.09, 5.2, 5.01, 5.14, 5.14, 244415
2021-12-01T05:00:00Z, 5.11, 5.33, 4.97, 5.01, 5.01, 350784
2021-11-30T05:00:00Z, 5.1, 5.12, 4.83, 4.99, 4.99, 318905
2021-11-29T05:00:00Z, 4.84, 5.1912, 4.59, 5.09, 5.09, 719988
2021-11-26T05:00:00Z, 4.81, 4.9, 4.76, 4.83, 4.83, 139463
2021-11-24T05:00:00Z, 4.9, 5.14, 4.87, 4.96, 4.96, 292613
2021-11-23T05:00:00Z, 5.01, 5.02, 4.815, 4.97, 4.97, 413081
2021-11-22T05:00:00Z, 5.182, 5.31, 4.85, 5.02, 5.02, 494828
2021-11-19T05:00:00Z, 5.43, 5.55, 5.38, 5.41, 5.41, 316089
2021-11-18T05:00:00Z, 5.55, 5.69, 5.37, 5.43, 5.43, 434111
2021-11-17T05:00:00Z, 5.74, 5.78, 5.64, 5.64, 5.64, 84234
2021-11-16T05:00:00Z, 5.85, 5.91, 5.78, 5.8, 5.8, 198497
2021-11-15T05:00:00Z, 5.97, 6.08, 5.92, 5.98, 5.98, 250343
2021-11-12T05:00:00Z, 5.86, 6.1, 5.85, 5.95, 5.95, 221237
2021-11-11T05:00:00Z, 5.83, 5.93, 5.65, 5.85, 5.85, 372628
2021-11-10T05:00:00Z, 6.01, 6.05, 5.77, 5.86, 5.86, 234242
2021-11-09T05:00:00Z, 5.73, 6.07, 5.69, 6.01, 6.01, 381917
2021-11-08T05:00:00Z, 5.8, 5.94, 5.65, 5.76, 5.76, 355417
2021-11-05T04:00:00Z, 5.84, 6.05, 5.68, 5.7, 5.7, 335155
2021-11-04T04:00:00Z, 6, 6.17, 5.79, 5.81, 5.81, 426559
2021-11-03T04:00:00Z, 6.21, 6.76, 5.7672, 6.08, 6.08, 833689
2021-11-02T04:00:00Z, 6.6, 6.85, 6.47, 6.71, 6.71, 243581
2021-11-01T04:00:00Z, 6.33, 6.58, 6.27, 6.55, 6.55, 161404
2021-10-29T04:00:00Z, 6.26, 6.35, 6.21, 6.33, 6.33, 159713
2021-10-28T04:00:00Z, 6.21, 6.36, 6.135, 6.33, 6.33, 112200
2021-10-27T04:00:00Z, 6.14, 6.265, 6.14, 6.21, 6.21, 148564
2021-10-26T04:00:00Z, 6.15, 6.38, 6.15, 6.19, 6.19, 148425
2021-10-25T04:00:00Z, 6.21, 6.37, 6.05, 6.1, 6.1, 285659
2021-10-22T04:00:00Z, 6.5, 6.6, 6.21, 6.24, 6.24, 237013
2021-10-21T04:00:00Z, 6.66, 6.7, 6.5559, 6.6, 6.6, 136430
2021-10-20T04:00:00Z, 6.6, 6.65, 6.46, 6.61, 6.61, 174400
2021-10-19T04:00:00Z, 6.5, 6.73, 6.5, 6.65, 6.65, 134100
2021-10-18T04:00:00Z, 6.48, 6.54, 6.41, 6.46, 6.46, 70424
2021-10-15T04:00:00Z, 6.76, 6.87, 6.42, 6.57, 6.57, 276299
2021-10-14T04:00:00Z, 6.54, 6.75, 6.52, 6.65, 6.65, 194750
2021-10-13T04:00:00Z, 6.49, 6.54, 6.4, 6.5, 6.5, 113237
2021-10-12T04:00:00Z, 6.32, 6.52, 6.27, 6.43, 6.43, 308583
2021-10-11T04:00:00Z, 6.4, 6.43, 6.25, 6.31, 6.31, 208137
2021-10-08T04:00:00Z, 6.6, 6.65, 6.37, 6.4, 6.4, 100156
2021-10-07T04:00:00Z, 6.54, 6.74, 6.49, 6.62, 6.62, 114035
2021-10-06T04:00:00Z, 6.58, 6.68, 6.42, 6.48, 6.48, 123058
2021-10-05T04:00:00Z, 6.68, 6.95, 6.55, 6.59, 6.59, 147136
2021-10-04T04:00:00Z, 6.94, 7, 6.64, 6.68, 6.68, 368592
2021-10-01T04:00:00Z, 6.88, 7.03, 6.75, 6.94, 6.94, 263079
2021-09-30T04:00:00Z, 6.94, 7.02, 6.75, 6.78, 6.78, 227008
2021-09-29T04:00:00Z, 6.6, 6.89, 6.54, 6.86, 6.86, 249013
2021-09-28T04:00:00Z, 6.83, 6.95, 6.6, 6.61, 6.61, 453271
2021-09-27T04:00:00Z, 6.76, 6.975, 6.6, 6.9, 6.9, 217736
2021-09-24T04:00:00Z, 6.61, 6.97, 6.53, 6.74, 6.74, 336771
2021-09-23T04:00:00Z, 6.64, 6.855, 6.48, 6.66, 6.66, 261951
2021-09-22T04:00:00Z, 6.12, 6.76, 6.13, 6.56, 6.56, 374038
2021-09-21T04:00:00Z, 6.51, 6.67, 6.1, 6.12, 6.12, 283591
2021-09-20T04:00:00Z, 6.42, 6.64, 6.1, 6.44, 6.44, 338043
2021-09-17T04:00:00Z, 6.95, 6.97, 6.61, 6.64, 6.64, 499310
2021-09-16T04:00:00Z, 6.76, 7.09, 6.68, 6.94, 6.94, 344508
2021-09-15T04:00:00Z, 6.6, 7.07, 6.45, 6.81, 6.81, 504492
2021-09-14T04:00:00Z, 6.84, 6.97, 6.6, 6.65, 6.65, 426558
2021-09-13T04:00:00Z, 6.86, 7, 6.74, 6.9, 6.9, 148519
2021-09-10T04:00:00Z, 6.89, 7.02, 6.7764, 6.79, 6.79, 115648
2021-09-09T04:00:00Z, 6.88, 7.09, 6.8217, 6.99, 6.99, 172735
2021-09-08T04:00:00Z, 6.91, 7.01, 6.8, 6.9, 6.9, 192603
2021-09-07T04:00:00Z, 7.18, 7.26, 7.005, 7.05, 7.05, 211192
2021-09-03T04:00:00Z, 7.37, 7.43, 7.21, 7.26, 7.26, 79664
2021-09-02T04:00:00Z, 7.25, 7.45, 7.21, 7.37, 7.37, 254803
2021-09-01T04:00:00Z, 7.11, 7.365, 6.98, 7.22, 7.22, 172844
2021-08-31T04:00:00Z, 7.2, 7.2, 7.03, 7.04, 7.04, 169311
2021-08-30T04:00:00Z, 7.33, 7.4, 7.12, 7.19, 7.19, 167809
2021-08-27T04:00:00Z, 7.17, 7.42, 7.09, 7.36, 7.36, 117606
2021-08-26T04:00:00Z, 7.18, 7.23, 7.09, 7.09, 7.09, 87377
2021-08-25T04:00:00Z, 7.46, 7.5, 7.18, 7.19, 7.19, 149373
2021-08-24T04:00:00Z, 7.19, 7.535, 7.15, 7.38, 7.38, 431542
2021-08-23T04:00:00Z, 7.1, 7.25, 7.045, 7.14, 7.14, 154582
2021-08-20T04:00:00Z, 6.8, 7.09, 6.74, 7.05, 7.05, 334270
2021-08-19T04:00:00Z, 6.75, 6.92, 6.54, 6.8, 6.8, 184091
2021-08-18T04:00:00Z, 6.75, 7.09, 6.6601, 6.94, 6.94, 265582
2021-08-17T04:00:00Z, 6.8, 6.87, 6.57, 6.75, 6.75, 780311
2021-08-16T04:00:00Z, 7.13, 7.15, 6.83, 6.84, 6.84, 341615
2021-08-13T04:00:00Z, 7.15, 7.32, 7.1, 7.21, 7.21, 202897
2021-08-12T04:00:00Z, 7.3, 7.35, 7.11, 7.17, 7.17, 138228
2021-08-11T04:00:00Z, 7.18, 7.31, 7.06, 7.3, 7.3, 235724
2021-08-10T04:00:00Z, 7.259, 7.28, 7.061, 7.22, 7.22, 145473
2021-08-09T04:00:00Z, 7.33, 7.47, 7.2, 7.21, 7.21, 216606
2021-08-06T04:00:00Z, 7.1, 7.47, 7.07, 7.4, 7.4, 271202
2021-08-05T04:00:00Z, 7.25, 7.4, 7.07, 7.08, 7.08, 392394
2021-08-04T04:00:00Z, 7.46, 7.54, 7.25, 7.26, 7.26, 458605
2021-08-03T04:00:00Z, 7.61, 7.69, 7.46, 7.56, 7.56, 285352
2021-08-02T04:00:00Z, 7.68, 8.04, 7.55, 7.7, 7.7, 279130
2021-07-30T04:00:00Z, 7.63, 7.8245, 7.3101, 7.51, 7.51, 1074292
2021-07-29T04:00:00Z, 7.93, 8.32, 7.89, 8.26, 8.26, 424424
2021-07-28T04:00:00Z, 7.68, 7.93, 7.3633, 7.86, 7.86, 150507
2021-07-27T04:00:00Z, 7.89, 7.98, 7.47, 7.62, 7.62, 216512
2021-07-26T04:00:00Z, 7.94, 8.07, 7.86, 7.98, 7.98, 211970
2021-07-23T04:00:00Z, 7.91, 7.94, 7.71, 7.88, 7.88, 169914
2021-07-22T04:00:00Z, 7.88, 7.99, 7.67, 7.82, 7.82, 191714
2021-07-21T04:00:00Z, 7.67, 8.0199, 7.35, 7.93, 7.93, 221380
2021-07-20T04:00:00Z, 7.48, 7.94, 7.45, 7.8, 7.8, 408697
2021-07-19T04:00:00Z, 7.27, 7.56, 7.21, 7.46, 7.46, 255628
2021-07-16T04:00:00Z, 7.91, 7.92, 7.56, 7.6, 7.6, 267761
2021-07-15T04:00:00Z, 8.46, 8.48, 7.81, 7.95, 7.95, 489105
2021-07-14T04:00:00Z, 8.67, 8.78, 8.45, 8.5, 8.5, 205940
2021-07-13T04:00:00Z, 8.77, 8.81, 8.58, 8.6, 8.6, 269237
2021-07-12T04:00:00Z, 8.72, 8.85, 8.66, 8.71, 8.71, 174222
2021-07-09T04:00:00Z, 8.5, 8.88, 8.48, 8.77, 8.77, 299985
2021-07-08T04:00:00Z, 8.42, 9.1, 8.23, 8.43, 8.43, 1558664
2021-07-07T04:00:00Z, 8.55, 8.8, 8.2964, 8.6, 8.6, 443234
2021-07-06T04:00:00Z, 8.7, 8.71, 8.35, 8.58, 8.58, 198486
