Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 1.17, 1.24, 1.15, 1.21, 1.21, 693885
2022-02-07T05:00:00Z, 1.18, 1.22, 1.15, 1.15, 1.15, 490266
2022-02-04T05:00:00Z, 1.11, 1.16, 1.105, 1.16, 1.16, 345392
2022-02-03T05:00:00Z, 1.13, 1.16, 1.11, 1.11, 1.11, 619628
2022-02-02T05:00:00Z, 1.25, 1.25, 1.14, 1.15, 1.15, 626579
2022-02-01T05:00:00Z, 1.23, 1.3, 1.2, 1.23, 1.23, 1024331
2022-01-31T05:00:00Z, 1.14, 1.24, 1.12, 1.2, 1.2, 737735
2022-01-28T05:00:00Z, 1.09, 1.14, 1.04, 1.13, 1.13, 629530
2022-01-27T05:00:00Z, 1.15, 1.19, 1.08, 1.09, 1.09, 704034
2022-01-26T05:00:00Z, 1.24, 1.26, 1.12, 1.15, 1.15, 1041150
2022-01-25T05:00:00Z, 1.14, 1.21, 1.11, 1.17, 1.17, 711425
2022-01-24T05:00:00Z, 1.035, 1.18, 0.9926, 1.15, 1.15, 1784391
2022-01-21T05:00:00Z, 1.16, 1.1689, 1.06, 1.07, 1.07, 1374284
2022-01-20T05:00:00Z, 1.19, 1.3, 1.15, 1.17, 1.17, 1115682
2022-01-19T05:00:00Z, 1.24, 1.26, 1.16, 1.17, 1.17, 810502
2022-01-18T05:00:00Z, 1.28, 1.28, 1.19, 1.21, 1.21, 674216
2022-01-14T05:00:00Z, 1.29, 1.305, 1.26, 1.29, 1.29, 562949
2022-01-13T05:00:00Z, 1.34, 1.3889, 1.27, 1.28, 1.28, 706019
2022-01-12T05:00:00Z, 1.5, 1.52, 1.35, 1.36, 1.36, 1367640
2022-01-11T05:00:00Z, 1.27, 1.43, 1.27, 1.39, 1.39, 1182671
2022-01-10T05:00:00Z, 1.35, 1.36, 1.28, 1.31, 1.31, 1218889
2022-01-07T05:00:00Z, 1.39, 1.44, 1.35, 1.39, 1.39, 1299063
2022-01-06T05:00:00Z, 1.47, 1.48, 1.36, 1.38, 1.38, 1536393
2022-01-05T05:00:00Z, 1.55, 1.61, 1.46, 1.46, 1.46, 744494
2022-01-04T05:00:00Z, 1.6, 1.625, 1.53, 1.56, 1.56, 830086
2022-01-03T05:00:00Z, 1.57, 1.69, 1.55, 1.59, 1.59, 1544861
2021-12-31T05:00:00Z, 1.6, 1.63, 1.535, 1.56, 1.56, 1165673
2021-12-30T05:00:00Z, 1.46, 1.66, 1.44, 1.61, 1.61, 2486982
2021-12-29T05:00:00Z, 1.57, 1.59, 1.45, 1.46, 1.46, 2534489
2021-12-28T05:00:00Z, 1.67, 1.73, 1.595, 1.6, 1.6, 2012784
2021-12-27T05:00:00Z, 1.69, 1.6911, 1.6386, 1.67, 1.67, 1566582
2021-12-23T05:00:00Z, 1.71, 1.75, 1.66, 1.69, 1.69, 1228187
2021-12-22T05:00:00Z, 1.75, 1.78, 1.7, 1.71, 1.71, 1128968
2021-12-21T05:00:00Z, 1.84, 1.85, 1.735, 1.78, 1.78, 2273589
2021-12-20T05:00:00Z, 1.71, 1.76, 1.68, 1.73, 1.73, 1371781
2021-12-17T05:00:00Z, 1.8, 1.85, 1.74, 1.78, 1.78, 3376021
2021-12-16T05:00:00Z, 1.91, 1.96, 1.77, 1.83, 1.83, 1307221
2021-12-15T05:00:00Z, 1.94, 1.95, 1.78, 1.9, 1.9, 1931548
2021-12-14T05:00:00Z, 1.99, 2.025, 1.92, 1.92, 1.92, 1055400
2021-12-13T05:00:00Z, 2.08, 2.0992, 1.99, 2.03, 2.03, 1165858
