Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 4.08, 4.19, 4.055, 4.15, 4.15, 1157196
2022-02-07T05:00:00Z, 4.09, 4.15, 4.05, 4.11, 4.11, 1176620
2022-02-04T05:00:00Z, 4.1, 4.11, 3.96, 4.07, 4.07, 1294271
2022-02-03T05:00:00Z, 4.265, 4.31, 4.25, 4.28, 4.28, 719952
2022-02-02T05:00:00Z, 4.31, 4.34, 4.255, 4.3, 4.3, 1281532
2022-02-01T05:00:00Z, 4.32, 4.37, 4.255, 4.37, 4.37, 909402
2022-01-31T05:00:00Z, 4.22, 4.31, 4.175, 4.25, 4.25, 1230551
2022-01-28T05:00:00Z, 4.06, 4.095, 3.975, 4.03, 4.03, 755055
2022-01-27T05:00:00Z, 4.02, 4.11, 3.97, 4.02, 4.02, 707122
2022-01-26T05:00:00Z, 3.98, 4.07, 3.89, 3.95, 3.95, 946127
2022-01-25T05:00:00Z, 3.81, 3.97, 3.79, 3.93, 3.93, 1021472
2022-01-24T05:00:00Z, 3.56, 3.84, 3.55, 3.84, 3.84, 1714400
2022-01-21T05:00:00Z, 3.63, 3.71, 3.585, 3.61, 3.61, 1243432
2022-01-20T05:00:00Z, 3.74, 3.8, 3.685, 3.7, 3.7, 1417128
2022-01-19T05:00:00Z, 3.66, 3.75, 3.63, 3.68, 3.68, 1281983
2022-01-18T05:00:00Z, 3.545, 3.645, 3.51, 3.56, 3.56, 1644915
2022-01-14T05:00:00Z, 3.52, 3.69, 3.52, 3.64, 3.64, 1424791
2022-01-13T05:00:00Z, 3.54, 3.64, 3.51, 3.58, 3.58, 2153052
2022-01-12T05:00:00Z, 3.57, 3.69, 3.535, 3.69, 3.69, 748593
2022-01-11T05:00:00Z, 3.42, 3.55, 3.3808, 3.54, 3.54, 1007243
2022-01-10T05:00:00Z, 3.42, 3.47, 3.37, 3.44, 3.44, 981124
2022-01-07T05:00:00Z, 3.45, 3.488, 3.39, 3.4, 3.4, 962823
2022-01-06T05:00:00Z, 3.51, 3.55, 3.43, 3.45, 3.45, 1378545
2022-01-05T05:00:00Z, 3.72, 3.77, 3.56, 3.57, 3.57, 1079881
2022-01-04T05:00:00Z, 3.69, 3.78, 3.69, 3.73, 3.73, 948258
2022-01-03T05:00:00Z, 3.78, 3.81, 3.67, 3.71, 3.71, 1477485
2021-12-31T05:00:00Z, 3.92, 4.105, 3.9, 3.99, 3.99, 634101
2021-12-30T05:00:00Z, 3.88, 3.99, 3.8428, 3.92, 3.92, 861858
2021-12-29T05:00:00Z, 3.96, 3.98, 3.86, 3.86, 3.86, 396912
2021-12-28T05:00:00Z, 3.92, 4.04, 3.89, 4.01, 4.01, 467957
2021-12-27T05:00:00Z, 3.935, 3.95, 3.89, 3.95, 3.95, 371485
2021-12-23T05:00:00Z, 3.88, 3.98, 3.845, 3.93, 3.93, 546635
2021-12-22T05:00:00Z, 3.9, 3.965, 3.855, 3.92, 3.92, 775303
2021-12-21T05:00:00Z, 3.94, 3.98, 3.935, 3.95, 3.95, 495775
2021-12-20T05:00:00Z, 4, 4.05, 3.95, 3.96, 3.96, 579572
2021-12-17T05:00:00Z, 3.96, 4.11, 3.94, 4.07, 4.07, 792378
2021-12-16T05:00:00Z, 4.105, 4.17, 4.065, 4.09, 4.09, 657364
2021-12-15T05:00:00Z, 4.04, 4.13, 4.03, 4.11, 4.11, 506342
2021-12-14T05:00:00Z, 4.08, 4.11, 4.03, 4.09, 4.09, 613973
2021-12-13T05:00:00Z, 4.07, 4.125, 4.0299, 4.06, 4.06, 280064
2021-12-10T05:00:00Z, 4.245, 4.27, 4.11, 4.14, 4.14, 537088
2021-12-09T05:00:00Z, 4.12, 4.13, 4.065, 4.08, 4.08, 473481
2021-12-08T05:00:00Z, 3.99, 4.17, 3.98, 4.16, 4.16, 910843
2021-12-07T05:00:00Z, 3.965, 4.07, 3.95, 4.03, 4.03, 586722
2021-12-06T05:00:00Z, 3.93, 3.99, 3.89, 3.95, 3.95, 640373
2021-12-03T05:00:00Z, 4.11, 4.15, 3.94, 3.99, 3.99, 754791
2021-12-02T05:00:00Z, 3.995, 4.05, 3.905, 3.97, 3.97, 620647
2021-12-01T05:00:00Z, 4.04, 4.12, 3.84, 3.84, 3.84, 886067
2021-11-30T05:00:00Z, 4.09, 4.12, 3.915, 4.05, 4.05, 1031631
2021-11-29T05:00:00Z, 4.11, 4.17, 4.05, 4.14, 4.14, 491608
2021-11-26T05:00:00Z, 4.18, 4.19, 4.07, 4.1, 4.1, 347923
2021-11-24T05:00:00Z, 4.15, 4.26, 4.1, 4.15, 4.15, 358982
2021-11-23T05:00:00Z, 4.1, 4.14, 3.955, 4.11, 4.11, 607822
2021-11-22T05:00:00Z, 4.19, 4.22, 4.08, 4.11, 4.11, 639525
2021-11-19T05:00:00Z, 4.19, 4.2609, 4.08, 4.11, 4.11, 616995
2021-11-18T05:00:00Z, 4.05, 4.09, 4, 4.07, 4.07, 949676
2021-11-17T05:00:00Z, 4.29, 4.3, 4.115, 4.14, 4.14, 1069786
2021-11-16T05:00:00Z, 4.485, 4.49, 4.36, 4.38, 4.38, 1255787
2021-11-15T05:00:00Z, 4.39, 4.51, 4.37, 4.44, 4.44, 429774
2021-11-12T05:00:00Z, 4.36, 4.405, 4.295, 4.35, 4.35, 844122
2021-11-11T05:00:00Z, 4.38, 4.48, 4.37, 4.42, 4.42, 546978
2021-11-10T05:00:00Z, 4.36, 4.45, 4.31, 4.34, 4.34, 470179
2021-11-09T05:00:00Z, 4.2, 4.435, 4.17, 4.3, 4.3, 899630
2021-11-08T05:00:00Z, 4.22, 4.25, 4.17, 4.18, 4.18, 510952
2021-11-05T04:00:00Z, 4.2, 4.29, 4.12, 4.22, 4.22, 1578986
2021-11-04T04:00:00Z, 4.33, 4.35, 4.09, 4.11, 4.11, 2261212
2021-11-03T04:00:00Z, 4.36, 4.49, 4.285, 4.47, 4.47, 1411301
2021-11-02T04:00:00Z, 4.5, 4.638, 4.41, 4.42, 4.42, 768130
2021-11-01T04:00:00Z, 4.56, 4.58, 4.48, 4.56, 4.56, 863388
2021-10-29T04:00:00Z, 4.57, 4.695, 4.51, 4.56, 4.56, 978544
2021-10-28T04:00:00Z, 4.56, 4.645, 4.49, 4.59, 4.59, 1371402
2021-10-27T04:00:00Z, 4.72, 4.785, 4.615, 4.66, 4.66, 965193
2021-10-26T04:00:00Z, 4.8, 4.82, 4.605, 4.68, 4.68, 861402
2021-10-25T04:00:00Z, 4.65, 4.905, 4.65, 4.87, 4.87, 998304
2021-10-22T04:00:00Z, 4.78, 4.79, 4.51, 4.7, 4.7, 1760894
2021-10-21T04:00:00Z, 5.08, 5.1, 4.8, 4.89, 4.89, 1794565
2021-10-20T04:00:00Z, 5.22, 5.3, 5.12, 5.21, 5.21, 951033
2021-10-19T04:00:00Z, 5.18, 5.255, 5.07, 5.16, 5.16, 1692147
2021-10-18T04:00:00Z, 5.5, 5.52, 5.23, 5.25, 5.25, 2916908
2021-10-15T04:00:00Z, 5.73, 6.02, 5.68, 5.71, 5.71, 5110428
2021-10-14T04:00:00Z, 4.97, 5.03, 4.9, 5.03, 5.03, 1205353
2021-10-13T04:00:00Z, 4.825, 5.07, 4.785, 5, 5, 1363295
2021-10-12T04:00:00Z, 4.68, 4.86, 4.66, 4.68, 4.68, 895712
2021-10-11T04:00:00Z, 4.435, 4.67, 4.43, 4.67, 4.67, 1185214
2021-10-08T04:00:00Z, 4.4, 4.53, 4.29, 4.49, 4.49, 1847962
2021-10-07T04:00:00Z, 4.7, 4.71, 4.55, 4.55, 4.55, 1157812
2021-10-06T04:00:00Z, 4.54, 4.75, 4.53, 4.66, 4.66, 1729636
2021-10-05T04:00:00Z, 4.5, 4.6692, 4.455, 4.64, 4.64, 1720276
2021-10-04T04:00:00Z, 4.61, 4.6159, 4.35, 4.36, 4.36, 1961492
2021-10-01T04:00:00Z, 4.77, 4.78, 4.64, 4.67, 4.67, 636157
2021-09-30T04:00:00Z, 4.75, 4.87, 4.7, 4.71, 4.71, 929571
2021-09-29T04:00:00Z, 4.79, 4.81, 4.64, 4.69, 4.69, 651170
2021-09-28T04:00:00Z, 4.95, 4.96, 4.7315, 4.76, 4.76, 959680
2021-09-27T04:00:00Z, 5.06, 5.07, 4.915, 4.96, 4.96, 1027918
2021-09-24T04:00:00Z, 4.965, 5.135, 4.95, 5.1, 5.1, 911490
2021-09-23T04:00:00Z, 4.965, 5.07, 4.96, 5.01, 5.01, 499102
2021-09-22T04:00:00Z, 5.03, 5.055, 4.93, 4.94, 4.94, 804501
