Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 71.36, 72.64, 71.2, 72.34, 72.34, 407226
2022-02-07T05:00:00Z, 70.23, 70.87, 69.77, 70.45, 70.45, 265935
2022-02-04T05:00:00Z, 69.6, 70.62, 69.37, 70.08, 70.08, 278414
2022-02-03T05:00:00Z, 69.08, 70.19, 68.86, 69.14, 69.14, 1329537
2022-02-02T05:00:00Z, 69.85, 70.21, 69.12, 69.57, 69.57, 358196
2022-02-01T05:00:00Z, 68.87, 70.365, 68.29, 70.22, 70.22, 419261
2022-01-31T05:00:00Z, 66.95, 69.15, 66.91, 68.91, 68.91, 768248
2022-01-28T05:00:00Z, 67.44, 67.98, 66.28, 67.96, 67.96, 314390
2022-01-27T05:00:00Z, 68.95, 69.62, 66.6075, 66.98, 66.98, 282771
2022-01-26T05:00:00Z, 69.03, 70.27, 67.21, 68.23, 68.23, 366921
2022-01-25T05:00:00Z, 69.35, 69.935, 67.6, 69.07, 69.07, 514332
2022-01-24T05:00:00Z, 67.5, 69.91, 66.84, 69.71, 69.71, 491039
2022-01-21T05:00:00Z, 68.5, 69.86, 67.855, 68, 68, 437038
2022-01-20T05:00:00Z, 70.71, 71.565, 68.87, 68.91, 68.91, 481049
2022-01-19T05:00:00Z, 72.83, 73.53, 70.49, 70.53, 70.53, 373391
2022-01-18T05:00:00Z, 74.635, 74.72, 72.92, 73.16, 73.16, 358898
2022-01-14T05:00:00Z, 71.99, 74.65, 71.88, 74.5, 74.5, 483328
2022-01-13T05:00:00Z, 73.16, 73.7429, 72.81, 72.92, 72.92, 237833
2022-01-12T05:00:00Z, 73, 73.69, 72.46, 72.97, 72.97, 471299
2022-01-11T05:00:00Z, 73.74, 73.74, 72.2545, 73.34, 73.34, 545787
2022-01-10T05:00:00Z, 73.97, 73.97, 72.9516, 73.41, 73.41, 420331
2022-01-07T05:00:00Z, 72.39, 73.48, 71.85, 73.37, 73.37, 377323
2022-01-06T05:00:00Z, 71.01, 72.205, 70.89, 72.03, 72.03, 278936
2022-01-05T05:00:00Z, 71.31, 71.68, 70.26, 70.32, 70.32, 309474
