Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 1.02, 1.04, 1.0097, 1.0307, 1.0307, 34514
2022-02-07T05:00:00Z, 1.06, 1.06, 1.0016, 1.04, 1.04, 64419
2022-02-04T05:00:00Z, 1.05, 1.14, 0.97, 1.06, 1.06, 393416
2022-02-03T05:00:00Z, 1.05, 1.05, 1.0151, 1.04, 1.04, 48293
2022-02-02T05:00:00Z, 1.03, 1.1, 1.01, 1.05, 1.05, 61249
2022-02-01T05:00:00Z, 1.09, 1.0999, 1.01, 1.05, 1.05, 180498
2022-01-31T05:00:00Z, 0.9669, 1.04, 0.92776, 1.01, 1.01, 60960
2022-01-28T05:00:00Z, 0.93, 0.956, 0.8801, 0.956, 0.956, 125047
2022-01-27T05:00:00Z, 0.9915, 1.02, 0.95, 0.95, 0.95, 54645
2022-01-26T05:00:00Z, 1.02, 1.06, 0.97, 0.9998, 0.9998, 76157
2022-01-25T05:00:00Z, 0.9679, 1.0299, 0.95, 0.984, 0.984, 104072
2022-01-24T05:00:00Z, 0.94, 1, 0.92, 0.9676, 0.9676, 125767
2022-01-21T05:00:00Z, 1.04, 1.07, 0.95, 0.98, 0.98, 361582
2022-01-20T05:00:00Z, 1.09, 1.12, 1.06, 1.07, 1.07, 59476
2022-01-19T05:00:00Z, 1.13, 1.14, 1.07, 1.1, 1.1, 89327
2022-01-18T05:00:00Z, 1.11, 1.15, 1.09, 1.13, 1.13, 116771
2022-01-14T05:00:00Z, 1.11, 1.12, 1.08, 1.12, 1.12, 88607
2022-01-13T05:00:00Z, 1.06, 1.12, 1.05, 1.1, 1.1, 384017
2022-01-12T05:00:00Z, 1.07, 1.15, 1.05, 1.06, 1.06, 389874
2022-01-11T05:00:00Z, 1, 1.07, 0.99, 1.06, 1.06, 907491
2022-01-10T05:00:00Z, 0.99, 1.02, 0.98, 0.981, 0.981, 124747
2022-01-07T05:00:00Z, 1, 1.02, 0.98, 1, 1, 149248
2022-01-06T05:00:00Z, 1.02, 1.02, 0.979, 1.02, 1.02, 91838
2022-01-05T05:00:00Z, 1, 1.04, 0.98, 0.98, 0.98, 113549
2022-01-04T05:00:00Z, 1.06, 1.06, 0.9507, 1, 1, 164635
2022-01-03T05:00:00Z, 1.07, 1.08, 1.03, 1.05, 1.05, 135561
2021-12-31T05:00:00Z, 1.04, 1.07, 1.01, 1.07, 1.07, 161312
2021-12-30T05:00:00Z, 1, 1.05, 1, 1.03, 1.03, 138648
2021-12-29T05:00:00Z, 1.04, 1.05, 0.9801, 1.01, 1.01, 179426
2021-12-28T05:00:00Z, 1.05, 1.06, 1.02, 1.03, 1.03, 103669
2021-12-27T05:00:00Z, 1.04, 1.07, 1.02, 1.06, 1.06, 120333
2021-12-23T05:00:00Z, 1, 1.07, 0.9901, 1.05, 1.05, 195441
2021-12-22T05:00:00Z, 1, 1.03, 0.9901, 1.03, 1.03, 116384
2021-12-21T05:00:00Z, 0.995, 1.04, 0.98, 1.03, 1.03, 200731
2021-12-20T05:00:00Z, 0.9824, 1.02, 0.961, 0.9978, 0.9978, 225430
2021-12-17T05:00:00Z, 0.966, 1.04, 0.9506, 1.01, 1.01, 392013
2021-12-16T05:00:00Z, 1, 1.02, 0.9652, 0.9988, 0.9988, 254331
2021-12-15T05:00:00Z, 0.971, 1.03, 0.9221, 1.03, 1.03, 664788
2021-12-14T05:00:00Z, 1.01, 1.02, 0.8911, 0.9343, 0.9343, 1148424
2021-12-13T05:00:00Z, 1.13, 1.19, 1, 1.01, 1.01, 3615078
2021-12-10T05:00:00Z, 1.24, 1.2499, 1, 1.06, 1.06, 10407007
2021-12-09T05:00:00Z, 1.16, 1.23, 1.11, 1.2, 1.2, 7118728
2021-12-08T05:00:00Z, 1.3, 1.7, 1.27, 1.7, 1.7, 2760514
2021-12-07T05:00:00Z, 1.27, 1.41, 1.1714, 1.41, 1.41, 1141103
2021-12-06T05:00:00Z, 1.22, 1.46, 1.15, 1.33, 1.33, 1776437
2021-12-03T05:00:00Z, 1.22, 1.29, 1.1001, 1.2, 1.2, 786464
2021-12-02T05:00:00Z, 1.1, 1.18, 1.06, 1.08, 1.08, 119948
2021-12-01T05:00:00Z, 1.3, 1.4, 1.12, 1.13, 1.13, 674230
2021-11-30T05:00:00Z, 1.34, 1.41, 1.24, 1.3, 1.3, 154084
2021-11-29T05:00:00Z, 1.31, 1.35, 1.31, 1.34, 1.34, 128309
2021-11-26T05:00:00Z, 1.3, 1.3699, 1.27, 1.31, 1.31, 104027
2021-11-24T05:00:00Z, 1.32, 1.39, 1.3, 1.37, 1.37, 147571
2021-11-23T05:00:00Z, 1.38, 1.43, 1.2, 1.33, 1.33, 204958
2021-11-22T05:00:00Z, 1.41, 1.45, 1.32, 1.32, 1.32, 227771
