Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 20.17, 20.9, 19.9498, 20.85, 20.85, 355486
2022-02-07T05:00:00Z, 19.38, 20.48, 19.17, 20.32, 20.32, 643521
2022-02-04T05:00:00Z, 18.69, 19.47, 18.625, 19.37, 19.37, 591238
2022-02-03T05:00:00Z, 18.74, 19.18, 18.18, 19.02, 19.02, 540382
2022-02-02T05:00:00Z, 18.93, 19.14, 18.375, 18.99, 18.99, 647267
2022-02-01T05:00:00Z, 19.11, 19.36, 18.1, 18.97, 18.97, 428724
2022-01-31T05:00:00Z, 17.43, 18.88, 17.4275, 18.87, 18.87, 651131
2022-01-28T05:00:00Z, 16.62, 17.45, 16.0301, 17.43, 17.43, 698079
2022-01-27T05:00:00Z, 18.09, 18.26, 16.45, 16.63, 16.63, 555790
2022-01-26T05:00:00Z, 18.22, 18.71, 17.3, 17.43, 17.43, 610565
2022-01-25T05:00:00Z, 17.89, 18.35, 17.42, 17.78, 17.78, 802368
2022-01-24T05:00:00Z, 17.65, 18.565, 16.99, 18.37, 18.37, 835525
2022-01-21T05:00:00Z, 18.45, 18.8, 18.05, 18.2, 18.2, 778186
2022-01-20T05:00:00Z, 19.29, 19.935, 18.5, 18.51, 18.51, 764033
2022-01-19T05:00:00Z, 19.65, 20.195, 18.84, 19.05, 19.05, 575135
2022-01-18T05:00:00Z, 20.2, 20.47, 19.2, 19.36, 19.36, 743121
2022-01-14T05:00:00Z, 20.5, 21.08, 20.0201, 20.97, 20.97, 656576
2022-01-13T05:00:00Z, 22.18, 22.41, 20.58, 20.74, 20.74, 596758
2022-01-12T05:00:00Z, 23.04, 23.275, 22.26, 22.32, 22.32, 816782
2022-01-11T05:00:00Z, 22.16, 23.05, 21.73, 22.66, 22.66, 479604
2022-01-10T05:00:00Z, 21.69, 22.48, 21.545, 22.41, 22.41, 639874
2022-01-07T05:00:00Z, 23.22, 23.57, 22.17, 22.21, 22.21, 472763
2022-01-06T05:00:00Z, 23.24, 23.76, 22.26, 23.17, 23.17, 508625
2022-01-05T05:00:00Z, 25, 25.3098, 23.28, 23.31, 23.31, 618062
2022-01-04T05:00:00Z, 27.57, 27.68, 24.5706, 25.09, 25.09, 716616
