Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 0.9999, 1.0299, 0.9623, 1, 1, 156494
2022-02-07T05:00:00Z, 0.9799, 1.03, 0.9799, 1.02, 1.02, 195534
2022-02-04T05:00:00Z, 0.96, 1.015, 0.94, 0.9997, 0.9997, 226333
2022-02-03T05:00:00Z, 0.907, 0.97, 0.907, 0.94, 0.94, 268807
2022-02-02T05:00:00Z, 1.01, 1.01, 0.903, 0.9593, 0.9593, 572966
2022-02-01T05:00:00Z, 0.9601, 1.07, 0.93, 1.02, 1.02, 460091
2022-01-31T05:00:00Z, 0.85, 0.94, 0.8341, 0.9267, 0.9267, 364139
2022-01-28T05:00:00Z, 0.848, 0.8878, 0.8032, 0.8323, 0.8323, 311178
2022-01-27T05:00:00Z, 0.8991, 0.92, 0.8, 0.8516, 0.8516, 433264
2022-01-26T05:00:00Z, 0.91, 0.98, 0.8857, 0.91, 0.91, 506250
2022-01-25T05:00:00Z, 0.8522, 0.95, 0.85, 0.9131, 0.9131, 275222
2022-01-24T05:00:00Z, 0.93, 0.94, 0.8401, 0.9061, 0.9061, 750344
2022-01-21T05:00:00Z, 1.03, 1.03, 0.9001, 0.93, 0.93, 865597
2022-01-20T05:00:00Z, 1.03, 1.06, 1, 1, 1, 363755
2022-01-19T05:00:00Z, 1.03, 1.04, 1, 1.01, 1.01, 476422
2022-01-18T05:00:00Z, 1.11, 1.11, 1.03, 1.03, 1.03, 543429
2022-01-14T05:00:00Z, 1.09, 1.12, 1.07, 1.09, 1.09, 349463
2022-01-13T05:00:00Z, 1.15, 1.16, 1.1, 1.1, 1.1, 372582
2022-01-12T05:00:00Z, 1.17, 1.19, 1.12, 1.15, 1.15, 357381
2022-01-11T05:00:00Z, 1.15, 1.2, 1.14, 1.16, 1.16, 539454
2022-01-10T05:00:00Z, 1.1, 1.17, 1.08, 1.17, 1.17, 748229
2022-01-07T05:00:00Z, 1.11, 1.14, 1.08, 1.08, 1.08, 364103
2022-01-06T05:00:00Z, 1.12, 1.15, 1.08, 1.09, 1.09, 653135
2022-01-05T05:00:00Z, 1.16, 1.18, 1.12, 1.12, 1.12, 643181
2022-01-04T05:00:00Z, 1.22, 1.23, 1.14, 1.16, 1.16, 840314
2022-01-03T05:00:00Z, 1.15, 1.25, 1.13, 1.23, 1.23, 1249531
2021-12-31T05:00:00Z, 1.09, 1.2, 1.09, 1.14, 1.14, 1469031
2021-12-30T05:00:00Z, 1.14, 1.17, 1.1, 1.13, 1.13, 1933344
2021-12-29T05:00:00Z, 1.24, 1.34, 1.08, 1.09, 1.09, 6578706
2021-12-28T05:00:00Z, 1.69, 1.7, 1.55, 1.56, 1.56, 1746472
2021-12-27T05:00:00Z, 1.71, 1.74, 1.67, 1.67, 1.67, 772307
2021-12-23T05:00:00Z, 1.75, 1.78, 1.72, 1.74, 1.74, 662892
2021-12-22T05:00:00Z, 1.79, 1.83, 1.74, 1.77, 1.77, 671705
2021-12-21T05:00:00Z, 1.72, 1.94, 1.705, 1.8, 1.8, 2614729
2021-12-20T05:00:00Z, 1.63, 1.74, 1.62, 1.7, 1.7, 493234
2021-12-17T05:00:00Z, 1.6, 1.73, 1.57, 1.72, 1.72, 945746
2021-12-16T05:00:00Z, 1.68, 1.775, 1.59, 1.62, 1.62, 1530330
2021-12-15T05:00:00Z, 1.59, 1.7, 1.5599, 1.7, 1.7, 694556
2021-12-14T05:00:00Z, 1.63, 1.64, 1.595, 1.62, 1.62, 504160
2021-12-13T05:00:00Z, 1.68, 1.68, 1.59, 1.66, 1.66, 617563
2021-12-10T05:00:00Z, 1.72, 1.74, 1.64, 1.66, 1.66, 618270
2021-12-09T05:00:00Z, 1.82, 1.86, 1.7, 1.71, 1.71, 750852
2021-12-08T05:00:00Z, 1.71, 1.85, 1.7, 1.84, 1.84, 789215
2021-12-07T05:00:00Z, 1.79, 1.875, 1.7463, 1.82, 1.82, 656487
2021-12-06T05:00:00Z, 1.72, 1.76, 1.64, 1.76, 1.76, 1242331
2021-12-03T05:00:00Z, 1.85, 1.8689, 1.74, 1.76, 1.76, 1555006
2021-12-02T05:00:00Z, 1.88, 1.92, 1.81, 1.91, 1.91, 1323943
2021-12-01T05:00:00Z, 2.01, 2.04, 1.9, 1.93, 1.93, 1387895
2021-11-30T05:00:00Z, 2.06, 2.12, 1.9, 2.04, 2.04, 3252478
2021-11-29T05:00:00Z, 2.26, 2.33, 2.06, 2.13, 2.13, 16897907
2021-11-26T05:00:00Z, 1.99, 2.07, 1.92, 2, 2, 2011344
2021-11-24T05:00:00Z, 1.85, 1.91, 1.78, 1.89, 1.89, 805441
2021-11-23T05:00:00Z, 1.91, 1.94, 1.85, 1.87, 1.87, 964316
2021-11-22T05:00:00Z, 2.02, 2.04, 1.89, 1.92, 1.92, 1047899
2021-11-19T05:00:00Z, 1.97, 2.02, 1.92, 2, 2, 824507
2021-11-18T05:00:00Z, 2, 2.03, 1.93, 1.94, 1.94, 1035675
2021-11-17T05:00:00Z, 2.11, 2.13, 1.99, 2.02, 2.02, 2206955
2021-11-16T05:00:00Z, 2.01, 2.08, 2, 2.06, 2.06, 3227965
2021-11-15T05:00:00Z, 2.07, 2.08, 2.01, 2.03, 2.03, 730147
2021-11-12T05:00:00Z, 2.04, 2.07, 1.98, 2.05, 2.05, 782089
2021-11-11T05:00:00Z, 2.01, 2.07, 1.98, 2.04, 2.04, 684586
2021-11-10T05:00:00Z, 2.02, 2.0995, 1.98, 2, 2, 1540432
2021-11-09T05:00:00Z, 2.13, 2.14, 1.98, 2.04, 2.04, 1635653
2021-11-08T05:00:00Z, 2.18, 2.18, 2.11, 2.125, 2.125, 1052344
2021-11-05T04:00:00Z, 2.17, 2.22, 2.11, 2.14, 2.14, 2203933
2021-11-04T04:00:00Z, 2.44, 2.47, 2.4, 2.45, 2.45, 1885005
2021-11-03T04:00:00Z, 2.33, 2.45, 2.3, 2.44, 2.44, 874429
2021-11-02T04:00:00Z, 2.34, 2.35, 2.29, 2.31, 2.31, 672771
2021-11-01T04:00:00Z, 2.28, 2.35, 2.27, 2.34, 2.34, 627043
2021-10-29T04:00:00Z, 2.29, 2.3119, 2.25, 2.27, 2.27, 531406
2021-10-28T04:00:00Z, 2.27, 2.3176, 2.25, 2.29, 2.29, 792398
2021-10-27T04:00:00Z, 2.32, 2.34, 2.25, 2.26, 2.26, 970323
2021-10-26T04:00:00Z, 2.35, 2.36, 2.29, 2.29, 2.29, 768826
2021-10-25T04:00:00Z, 2.32, 2.3636, 2.27, 2.32, 2.32, 1034840
2021-10-22T04:00:00Z, 2.36, 2.3893, 2.29, 2.34, 2.34, 1328513
2021-10-21T04:00:00Z, 2.455, 2.47, 2.4, 2.44, 2.44, 761222
2021-10-20T04:00:00Z, 2.41, 2.48, 2.39, 2.43, 2.43, 713278
2021-10-19T04:00:00Z, 2.39, 2.45, 2.35, 2.41, 2.41, 845231
2021-10-18T04:00:00Z, 2.41, 2.44, 2.36, 2.41, 2.41, 809998
2021-10-15T04:00:00Z, 2.43, 2.48, 2.41, 2.41, 2.41, 781483
2021-10-14T04:00:00Z, 2.52, 2.54, 2.433, 2.46, 2.46, 766691
2021-10-13T04:00:00Z, 2.44, 2.55, 2.43, 2.55, 2.55, 764187
2021-10-12T04:00:00Z, 2.38, 2.45, 2.37, 2.45, 2.45, 577266
2021-10-11T04:00:00Z, 2.39, 2.41, 2.352, 2.37, 2.37, 589313
2021-10-08T04:00:00Z, 2.43, 2.465, 2.38, 2.38, 2.38, 435600
2021-10-07T04:00:00Z, 2.41, 2.49, 2.39, 2.42, 2.42, 1061889
2021-10-06T04:00:00Z, 2.4, 2.42, 2.35, 2.41, 2.41, 711830
2021-10-05T04:00:00Z, 2.38, 2.45, 2.33, 2.44, 2.44, 824063
2021-10-04T04:00:00Z, 2.41, 2.45, 2.315, 2.39, 2.39, 1120348
2021-10-01T04:00:00Z, 2.52, 2.54, 2.41, 2.42, 2.42, 1200008
2021-09-30T04:00:00Z, 2.5, 2.519, 2.45, 2.5, 2.5, 1114741
2021-09-29T04:00:00Z, 2.61, 2.61, 2.5, 2.52, 2.52, 1195744
2021-09-28T04:00:00Z, 2.66, 2.715, 2.58, 2.58, 2.58, 1498398
2021-09-27T04:00:00Z, 2.58, 2.74, 2.54, 2.7, 2.7, 1777018
2021-09-24T04:00:00Z, 2.65, 2.66, 2.57, 2.59, 2.59, 1330283
2021-09-23T04:00:00Z, 2.67, 2.6795, 2.62, 2.67, 2.67, 1011242
2021-09-22T04:00:00Z, 2.66, 2.67, 2.58, 2.65, 2.65, 1939009
2021-09-21T04:00:00Z, 2.595, 2.62, 2.55, 2.58, 2.58, 986041
2021-09-20T04:00:00Z, 2.55, 2.635, 2.5001, 2.56, 2.56, 1854877
2021-09-17T04:00:00Z, 2.69, 2.94, 2.592, 2.62, 2.62, 9315215
2021-09-16T04:00:00Z, 2.58, 2.7, 2.55, 2.68, 2.68, 1377915
2021-09-15T04:00:00Z, 2.6, 2.665, 2.5325, 2.61, 2.61, 1462268
2021-09-14T04:00:00Z, 2.65, 2.76, 2.58, 2.59, 2.59, 2311557
2021-09-13T04:00:00Z, 2.7, 2.77, 2.6, 2.66, 2.66, 1812099
2021-09-10T04:00:00Z, 2.81, 2.93, 2.68, 2.7, 2.7, 4702354
2021-09-09T04:00:00Z, 2.59, 2.72, 2.58, 2.71, 2.71, 2010052
2021-09-08T04:00:00Z, 2.6, 2.6651, 2.54, 2.61, 2.61, 1475025
2021-09-07T04:00:00Z, 2.67, 2.6917, 2.59, 2.63, 2.63, 1572551
2021-09-03T04:00:00Z, 2.68, 2.7199, 2.605, 2.62, 2.62, 1967942
2021-09-02T04:00:00Z, 2.72, 2.795, 2.66, 2.69, 2.69, 2653801
2021-09-01T04:00:00Z, 2.75, 2.76, 2.6301, 2.7, 2.7, 2705272
2021-08-31T04:00:00Z, 2.79, 2.87, 2.72, 2.74, 2.74, 3276499
2021-08-30T04:00:00Z, 2.9, 2.94, 2.78, 2.81, 2.81, 5106666
2021-08-27T04:00:00Z, 3.05, 3.38, 2.88, 2.99, 2.99, 50320215
2021-08-26T04:00:00Z, 2.72, 2.81, 2.63, 2.69, 2.69, 2036957
2021-08-25T04:00:00Z, 2.63, 2.79, 2.5989, 2.71, 2.71, 2967985
2021-08-24T04:00:00Z, 2.56, 2.69, 2.53, 2.65, 2.65, 2126024
2021-08-23T04:00:00Z, 2.47, 2.58, 2.44, 2.55, 2.55, 1977722
2021-08-20T04:00:00Z, 2.488, 2.58, 2.4422, 2.46, 2.46, 1588828
2021-08-19T04:00:00Z, 2.53, 2.5595, 2.46, 2.49, 2.49, 1396319
2021-08-18T04:00:00Z, 2.54, 2.65, 2.45, 2.57, 2.57, 2161371
2021-08-17T04:00:00Z, 2.42, 2.5969, 2.36, 2.54, 2.54, 2600844
2021-08-16T04:00:00Z, 2.58, 2.6156, 2.45, 2.46, 2.46, 2799180
2021-08-13T04:00:00Z, 2.66, 2.72, 2.58, 2.63, 2.63, 1944065
2021-08-12T04:00:00Z, 2.59, 2.8, 2.52, 2.66, 2.66, 3678097
2021-08-11T04:00:00Z, 2.8, 2.81, 2.62, 2.65, 2.65, 4228739
2021-08-10T04:00:00Z, 2.94, 2.97, 2.78, 2.78, 2.78, 3858042
2021-08-09T04:00:00Z, 2.97, 3.051, 2.9, 2.98, 2.98, 4174781
2021-08-06T04:00:00Z, 3, 3.13, 2.93, 3.01, 3.01, 7633270
2021-08-05T04:00:00Z, 3.33, 3.55, 3.17, 3.52, 3.52, 11761718
2021-08-04T04:00:00Z, 3.75, 3.75, 3.27, 3.42, 3.42, 24410878
2021-08-03T04:00:00Z, 2.97, 3.78, 2.82, 3.52, 3.52, 52041284
2021-08-02T04:00:00Z, 2.99, 3.11, 2.87, 2.94, 2.94, 4936175
2021-07-30T04:00:00Z, 2.74, 3.08, 2.72, 2.84, 2.84, 6406314
2021-07-29T04:00:00Z, 2.93, 2.94, 2.75, 2.79, 2.79, 2920604
2021-07-28T04:00:00Z, 2.75, 3.09, 2.75, 2.94, 2.94, 7110751
2021-07-27T04:00:00Z, 2.92, 2.97, 2.63, 2.75, 2.75, 7347480
2021-07-26T04:00:00Z, 3.09, 3.47, 2.93, 2.97, 2.97, 12594668
2021-07-23T04:00:00Z, 3.98, 4.06, 2.95, 3.06, 3.06, 24041328
2021-07-22T04:00:00Z, 5, 7.34, 4.25, 4.31, 4.31, 151188819
2021-07-21T04:00:00Z, 4.02, 6.95, 3.83, 5.34, 5.34, 396454697
2021-07-20T04:00:00Z, 2.41, 2.4074, 2.06, 2.06, 2.06, 1391050
2021-07-19T04:00:00Z, 2.39, 2.52, 2.38, 2.46, 2.46, 332501
2021-07-16T04:00:00Z, 2.45, 2.49, 2.4, 2.41, 2.41, 204333
2021-07-15T04:00:00Z, 2.48, 2.47, 2.38, 2.44, 2.44, 226414
2021-07-14T04:00:00Z, 2.6, 2.6, 2.46, 2.47, 2.47, 307358
2021-07-13T04:00:00Z, 2.65, 2.69, 2.58, 2.6, 2.6, 196880
2021-07-12T04:00:00Z, 2.66, 2.6799, 2.61, 2.67, 2.67, 165550
2021-07-09T04:00:00Z, 2.64, 2.67, 2.6, 2.62, 2.62, 218337
2021-07-08T04:00:00Z, 2.56, 2.65, 2.47, 2.6, 2.6, 323620
2021-07-07T04:00:00Z, 2.82, 2.84, 2.63, 2.64, 2.64, 509871
