Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 5.2, 5.39, 5.155, 5.39, 5.39, 1229695
2022-02-07T05:00:00Z, 5.11, 5.335, 5.08, 5.22, 5.22, 1257557
2022-02-04T05:00:00Z, 5.03, 5.15, 4.89, 5.09, 5.09, 1532648
2022-02-03T05:00:00Z, 5.01, 5.15, 4.95, 5.04, 5.04, 1608353
2022-02-02T05:00:00Z, 5.36, 5.385, 5.09, 5.13, 5.13, 1630809
2022-02-01T05:00:00Z, 5.41, 5.44, 5.14, 5.34, 5.34, 1490702
2022-01-31T05:00:00Z, 5.08, 5.37, 5.03, 5.36, 5.36, 1601807
2022-01-28T05:00:00Z, 4.82, 5.04, 4.67, 5.03, 5.03, 2250681
2022-01-27T05:00:00Z, 5.1, 5.17, 4.81, 4.81, 4.81, 1937567
2022-01-26T05:00:00Z, 5.24, 5.355, 4.975, 5, 5, 1938194
2022-01-25T05:00:00Z, 5.26, 5.28, 4.99, 5.09, 5.09, 2836671
2022-01-24T05:00:00Z, 5.09, 5.36, 4.79, 5.33, 5.33, 3817579
2022-01-21T05:00:00Z, 5.3, 5.5, 5.17, 5.2, 5.2, 2667952
2022-01-20T05:00:00Z, 5.42, 5.81, 5.36, 5.38, 5.38, 2672552
2022-01-19T05:00:00Z, 5.64, 5.79, 5.38, 5.39, 5.39, 2069311
2022-01-18T05:00:00Z, 5.75, 5.81, 5.54, 5.57, 5.57, 1407843
2022-01-14T05:00:00Z, 5.82, 5.94, 5.69, 5.84, 5.84, 1696151
2022-01-13T05:00:00Z, 6.07, 6.14, 5.89, 5.91, 5.91, 1175156
2022-01-12T05:00:00Z, 6.41, 6.45, 6.11, 6.12, 6.12, 1379810
2022-01-11T05:00:00Z, 6.26, 6.39, 6.18, 6.32, 6.32, 1263344
2022-01-10T05:00:00Z, 5.93, 6.27, 5.79, 6.26, 6.26, 2068783
2022-01-07T05:00:00Z, 6.18, 6.41, 5.99, 6.01, 6.01, 1943946
2022-01-06T05:00:00Z, 6.18, 6.405, 6.035, 6.26, 6.26, 2673739
2022-01-05T05:00:00Z, 6.55, 6.6, 6.21, 6.22, 6.22, 1296660
2022-01-04T05:00:00Z, 6.99, 7.01, 6.57, 6.59, 6.59, 1185166
2022-01-03T05:00:00Z, 6.97, 7.005, 6.74, 6.99, 6.99, 1051388
2021-12-31T05:00:00Z, 6.99, 7.08, 6.79, 6.81, 6.81, 621233
2021-12-30T05:00:00Z, 6.82, 7.06, 6.815, 6.96, 6.96, 998556
2021-12-29T05:00:00Z, 6.755, 6.8518, 6.72, 6.82, 6.82, 833470
2021-12-28T05:00:00Z, 6.91, 7.01, 6.76, 6.78, 6.78, 796189
2021-12-27T05:00:00Z, 6.95, 6.98, 6.86, 6.95, 6.95, 737288
2021-12-23T05:00:00Z, 6.87, 7, 6.79, 6.95, 6.95, 1062940
2021-12-22T05:00:00Z, 6.84, 6.97, 6.77, 6.9, 6.9, 1156797
2021-12-21T05:00:00Z, 6.75, 6.825, 6.66, 6.81, 6.81, 1188175
2021-12-20T05:00:00Z, 6.54, 6.68, 6.41, 6.62, 6.62, 2054774
2021-12-17T05:00:00Z, 6.16, 6.72, 6.12, 6.69, 6.69, 5425559
2021-12-16T05:00:00Z, 6.55, 6.62, 6.13, 6.2, 6.2, 2025831
2021-12-15T05:00:00Z, 6.24, 6.51, 6.11, 6.51, 6.51, 1996283
2021-12-14T05:00:00Z, 6.57, 6.59, 6.2, 6.26, 6.26, 1687473
2021-12-13T05:00:00Z, 6.55, 6.79, 6.55, 6.64, 6.64, 2817362
2021-12-10T05:00:00Z, 6.75, 6.9, 6.5, 6.53, 6.53, 1284268
2021-12-09T05:00:00Z, 7.06, 7.095, 6.705, 6.72, 6.72, 1007360
2021-12-08T05:00:00Z, 7.09, 7.195, 6.84, 7.05, 7.05, 903593
2021-12-07T05:00:00Z, 6.71, 7.13, 6.69, 7.06, 7.06, 1996802
2021-12-06T05:00:00Z, 6.59, 6.63, 6.35, 6.52, 6.52, 1370218
2021-12-03T05:00:00Z, 6.86, 6.92, 6.56, 6.64, 6.64, 1743635
2021-12-02T05:00:00Z, 6.69, 6.99, 6.68, 6.91, 6.91, 1505645
2021-12-01T05:00:00Z, 6.93, 7.01, 6.695, 6.71, 6.71, 1079092
2021-11-30T05:00:00Z, 6.92, 7.05, 6.77, 6.89, 6.89, 1354745
2021-11-29T05:00:00Z, 7.06, 7.1, 6.9, 6.93, 6.93, 1270292
2021-11-26T05:00:00Z, 7.1, 7.2, 6.93, 6.98, 6.98, 819927
2021-11-24T05:00:00Z, 6.99, 7.175, 6.85, 7.17, 7.17, 940730
2021-11-23T05:00:00Z, 7.13, 7.17, 6.95, 7.11, 7.11, 1613509
2021-11-22T05:00:00Z, 7.24, 7.28, 7.095, 7.12, 7.12, 1225306
2021-11-19T05:00:00Z, 7.17, 7.33, 7.145, 7.2, 7.2, 1425550
2021-11-18T05:00:00Z, 7.3, 7.34, 7.05, 7.17, 7.17, 1264528
2021-11-17T05:00:00Z, 7.19, 7.355, 7.15, 7.29, 7.29, 1162526
2021-11-16T05:00:00Z, 7.09, 7.35, 7.01, 7.25, 7.25, 1536148
2021-11-15T05:00:00Z, 7.26, 7.31, 7.04, 7.13, 7.13, 831513
2021-11-12T05:00:00Z, 7.3, 7.375, 7.26, 7.29, 7.29, 692360
2021-11-11T05:00:00Z, 7.26, 7.4241, 7.23, 7.31, 7.31, 956266
2021-11-10T05:00:00Z, 7.45, 7.55, 7.27, 7.3, 7.3, 1619859
2021-11-09T05:00:00Z, 7.78, 7.79, 7.48, 7.5, 7.5, 1607017
2021-11-08T05:00:00Z, 7.77, 7.985, 7.73, 7.77, 7.77, 1703260
2021-11-05T04:00:00Z, 7.92, 8.055, 7.803, 7.9, 7.9, 2222864
2021-11-04T04:00:00Z, 7.78, 7.99, 7.75, 7.93, 7.93, 2229029
2021-11-03T04:00:00Z, 7, 8, 6.98, 7.8, 7.8, 5685132
2021-11-02T04:00:00Z, 6.86, 6.9, 6.64, 6.69, 6.69, 1688034
2021-11-01T04:00:00Z, 6.64, 6.845, 6.59, 6.81, 6.81, 1120825
2021-10-29T04:00:00Z, 6.49, 6.64, 6.27, 6.6, 6.6, 630804
2021-10-28T04:00:00Z, 6.3, 6.555, 6.27, 6.54, 6.54, 863435
2021-10-27T04:00:00Z, 6.29, 6.33, 6.19, 6.26, 6.26, 816567
2021-10-26T04:00:00Z, 6.31, 6.35, 6.2, 6.29, 6.29, 667564
2021-10-25T04:00:00Z, 6.18, 6.33, 6.17, 6.25, 6.25, 626097
2021-10-22T04:00:00Z, 6.25, 6.29, 6.1801, 6.24, 6.24, 394560
2021-10-21T04:00:00Z, 6.32, 6.42, 6.31, 6.32, 6.32, 438601
2021-10-20T04:00:00Z, 6.43, 6.43, 6.26, 6.33, 6.33, 537204
2021-10-19T04:00:00Z, 6.16, 6.42, 6.12, 6.41, 6.41, 1329624
2021-10-18T04:00:00Z, 6.1, 6.185, 6.05, 6.09, 6.09, 786365
2021-10-15T04:00:00Z, 6.28, 6.29, 6.1, 6.12, 6.12, 707492
2021-10-14T04:00:00Z, 6.21, 6.35, 6.15, 6.2, 6.2, 844031
2021-10-13T04:00:00Z, 6.16, 6.23, 6.0737, 6.12, 6.12, 799172
2021-10-12T04:00:00Z, 6.03, 6.159, 5.985, 6.11, 6.11, 536435
2021-10-11T04:00:00Z, 5.99, 6.09, 5.92, 5.98, 5.98, 427414
2021-10-08T04:00:00Z, 6.08, 6.13, 5.99, 6.03, 6.03, 694060
2021-10-07T04:00:00Z, 6.14, 6.22, 6.1, 6.12, 6.12, 777579
2021-10-06T04:00:00Z, 5.99, 6.105, 5.95, 6.09, 6.09, 662789
2021-10-05T04:00:00Z, 5.94, 6.18, 5.94, 6.05, 6.05, 999210
2021-10-04T04:00:00Z, 6.12, 6.16, 5.9, 5.97, 5.97, 2044174
2021-10-01T04:00:00Z, 6.12, 6.2, 6.02, 6.16, 6.16, 776873
2021-09-30T04:00:00Z, 6.13, 6.31, 6.085, 6.09, 6.09, 891612
2021-09-29T04:00:00Z, 6.21, 6.28, 6.035, 6.09, 6.09, 1238650
2021-09-28T04:00:00Z, 6.4, 6.45, 6.175, 6.19, 6.19, 1234502
