Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 68.4, 72.5, 66.89, 72.14, 72.14, 1845847
2022-02-07T05:00:00Z, 67.03, 71.2881, 66.55, 68.98, 68.98, 3330246
2022-02-04T05:00:00Z, 63.6, 67.11, 61.29, 66.48, 66.48, 1783135
2022-02-03T05:00:00Z, 63.15, 67.13, 63.01, 63.66, 63.66, 1415235
2022-02-02T05:00:00Z, 69.25, 69.4612, 65.35, 65.71, 65.71, 1541133
2022-02-01T05:00:00Z, 66.73, 69.94, 65.17, 68.55, 68.55, 2392850
2022-01-31T05:00:00Z, 63.55, 65.73, 62.01, 65.39, 65.39, 1912654
2022-01-28T05:00:00Z, 58.39, 62.9, 55.55, 62.82, 62.82, 2636344
2022-01-27T05:00:00Z, 59.42, 61.23, 57.825, 58.25, 58.25, 2024927
2022-01-26T05:00:00Z, 61.63, 64.08, 55.62, 56, 56, 3628620
2022-01-25T05:00:00Z, 58.8, 60.3999, 55.64, 56.75, 56.75, 1928244
2022-01-24T05:00:00Z, 57.57, 59.14, 51, 58.64, 58.64, 5047373
2022-01-21T05:00:00Z, 61.5, 63.59, 59.12, 59.89, 59.89, 3979367
2022-01-20T05:00:00Z, 62.77, 65.1753, 61.49, 62, 62, 2277912
2022-01-19T05:00:00Z, 62.92, 64.1299, 60.86, 61.32, 61.32, 2763626
2022-01-18T05:00:00Z, 64, 65.95, 61.32, 61.75, 61.75, 2163417
2022-01-14T05:00:00Z, 63.55, 66.36, 62.33, 65, 65, 3815705
2022-01-13T05:00:00Z, 73.99, 74.92, 62.95, 62.95, 62.95, 5430770
2022-01-12T05:00:00Z, 73.5, 74.749, 71.02, 73.65, 73.65, 3071928
2022-01-11T05:00:00Z, 69.9, 73.95, 69.12, 71.97, 71.97, 2435163
2022-01-10T05:00:00Z, 67, 70.58, 62.57, 69.9, 69.9, 3411991
2022-01-07T05:00:00Z, 66.99, 70.41, 64.12, 67.11, 67.11, 2538065
2022-01-06T05:00:00Z, 60.12, 66.6, 57.94, 64.9, 64.9, 4598568
2022-01-05T05:00:00Z, 63, 64.93, 60.32, 60.8, 60.8, 2075213
2022-01-04T05:00:00Z, 69.49, 69.68, 63.27, 64.97, 64.97, 2283143
2022-01-03T05:00:00Z, 76.5, 76.62, 69.01, 69.92, 69.92, 2200346
2021-12-31T05:00:00Z, 77.5, 78.16, 75.51, 76.24, 76.24, 892298
2021-12-30T05:00:00Z, 75.24, 78.6, 75.11, 77.36, 77.36, 1331694
2021-12-29T05:00:00Z, 74.49, 76.04, 72.61, 75.08, 75.08, 1003011
2021-12-28T05:00:00Z, 76.75, 77.3, 74.07, 74.96, 74.96, 748108
2021-12-27T05:00:00Z, 71.61, 78.57, 71.59, 76.59, 76.59, 1878397
2021-12-23T05:00:00Z, 69.5, 74, 68.13, 71.77, 71.77, 1384650
2021-12-22T05:00:00Z, 68.89, 71.63, 67.99, 69.5, 69.5, 2597609
2021-12-21T05:00:00Z, 66.37, 69.25, 65.655, 68.95, 68.95, 1835882
2021-12-20T05:00:00Z, 61.53, 65.77, 60.76, 65.16, 65.16, 2350991
2021-12-17T05:00:00Z, 59.55, 64.19, 58.5, 63.27, 63.27, 6963392
2021-12-16T05:00:00Z, 64.05, 67.35, 58.41, 59.98, 59.98, 2735542
2021-12-15T05:00:00Z, 63.1, 64.95, 60.18, 63.86, 63.86, 3070906
2021-12-14T05:00:00Z, 61.42, 65, 59.26, 62.89, 62.89, 2449003
2021-12-13T05:00:00Z, 64.3, 67.26, 62.77, 63.77, 63.77, 3384073
2021-12-10T05:00:00Z, 67.94, 68.73, 63.11, 64.44, 64.44, 2818968
2021-12-09T05:00:00Z, 68.65, 69.59, 65.7, 66.9, 66.9, 6585792
2021-12-08T05:00:00Z, 66.55, 72.38, 64.1, 69.01, 69.01, 10234896
2021-12-07T05:00:00Z, 71.89, 76.28, 70.73, 73.09, 73.09, 2492734
2021-12-06T05:00:00Z, 70.27, 71.62, 66.34, 68.75, 68.75, 4789102
2021-12-03T05:00:00Z, 76.24, 76.9116, 68, 72.68, 72.68, 4254252
2021-12-02T05:00:00Z, 70.55, 78.7499, 70.4, 77.01, 77.01, 2639471
2021-12-01T05:00:00Z, 80.74, 82.14, 70.36, 70.56, 70.56, 1908681
2021-11-30T05:00:00Z, 83.92, 85.5, 75.92, 78.02, 78.02, 1758584
2021-11-29T05:00:00Z, 82, 84.83, 79.09, 84.44, 84.44, 2000255
2021-11-26T05:00:00Z, 79.03, 81.73, 77.5001, 81.04, 81.04, 826593
2021-11-24T05:00:00Z, 73.85, 80.11, 73.5, 79.79, 79.79, 1540235
2021-11-23T05:00:00Z, 75.41, 79.8, 74.06, 75.62, 75.62, 1850226
2021-11-22T05:00:00Z, 81.5, 81.5, 72.63, 77.09, 77.09, 2625766
2021-11-19T05:00:00Z, 80.16, 85.32, 79.32, 79.75, 79.75, 2565070
2021-11-18T05:00:00Z, 81.36, 83, 79.67, 80.16, 80.16, 1762162
2021-11-17T05:00:00Z, 81.59, 82.23, 79.02, 79.82, 79.82, 1483204
2021-11-16T05:00:00Z, 83.44, 83.44, 77.5, 81.93, 81.93, 2901673
2021-11-15T05:00:00Z, 86.5, 87, 78.19, 80, 80, 5691840
2021-11-12T05:00:00Z, 88.81, 94, 87.31, 90.01, 90.01, 3140203
