Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 80.74, 81.63, 80.45, 81.42, 81.42, 35845
2022-02-07T05:00:00Z, 79.03, 80.21, 78.95, 80.04, 80.04, 45282
2022-02-04T05:00:00Z, 79.65, 79.99, 79, 79.74, 79.74, 38347
2022-02-03T05:00:00Z, 79.52, 80.65, 79.18, 79.61, 79.61, 44419
2022-02-02T05:00:00Z, 79.02, 79.95, 78.45, 79.18, 79.18, 72179
2022-02-01T05:00:00Z, 79.65, 80.84, 78.51, 79.94, 79.94, 57824
2022-01-31T05:00:00Z, 79.73, 80.21, 78.095, 80.21, 80.21, 62348
2022-01-28T05:00:00Z, 79.72, 80.23, 77.735, 79.91, 79.91, 62405
2022-01-27T05:00:00Z, 82.22, 82.4, 78.56, 79.34, 79.34, 74037
2022-01-26T05:00:00Z, 82.85, 83.82, 80.37, 81.15, 81.15, 85272
2022-01-25T05:00:00Z, 81.21, 83.11, 79.33, 82.62, 82.62, 69977
2022-01-24T05:00:00Z, 79.51, 82.28, 79.01, 81.83, 81.83, 110628
2022-01-21T05:00:00Z, 80.13, 82.55, 79.725, 79.77, 79.77, 164800
2022-01-20T05:00:00Z, 81.7, 82.48, 80.53, 80.63, 80.63, 75729
2022-01-19T05:00:00Z, 82.86, 83.27, 81.4, 81.7, 81.7, 58602
2022-01-18T05:00:00Z, 84.96, 85.01, 83.24, 83.46, 83.46, 48133
2022-01-14T05:00:00Z, 83.75, 85.1, 83.27, 85.01, 85.01, 49213
2022-01-13T05:00:00Z, 84.76, 84.91, 83.88, 84.01, 84.01, 72283
2022-01-12T05:00:00Z, 85.19, 85.35, 83.68, 84.36, 84.36, 65309
2022-01-11T05:00:00Z, 86.1, 86.179, 84.35, 84.89, 84.89, 53795
2022-01-10T05:00:00Z, 86.49, 86.3, 85.36, 85.97, 85.97, 39753
2022-01-07T05:00:00Z, 85.91, 86.21, 85.69, 85.99, 85.99, 44420
2022-01-06T05:00:00Z, 84.13, 85.93, 83.67, 85.79, 85.79, 33687
2022-01-05T05:00:00Z, 84.27, 84.9, 83.6, 83.62, 83.62, 43099
2022-01-04T05:00:00Z, 83.38, 84.59, 82.84, 83.68, 83.68, 51913
2022-01-03T05:00:00Z, 82.28, 83.54, 81.94, 82.42, 82.42, 44249
2021-12-31T05:00:00Z, 80.67, 82.19, 80.76, 81.79, 81.79, 45279
2021-12-30T05:00:00Z, 80.87, 81.96, 80.54, 81.22, 81.22, 47268
2021-12-29T05:00:00Z, 81.8, 81.8, 81.315, 81.49, 81.49, 31040
2021-12-28T05:00:00Z, 81.37, 82.04, 80.23, 81.25, 81.25, 83777
2021-12-27T05:00:00Z, 80.95, 81.56, 80.1, 81.48, 81.48, 67587
2021-12-23T05:00:00Z, 81.15, 81.47, 80.5, 81.18, 81.18, 55088
2021-12-22T05:00:00Z, 80.55, 81.785, 80.03, 80.61, 80.61, 41020
2021-12-21T05:00:00Z, 80.8, 81.56, 80.17, 80.39, 80.39, 58765
2021-12-20T05:00:00Z, 79.7, 81.225, 78.05, 79.6, 79.6, 73076
2021-12-17T05:00:00Z, 80.89, 82.18, 79.65, 81.11, 81.11, 332391
2021-12-16T05:00:00Z, 80.83, 82.55, 79.74, 81.66, 81.66, 94557
2021-12-15T05:00:00Z, 79.74, 81.31, 79.01, 79.3, 79.3, 139262
2021-12-14T05:00:00Z, 79.45, 80.78, 79.11, 79.7, 79.7, 82464
2021-12-13T05:00:00Z, 80.19, 80.53, 78.96, 79.58, 79.58, 67083
2021-12-10T05:00:00Z, 79.53, 80.87, 79.19, 80.51, 80.51, 35961
2021-12-09T05:00:00Z, 79.7, 80.17, 79.3, 79.8, 79.8, 27541
2021-12-08T05:00:00Z, 80.08, 80.66, 79.56, 80.22, 80.22, 31591
2021-12-07T05:00:00Z, 81.03, 81.32, 79.2704, 79.96, 79.96, 44958
2021-12-06T05:00:00Z, 80.51, 81.79, 80.04, 80.69, 80.69, 47738
2021-12-03T05:00:00Z, 80.12, 80.45, 78.875, 79.24, 79.24, 38269
2021-12-02T05:00:00Z, 79.66, 80.805, 78.27, 80.38, 80.38, 37065
2021-12-01T05:00:00Z, 80.4, 80.85, 78.06, 78.19, 78.19, 42798
2021-11-30T05:00:00Z, 77.67, 79.42, 77.43, 78.46, 78.46, 58251
2021-11-29T05:00:00Z, 79.28, 80.69, 78.21, 78.48, 78.48, 56223
2021-11-26T05:00:00Z, 80.44, 81.91, 78.17, 79.16, 79.16, 53219
2021-11-24T05:00:00Z, 82.36, 83.2, 82.3, 82.73, 82.73, 25752
2021-11-23T05:00:00Z, 83.02, 83.58, 81.96, 83.14, 83.14, 40149
2021-11-22T05:00:00Z, 80.99, 83.57, 81.385, 82.85, 82.85, 52777
2021-11-19T05:00:00Z, 79.84, 81.14, 79.2, 80.8, 80.8, 48748
2021-11-18T05:00:00Z, 80.2, 80.935, 79.845, 80.55, 80.55, 39280
2021-11-17T05:00:00Z, 80.91, 80.995, 79.85, 80.67, 80.67, 53779
2021-11-16T05:00:00Z, 81.83, 82.1, 80.82, 81.47, 81.47, 32209
2021-11-15T05:00:00Z, 82.72, 82.35, 81.23, 81.89, 81.89, 41386
2021-11-12T05:00:00Z, 82.33, 83.17, 81.44, 82.18, 82.18, 29317
2021-11-11T05:00:00Z, 82.34, 83.35, 82.34, 82.89, 82.89, 25348
2021-11-10T05:00:00Z, 83.42, 83.5, 82.6, 82.92, 82.92, 34581
2021-11-09T05:00:00Z, 82.43, 83.27, 82.09, 82.68, 82.68, 38972
2021-11-08T05:00:00Z, 82.14, 82.94, 81.8875, 82.94, 82.94, 39147
2021-11-05T04:00:00Z, 81.08, 82.22, 80.93, 82.03, 82.03, 50226
2021-11-04T04:00:00Z, 81.15, 81.62, 79.42, 80.2, 80.2, 61052
2021-11-03T04:00:00Z, 80.69, 82.02, 79.79, 81.52, 81.52, 52818
2021-11-02T04:00:00Z, 82.22, 82, 80.11, 80.2, 80.2, 41946
2021-11-01T04:00:00Z, 80.18, 81.9, 80.02, 81.86, 81.86, 60031
2021-10-29T04:00:00Z, 79.46, 79.67, 78.93, 79.58, 79.58, 48572
2021-10-28T04:00:00Z, 79.17, 80.12, 78.32, 79.13, 79.13, 41368
2021-10-27T04:00:00Z, 80.31, 81.3248, 77.86, 77.94, 77.94, 51741
2021-10-26T04:00:00Z, 80.38, 81.41, 80.06, 81.07, 81.07, 51994
2021-10-25T04:00:00Z, 82.04, 82.14, 80.48, 80.81, 80.81, 55134
2021-10-22T04:00:00Z, 80.21, 81.8, 80.89, 81.8, 81.8, 46273
2021-10-21T04:00:00Z, 78.57, 80.45, 78.26, 80.43, 80.43, 55082
2021-10-20T04:00:00Z, 77.35, 78.21, 76.99, 78.19, 78.19, 40328
2021-10-19T04:00:00Z, 77.29, 77.45, 76.7101, 77.36, 77.36, 30384
2021-10-18T04:00:00Z, 76.52, 77.58, 76.26, 77.36, 77.36, 43297
2021-10-15T04:00:00Z, 78.03, 78.45, 76.52, 76.52, 76.52, 50924
2021-10-14T04:00:00Z, 76.86, 77.77, 76.125, 77.77, 77.77, 33042
2021-10-13T04:00:00Z, 76.61, 77.83, 76.46, 76.98, 76.98, 37688
2021-10-12T04:00:00Z, 78.41, 78.34, 77.57, 78.01, 78.01, 27065
2021-10-11T04:00:00Z, 79.325, 79.36, 78.07, 78.09, 78.09, 36048
2021-10-08T04:00:00Z, 79.5, 79.52, 78.51, 79.07, 79.07, 23564
2021-10-07T04:00:00Z, 78.72, 79.59, 78.69, 79.48, 79.48, 37135
2021-10-06T04:00:00Z, 78.23, 78.25, 77, 77.95, 77.95, 33278
2021-10-05T04:00:00Z, 77.85, 78.94, 78.07, 78.4, 78.4, 46800
2021-10-04T04:00:00Z, 78.85, 79.445, 78.08, 78.6, 78.6, 36423
