Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 41.23, 41.73, 39.77, 40.67, 40.67, 407482
2022-02-07T05:00:00Z, 41.73, 42.5, 41.73, 42.5, 42.5, 1500
2022-02-04T05:00:00Z, 42.52, 42.58, 41.49, 42.58, 42.58, 1729
2022-02-03T05:00:00Z, 42.92, 44.5, 42.55, 43.5, 43.5, 2701
2022-02-02T05:00:00Z, 45.36, 45.41, 43.29, 45.21, 45.21, 387534
2022-02-01T05:00:00Z, 43.4, 43.4, 42.77, 42.8, 42.8, 1500
2022-01-31T05:00:00Z, 43.11, 43.38, 42.41, 42.41, 42.41, 500
2022-01-28T05:00:00Z, 43.64, 44.41, 42.56, 42.56, 42.56, 15043
2022-01-27T05:00:00Z, 43.75, 45.21, 42, 44.06, 44.06, 10389
2022-01-26T05:00:00Z, 44.1, 45.34, 42.36, 43.3, 43.3, 42356
2022-01-25T05:00:00Z, 39.61, 42.41, 38.56, 42.02, 42.02, 17113
2022-01-24T05:00:00Z, 38.12, 38.84, 37.95, 38.84, 38.84, 1820
2022-01-21T05:00:00Z, 38.44, 39.51, 38.1, 38.1, 38.1, 6623
2022-01-20T05:00:00Z, 41.28, 43.03, 39.95, 39.95, 39.95, 7334
2022-01-19T05:00:00Z, 43.08, 44.51, 42.32, 42.47, 42.47, 13911
2022-01-18T05:00:00Z, 44.45, 45.94, 44.1, 44.28, 44.28, 6391
2022-01-14T05:00:00Z, 44.95, 45.9, 44.87, 45.9, 45.9, 3810
2022-01-13T05:00:00Z, 47.65, 47.65, 44.93, 45.01, 45.01, 12701
2022-01-12T05:00:00Z, 47.88, 47.9, 44.79, 47.82, 47.82, 4005
2022-01-11T05:00:00Z, 43.42, 44.86, 43.41, 44.78, 44.78, 2715
2022-01-10T05:00:00Z, 45.01, 45.64, 44.38, 45.13, 45.13, 2815
2022-01-07T05:00:00Z, 42.46, 43.79, 42.46, 43.79, 43.79, 510
2022-01-06T05:00:00Z, 41.61, 41.71, 40.45, 41.71, 41.71, 2100
2022-01-05T05:00:00Z, 40.88, 43.71, 40.43, 40.49, 40.49, 11036
2022-01-04T05:00:00Z, 42.25, 42.95, 41.9, 42.4, 42.4, 12621
2022-01-03T05:00:00Z, 40.55, 41.28, 40.55, 41.28, 41.28, 500
2021-12-31T05:00:00Z, 39.27, 39.96, 39.01, 39.96, 39.96, 6000
2021-12-30T05:00:00Z, 40.17, 40.51, 40.0586, 40.0586, 40.0586, 3431
2021-12-29T05:00:00Z, 40.62, 40.71, 40.11, 40.44, 40.44, 9726
2021-12-28T05:00:00Z, 40.9, 41.01, 40.9, 40.91, 40.91, 17028
2021-12-27T05:00:00Z, 39.88, 40.13, 39.85, 40.13, 40.13, 350
2021-12-23T05:00:00Z, 38.54, 38.72, 38.38, 38.72, 38.72, 665
2021-12-22T05:00:00Z, 37.65, 38.43, 37.65, 38.43, 38.43, 300
2021-12-21T05:00:00Z, 36.07, 37.68, 35.97, 36.77, 36.77, 4396
2021-12-20T05:00:00Z, 35.51, 35.51, 34.48, 35.5, 35.5, 6100
2021-12-17T05:00:00Z, 36.76, 37.36, 36.1, 36.19, 36.19, 1878
2021-12-16T05:00:00Z, 37.98, 38.09, 37.24, 37.24, 37.24, 1961
2021-12-15T05:00:00Z, 35.89, 36.7, 35.27, 36.39, 36.39, 3295
2021-12-14T05:00:00Z, 37.71, 37.8, 37.17, 37.18, 37.18, 106695
2021-12-13T05:00:00Z, 37.78, 37.78, 37.33, 37.34, 37.34, 750
2021-12-10T05:00:00Z, 38.54, 38.65, 38.28, 38.6, 38.6, 24096
2021-12-09T05:00:00Z, 38.62, 38.62, 38.47, 38.47, 38.47, 63113
2021-12-08T05:00:00Z, 39.22, 39.22, 39.22, 39.22, 39.22, 100
2021-12-07T05:00:00Z, 37.44, 38.61, 37.21, 38.61, 38.61, 350
2021-12-06T05:00:00Z, 34.96, 35.85, 34.09, 35.85, 35.85, 21383
2021-12-03T05:00:00Z, 36.25, 36.25, 35.55, 35.55, 35.55, 371
2021-12-02T05:00:00Z, 34.6, 36.22, 32.94, 35.32, 35.32, 1604
2021-12-01T05:00:00Z, 33.35, 35.78, 32.53, 32.53, 32.53, 2059
2021-11-30T05:00:00Z, 34.82, 35.99, 34.49, 34.81, 34.81, 1233
2021-11-29T05:00:00Z, 37.2, 37.24, 36.51, 36.56, 36.56, 1657
2021-11-26T05:00:00Z, 38.01, 39.49, 37.3, 39.34, 39.34, 4046
2021-11-24T05:00:00Z, 39.3, 39.45, 39.3, 39.35, 39.35, 500
2021-11-23T05:00:00Z, 38.31, 39.25, 37.16, 38.88, 38.88, 3500
2021-11-22T05:00:00Z, 36.41, 36.98, 36.13, 36.27, 36.27, 1262
2021-11-19T05:00:00Z, 36.1, 37.9, 36.1, 36.63, 36.63, 2050
2021-11-18T05:00:00Z, 38.92, 38.92, 38.13, 38.89, 38.89, 1467
2021-11-17T05:00:00Z, 38.23, 38.65, 37.75, 38.65, 38.65, 1098
2021-11-16T05:00:00Z, 37.4, 37.42, 36.9, 37, 37, 860
2021-11-15T05:00:00Z, 37.37, 37.5, 36.33, 37.5, 37.5, 2141
2021-11-12T05:00:00Z, 38.85, 39.22, 37.77, 37.77, 37.77, 910
2021-11-11T05:00:00Z, 38.88, 38.6, 38.26, 38.6, 38.6, 387
2021-11-10T05:00:00Z, 39, 40.75, 37.53, 37.81, 37.81, 2507
2021-11-09T05:00:00Z, 41.16, 41.81, 41.81, 41.81, 41.81, 344745
