Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 6.14, 6.36, 6.091, 6.34, 6.34, 3136649
2022-02-07T05:00:00Z, 6.04, 6.255, 5.91, 6.2, 6.2, 3832180
2022-02-04T05:00:00Z, 5.91, 6.11, 5.855, 6, 6, 3313243
2022-02-03T05:00:00Z, 5.93, 6.05, 5.84, 5.86, 5.86, 2835609
2022-02-02T05:00:00Z, 6.32, 6.36, 6, 6.03, 6.03, 3169963
2022-02-01T05:00:00Z, 6.13, 6.445, 6.03, 6.34, 6.34, 4059479
2022-01-31T05:00:00Z, 5.71, 6.1, 5.7, 6.07, 6.07, 3876061
2022-01-28T05:00:00Z, 5.67, 5.71, 5.4, 5.69, 5.69, 3908069
2022-01-27T05:00:00Z, 6.14, 6.28, 5.43, 5.67, 5.67, 10109384
2022-01-26T05:00:00Z, 6.05, 6.55, 5.67, 5.7, 5.7, 15155522
2022-01-25T05:00:00Z, 5.13, 5.54, 5.06, 5.51, 5.51, 4856153
2022-01-24T05:00:00Z, 4.86, 5.27, 4.7, 5.24, 5.24, 5153141
2022-01-21T05:00:00Z, 5.37, 5.48, 5.13, 5.14, 5.14, 4210644
2022-01-20T05:00:00Z, 5.73, 5.96, 5.5, 5.51, 5.51, 2966624
2022-01-19T05:00:00Z, 5.9, 5.99, 5.68, 5.73, 5.73, 2762165
2022-01-18T05:00:00Z, 6.06, 6.11, 5.715, 5.77, 5.77, 3173530
2022-01-14T05:00:00Z, 5.95, 6.12, 5.87, 6.08, 6.08, 2978931
2022-01-13T05:00:00Z, 6.29, 6.358, 6.02, 6.04, 6.04, 2142312
2022-01-12T05:00:00Z, 6.43, 6.43, 6.22, 6.29, 6.29, 1851681
2022-01-11T05:00:00Z, 6.11, 6.395, 6, 6.35, 6.35, 2464881
2022-01-10T05:00:00Z, 6.15, 6.185, 5.86, 6.06, 6.06, 3130764
2022-01-07T05:00:00Z, 6.17, 6.265, 6.07, 6.2, 6.2, 2586622
2022-01-06T05:00:00Z, 6.19, 6.28, 5.94, 6.19, 6.19, 4377823
2022-01-05T05:00:00Z, 6.59, 6.6611, 6.06, 6.07, 6.07, 4114475
2022-01-04T05:00:00Z, 6.73, 6.78, 6.48, 6.63, 6.63, 3818463
2022-01-03T05:00:00Z, 6.23, 6.565, 6.1925, 6.54, 6.54, 3408468
2021-12-31T05:00:00Z, 6.22, 6.37, 6.125, 6.13, 6.13, 3105813
2021-12-30T05:00:00Z, 6.1, 6.5, 6.09, 6.26, 6.26, 4345485
2021-12-29T05:00:00Z, 6.3, 6.36, 6.09, 6.11, 6.11, 3550117
2021-12-28T05:00:00Z, 6.47, 6.62, 6.36, 6.37, 6.37, 2469154
2021-12-27T05:00:00Z, 6.53, 6.56, 6.355, 6.48, 6.48, 2869982
2021-12-23T05:00:00Z, 6.52, 6.68, 6.49, 6.56, 6.56, 1881917
2021-12-22T05:00:00Z, 6.44, 6.6098, 6.37, 6.51, 6.51, 2461431
2021-12-21T05:00:00Z, 6.27, 6.52, 6.24, 6.49, 6.49, 3700640
2021-12-20T05:00:00Z, 6.16, 6.28, 6.05, 6.2, 6.2, 3750664
2021-12-17T05:00:00Z, 6.18, 6.52, 6.055, 6.4, 6.4, 6609636
2021-12-16T05:00:00Z, 6.52, 6.58, 6.17, 6.23, 6.23, 4596409
2021-12-15T05:00:00Z, 5.99, 6.43, 5.85, 6.4, 6.4, 4415161
2021-12-14T05:00:00Z, 6.46, 6.49, 5.98, 6.03, 6.03, 5292926
2021-12-13T05:00:00Z, 6.88, 6.93, 6.565, 6.65, 6.65, 3404851
2021-12-10T05:00:00Z, 6.96, 7.0078, 6.61, 6.97, 6.97, 3231202
2021-12-09T05:00:00Z, 6.95, 7.11, 6.855, 6.91, 6.91, 2287849
2021-12-08T05:00:00Z, 6.82, 7.17, 6.79, 7.12, 7.12, 2775814
2021-12-07T05:00:00Z, 6.77, 6.96, 6.71, 6.77, 6.77, 3413333
2021-12-06T05:00:00Z, 6.37, 6.68, 6.09, 6.59, 6.59, 3848859
2021-12-03T05:00:00Z, 6.68, 6.77, 6.27, 6.35, 6.35, 4329824
2021-12-02T05:00:00Z, 6.66, 6.88, 6.6, 6.66, 6.66, 3789728
2021-12-01T05:00:00Z, 7.29, 7.34, 6.66, 6.67, 6.67, 3555196
2021-11-30T05:00:00Z, 7.06, 7.24, 6.86, 7.17, 7.17, 4086340
2021-11-29T05:00:00Z, 7.35, 7.47, 7.055, 7.24, 7.24, 3348952
2021-11-26T05:00:00Z, 7.32, 7.36, 6.95, 7.2, 7.2, 3782565
2021-11-24T05:00:00Z, 7.66, 7.81, 7.54, 7.75, 7.75, 1967511
2021-11-23T05:00:00Z, 7.61, 7.9, 7.52, 7.72, 7.72, 2896301
2021-11-22T05:00:00Z, 7.72, 7.8979, 7.47, 7.59, 7.59, 4232600
2021-11-19T05:00:00Z, 7.63, 7.8, 7.55, 7.64, 7.64, 3906611
2021-11-18T05:00:00Z, 7.93, 8.1, 7.72, 7.86, 7.86, 3499761
2021-11-17T05:00:00Z, 8.21, 8.33, 7.88, 7.92, 7.92, 4087199
2021-11-16T05:00:00Z, 8.26, 8.2999, 8.075, 8.22, 8.22, 3441478
2021-11-15T05:00:00Z, 8.6, 8.62, 8.16, 8.32, 8.32, 4401237
