Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 3.3, 3.34, 3.18, 3.28, 3.28, 1132094
2022-02-07T05:00:00Z, 3.13, 3.37, 3.07, 3.36, 3.36, 1596938
2022-02-04T05:00:00Z, 2.98, 3.145, 2.96, 3.1, 3.1, 1491976
2022-02-03T05:00:00Z, 3.01, 3.09, 2.965, 2.97, 2.97, 1277981
2022-02-02T05:00:00Z, 3.2, 3.26, 2.995, 3.01, 3.01, 2096791
2022-02-01T05:00:00Z, 3.19, 3.345, 3.1, 3.22, 3.22, 2871782
2022-01-31T05:00:00Z, 3.15, 3.245, 3.07, 3.19, 3.19, 2613458
2022-01-28T05:00:00Z, 3.07, 3.1172, 2.92, 3.09, 3.09, 1560903
2022-01-27T05:00:00Z, 3.18, 3.23, 3.05, 3.07, 3.07, 1859624
2022-01-26T05:00:00Z, 3.26, 3.37, 3.08, 3.11, 3.11, 1595400
2022-01-25T05:00:00Z, 3.27, 3.28, 3.085, 3.22, 3.22, 2086621
2022-01-24T05:00:00Z, 3.03, 3.29, 2.95, 3.27, 3.27, 2029086
2022-01-21T05:00:00Z, 3.12, 3.25, 3.06, 3.07, 3.07, 2196219
2022-01-20T05:00:00Z, 3.33, 3.43, 3.14, 3.15, 3.15, 1682008
2022-01-19T05:00:00Z, 3.21, 3.48, 3.175, 3.33, 3.33, 1409904
2022-01-18T05:00:00Z, 3.49, 3.69, 3.2, 3.21, 3.21, 1594138
2022-01-14T05:00:00Z, 3.36, 3.665, 3.23, 3.65, 3.65, 2556032
2022-01-13T05:00:00Z, 3.53, 3.58, 3.41, 3.43, 3.43, 1746358
2022-01-12T05:00:00Z, 3.76, 3.76, 3.515, 3.52, 3.52, 1959373
2022-01-11T05:00:00Z, 3.5, 4.01, 3.5, 3.75, 3.75, 3046527
2022-01-10T05:00:00Z, 3.46, 3.58, 3.37, 3.49, 3.49, 3575639
2022-01-07T05:00:00Z, 3.62, 3.68, 3.41, 3.49, 3.49, 3280427
2022-01-06T05:00:00Z, 4.75, 4.8, 3.175, 3.495, 3.495, 9720629
2022-01-05T05:00:00Z, 5.09, 5.27, 4.81, 4.83, 4.83, 1237562
2022-01-04T05:00:00Z, 5.13, 5.17, 4.94, 5.12, 5.12, 1255430
2022-01-03T05:00:00Z, 4.8, 5.13, 4.71, 5.13, 5.13, 1056737
2021-12-31T05:00:00Z, 4.83, 4.92, 4.75, 4.76, 4.76, 751364
2021-12-30T05:00:00Z, 4.82, 4.96, 4.73, 4.77, 4.77, 1075601
2021-12-29T05:00:00Z, 4.89, 4.93, 4.78, 4.82, 4.82, 607696
2021-12-28T05:00:00Z, 4.99, 5.21, 4.87, 4.88, 4.88, 1055275
2021-12-27T05:00:00Z, 5.2, 5.22, 5, 5, 5, 946524
2021-12-23T05:00:00Z, 4.96, 5.23, 4.95, 5.18, 5.18, 1081948
2021-12-22T05:00:00Z, 4.86, 5.11, 4.79, 5.01, 5.01, 901854
2021-12-21T05:00:00Z, 4.94, 4.985, 4.8401, 4.88, 4.88, 724827
2021-12-20T05:00:00Z, 4.75, 4.96, 4.635, 4.87, 4.87, 1604197
2021-12-17T05:00:00Z, 4.47, 4.96, 4.415, 4.79, 4.79, 3608237
2021-12-16T05:00:00Z, 4.66, 4.7386, 4.44, 4.47, 4.47, 1436149
2021-12-15T05:00:00Z, 4.47, 4.7, 4.3141, 4.68, 4.68, 1804261
2021-12-14T05:00:00Z, 4.55, 4.61, 4.405, 4.45, 4.45, 1436734
