Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 5.9, 5.93, 5.8, 5.88, 5.88, 12832069
2022-02-07T05:00:00Z, 5.985, 6.02, 5.85, 5.86, 5.86, 10083171
2022-02-04T05:00:00Z, 6.02, 6.03, 5.93, 5.98, 5.98, 5084444
2022-02-03T05:00:00Z, 6.18, 6.25, 6.03, 6.05, 6.05, 6434610
2022-02-02T05:00:00Z, 6.225, 6.33, 6.19, 6.26, 6.26, 6532970
2022-02-01T05:00:00Z, 6.15, 6.285, 6.13, 6.22, 6.22, 4796381
2022-01-31T05:00:00Z, 6.11, 6.13, 6.01, 6.12, 6.12, 5158113
2022-01-28T05:00:00Z, 5.94, 6.12, 5.87, 6.1, 6.1, 11604583
2022-01-27T05:00:00Z, 6.06, 6.22, 5.875, 5.95, 5.95, 8852759
2022-01-26T05:00:00Z, 6, 6.21, 5.97, 5.98, 5.98, 14233983
2022-01-25T05:00:00Z, 5.64, 5.99, 5.58, 5.96, 5.96, 17381271
2022-01-24T05:00:00Z, 5.7, 5.75, 5.28, 5.73, 5.73, 20947787
2022-01-21T05:00:00Z, 6.25, 6.32, 5.84, 5.85, 5.85, 19398720
2022-01-20T05:00:00Z, 6.63, 6.63, 6.28, 6.29, 6.29, 7287078
2022-01-19T05:00:00Z, 6.73, 6.81, 6.57, 6.58, 6.58, 5325725
2022-01-18T05:00:00Z, 6.725, 6.78, 6.665, 6.7, 6.7, 6333608
2022-01-14T05:00:00Z, 6.68, 6.83, 6.6545, 6.82, 6.82, 7749977
2022-01-13T05:00:00Z, 6.79, 6.82, 6.695, 6.73, 6.73, 7582692
2022-01-12T05:00:00Z, 6.5, 6.77, 6.47, 6.77, 6.77, 9157149
2022-01-11T05:00:00Z, 6.42, 6.49, 6.33, 6.48, 6.48, 5809882
2022-01-10T05:00:00Z, 6.48, 6.51, 6.29, 6.37, 6.37, 8161713
2022-01-07T05:00:00Z, 6.595, 6.615, 6.46, 6.55, 6.55, 4232413
2022-01-06T05:00:00Z, 6.69, 6.7076, 6.525, 6.6, 6.6, 4385701
2022-01-05T05:00:00Z, 6.67, 6.93, 6.615, 6.62, 6.62, 7954035
2022-01-04T05:00:00Z, 6.695, 6.765, 6.64, 6.67, 6.67, 6820465
2022-01-03T05:00:00Z, 6.84, 6.86, 6.66, 6.68, 6.68, 4553805
2021-12-31T05:00:00Z, 6.84, 6.875, 6.78, 6.78, 6.78, 3098204
2021-12-30T05:00:00Z, 6.64, 6.84, 6.63, 6.81, 6.81, 6788896
2021-12-29T05:00:00Z, 6.74, 6.75, 6.61, 6.64, 6.64, 2621926
2021-12-28T05:00:00Z, 6.77, 6.81, 6.7, 6.74, 6.74, 2848023
2021-12-27T05:00:00Z, 6.72, 6.77, 6.62, 6.76, 6.76, 3131329
2021-12-23T05:00:00Z, 6.64, 6.75, 6.625, 6.7, 6.7, 4711047
2021-12-22T05:00:00Z, 6.64, 6.72, 6.57, 6.64, 6.64, 4233014
2021-12-21T05:00:00Z, 6.35, 6.645, 6.35, 6.62, 6.62, 9383095
2021-12-20T05:00:00Z, 6.4, 6.43, 6.25, 6.27, 6.27, 6465008
2021-12-17T05:00:00Z, 6.28, 6.535, 6.23, 6.48, 6.48, 8688385
2021-12-16T05:00:00Z, 6.22, 6.41, 6.2, 6.29, 6.29, 10615469
2021-12-15T05:00:00Z, 6.12, 6.205, 6.02, 6.17, 6.17, 8247362
2021-12-14T05:00:00Z, 5.95, 6.14, 5.92, 6.11, 6.11, 10047918
2021-12-13T05:00:00Z, 6.04, 6.04, 5.88, 5.98, 5.98, 8041636
2021-12-10T05:00:00Z, 6.045, 6.05, 5.98, 6.03, 6.03, 5176471
2021-12-09T05:00:00Z, 6.08, 6.105, 5.97, 5.98, 5.98, 6836050
2021-12-08T05:00:00Z, 6.135, 6.22, 6.1, 6.13, 6.13, 6237989
2021-12-07T05:00:00Z, 6.13, 6.205, 6.06, 6.13, 6.13, 10417917
2021-12-06T05:00:00Z, 6.03, 6.14, 5.98, 6.05, 6.05, 5275958
2021-12-03T05:00:00Z, 6.15, 6.23, 5.97, 6.03, 6.03, 10623118
2021-12-02T05:00:00Z, 6.19, 6.27, 6.11, 6.21, 6.21, 9415266
2021-12-01T05:00:00Z, 6.31, 6.435, 6.13, 6.14, 6.14, 10893743
2021-11-30T05:00:00Z, 6.26, 6.32, 6.1, 6.15, 6.15, 12601624
2021-11-29T05:00:00Z, 5.91, 6.335, 5.88, 6.32, 6.32, 16209039
2021-11-26T05:00:00Z, 5.88, 6.02, 5.66, 5.85, 5.85, 6266286
2021-11-24T05:00:00Z, 6.25, 6.28, 6.1, 6.15, 6.15, 8393303
2021-11-23T05:00:00Z, 6.15, 6.3, 6.13, 6.29, 6.29, 8391487
2021-11-22T05:00:00Z, 6.175, 6.19, 6.11, 6.12, 6.12, 3728950
2021-11-19T05:00:00Z, 6.17, 6.23, 6.12, 6.16, 6.16, 5839777
2021-11-18T05:00:00Z, 6.3, 6.32, 6.08, 6.22, 6.22, 6715511
2021-11-17T05:00:00Z, 6.44, 6.44, 6.28, 6.32, 6.32, 8747904
2021-11-16T05:00:00Z, 6.535, 6.55, 6.35, 6.43, 6.43, 9468717
2021-11-15T05:00:00Z, 6.6, 6.66, 6.53, 6.54, 6.54, 2336231
2021-11-12T05:00:00Z, 6.615, 6.6558, 6.565, 6.57, 6.57, 3507721
2021-11-11T05:00:00Z, 6.52, 6.605, 6.51, 6.6, 6.6, 5040582
2021-11-10T05:00:00Z, 6.63, 6.65, 6.49, 6.5, 6.5, 5622324
2021-11-09T05:00:00Z, 6.94, 6.955, 6.64, 6.68, 6.68, 11671567
2021-11-08T05:00:00Z, 6.9, 7.02, 6.72, 6.97, 6.97, 18178596
2021-11-05T04:00:00Z, 6.19, 6.41, 6.16, 6.34, 6.34, 10999250
2021-11-04T04:00:00Z, 6.33, 6.34, 6.11, 6.13, 6.13, 8888701
2021-11-03T04:00:00Z, 6.38, 6.36, 6.18, 6.29, 6.29, 7224742
2021-11-02T04:00:00Z, 6.33, 6.41, 6.29, 6.4, 6.4, 7059592
2021-11-01T04:00:00Z, 6.42, 6.49, 6.28, 6.33, 6.33, 11082085
2021-10-29T04:00:00Z, 6.54, 6.65, 6.36, 6.43, 6.43, 8280568
2021-10-28T04:00:00Z, 6.59, 6.72, 6.485, 6.6, 6.6, 11525311
2021-10-27T04:00:00Z, 6.8, 6.86, 6.73, 6.76, 6.76, 5822051
2021-10-26T04:00:00Z, 6.835, 6.89, 6.74, 6.82, 6.82, 5433970
2021-10-25T04:00:00Z, 6.76, 6.8598, 6.73, 6.8, 6.8, 8013499
2021-10-22T04:00:00Z, 6.92, 6.995, 6.705, 6.71, 6.71, 5866888
2021-10-21T04:00:00Z, 7.14, 7.155, 6.89, 6.9, 6.9, 12968753
2021-10-20T04:00:00Z, 7.05, 7.2, 7.03, 7.17, 7.17, 5023156
2021-10-19T04:00:00Z, 7.19, 7.22, 7.035, 7.06, 7.06, 6781789
2021-10-18T04:00:00Z, 7.11, 7.3, 7.08, 7.17, 7.17, 9672408
2021-10-15T04:00:00Z, 7.14, 7.255, 7.07, 7.16, 7.16, 10249602
2021-10-14T04:00:00Z, 6.85, 7.11, 6.8, 7.08, 7.08, 5938429
2021-10-13T04:00:00Z, 6.85, 6.92, 6.745, 6.81, 6.81, 5945511
2021-10-12T04:00:00Z, 6.68, 6.91, 6.65, 6.85, 6.85, 10760343
2021-10-11T04:00:00Z, 6.56, 6.72, 6.49, 6.66, 6.66, 12144043
2021-10-08T04:00:00Z, 6.66, 6.69, 6.49, 6.52, 6.52, 8569689
2021-10-07T04:00:00Z, 6.77, 6.87, 6.61, 6.65, 6.65, 14824725
2021-10-06T04:00:00Z, 6.76, 6.82, 6.58, 6.72, 6.72, 11764851
2021-10-05T04:00:00Z, 7.01, 7.02, 6.79, 6.8, 6.8, 14920743
2021-10-04T04:00:00Z, 7.13, 7.235, 6.995, 7.02, 7.02, 4324251
2021-10-01T04:00:00Z, 7.17, 7.235, 7, 7.17, 7.17, 9884478
2021-09-30T04:00:00Z, 7.14, 7.21, 7.06, 7.17, 7.17, 8858886
2021-09-29T04:00:00Z, 7.33, 7.32, 7.08, 7.11, 7.11, 5480068
2021-09-28T04:00:00Z, 7.425, 7.47, 7.265, 7.29, 7.29, 6479183
2021-09-27T04:00:00Z, 7.36, 7.565, 7.29, 7.51, 7.51, 4070415
2021-09-24T04:00:00Z, 7.38, 7.51, 7.31, 7.32, 7.32, 5379100
2021-09-23T04:00:00Z, 7.34, 7.575, 7.305, 7.5, 7.5, 7857004
2021-09-22T04:00:00Z, 7.03, 7.36, 6.99, 7.28, 7.28, 11308656
2021-09-21T04:00:00Z, 7.09, 7.13, 6.96, 7.08, 7.08, 6741145
2021-09-20T04:00:00Z, 7.05, 7.07, 6.77, 7.03, 7.03, 16312861
2021-09-17T04:00:00Z, 7.51, 7.53, 7.24, 7.24, 7.24, 14011870
2021-09-16T04:00:00Z, 7.55, 7.61, 7.47, 7.51, 7.51, 5858373
2021-09-15T04:00:00Z, 7.62, 7.72, 7.575, 7.59, 7.59, 5096662
2021-09-14T04:00:00Z, 7.67, 7.7, 7.52, 7.63, 7.63, 5508625
2021-09-13T04:00:00Z, 7.79, 7.83, 7.575, 7.62, 7.62, 4636292
2021-09-10T04:00:00Z, 7.665, 7.81, 7.66, 7.7, 7.7, 5027066
2021-09-09T04:00:00Z, 7.68, 7.71, 7.565, 7.63, 7.63, 6564468
2021-09-08T04:00:00Z, 7.84, 7.85, 7.6, 7.68, 7.68, 6885974
2021-09-07T04:00:00Z, 8.04, 8.17, 7.84, 7.85, 7.85, 5358962
2021-09-03T04:00:00Z, 8.07, 8.11, 7.99, 8.06, 8.06, 3658304
2021-09-02T04:00:00Z, 8.07, 8.16, 8, 8.04, 8.04, 3389858
2021-09-01T04:00:00Z, 8.23, 8.26, 8.045, 8.05, 8.05, 6514106
2021-08-31T04:00:00Z, 8.13, 8.24, 8.08, 8.2, 8.2, 6556125
2021-08-30T04:00:00Z, 8.18, 8.24, 8.095, 8.14, 8.14, 4255558
2021-08-27T04:00:00Z, 8, 8.28, 8.02, 8.25, 8.25, 5156802
2021-08-26T04:00:00Z, 8.2, 8.22, 8, 8.02, 8.02, 4155045
2021-08-25T04:00:00Z, 8.07, 8.23, 8.03, 8.21, 8.21, 4711830
2021-08-24T04:00:00Z, 7.96, 8.13, 7.96, 8.06, 8.06, 4062143
2021-08-23T04:00:00Z, 7.79, 8.01, 7.76, 7.92, 7.92, 4736741
