Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 9.94, 10.05, 9.57, 9.6, 9.6, 733016
2022-02-07T05:00:00Z, 9.69, 9.93, 9.535, 9.87, 9.87, 1469545
2022-02-04T05:00:00Z, 9.81, 9.91, 9.49, 9.73, 9.73, 628472
2022-02-03T05:00:00Z, 10.1, 10.21, 9.87, 9.94, 9.94, 721568
2022-02-02T05:00:00Z, 10.11, 10.3, 10.05, 10.28, 10.28, 615873
2022-02-01T05:00:00Z, 10.16, 10.33, 10.03, 10.29, 10.29, 569725
2022-01-31T05:00:00Z, 9.83, 10.19, 9.72, 10.11, 10.11, 901457
2022-01-28T05:00:00Z, 10.07, 10.2, 9.58, 9.97, 9.97, 767346
2022-01-27T05:00:00Z, 10.55, 10.71, 10.115, 10.2, 10.2, 721916
2022-01-26T05:00:00Z, 10.75, 10.86, 10.485, 10.59, 10.59, 837763
2022-01-25T05:00:00Z, 10.1, 10.58, 9.99, 10.57, 10.57, 1007574
2022-01-24T05:00:00Z, 9.85, 10.1801, 9.645, 10.17, 10.17, 1270277
2022-01-21T05:00:00Z, 10.08, 10.35, 9.94, 9.99, 9.99, 974506
2022-01-20T05:00:00Z, 10.51, 10.61, 10.11, 10.11, 10.11, 511322
2022-01-19T05:00:00Z, 10.73, 10.805, 10.49, 10.51, 10.51, 646792
2022-01-18T05:00:00Z, 10.92, 11.07, 10.7, 10.71, 10.71, 541951
2022-01-14T05:00:00Z, 10.7, 10.99, 10.63, 10.95, 10.95, 474527
2022-01-13T05:00:00Z, 10.74, 10.93, 10.63, 10.8, 10.8, 596335
2022-01-12T05:00:00Z, 10.72, 10.8, 10.56, 10.72, 10.72, 663275
2022-01-11T05:00:00Z, 10.24, 10.76, 10.14, 10.69, 10.69, 739099
2022-01-10T05:00:00Z, 10.37, 10.41, 10.11, 10.24, 10.24, 522908
2022-01-07T05:00:00Z, 10.13, 10.42, 9.92, 10.37, 10.37, 523353
2022-01-06T05:00:00Z, 10.01, 10.2, 9.915, 9.98, 9.98, 841023
2022-01-05T05:00:00Z, 10.26, 10.298, 9.99, 10.05, 10.05, 1062417
2022-01-04T05:00:00Z, 10.1, 10.26, 10.06, 10.17, 10.17, 463660
2022-01-03T05:00:00Z, 9.93, 10.41, 9.86, 10.13, 10.13, 432895
2021-12-31T05:00:00Z, 9.96, 10.11, 9.81, 9.97, 9.97, 578406
2021-12-30T05:00:00Z, 10.17, 10.27, 9.96, 9.99, 9.99, 504910
2021-12-29T05:00:00Z, 10.3, 10.44, 10.13, 10.19, 10.19, 434794
2021-12-28T05:00:00Z, 10.11, 10.43, 10.05, 10.28, 10.28, 715073
2021-12-27T05:00:00Z, 10.17, 10.37, 10.11, 10.26, 10.26, 624546
2021-12-23T05:00:00Z, 10.38, 10.44, 10.18, 10.29, 10.29, 443500
2021-12-22T05:00:00Z, 10.1, 10.465, 10.02, 10.29, 10.29, 568155
2021-12-21T05:00:00Z, 9.9, 10.28, 9.8302, 10.24, 10.24, 563521
2021-12-20T05:00:00Z, 9.84, 9.85, 9.42, 9.77, 9.77, 1093596
2021-12-17T05:00:00Z, 9.43, 10.06, 9.31, 9.85, 9.85, 3225228
2021-12-16T05:00:00Z, 9.82, 9.885, 9.43, 9.53, 9.53, 882379
2021-12-15T05:00:00Z, 9.71, 9.84, 9.575, 9.81, 9.81, 1199276
2021-12-14T05:00:00Z, 9.38, 9.72, 9.1908, 9.69, 9.69, 874047
2021-12-13T05:00:00Z, 9.56, 9.69, 9.31, 9.32, 9.32, 653520
2021-12-10T05:00:00Z, 9.8, 9.87, 9.59, 9.64, 9.64, 470295
2021-12-09T05:00:00Z, 9.89, 10.1, 9.79, 9.8, 9.8, 583511
2021-12-08T05:00:00Z, 10.37, 10.49, 10.02, 10.03, 10.03, 492514
2021-12-07T05:00:00Z, 10.75, 10.78, 10.34, 10.37, 10.37, 918772
2021-12-06T05:00:00Z, 10.37, 10.69, 10.27, 10.43, 10.43, 715620
2021-12-03T05:00:00Z, 10.36, 10.45, 10.05, 10.25, 10.25, 585317
2021-12-02T05:00:00Z, 10.38, 10.53, 10.115, 10.33, 10.33, 1014053
2021-12-01T05:00:00Z, 10.92, 11.23, 10.4, 10.41, 10.41, 643402
2021-11-30T05:00:00Z, 11, 11.08, 10.735, 10.77, 10.77, 1151376
2021-11-29T05:00:00Z, 11.49, 11.51, 11, 11.07, 11.07, 614805
2021-11-26T05:00:00Z, 11.38, 11.49, 11.04, 11.3, 11.3, 515546
2021-11-24T05:00:00Z, 11.8, 11.95, 11.66, 11.88, 11.88, 342940
2021-11-23T05:00:00Z, 11.94, 11.98, 11.79, 11.88, 11.88, 518422
2021-11-22T05:00:00Z, 11.4, 11.985, 11.355, 11.84, 11.84, 774621
2021-11-19T05:00:00Z, 11.24, 11.65, 11.18, 11.59, 11.59, 894505
2021-11-18T05:00:00Z, 11.6, 11.65, 11.13, 11.32, 11.32, 958963
2021-11-17T05:00:00Z, 11.62, 11.63, 11.29, 11.58, 11.58, 764093
2021-11-16T05:00:00Z, 11.35, 11.63, 11.231, 11.63, 11.63, 913265
2021-11-15T05:00:00Z, 11.44, 11.86, 11.4, 11.45, 11.45, 1040655
2021-11-12T05:00:00Z, 10.89, 11.39, 10.855, 11.39, 11.39, 1326168
2021-11-11T05:00:00Z, 10.56, 10.905, 10.55, 10.87, 10.87, 966823
2021-11-10T05:00:00Z, 9.99, 10.61, 9.85, 10.6, 10.6, 1167648
2021-11-09T05:00:00Z, 9.8, 10.16, 9.62, 9.79, 9.79, 655106
2021-11-08T05:00:00Z, 9.57, 9.7, 9.51, 9.64, 9.64, 631667
2021-11-05T04:00:00Z, 9.31, 9.6, 9.16, 9.57, 9.57, 860349
2021-11-04T04:00:00Z, 9.33, 9.44, 9.1, 9.11, 9.11, 484390
2021-11-03T04:00:00Z, 8.85, 9.33, 8.84, 9.3, 9.3, 624455
2021-11-02T04:00:00Z, 8.71, 8.96, 8.49, 8.92, 8.92, 775533
2021-11-01T04:00:00Z, 8.5, 8.84, 8.49, 8.82, 8.82, 549198
2021-10-29T04:00:00Z, 8.5, 8.62, 8.3773, 8.61, 8.61, 640846
2021-10-28T04:00:00Z, 8.36, 8.57, 8.27, 8.56, 8.56, 635190
2021-10-27T04:00:00Z, 8.39, 8.585, 8.2262, 8.36, 8.36, 730729
2021-10-26T04:00:00Z, 8.9, 8.97, 8.43, 8.47, 8.47, 819772
2021-10-25T04:00:00Z, 8.87, 9.23, 8.811, 9, 9, 848501
2021-10-22T04:00:00Z, 9.16, 9.22, 8.935, 9, 9, 477896
2021-10-21T04:00:00Z, 9.15, 9.24, 8.965, 9.16, 9.16, 476366
2021-10-20T04:00:00Z, 9.09, 9.37, 9.06, 9.23, 9.23, 385484
2021-10-19T04:00:00Z, 9.19, 9.265, 9.06, 9.15, 9.15, 287295
2021-10-18T04:00:00Z, 9.3, 9.37, 9.135, 9.23, 9.23, 376136
2021-10-15T04:00:00Z, 9.72, 9.83, 9.41, 9.41, 9.41, 507718
2021-10-14T04:00:00Z, 9.59, 9.61, 9.44, 9.49, 9.49, 387180
2021-10-13T04:00:00Z, 9.47, 9.49, 9.2, 9.49, 9.49, 290657
2021-10-12T04:00:00Z, 9.46, 9.57, 9.32, 9.48, 9.48, 916423
