Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 3.02, 3.07, 2.99, 3.01, 3.01, 1255911
2022-02-07T05:00:00Z, 3.1, 3.155, 3.04, 3.04, 3.04, 1413358
2022-02-04T05:00:00Z, 3.12, 3.145, 3.005, 3.1, 3.1, 1543616
2022-02-03T05:00:00Z, 3.22, 3.225, 3.11, 3.11, 3.11, 1445125
2022-02-02T05:00:00Z, 3.23, 3.28, 3.185, 3.23, 3.23, 1404288
2022-02-01T05:00:00Z, 3.07, 3.25, 3.05, 3.21, 3.21, 2151775
2022-01-31T05:00:00Z, 3, 3.09, 2.94, 3.05, 3.05, 2745820
2022-01-28T05:00:00Z, 2.865, 2.89, 2.74, 2.89, 2.89, 1587050
2022-01-27T05:00:00Z, 3.01, 3.11, 2.87, 2.9, 2.9, 1496463
2022-01-26T05:00:00Z, 3.14, 3.19, 2.99, 3, 3, 1230326
2022-01-25T05:00:00Z, 2.95, 3.12, 2.91, 3.07, 3.07, 1184915
2022-01-24T05:00:00Z, 2.92, 3.045, 2.86, 3.03, 3.03, 1579739
2022-01-21T05:00:00Z, 2.98, 3.1176, 2.95, 3.01, 3.01, 1767505
2022-01-20T05:00:00Z, 3.1, 3.23, 3.04, 3.06, 3.06, 2448784
2022-01-19T05:00:00Z, 3.24, 3.26, 3.09, 3.09, 3.09, 1352025
2022-01-18T05:00:00Z, 3.29, 3.35, 3.22, 3.22, 3.22, 1399945
2022-01-14T05:00:00Z, 3.28, 3.33, 3.22, 3.31, 3.31, 1318242
2022-01-13T05:00:00Z, 3.22, 3.35, 3.22, 3.28, 3.28, 1357927
2022-01-12T05:00:00Z, 3.26, 3.32, 3.21, 3.21, 3.21, 1252317
2022-01-11T05:00:00Z, 3.35, 3.35, 3.18, 3.27, 3.27, 1525928
2022-01-10T05:00:00Z, 3.4, 3.44, 3.315, 3.32, 3.32, 1624065
2022-01-07T05:00:00Z, 3.35, 3.45, 3.29, 3.4, 3.4, 4797464
2022-01-06T05:00:00Z, 3.27, 3.39, 3.2, 3.36, 3.36, 1330519
2022-01-05T05:00:00Z, 3.31, 3.35, 3.24, 3.25, 3.25, 1814970
2022-01-04T05:00:00Z, 3.28, 3.39, 3.25, 3.29, 3.29, 2051615
2022-01-03T05:00:00Z, 3.13, 3.3, 3.04, 3.26, 3.26, 2523604
2021-12-31T05:00:00Z, 2.94, 3.12, 2.92, 3.09, 3.09, 1703244
2021-12-30T05:00:00Z, 2.82, 3, 2.8, 2.97, 2.97, 1889700
2021-12-29T05:00:00Z, 2.66, 2.78, 2.64, 2.76, 2.76, 2426563
2021-12-28T05:00:00Z, 2.58, 2.65, 2.54, 2.62, 2.62, 1073654
2021-12-27T05:00:00Z, 2.63, 2.66, 2.585, 2.63, 2.63, 1238175
2021-12-23T05:00:00Z, 2.66, 2.71, 2.63, 2.67, 2.67, 1055131
2021-12-22T05:00:00Z, 2.62, 2.65, 2.6, 2.65, 2.65, 1083680
2021-12-21T05:00:00Z, 2.49, 2.68, 2.47, 2.65, 2.65, 1768730
2021-12-20T05:00:00Z, 2.53, 2.53, 2.35, 2.46, 2.46, 2075192
2021-12-17T05:00:00Z, 2.48, 2.57, 2.475, 2.56, 2.56, 3914286
2021-12-16T05:00:00Z, 2.58, 2.64, 2.495, 2.55, 2.55, 1479234
2021-12-15T05:00:00Z, 2.52, 2.58, 2.42, 2.58, 2.58, 2513753
2021-12-14T05:00:00Z, 2.68, 2.72, 2.51, 2.52, 2.52, 2211317
2021-12-13T05:00:00Z, 2.7, 2.73, 2.62, 2.7, 2.7, 1176449
2021-12-10T05:00:00Z, 2.8, 2.82, 2.72, 2.72, 2.72, 832538
2021-12-09T05:00:00Z, 2.88, 2.89, 2.79, 2.81, 2.81, 1314689
2021-12-08T05:00:00Z, 2.82, 2.91, 2.77, 2.88, 2.88, 906827
2021-12-07T05:00:00Z, 2.86, 2.9, 2.811, 2.83, 2.83, 960720
2021-12-06T05:00:00Z, 2.66, 2.87, 2.62, 2.84, 2.84, 1250866
2021-12-03T05:00:00Z, 2.71, 2.74, 2.62, 2.67, 2.67, 4580167
2021-12-02T05:00:00Z, 2.6, 2.71, 2.545, 2.69, 2.69, 1887578
2021-12-01T05:00:00Z, 2.79, 2.91, 2.61, 2.61, 2.61, 1693062
2021-11-30T05:00:00Z, 2.76, 2.81, 2.68, 2.79, 2.79, 2495260
2021-11-29T05:00:00Z, 2.93, 2.93, 2.7501, 2.83, 2.83, 1691842
2021-11-26T05:00:00Z, 3.1, 3.13, 2.79, 2.85, 2.85, 2648698
2021-11-24T05:00:00Z, 3.15, 3.26, 3.135, 3.17, 3.17, 848732
2021-11-23T05:00:00Z, 3.14, 3.31, 3.115, 3.19, 3.19, 2715155
2021-11-22T05:00:00Z, 3.2, 3.24, 3.13, 3.13, 3.13, 834466
2021-11-19T05:00:00Z, 3.26, 3.29, 3.155, 3.18, 3.18, 1194461
2021-11-18T05:00:00Z, 3.4, 3.41, 3.255, 3.28, 3.28, 1160199
2021-11-17T05:00:00Z, 3.37, 3.38, 3.27, 3.37, 3.37, 939197
2021-11-16T05:00:00Z, 3.45, 3.49, 3.38, 3.4, 3.4, 1042558
2021-11-15T05:00:00Z, 3.44, 3.48, 3.415, 3.45, 3.45, 867904
2021-11-12T05:00:00Z, 3.53, 3.555, 3.405, 3.42, 3.42, 1157167
2021-11-11T05:00:00Z, 3.54, 3.56, 3.475, 3.54, 3.54, 655583
2021-11-10T05:00:00Z, 3.53, 3.655, 3.525, 3.53, 3.53, 1074928
2021-11-09T05:00:00Z, 3.53, 3.555, 3.47, 3.53, 3.53, 799069
2021-11-08T05:00:00Z, 3.57, 3.705, 3.49, 3.53, 3.53, 1273690
2021-11-05T04:00:00Z, 3.47, 3.61, 3.4, 3.57, 3.57, 2201050
2021-11-04T04:00:00Z, 3.51, 3.62, 3.35, 3.41, 3.41, 2387803
2021-11-03T04:00:00Z, 3.82, 3.98, 3.77, 3.94, 3.94, 965345
2021-11-02T04:00:00Z, 3.83, 3.85, 3.76, 3.8, 3.8, 591509
2021-11-01T04:00:00Z, 3.65, 3.85, 3.62, 3.83, 3.83, 1044734
2021-10-29T04:00:00Z, 3.84, 3.85, 3.62, 3.64, 3.64, 1783122
2021-10-28T04:00:00Z, 3.77, 3.82, 3.76, 3.82, 3.82, 750148
2021-10-27T04:00:00Z, 3.71, 3.8, 3.67, 3.75, 3.75, 638465
2021-10-26T04:00:00Z, 3.74, 3.79, 3.73, 3.73, 3.73, 637375
2021-10-25T04:00:00Z, 3.79, 3.81, 3.7, 3.74, 3.74, 592913
2021-10-22T04:00:00Z, 3.8, 3.84, 3.73, 3.73, 3.73, 964365
2021-10-21T04:00:00Z, 3.83, 3.865, 3.76, 3.82, 3.82, 824580
2021-10-20T04:00:00Z, 3.71, 3.84, 3.665, 3.83, 3.83, 864331
2021-10-19T04:00:00Z, 3.72, 3.745, 3.655, 3.69, 3.69, 460900
2021-10-18T04:00:00Z, 3.66, 3.735, 3.6504, 3.72, 3.72, 548801
2021-10-15T04:00:00Z, 3.73, 3.78, 3.71, 3.72, 3.72, 685108
2021-10-14T04:00:00Z, 3.66, 3.69, 3.62, 3.69, 3.69, 926857
2021-10-13T04:00:00Z, 3.54, 3.65, 3.52, 3.64, 3.64, 1219527
