Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 3.53, 3.77, 3.5, 3.68, 3.68, 380907
2022-02-07T05:00:00Z, 3.32, 3.51, 3.265, 3.47, 3.47, 1114819
2022-02-04T05:00:00Z, 2.98, 3.09, 2.96, 3.07, 3.07, 601519
2022-02-03T05:00:00Z, 2.94, 3.04, 2.9, 3.04, 3.04, 114709
2022-02-02T05:00:00Z, 2.93, 2.99, 2.89, 2.96, 2.96, 59122
2022-02-01T05:00:00Z, 3, 3.04, 2.94, 2.99, 2.99, 82136
2022-01-31T05:00:00Z, 2.91, 3, 2.85, 2.94, 2.94, 401460
2022-01-28T05:00:00Z, 2.81, 2.91, 2.75, 2.91, 2.91, 116920
2022-01-27T05:00:00Z, 3, 3, 2.825, 2.84, 2.84, 105590
2022-01-26T05:00:00Z, 3.15, 3.18, 2.92, 2.96, 2.96, 156373
2022-01-25T05:00:00Z, 2.96, 3.13, 2.86, 3.12, 3.12, 231235
2022-01-24T05:00:00Z, 2.7, 3.27, 2.56, 3.12, 3.12, 1039221
2022-01-21T05:00:00Z, 2.89, 2.95, 2.79, 2.84, 2.84, 142707
2022-01-20T05:00:00Z, 2.93, 3.15, 2.9, 2.93, 2.93, 264037
2022-01-19T05:00:00Z, 2.82, 3.05, 2.74, 2.96, 2.96, 407763
2022-01-18T05:00:00Z, 2.93, 2.965, 2.79, 2.83, 2.83, 330625
2022-01-14T05:00:00Z, 2.97, 2.99, 2.93, 2.96, 2.96, 100697
2022-01-13T05:00:00Z, 3.08, 3.09, 2.98, 2.98, 2.98, 71333
2022-01-12T05:00:00Z, 3.21, 3.23, 3.02, 3.03, 3.03, 111050
2022-01-11T05:00:00Z, 2.97, 3.171, 2.97, 3.13, 3.13, 236417
2022-01-10T05:00:00Z, 3, 3.038, 2.96, 3, 3, 138783
2022-01-07T05:00:00Z, 3.04, 3.1, 2.95, 2.97, 2.97, 118079
2022-01-06T05:00:00Z, 3, 3.05, 2.96, 2.96, 2.96, 113660
2022-01-05T05:00:00Z, 3.07, 3.175, 2.98, 2.98, 2.98, 109153
2022-01-04T05:00:00Z, 3.07, 3.155, 2.97, 3.07, 3.07, 310415
2022-01-03T05:00:00Z, 2.97, 3.08, 2.9473, 3.03, 3.03, 172640
2021-12-31T05:00:00Z, 3, 3.055, 2.96, 2.97, 2.97, 249424
2021-12-30T05:00:00Z, 3.03, 3.065, 2.95, 2.99, 2.99, 173618
2021-12-29T05:00:00Z, 3.04, 3.08, 2.96, 2.97, 2.97, 236800
2021-12-28T05:00:00Z, 3.09, 3.11, 3.02, 3.03, 3.03, 167314
2021-12-27T05:00:00Z, 3.02, 3.13, 2.9899, 3.06, 3.06, 158733
2021-12-23T05:00:00Z, 2.93, 3.085, 2.92, 3.01, 3.01, 147239
2021-12-22T05:00:00Z, 2.87, 3.04, 2.86, 2.93, 2.93, 268706
2021-12-21T05:00:00Z, 2.9, 2.98, 2.8, 2.9, 2.9, 342746
2021-12-20T05:00:00Z, 2.82, 2.885, 2.75, 2.87, 2.87, 163974
2021-12-17T05:00:00Z, 2.82, 2.96, 2.8, 2.91, 2.91, 196838
2021-12-16T05:00:00Z, 2.93, 2.96, 2.83, 2.85, 2.85, 257085
2021-12-15T05:00:00Z, 2.98, 3, 2.54, 2.88, 2.88, 1177268
2021-12-14T05:00:00Z, 3.07, 3.1482, 2.98, 2.98, 2.98, 376507
2021-12-13T05:00:00Z, 3.28, 3.3, 3.09, 3.09, 3.09, 196736
2021-12-10T05:00:00Z, 3.15, 3.4163, 3.13, 3.28, 3.28, 766714
2021-12-09T05:00:00Z, 3.19, 3.235, 3.15, 3.15, 3.15, 101267
2021-12-08T05:00:00Z, 3.22, 3.3, 3.18, 3.24, 3.24, 106036
2021-12-07T05:00:00Z, 3.255, 3.39, 3.2, 3.23, 3.23, 684846
2021-12-06T05:00:00Z, 2.9, 3.29, 2.86, 3.19, 3.19, 308666
2021-12-03T05:00:00Z, 3.15, 3.15, 3, 3, 3, 154690
2021-12-02T05:00:00Z, 3.02, 3.14, 2.99, 3.09, 3.09, 295241
2021-12-01T05:00:00Z, 3.25, 3.29, 2.96, 2.97, 2.97, 317514
2021-11-30T05:00:00Z, 3.2, 3.22, 3.06, 3.19, 3.19, 267027
2021-11-29T05:00:00Z, 3.36, 3.37, 3.21, 3.24, 3.24, 204982
2021-11-26T05:00:00Z, 3.32, 3.36, 3.29, 3.32, 3.32, 139436
2021-11-24T05:00:00Z, 3.37, 3.47, 3.35, 3.44, 3.44, 101117
2021-11-23T05:00:00Z, 3.34, 3.4014, 3.3, 3.37, 3.37, 121603
2021-11-22T05:00:00Z, 3.42, 3.45, 3.3001, 3.34, 3.34, 324577
2021-11-19T05:00:00Z, 3.405, 3.51, 3.385, 3.42, 3.42, 315926
2021-11-18T05:00:00Z, 3.43, 3.48, 3.4, 3.41, 3.41, 167504
2021-11-17T05:00:00Z, 3.48, 3.5, 3.4, 3.44, 3.44, 135737
2021-11-16T05:00:00Z, 3.41, 3.51, 3.39, 3.46, 3.46, 328888
2021-11-15T05:00:00Z, 3.54, 3.57, 3.41, 3.42, 3.42, 157571
2021-11-12T05:00:00Z, 3.49, 3.52, 3.44, 3.45, 3.45, 158153
2021-11-11T05:00:00Z, 3.5, 3.535, 3.4, 3.43, 3.43, 191354
2021-11-10T05:00:00Z, 3.64, 3.67, 3.16, 3.39, 3.39, 881108
2021-11-09T05:00:00Z, 3.81, 3.82, 3.35, 3.56, 3.56, 1026056
2021-11-08T05:00:00Z, 3.95, 4, 3.63, 3.81, 3.81, 617983
2021-11-05T04:00:00Z, 3.95, 3.97, 3.77, 3.8, 3.8, 245171
