Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 10.79, 11.18, 10.77, 11.17, 11.17, 6122301
2022-02-07T05:00:00Z, 10.49, 10.84, 10.3649, 10.76, 10.76, 6091780
2022-02-04T05:00:00Z, 10.28, 10.63, 10.27, 10.44, 10.44, 5261891
2022-02-03T05:00:00Z, 10.46, 10.58, 10.295, 10.32, 10.32, 7199456
2022-02-02T05:00:00Z, 10.62, 10.74, 10.52, 10.55, 10.55, 15086337
2022-02-01T05:00:00Z, 10.8, 10.84, 10.43, 10.62, 10.62, 9966023
2022-01-31T05:00:00Z, 10.27, 10.61, 10.195, 10.6, 10.6, 10974263
2022-01-28T05:00:00Z, 9.96, 10.065, 9.85, 10, 10, 9633385
2022-01-27T05:00:00Z, 10.24, 10.44, 9.935, 10.07, 10.07, 12780731
2022-01-26T05:00:00Z, 11.12, 11.3025, 10.6, 10.75, 10.75, 10755229
2022-01-25T05:00:00Z, 10.94, 11.39, 10.815, 11.33, 11.33, 6492745
2022-01-24T05:00:00Z, 10.9, 10.97, 10.505, 10.94, 10.94, 10609355
2022-01-21T05:00:00Z, 11.1, 11.18, 10.86, 10.93, 10.93, 9688779
2022-01-20T05:00:00Z, 11.15, 11.265, 10.9, 10.92, 10.92, 8756708
2022-01-19T05:00:00Z, 10.05, 11.19, 9.995, 11.1, 11.1, 20092578
2022-01-18T05:00:00Z, 10.12, 10.31, 9.76, 9.84, 9.84, 10922427
2022-01-14T05:00:00Z, 10.64, 10.695, 10.465, 10.51, 10.51, 2905870
2022-01-13T05:00:00Z, 10.81, 10.8774, 10.68, 10.68, 10.68, 3778187
2022-01-12T05:00:00Z, 10.79, 10.95, 10.6736, 10.92, 10.92, 5888493
2022-01-11T05:00:00Z, 10.41, 10.6, 10.29, 10.6, 10.6, 4362210
2022-01-10T05:00:00Z, 10.09, 10.3, 10.005, 10.29, 10.29, 4069898
2022-01-07T05:00:00Z, 10.1, 10.19, 10, 10.18, 10.18, 4957125
2022-01-06T05:00:00Z, 10.06, 10.075, 9.8925, 9.99, 9.99, 5868476
2022-01-05T05:00:00Z, 10.64, 10.795, 10.26, 10.29, 10.29, 8298865
2022-01-04T05:00:00Z, 10.63, 10.78, 10.46, 10.49, 10.49, 7167158
2022-01-03T05:00:00Z, 10.8, 10.845, 10.6, 10.61, 10.61, 3553919
2021-12-31T05:00:00Z, 10.99, 11.06, 10.82, 10.99, 10.99, 3605679
2021-12-30T05:00:00Z, 10.78, 10.96, 10.7, 10.96, 10.96, 5094502
2021-12-29T05:00:00Z, 10.5, 10.835, 10.46, 10.74, 10.74, 4405998
2021-12-28T05:00:00Z, 10.69, 10.835, 10.515, 10.54, 10.54, 3390710
2021-12-27T05:00:00Z, 10.48, 10.71, 10.39, 10.69, 10.69, 3122297
2021-12-23T05:00:00Z, 10.51, 10.65, 10.375, 10.58, 10.58, 2507343
2021-12-22T05:00:00Z, 10.58, 10.63, 10.4001, 10.59, 10.59, 4638730
2021-12-21T05:00:00Z, 10.55, 10.65, 10.285, 10.59, 10.59, 5982849
2021-12-20T05:00:00Z, 10.44, 10.45, 10.245, 10.34, 10.34, 4434638
2021-12-17T05:00:00Z, 10.61, 10.74, 10.285, 10.41, 10.41, 14126579
2021-12-16T05:00:00Z, 10.01, 10.415, 9.99, 10.4, 10.4, 5779299
2021-12-15T05:00:00Z, 10.03, 10.035, 9.715, 9.93, 9.93, 6116358
2021-12-14T05:00:00Z, 9.87, 10.09, 9.74, 10.01, 10.01, 8061435
2021-12-13T05:00:00Z, 9.9, 9.98, 9.78, 9.84, 9.84, 6152688
2021-12-10T05:00:00Z, 10.21, 10.24, 9.7, 9.79, 9.79, 10347675
2021-12-09T05:00:00Z, 10.39, 10.41, 10.125, 10.21, 10.21, 5312037
2021-12-08T05:00:00Z, 10.38, 10.445, 10.27, 10.39, 10.39, 5093089
2021-12-07T05:00:00Z, 10.79, 10.81, 10.26, 10.38, 10.38, 8229770
2021-12-06T05:00:00Z, 11.02, 11.03, 10.81, 10.86, 10.86, 4401958
2021-12-03T05:00:00Z, 11.04, 11.12, 10.77, 11, 11, 6717810
2021-12-02T05:00:00Z, 11.04, 11.155, 10.765, 10.93, 10.93, 6785670
2021-12-01T05:00:00Z, 11.76, 11.77, 10.985, 11, 11, 8295013
2021-11-30T05:00:00Z, 11.62, 11.785, 11.275, 11.34, 11.34, 9528458
2021-11-29T05:00:00Z, 10.735, 10.935, 10.595, 10.92, 10.92, 4542144
2021-11-26T05:00:00Z, 10.77, 10.79, 10.45, 10.69, 10.69, 3032068
2021-11-24T05:00:00Z, 10.74, 10.79, 10.455, 10.62, 10.62, 5532204
2021-11-23T05:00:00Z, 10.9, 10.96, 10.73, 10.88, 10.88, 6262009
2021-11-22T05:00:00Z, 10.75, 10.98, 10.58, 10.88, 10.88, 5115723
2021-11-19T05:00:00Z, 10.85, 10.97, 10.82, 10.84, 10.84, 5539200
2021-11-18T05:00:00Z, 10.83, 10.96, 10.77, 10.83, 10.83, 3942185
2021-11-17T05:00:00Z, 10.95, 11.22, 10.93, 10.98, 10.98, 6539858
2021-11-16T05:00:00Z, 10.96, 11.11, 10.71, 10.82, 10.82, 7936276
2021-11-15T05:00:00Z, 10.6, 10.8, 10.545, 10.76, 10.76, 4190398
2021-11-12T05:00:00Z, 10.44, 10.58, 10.37, 10.52, 10.52, 3713668
2021-11-11T05:00:00Z, 10.53, 10.7, 10.3, 10.51, 10.51, 6999681
2021-11-10T05:00:00Z, 9.95, 10.16, 9.8, 9.91, 9.91, 7755881
2021-11-09T05:00:00Z, 9.47, 9.54, 9.315, 9.54, 9.54, 3166113
2021-11-08T05:00:00Z, 9.44, 9.45, 9.3, 9.44, 9.44, 2959342
2021-11-05T04:00:00Z, 9.34, 9.37, 9.1401, 9.33, 9.33, 4446748
2021-11-04T04:00:00Z, 9.49, 9.595, 9.22, 9.22, 9.22, 3110403
2021-11-03T04:00:00Z, 9.08, 9.38, 8.98, 9.35, 9.35, 4620844
2021-11-02T04:00:00Z, 9.21, 9.285, 9.145, 9.28, 9.28, 1811893
2021-11-01T04:00:00Z, 9.26, 9.31, 9.135, 9.27, 9.27, 3500081
2021-10-29T04:00:00Z, 9.41, 9.43, 9.22, 9.28, 9.28, 3746977
2021-10-28T04:00:00Z, 9.74, 9.815, 9.57, 9.59, 9.59, 3265661
2021-10-27T04:00:00Z, 9.72, 9.82, 9.65, 9.69, 9.69, 1999583
2021-10-26T04:00:00Z, 9.67, 9.79, 9.59, 9.78, 9.78, 2443254
2021-10-25T04:00:00Z, 9.8, 9.84, 9.7, 9.74, 9.74, 2995941
2021-10-22T04:00:00Z, 9.59, 10.04, 9.58, 9.66, 9.66, 6449933
2021-10-21T04:00:00Z, 9.45, 9.45, 9.28, 9.38, 9.38, 3692433
2021-10-20T04:00:00Z, 9.52, 9.645, 9.43, 9.45, 9.45, 4283280
2021-10-19T04:00:00Z, 9.46, 9.5, 9.32, 9.39, 9.39, 2773930
2021-10-18T04:00:00Z, 9.29, 9.4, 9.21, 9.23, 9.23, 2795660
2021-10-15T04:00:00Z, 9.09, 9.4, 9.005, 9.37, 9.37, 4678086
2021-10-14T04:00:00Z, 9.56, 9.6, 9.37, 9.51, 9.51, 5300065
2021-10-13T04:00:00Z, 9.27, 9.45, 9.23, 9.39, 9.39, 6219391
2021-10-12T04:00:00Z, 8.91, 9.17, 8.84, 9.06, 9.06, 4310528
2021-10-11T04:00:00Z, 8.78, 8.91, 8.66, 8.77, 8.77, 3365944
2021-10-08T04:00:00Z, 8.94, 8.99, 8.65, 8.74, 8.74, 3992569
2021-10-07T04:00:00Z, 8.38, 8.67, 8.35, 8.59, 8.59, 6884633
2021-10-06T04:00:00Z, 8.15, 8.41, 8.1, 8.4, 8.4, 10210593
2021-10-05T04:00:00Z, 8.13, 8.21, 8.015, 8.14, 8.14, 7678315
2021-10-04T04:00:00Z, 8.25, 8.36, 8.165, 8.18, 8.18, 8883257
2021-10-01T04:00:00Z, 8.24, 8.275, 8.1, 8.18, 8.18, 3114995
2021-09-30T04:00:00Z, 8.03, 8.25, 7.99, 8.12, 8.12, 8327893
2021-09-29T04:00:00Z, 7.92, 7.92, 7.75, 7.75, 7.75, 5689936
2021-09-28T04:00:00Z, 7.95, 8.06, 7.865, 7.9, 7.9, 6995304
2021-09-27T04:00:00Z, 8.11, 8.23, 8.06, 8.13, 8.13, 3128742
2021-09-24T04:00:00Z, 8.07, 8.2, 8.04, 8.11, 8.11, 3425533
2021-09-23T04:00:00Z, 8.2, 8.25, 8.09, 8.1, 8.1, 4359070
2021-09-22T04:00:00Z, 8.37, 8.585, 8.28, 8.35, 8.35, 4565645
2021-09-21T04:00:00Z, 8.34, 8.35, 8.1, 8.17, 8.17, 5068483
2021-09-20T04:00:00Z, 8.17, 8.345, 8.11, 8.33, 8.33, 5872380
2021-09-17T04:00:00Z, 8.07, 8.14, 7.93, 8.13, 8.13, 6831586
2021-09-16T04:00:00Z, 8.26, 8.28, 8.03, 8.16, 8.16, 7750394
2021-09-15T04:00:00Z, 8.65, 8.8, 8.63, 8.71, 8.71, 3572426
2021-09-14T04:00:00Z, 8.82, 8.9, 8.57, 8.75, 8.75, 5265726
2021-09-13T04:00:00Z, 8.32, 8.75, 8.285, 8.64, 8.64, 6296059
2021-09-10T04:00:00Z, 8.55, 8.605, 8.23, 8.24, 8.24, 10007097
2021-09-09T04:00:00Z, 8.87, 8.88, 8.545, 8.69, 8.69, 5611871
2021-09-08T04:00:00Z, 8.93, 8.94, 8.72, 8.81, 8.81, 4076979
2021-09-07T04:00:00Z, 9.13, 9.195, 8.905, 8.92, 8.92, 8045706
2021-09-03T04:00:00Z, 9.18, 9.375, 9.095, 9.17, 9.17, 4136090
2021-09-02T04:00:00Z, 9.16, 9.18, 8.945, 9.01, 9.01, 4396534
2021-09-01T04:00:00Z, 9.54, 9.56, 9.25, 9.27, 9.27, 4475571
2021-08-31T04:00:00Z, 9.25, 9.48, 9.19, 9.48, 9.48, 9515460
2021-08-30T04:00:00Z, 9.52, 9.52, 8.98, 9.11, 9.11, 7591499
2021-08-27T04:00:00Z, 9.1, 9.53, 9.05, 9.5, 9.5, 4681162
2021-08-26T04:00:00Z, 9.04, 9.17, 8.95, 9.04, 9.04, 3196461
2021-08-25T04:00:00Z, 9.2, 9.2, 8.93, 9.05, 9.05, 4261915
