Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 17.11, 17.15, 16.92, 17.1, 17.1, 6425175
2022-02-07T05:00:00Z, 16.94, 17.05, 16.79, 16.93, 16.93, 6940616
2022-02-04T05:00:00Z, 16.82, 17.01, 16.63, 16.84, 16.84, 6674647
2022-02-03T05:00:00Z, 17, 17.15, 16.83, 16.85, 16.85, 7010517
2022-02-02T05:00:00Z, 16.81, 17.08, 16.7, 17.03, 17.03, 8882598
2022-02-01T05:00:00Z, 16.34, 16.86, 16.29, 16.81, 16.81, 10384720
2022-01-31T05:00:00Z, 16.1, 16.39, 15.8819, 16.33, 16.33, 16789064
2022-01-28T05:00:00Z, 15.77, 16.14, 15.675, 16.13, 16.13, 11098626
2022-01-27T05:00:00Z, 16.04, 16.32, 15.62, 15.81, 15.81, 12767909
2022-01-26T05:00:00Z, 16.09, 16.15, 15.62, 15.84, 15.84, 10748972
2022-01-25T05:00:00Z, 15.86, 15.99, 15.4, 15.89, 15.89, 11631587
2022-01-24T05:00:00Z, 15.76, 16.13, 15.45, 16.1, 16.1, 11686291
2022-01-21T05:00:00Z, 16.63, 16.69, 16.11, 16.14, 16.14, 10059040
2022-01-20T05:00:00Z, 16.83, 17.03, 16.51, 16.67, 16.67, 18841227
2022-01-19T05:00:00Z, 17.32, 17.38, 16.715, 16.74, 16.74, 11746433
2022-01-18T05:00:00Z, 17.54, 17.6, 17.195, 17.32, 17.32, 10256265
2022-01-14T05:00:00Z, 17.35, 17.6, 17.17, 17.56, 17.56, 8528780
2022-01-13T05:00:00Z, 17.2, 17.595, 17.07, 17.49, 17.49, 9700300
2022-01-12T05:00:00Z, 17.1, 17.305, 16.96, 17.15, 17.15, 7972067
2022-01-11T05:00:00Z, 17.01, 17.12, 16.79, 17.04, 17.04, 16455764
2022-01-10T05:00:00Z, 17.17, 17.335, 16.74, 17, 17, 15196900
2022-01-07T05:00:00Z, 16.99, 17.24, 16.98, 17.13, 17.13, 10473152
2022-01-06T05:00:00Z, 17.08, 17.15, 16.77, 16.97, 16.97, 8545058
2022-01-05T05:00:00Z, 16.89, 17.347, 16.84, 16.89, 16.89, 10912269
2022-01-04T05:00:00Z, 16.36, 16.965, 16.33, 16.83, 16.83, 16820025
2022-01-03T05:00:00Z, 15.91, 16.235, 15.89, 16.14, 16.14, 8563722
2021-12-31T05:00:00Z, 15.93, 16.0053, 15.75, 15.77, 15.77, 4312609
2021-12-30T05:00:00Z, 16.05, 16.18, 15.86, 15.89, 15.89, 6598336
2021-12-29T05:00:00Z, 15.99, 16.215, 15.94, 16.07, 16.07, 5863039
2021-12-28T05:00:00Z, 15.86, 16.045, 15.85, 15.97, 15.97, 6007462
2021-12-27T05:00:00Z, 15.78, 15.97, 15.7, 15.92, 15.92, 4455261
2021-12-23T05:00:00Z, 15.61, 15.875, 15.57, 15.76, 15.76, 6734859
2021-12-22T05:00:00Z, 15.41, 15.56, 15.28, 15.55, 15.55, 6692239
2021-12-21T05:00:00Z, 15, 15.425, 14.985, 15.42, 15.42, 9406410
2021-12-20T05:00:00Z, 14.92, 14.96, 14.595, 14.85, 14.85, 11345141
2021-12-17T05:00:00Z, 14.96, 15.155, 14.8, 15.08, 15.08, 18127539
2021-12-16T05:00:00Z, 14.94, 15.185, 14.79, 14.95, 14.95, 11915447
2021-12-15T05:00:00Z, 14.62, 14.82, 14.5, 14.79, 14.79, 10914466
2021-12-14T05:00:00Z, 14.55, 14.94, 14.55, 14.57, 14.57, 13939735
2021-12-13T05:00:00Z, 15.17, 15.23, 14.61, 14.79, 14.79, 10866467
