Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 5.73, 5.93, 5.62, 5.82, 5.82, 2424836
2022-02-07T05:00:00Z, 5.895, 6.11, 5.745, 5.75, 5.75, 2338814
2022-02-04T05:00:00Z, 5.99, 6.14, 5.83, 5.95, 5.95, 2998470
2022-02-03T05:00:00Z, 6.1, 6.31, 5.93, 5.95, 5.95, 1717398
2022-02-02T05:00:00Z, 6.74, 6.78, 6.22, 6.26, 6.26, 1969858
2022-02-01T05:00:00Z, 6.62, 6.94, 6.595, 6.76, 6.76, 2140243
2022-01-31T05:00:00Z, 6.12, 6.63, 6, 6.62, 6.62, 3420526
2022-01-28T05:00:00Z, 6.17, 6.33, 5.81, 5.91, 5.91, 4150571
2022-01-27T05:00:00Z, 6.175, 6.505, 6.09, 6.25, 6.25, 5085648
2022-01-26T05:00:00Z, 6.83, 6.995, 6.19, 6.22, 6.22, 3219512
2022-01-25T05:00:00Z, 6.75, 6.94, 6.62, 6.79, 6.79, 2731103
2022-01-24T05:00:00Z, 6.34, 6.88, 6.16, 6.86, 6.86, 3966890
2022-01-21T05:00:00Z, 7, 7.04, 6.48, 6.51, 6.51, 2578978
2022-01-20T05:00:00Z, 7.58, 7.67, 6.97, 6.99, 6.99, 3392980
2022-01-19T05:00:00Z, 7.22, 7.405, 7.04, 7.13, 7.13, 1378343
2022-01-18T05:00:00Z, 6.98, 7.5, 6.94, 7.11, 7.11, 2055892
2022-01-14T05:00:00Z, 7.16, 7.325, 7.03, 7.15, 7.15, 1248989
2022-01-13T05:00:00Z, 7.3, 7.4, 6.94, 6.99, 6.99, 1929040
2022-01-12T05:00:00Z, 7.84, 7.94, 7.35, 7.43, 7.43, 1724541
2022-01-11T05:00:00Z, 6.93, 7.66, 6.83, 7.51, 7.51, 2537001
2022-01-10T05:00:00Z, 7.1, 7.14, 6.71, 6.9, 6.9, 2348701
2022-01-07T05:00:00Z, 6.88, 7.225, 6.66, 7, 7, 2300074
2022-01-06T05:00:00Z, 6.65, 6.975, 6.47, 6.79, 6.79, 2731521
2022-01-05T05:00:00Z, 6.525, 7.01, 6.47, 6.54, 6.54, 2475451
2022-01-04T05:00:00Z, 7, 7.01, 6.48, 6.66, 6.66, 2434099
2022-01-03T05:00:00Z, 6.94, 7.23, 6.69, 7.04, 7.04, 2699796
2021-12-31T05:00:00Z, 6.7, 7.17, 6.45, 6.94, 6.94, 3780675
2021-12-30T05:00:00Z, 6.28, 7.02, 6.252, 6.88, 6.88, 6826018
2021-12-29T05:00:00Z, 6.55, 6.6, 6.18, 6.24, 6.24, 3966888
2021-12-28T05:00:00Z, 6.58, 6.715, 6.44, 6.59, 6.59, 2010398
2021-12-27T05:00:00Z, 6.9, 7.08, 6.63, 6.63, 6.63, 3138093
2021-12-23T05:00:00Z, 6.99, 7.18, 6.76, 7.09, 7.09, 2128623
2021-12-22T05:00:00Z, 7.12, 7.205, 6.91, 7.04, 7.04, 1506421
2021-12-21T05:00:00Z, 6.91, 7.43, 6.85, 7.35, 7.35, 2059051
