Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 22.41, 22.97, 22.37, 22.89, 22.89, 21169458
2022-02-07T05:00:00Z, 22.69, 22.905, 22.41, 22.47, 22.47, 15848914
2022-02-04T05:00:00Z, 22.96, 23.205, 22.66, 22.89, 22.89, 18218885
2022-02-03T05:00:00Z, 23.1, 23.255, 22.73, 22.76, 22.76, 12109228
2022-02-02T05:00:00Z, 23.71, 23.845, 23.6, 23.77, 23.77, 9028263
2022-02-01T05:00:00Z, 23.56, 23.63, 23.235, 23.52, 23.52, 10266411
2022-01-31T05:00:00Z, 23.08, 23.609, 23.02, 23.57, 23.57, 5673649
2022-01-28T05:00:00Z, 22.2, 22.7, 22.05, 22.66, 22.66, 15375682
2022-01-27T05:00:00Z, 22.33, 22.38, 21.72, 21.81, 21.81, 17006361
2022-01-26T05:00:00Z, 22.71, 22.84, 22.17, 22.39, 22.39, 11576979
2022-01-25T05:00:00Z, 22.72, 22.845, 22.415, 22.48, 22.48, 9550124
2022-01-24T05:00:00Z, 22.805, 22.97, 21.97, 22.94, 22.94, 18044573
2022-01-21T05:00:00Z, 23.49, 23.77, 23.36, 23.41, 23.41, 13770170
2022-01-20T05:00:00Z, 24.33, 24.38, 23.66, 23.68, 23.68, 19393505
2022-01-19T05:00:00Z, 25.02, 25.05, 24.45, 24.47, 24.47, 13738611
2022-01-18T05:00:00Z, 25.75, 25.77, 25.415, 25.51, 25.51, 6902349
2022-01-14T05:00:00Z, 25.72, 26.29, 25.58, 26.2, 26.2, 11279638
2022-01-13T05:00:00Z, 25.71, 25.78, 25.465, 25.6, 25.6, 20134379
2022-01-12T05:00:00Z, 25.93, 26.39, 25.51, 25.75, 25.75, 15576091
2022-01-11T05:00:00Z, 24.86, 25.06, 24.655, 25.02, 25.02, 9893882
2022-01-10T05:00:00Z, 24.66, 24.78, 24.425, 24.77, 24.77, 10000284
2022-01-07T05:00:00Z, 24.17, 24.365, 23.97, 24.2, 24.2, 6589946
2022-01-06T05:00:00Z, 24.2, 24.49, 23.97, 24.11, 24.11, 11493479
2022-01-05T05:00:00Z, 24.77, 24.92, 24.25, 24.3, 24.3, 8877690
2022-01-04T05:00:00Z, 25.3, 25.365, 24.98, 25.11, 25.11, 8179391
2022-01-03T05:00:00Z, 25.46, 25.54, 25.15, 25.26, 25.26, 4526319
2021-12-31T05:00:00Z, 25.57, 25.56, 25.31, 25.31, 25.31, 3008854
2021-12-30T05:00:00Z, 25.54, 25.598, 25.385, 25.41, 25.41, 2293868
2021-12-29T05:00:00Z, 25.18, 25.38, 25.14, 25.38, 25.38, 2329720
2021-12-28T05:00:00Z, 25.35, 25.39, 25.18, 25.3, 25.3, 3406439
2021-12-27T05:00:00Z, 24.97, 25.34, 24.86, 25.33, 25.33, 3526489
2021-12-23T05:00:00Z, 24.64, 24.795, 24.5, 24.73, 24.73, 2513349
2021-12-22T05:00:00Z, 24.25, 24.535, 24.15, 24.53, 24.53, 6953779
2021-12-21T05:00:00Z, 23.98, 24.25, 23.84, 24.22, 24.22, 3739937
2021-12-20T05:00:00Z, 23.84, 23.87, 23.4, 23.69, 23.69, 4021042
2021-12-17T05:00:00Z, 23.94, 24.27, 23.87, 24.04, 24.04, 6505305
2021-12-16T05:00:00Z, 23.81, 24.5, 23.77, 24.11, 24.11, 11288178
2021-12-15T05:00:00Z, 22.72, 23.28, 22.72, 23.26, 23.26, 6822263
2021-12-14T05:00:00Z, 22.68, 22.97, 22.61, 22.89, 22.89, 5241014
2021-12-13T05:00:00Z, 22.99, 23.04, 22.58, 22.61, 22.61, 4551597
2021-12-10T05:00:00Z, 23.33, 23.535, 23.06, 23.19, 23.19, 3999155
2021-12-09T05:00:00Z, 23.26, 23.44, 23.22, 23.25, 23.25, 4476924
2021-12-08T05:00:00Z, 23.18, 23.515, 23.115, 23.44, 23.44, 5182793
2021-12-07T05:00:00Z, 22.52, 23.07, 22.505, 23.06, 23.06, 8389106
2021-12-06T05:00:00Z, 22.37, 22.37, 21.885, 22.25, 22.25, 6856437
2021-12-03T05:00:00Z, 23.12, 23.14, 22.7042, 22.88, 22.88, 6730309
2021-12-02T05:00:00Z, 22.94, 23.51, 22.83, 23.44, 23.44, 9314348
2021-12-01T05:00:00Z, 22.77, 22.865, 22.43, 22.44, 22.44, 6665865
2021-11-30T05:00:00Z, 22.73, 23.08, 22.515, 22.58, 22.58, 8731601
2021-11-29T05:00:00Z, 22.43, 22.65, 22.32, 22.62, 22.62, 9939811
2021-11-26T05:00:00Z, 22.32, 22.5, 22.14, 22.2, 22.2, 3525080
2021-11-24T05:00:00Z, 22.4, 22.625, 22.3018, 22.61, 22.61, 3990019
2021-11-23T05:00:00Z, 22.91, 23.19, 22.73, 22.89, 22.89, 8488819
2021-11-22T05:00:00Z, 23.54, 23.56, 22.76, 22.77, 22.77, 12581083
2021-11-19T05:00:00Z, 23.59, 23.7, 23.525, 23.59, 23.59, 3073375
2021-11-18T05:00:00Z, 23.71, 23.74, 23.525, 23.65, 23.65, 6452669
2021-11-17T05:00:00Z, 23.86, 24.01, 23.73, 23.74, 23.74, 5174716
2021-11-16T05:00:00Z, 23.79, 24.0899, 23.7, 24.03, 24.03, 8388745
2021-11-15T05:00:00Z, 23.82, 23.86, 23.6, 23.63, 23.63, 3665620
2021-11-12T05:00:00Z, 23.62, 23.7, 23.53, 23.7, 23.7, 5303452
2021-11-11T05:00:00Z, 23.1, 23.28, 23.03, 23.2, 23.2, 3639386
2021-11-10T05:00:00Z, 23.23, 23.21, 22.945, 22.96, 22.96, 6031786
