Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 13.04, 13.31, 12.53, 12.96, 12.96, 2742146
2022-02-07T05:00:00Z, 13.12, 13.6, 12.57, 13.19, 13.19, 2843494
2022-02-04T05:00:00Z, 11.45, 13, 11.33, 12.9, 12.9, 4381988
2022-02-03T05:00:00Z, 11.01, 11.71, 10.9, 11.39, 11.39, 2912483
2022-02-02T05:00:00Z, 12.39, 12.4, 11.14, 11.49, 11.49, 3766374
2022-02-01T05:00:00Z, 11.5, 12.21, 11.12, 12.2, 12.2, 2883520
2022-01-31T05:00:00Z, 10.12, 11.44, 10, 11.44, 11.44, 3799210
2022-01-28T05:00:00Z, 9.67, 10.15, 9.16, 10.09, 10.09, 3452427
2022-01-27T05:00:00Z, 10.93, 10.98, 9.5, 9.51, 9.51, 4018171
2022-01-26T05:00:00Z, 11.03, 11.61, 10.44, 10.71, 10.71, 4173141
2022-01-25T05:00:00Z, 10.66, 10.89, 10.18, 10.44, 10.44, 2846411
2022-01-24T05:00:00Z, 10.3, 10.91, 9.5, 10.89, 10.89, 6159949
2022-01-21T05:00:00Z, 11.54, 11.7999, 10.78, 10.88, 10.88, 3813234
2022-01-20T05:00:00Z, 11.94, 12.6699, 11.65, 11.72, 11.72, 3002468
2022-01-19T05:00:00Z, 12.415, 12.51, 11.78, 11.79, 11.79, 3345552
2022-01-18T05:00:00Z, 12.39, 12.82, 12.08, 12.2, 12.2, 2946876
2022-01-14T05:00:00Z, 13.02, 13.49, 12.6201, 12.93, 12.93, 2594110
2022-01-13T05:00:00Z, 14, 14.26, 12.92, 12.98, 12.98, 3360707
2022-01-12T05:00:00Z, 14.875, 15.0245, 13.91, 14.09, 14.09, 2333674
2022-01-11T05:00:00Z, 13.68, 14.79, 13.67, 14.69, 14.69, 2954765
2022-01-10T05:00:00Z, 13.75, 13.8965, 12.9038, 13.71, 13.71, 4960173
2022-01-07T05:00:00Z, 14.9, 15.03, 14.11, 14.37, 14.37, 3140593
2022-01-06T05:00:00Z, 14.97, 15.51, 14.28, 14.84, 14.84, 4680462
2022-01-05T05:00:00Z, 16.33, 16.4399, 15.31, 15.38, 15.38, 3050211
2022-01-04T05:00:00Z, 17.75, 17.86, 15.76, 16.44, 16.44, 4880986
2022-01-03T05:00:00Z, 17.1, 17.68, 16.6, 17.47, 17.47, 2696096
2021-12-31T05:00:00Z, 17.62, 18, 16.62, 16.7, 16.7, 2184503
2021-12-30T05:00:00Z, 17.46, 18.15, 17.06, 17.73, 17.73, 2498787
2021-12-29T05:00:00Z, 17.03, 17.84, 16.13, 17.7, 17.7, 3245760
2021-12-28T05:00:00Z, 18.38, 18.48, 16.7823, 17.07, 17.07, 3904063
2021-12-27T05:00:00Z, 18.48, 18.85, 17.77, 18.3, 18.3, 3522823
2021-12-23T05:00:00Z, 16.8, 18.2964, 16.8, 17.86, 17.86, 3316959
2021-12-22T05:00:00Z, 16, 17.75, 16.01, 16.82, 16.82, 3889378
2021-12-21T05:00:00Z, 15.83, 16.245, 15.23, 16.18, 16.18, 3844853
2021-12-20T05:00:00Z, 16.29, 16.75, 15.15, 15.28, 15.28, 5443345
2021-12-17T05:00:00Z, 15.92, 17.72, 15.57, 16.77, 16.77, 11568730
2021-12-16T05:00:00Z, 18.5, 18.55, 15.795, 16.06, 16.06, 7130966
2021-12-15T05:00:00Z, 16.1, 18.1, 15.53, 17.84, 17.84, 6807450
2021-12-14T05:00:00Z, 16.11, 16.99, 15.85, 16.1, 16.1, 5066078
2021-12-13T05:00:00Z, 18.58, 19.23, 16.61, 16.67, 16.67, 5649601
2021-12-10T05:00:00Z, 19.01, 19.584, 18.135, 18.57, 18.57, 3624023
2021-12-09T05:00:00Z, 21.32, 22.32, 18.51, 18.61, 18.61, 6263525
2021-12-08T05:00:00Z, 21.23, 22.2, 20.52, 20.97, 20.97, 4611013
2021-12-07T05:00:00Z, 19.6, 21.9702, 19.5, 21.53, 21.53, 6461309
2021-12-06T05:00:00Z, 18.2, 19.65, 17.2, 18.79, 18.79, 5532239
2021-12-03T05:00:00Z, 21.23, 21.35, 18.5, 18.78, 18.78, 6732573
2021-12-02T05:00:00Z, 20.65, 21.78, 19.09, 21.45, 21.45, 6547902
2021-12-01T05:00:00Z, 24.14, 24.5, 20.05, 20.75, 20.75, 6753621
2021-11-30T05:00:00Z, 23.54, 25.85, 22.64, 23.82, 23.82, 6890720
2021-11-29T05:00:00Z, 24.995, 25.0499, 22.41, 24.08, 24.08, 5822377
2021-11-26T05:00:00Z, 24.21, 25.94, 23.76, 24.18, 24.18, 3734464
2021-11-24T05:00:00Z, 24.05, 27, 23.51, 25.96, 25.96, 6160521
2021-11-23T05:00:00Z, 22.76, 25.69, 21.6, 24.96, 24.96, 10640675
2021-11-22T05:00:00Z, 27.15, 27.78, 22.32, 23.18, 23.18, 12180098
2021-11-19T05:00:00Z, 29.22, 29.37, 27.0701, 28.01, 28.01, 8276012
2021-11-18T05:00:00Z, 33.57, 35.9, 27.03, 27.96, 27.96, 22397498
2021-11-17T05:00:00Z, 26.24, 31.7898, 24.01, 31, 31, 20324770
2021-11-16T05:00:00Z, 19.7, 26.89, 19.62, 26.38, 26.38, 24684419
2021-11-15T05:00:00Z, 20.69, 21.39, 19.09, 19.82, 19.82, 5145405
2021-11-12T05:00:00Z, 19.54, 20.2, 18.435, 20.15, 20.15, 4841107
2021-11-11T05:00:00Z, 20, 20.3, 18.26, 19.25, 19.25, 6233310
2021-11-10T05:00:00Z, 20.55, 21.89, 17.0173, 18.23, 18.23, 12952500
2021-11-09T05:00:00Z, 22.53, 23.14, 20.115, 22.53, 22.53, 11674884
2021-11-08T05:00:00Z, 21.5, 21.64, 19.6, 21.35, 21.35, 10373304
2021-11-05T04:00:00Z, 17.445, 19.39, 17.2, 19.27, 19.27, 12845705
2021-11-04T04:00:00Z, 15.86, 16.88, 15.77, 16.43, 16.43, 4775577
2021-11-03T04:00:00Z, 15.48, 15.99, 14.75, 15.35, 15.35, 3012949
2021-11-02T04:00:00Z, 16.01, 16.0994, 14.21, 15, 15, 4109154
