Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 6.71, 7.01, 6.61, 6.99, 6.99, 2648860
2022-02-07T05:00:00Z, 6.96, 7.15, 6.76, 6.81, 6.81, 3666539
2022-02-04T05:00:00Z, 6.59, 6.99, 6.48, 6.92, 6.92, 1056805
2022-02-03T05:00:00Z, 6.55, 6.8, 6.46, 6.47, 6.47, 1099437
2022-02-02T05:00:00Z, 7.03, 7.075, 6.62, 6.78, 6.78, 1675801
2022-02-01T05:00:00Z, 6.92, 7.08, 6.72, 6.97, 6.97, 1979946
2022-01-31T05:00:00Z, 6.8, 7.016, 6.71, 6.91, 6.91, 2113548
2022-01-28T05:00:00Z, 6.31, 6.81, 6.27, 6.78, 6.78, 5308769
2022-01-27T05:00:00Z, 6.4, 6.57, 6.25, 6.35, 6.35, 2578937
2022-01-26T05:00:00Z, 6.3, 6.63, 6.15, 6.23, 6.23, 2836929
2022-01-25T05:00:00Z, 6.25, 6.44, 6.005, 6.2, 6.2, 3671144
2022-01-24T05:00:00Z, 5.75, 6.4, 5.69, 6.37, 6.37, 4954477
2022-01-21T05:00:00Z, 6.59, 6.72, 6.12, 6.13, 6.13, 4933256
2022-01-20T05:00:00Z, 6.91, 7.02, 6.69, 6.72, 6.72, 5153961
2022-01-19T05:00:00Z, 6.74, 6.9, 6.55, 6.72, 6.72, 3997954
2022-01-18T05:00:00Z, 6.31, 6.82, 6.27, 6.49, 6.49, 4305870
2022-01-14T05:00:00Z, 6.6, 6.82, 6.3, 6.55, 6.55, 3277775
2022-01-13T05:00:00Z, 6.88, 7, 6.63, 6.65, 6.65, 2400254
2022-01-12T05:00:00Z, 7.13, 7.3, 6.855, 6.91, 6.91, 3206059
2022-01-11T05:00:00Z, 6.93, 7.36, 6.8, 7.35, 7.35, 3823352
2022-01-10T05:00:00Z, 6.8, 6.95, 6.49, 6.91, 6.91, 3700901
2022-01-07T05:00:00Z, 6.97, 7.14, 6.835, 6.89, 6.89, 3962864
2022-01-06T05:00:00Z, 7.09, 7.29, 6.84, 6.98, 6.98, 3257644
2022-01-05T05:00:00Z, 7.38, 7.535, 7.09, 7.1, 7.1, 2469701
2022-01-04T05:00:00Z, 7.9, 8.06, 7.28, 7.5, 7.5, 2403875
2022-01-03T05:00:00Z, 7.74, 8.07, 7.53, 7.94, 7.94, 7811767
2021-12-31T05:00:00Z, 8.06, 8.12, 7.73, 7.74, 7.74, 2113754
2021-12-30T05:00:00Z, 7.56, 8.2, 7.51, 7.95, 7.95, 3261899
2021-12-29T05:00:00Z, 7.65, 7.81, 7.51, 7.65, 7.65, 1572307
2021-12-28T05:00:00Z, 7.6, 7.92, 7.45, 7.8, 7.8, 7730906
2021-12-27T05:00:00Z, 7.76, 7.91, 7.32, 7.56, 7.56, 5839285
2021-12-23T05:00:00Z, 8.125, 8.28, 8.04, 8.2, 8.2, 944029
2021-12-22T05:00:00Z, 8.14, 8.28, 7.95, 8.19, 8.19, 2515109
2021-12-21T05:00:00Z, 7.83, 8.11, 7.72, 8.08, 8.08, 765506
2021-12-20T05:00:00Z, 7.57, 7.96, 7.51, 7.67, 7.67, 500798
2021-12-17T05:00:00Z, 7.77, 8.17, 7.66, 8.01, 8.01, 1801802
2021-12-16T05:00:00Z, 8, 8.24, 7.79, 7.98, 7.98, 2457926
2021-12-15T05:00:00Z, 7.63, 7.92, 7.45, 7.9, 7.9, 1822238
2021-12-14T05:00:00Z, 7.68, 7.97, 7.37, 7.58, 7.58, 2178187
2021-12-13T05:00:00Z, 8.1, 8.23, 7.7, 7.75, 7.75, 1679787
2021-12-10T05:00:00Z, 8.51, 8.59, 8.05, 8.13, 8.13, 959111
2021-12-09T05:00:00Z, 8.6, 8.74, 8.21, 8.3, 8.3, 962345
2021-12-08T05:00:00Z, 8.65, 8.98, 8.38, 8.67, 8.67, 1526195
2021-12-07T05:00:00Z, 8.6, 8.83, 8.52, 8.66, 8.66, 3189398
2021-12-06T05:00:00Z, 7.92, 8.085, 7.56, 7.97, 7.97, 1737980
2021-12-03T05:00:00Z, 8.47, 8.54, 7.79, 7.97, 7.97, 2921788
2021-12-02T05:00:00Z, 8.31, 8.58, 7.96, 8.4, 8.4, 2281396
2021-12-01T05:00:00Z, 8.78, 8.85, 8.13, 8.26, 8.26, 2665590
2021-11-30T05:00:00Z, 8.82, 8.91, 8.39, 8.58, 8.58, 3639616
2021-11-29T05:00:00Z, 8.98, 8.99, 8.52, 8.84, 8.84, 3877372
2021-11-26T05:00:00Z, 8.87, 8.975, 8.66, 8.94, 8.94, 1539341
2021-11-24T05:00:00Z, 8.8, 9.19, 8.73, 9.11, 9.11, 1334549
2021-11-23T05:00:00Z, 9, 9.215, 8.82, 9.07, 9.07, 1482023
2021-11-22T05:00:00Z, 9.52, 9.66, 8.96, 9.24, 9.24, 2557279
2021-11-19T05:00:00Z, 9.66, 10.07, 9.44, 9.59, 9.59, 1186163
2021-11-18T05:00:00Z, 10.05, 10.07, 9.475, 9.66, 9.66, 1813112
2021-11-17T05:00:00Z, 10.07, 10.119, 9.93, 9.96, 9.96, 1157930
2021-11-16T05:00:00Z, 10.22, 10.32, 9.87, 10.02, 10.02, 3525217
2021-11-15T05:00:00Z, 10.92, 11.1, 10.04, 10.2, 10.2, 5662636
2021-11-12T05:00:00Z, 12.11, 12.17, 10.37, 11.05, 11.05, 8666828
2021-11-11T05:00:00Z, 12.3, 12.68, 12.02, 12.43, 12.43, 5673701
2021-11-10T05:00:00Z, 12.2, 13.14, 11.87, 12.12, 12.12, 4292193
2021-11-09T05:00:00Z, 11.86, 12.44, 11.71, 12.04, 12.04, 4373091
2021-11-08T05:00:00Z, 11.56, 11.77, 11.33, 11.68, 11.68, 2558610
2021-11-05T04:00:00Z, 11.44, 11.49, 11.11, 11.21, 11.21, 1190552
2021-11-04T04:00:00Z, 11.11, 11.45, 11, 11.31, 11.31, 1025637
2021-11-03T04:00:00Z, 11.33, 11.36, 10.97, 11.1, 11.1, 945890
2021-11-02T04:00:00Z, 11.39, 11.55, 11.31, 11.37, 11.37, 819282
2021-11-01T04:00:00Z, 11.37, 11.639, 11.2438, 11.47, 11.47, 1191754
2021-10-29T04:00:00Z, 11.58, 11.58, 11.37, 11.39, 11.39, 1628367
2021-10-28T04:00:00Z, 11.43, 11.69, 11.38, 11.58, 11.58, 838869
2021-10-27T04:00:00Z, 12.13, 12.16, 11.5, 11.5, 11.5, 719819
2021-10-26T04:00:00Z, 11.68, 12.02, 11.51, 11.88, 11.88, 1696382
2021-10-25T04:00:00Z, 11.9, 12.0083, 11.51, 11.62, 11.62, 1647858
2021-10-22T04:00:00Z, 11.41, 11.76, 11.38, 11.74, 11.74, 716044
2021-10-21T04:00:00Z, 11.47, 11.81, 11.38, 11.54, 11.54, 832232
2021-10-20T04:00:00Z, 11.73, 11.7676, 11.43, 11.57, 11.57, 1380427
2021-10-19T04:00:00Z, 11.63, 12, 11.5, 11.7, 11.7, 1959384
2021-10-18T04:00:00Z, 11.65, 11.75, 11.51, 11.64, 11.64, 1477004
2021-10-15T04:00:00Z, 11.38, 11.94, 11.13, 11.74, 11.74, 1998131
2021-10-14T04:00:00Z, 11.77, 12.005, 11.44, 11.51, 11.51, 1435205
2021-10-13T04:00:00Z, 11.01, 11.17, 10.811, 11.09, 11.09, 556705
2021-10-12T04:00:00Z, 10.63, 10.9, 10.59, 10.89, 10.89, 865161
2021-10-11T04:00:00Z, 10.4, 10.81, 10.38, 10.7, 10.7, 2498116
2021-10-08T04:00:00Z, 10.43, 10.67, 10.38, 10.47, 10.47, 1240935
2021-10-07T04:00:00Z, 10.4, 10.7199, 10.35, 10.6, 10.6, 1175773
2021-10-06T04:00:00Z, 10.64, 10.68, 10.38, 10.57, 10.57, 946800
2021-10-05T04:00:00Z, 10.1, 10.55, 10.08, 10.55, 10.55, 1200639
2021-10-04T04:00:00Z, 10.59, 10.6, 9.95, 10.19, 10.19, 1829636
2021-10-01T04:00:00Z, 10.87, 11.06, 10.465, 10.63, 10.63, 1609773
2021-09-30T04:00:00Z, 11.29, 11.37, 10.83, 10.87, 10.87, 2948335
2021-09-29T04:00:00Z, 11.72, 11.83, 11.16, 11.26, 11.26, 2751065
2021-09-28T04:00:00Z, 11.25, 11.66, 11.2, 11.6, 11.6, 1807917
2021-09-27T04:00:00Z, 12.1, 12.17, 11.44, 11.52, 11.52, 2167084
2021-09-24T04:00:00Z, 12.19, 12.2893, 11.88, 12.16, 12.16, 1459434
