Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 4.78, 4.84, 4.69, 4.81, 4.81, 43899158
2022-02-07T05:00:00Z, 4.735, 4.78, 4.72, 4.76, 4.76, 32252931
2022-02-04T05:00:00Z, 4.72, 4.78, 4.7, 4.75, 4.75, 35173260
2022-02-03T05:00:00Z, 4.67, 4.77, 4.63, 4.74, 4.74, 50698873
2022-02-02T05:00:00Z, 4.71, 4.74, 4.65, 4.72, 4.72, 39155552
2022-02-01T05:00:00Z, 4.76, 4.82, 4.75, 4.79, 4.79, 38209351
2022-01-31T05:00:00Z, 4.57, 4.75, 4.535, 4.72, 4.72, 51061742
2022-01-28T05:00:00Z, 4.51, 4.56, 4.46, 4.56, 4.56, 50031297
2022-01-27T05:00:00Z, 4.55, 4.57, 4.4, 4.46, 4.46, 55874736
2022-01-26T05:00:00Z, 4.37, 4.48, 4.33, 4.45, 4.45, 75993926
2022-01-25T05:00:00Z, 4.22, 4.4, 4.18, 4.39, 4.39, 46137113
2022-01-24T05:00:00Z, 4.18, 4.21, 4.09, 4.2, 4.2, 65626338
2022-01-21T05:00:00Z, 4.29, 4.3, 4.2, 4.22, 4.22, 41888478
2022-01-20T05:00:00Z, 4.265, 4.31, 4.22, 4.22, 4.22, 32968306
2022-01-19T05:00:00Z, 4.285, 4.31, 4.21, 4.25, 4.25, 41354236
2022-01-18T05:00:00Z, 4.25, 4.3, 4.17, 4.2, 4.2, 57040336
2022-01-14T05:00:00Z, 4.21, 4.2699, 4.19, 4.25, 4.25, 48889676
2022-01-13T05:00:00Z, 4.17, 4.31, 4.17, 4.23, 4.23, 51512186
2022-01-12T05:00:00Z, 4.12, 4.17, 4.09, 4.15, 4.15, 43168802
2022-01-11T05:00:00Z, 3.99, 4.1299, 3.99, 4.12, 4.12, 40303959
2022-01-10T05:00:00Z, 3.98, 4, 3.9101, 3.99, 3.99, 42378686
2022-01-07T05:00:00Z, 3.85, 3.98, 3.84, 3.98, 3.98, 36542310
2022-01-06T05:00:00Z, 3.82, 3.88, 3.7836, 3.85, 3.85, 28291434
2022-01-05T05:00:00Z, 3.85, 3.885, 3.72, 3.74, 3.74, 37326679
2022-01-04T05:00:00Z, 3.79, 3.9, 3.78, 3.82, 3.82, 42432931
2022-01-03T05:00:00Z, 3.73, 3.81, 3.715, 3.78, 3.78, 33695822
2021-12-31T05:00:00Z, 3.75, 3.78, 3.73, 3.75, 3.75, 13036547
2021-12-30T05:00:00Z, 3.73, 3.767, 3.71, 3.74, 3.74, 26742756
2021-12-29T05:00:00Z, 3.75, 3.78, 3.7, 3.72, 3.72, 20181105
2021-12-28T05:00:00Z, 3.76, 3.81, 3.75, 3.77, 3.77, 26099963
2021-12-27T05:00:00Z, 3.745, 3.8, 3.71, 3.79, 3.79, 16206508
2021-12-23T05:00:00Z, 3.685, 3.75, 3.68, 3.74, 3.74, 23357122
2021-12-22T05:00:00Z, 3.615, 3.72, 3.6, 3.72, 3.72, 31915872
