Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 3.85, 4.69, 3.825, 4.65, 4.65, 10437291
2022-02-07T05:00:00Z, 3.92, 4.08, 3.78, 3.84, 3.84, 6575209
2022-02-04T05:00:00Z, 3.69, 3.845, 3.61, 3.81, 3.81, 4834956
2022-02-03T05:00:00Z, 3.85, 3.89, 3.615, 3.63, 3.63, 5393170
2022-02-02T05:00:00Z, 4.12, 4.19, 3.87, 3.9, 3.9, 4583421
2022-02-01T05:00:00Z, 4.2, 4.27, 4.06, 4.1, 4.1, 5483230
2022-01-31T05:00:00Z, 3.88, 4.28, 3.78, 4.15, 4.15, 7585303
2022-01-28T05:00:00Z, 3.88, 3.89, 3.64, 3.78, 3.78, 6362373
2022-01-27T05:00:00Z, 4.08, 4.1, 3.8, 3.83, 3.83, 4606277
2022-01-26T05:00:00Z, 4.43, 4.48, 3.99, 4.03, 4.03, 4780093
2022-01-25T05:00:00Z, 4.28, 4.3799, 4.185, 4.27, 4.27, 5778919
2022-01-24T05:00:00Z, 4.35, 4.35, 3.95, 4.33, 4.33, 10074447
2022-01-21T05:00:00Z, 4.85, 4.88, 4.39, 4.47, 4.47, 7122343
2022-01-20T05:00:00Z, 4.99, 5.27, 4.85, 4.88, 4.88, 5500125
2022-01-19T05:00:00Z, 5.25, 5.27, 4.8, 4.81, 4.81, 5055800
2022-01-18T05:00:00Z, 5.64, 5.64, 5.0622, 5.12, 5.12, 6634748
2022-01-14T05:00:00Z, 5.78, 5.97, 5.56, 5.71, 5.71, 4194398
2022-01-13T05:00:00Z, 6.39, 6.39, 5.765, 5.82, 5.82, 3874902
2022-01-12T05:00:00Z, 6.4, 6.44, 6.22, 6.33, 6.33, 1885334
2022-01-11T05:00:00Z, 6, 6.44, 5.91, 6.32, 6.32, 2487747
2022-01-10T05:00:00Z, 6.26, 6.28, 5.83, 5.94, 5.94, 4555978
2022-01-07T05:00:00Z, 6.4, 6.58, 6.2, 6.3, 6.3, 3256726
2022-01-06T05:00:00Z, 7, 7.05, 6.315, 6.35, 6.35, 3637250
2022-01-05T05:00:00Z, 7.25, 7.54, 6.935, 6.97, 6.97, 1769881
2022-01-04T05:00:00Z, 7.58, 7.59, 7.15, 7.24, 7.24, 1442241
2022-01-03T05:00:00Z, 7.35, 7.6, 7.18, 7.48, 7.48, 1852713
2021-12-31T05:00:00Z, 7.32, 7.45, 7.2599, 7.3, 7.3, 1447997
2021-12-30T05:00:00Z, 7, 7.53, 6.93, 7.38, 7.38, 3348164
2021-12-29T05:00:00Z, 7.41, 7.35, 6.96, 6.98, 6.98, 1977858
2021-12-28T05:00:00Z, 7.245, 7.59, 7.12, 7.37, 7.37, 1961894
2021-12-27T05:00:00Z, 7.42, 7.52, 7.17, 7.28, 7.28, 1779216
2021-12-23T05:00:00Z, 7.16, 7.46, 7.11, 7.37, 7.37, 1948102
2021-12-22T05:00:00Z, 7.16, 7.24, 6.96, 7.1, 7.1, 1879712
2021-12-21T05:00:00Z, 6.88, 7.28, 6.81, 7.12, 7.12, 2428039
2021-12-20T05:00:00Z, 6.79, 6.87, 6.58, 6.79, 6.79, 2786455
2021-12-17T05:00:00Z, 6.65, 7.13, 6.41, 6.98, 6.98, 8049927
2021-12-16T05:00:00Z, 6.59, 7.04, 6.52, 6.52, 6.52, 4243044
2021-12-15T05:00:00Z, 6.39, 6.455, 6.06, 6.37, 6.37, 4046421
2021-12-14T05:00:00Z, 6.31, 6.515, 6.3, 6.37, 6.37, 2001132
2021-12-13T05:00:00Z, 6.82, 7.05, 6.27, 6.41, 6.41, 3894058
2021-12-10T05:00:00Z, 6.93, 7, 6.755, 6.79, 6.79, 1619132
2021-12-09T05:00:00Z, 7.18, 7.19, 6.8629, 6.88, 6.88, 2263706
2021-12-08T05:00:00Z, 7.11, 7.235, 7.06, 7.18, 7.18, 2256249
2021-12-07T05:00:00Z, 7.05, 7.245, 6.98, 7.07, 7.07, 2223363
2021-12-06T05:00:00Z, 7.1, 7.12, 6.66, 6.85, 6.85, 3748707
2021-12-03T05:00:00Z, 7.67, 7.68, 6.85, 7.06, 7.06, 4320696
2021-12-02T05:00:00Z, 7.37, 7.65, 7.239, 7.62, 7.62, 3192138
2021-12-01T05:00:00Z, 8.04, 8.13, 7.27, 7.31, 7.31, 3268428
2021-11-30T05:00:00Z, 7.985, 8.1, 7.77, 7.93, 7.93, 2259077
2021-11-29T05:00:00Z, 8.37, 8.43, 7.92, 8.09, 8.09, 2828617
2021-11-26T05:00:00Z, 8.03, 8.46, 7.9, 8.39, 8.39, 1468969
2021-11-24T05:00:00Z, 7.87, 8.27, 7.75, 8.22, 8.22, 2340776
2021-11-23T05:00:00Z, 8.2, 8.27, 7.82, 7.92, 7.92, 3068630
2021-11-22T05:00:00Z, 8.54, 8.56, 8.105, 8.14, 8.14, 2305022
2021-11-19T05:00:00Z, 8.35, 8.57, 8.331, 8.49, 8.49, 2177560
2021-11-18T05:00:00Z, 8.89, 8.9, 8.23, 8.29, 8.29, 4981414
2021-11-17T05:00:00Z, 9.43, 9.48, 8.73, 8.8, 8.8, 3300558
2021-11-16T05:00:00Z, 9.39, 9.45, 9.26, 9.4, 9.4, 2579988
2021-11-15T05:00:00Z, 9.18, 9.56, 9.13, 9.39, 9.39, 2820900
2021-11-12T05:00:00Z, 9.29, 9.5, 9, 9.1, 9.1, 1818010
2021-11-11T05:00:00Z, 9.275, 9.415, 9.21, 9.29, 9.29, 1227597
2021-11-10T05:00:00Z, 9.4, 9.62, 9.2, 9.24, 9.24, 1836135
2021-11-09T05:00:00Z, 9.59, 9.67, 9.25, 9.46, 9.46, 2003782
2021-11-08T05:00:00Z, 10, 10.0696, 9.35, 9.45, 9.45, 2434852
2021-11-05T04:00:00Z, 9.7, 10.18, 9.68, 9.96, 9.96, 1795609
2021-11-04T04:00:00Z, 9.62, 9.91, 9.53, 9.67, 9.67, 1513376
2021-11-03T04:00:00Z, 9.76, 9.82, 9.47, 9.59, 9.59, 1632281
2021-11-02T04:00:00Z, 9.42, 10.2, 9.37, 9.81, 9.81, 2756064
