Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 4.04, 4.25, 4.01, 4.25, 4.25, 1502336
2022-02-07T05:00:00Z, 3.98, 4.06, 3.9, 4.01, 4.01, 1256839
2022-02-04T05:00:00Z, 3.84, 3.95, 3.735, 3.91, 3.91, 1597827
2022-02-03T05:00:00Z, 3.93, 3.99, 3.82, 3.84, 3.84, 1233822
2022-02-02T05:00:00Z, 4.11, 4.12, 3.965, 4.01, 4.01, 1078872
2022-02-01T05:00:00Z, 3.97, 4.13, 3.845, 4.09, 4.09, 1488784
2022-01-31T05:00:00Z, 3.69, 3.95, 3.65, 3.93, 3.93, 1532061
2022-01-28T05:00:00Z, 3.62, 3.64, 3.455, 3.64, 3.64, 1774246
2022-01-27T05:00:00Z, 3.83, 3.85, 3.61, 3.65, 3.65, 1257067
2022-01-26T05:00:00Z, 3.95, 3.99, 3.72, 3.78, 3.78, 1433111
2022-01-25T05:00:00Z, 3.85, 3.96, 3.745, 3.88, 3.88, 1129030
2022-01-24T05:00:00Z, 3.765, 3.88, 3.57, 3.88, 3.88, 2034256
2022-01-21T05:00:00Z, 4.09, 4.17, 3.96, 3.99, 3.99, 1561064
2022-01-20T05:00:00Z, 4.33, 4.41, 4.14, 4.15, 4.15, 1043571
2022-01-19T05:00:00Z, 4.32, 4.34, 4.21, 4.29, 4.29, 1483514
2022-01-18T05:00:00Z, 4.52, 4.525, 4.3, 4.32, 4.32, 1305269
2022-01-14T05:00:00Z, 4.46, 4.54, 4.42, 4.51, 4.51, 866312
2022-01-13T05:00:00Z, 4.56, 4.67, 4.48, 4.5, 4.5, 830534
2022-01-12T05:00:00Z, 4.63, 4.68, 4.5, 4.53, 4.53, 812446
2022-01-11T05:00:00Z, 4.46, 4.64, 4.469, 4.58, 4.58, 1278651
2022-01-10T05:00:00Z, 4.54, 4.54, 4.34, 4.47, 4.47, 1470680
2022-01-07T05:00:00Z, 4.64, 4.68, 4.545, 4.55, 4.55, 851519
2022-01-06T05:00:00Z, 4.63, 4.7, 4.47, 4.63, 4.63, 1379865
2022-01-05T05:00:00Z, 4.81, 4.85, 4.57, 4.6, 4.6, 1130733
2022-01-04T05:00:00Z, 4.9, 4.9399, 4.75, 4.83, 4.83, 1174708
2022-01-03T05:00:00Z, 4.75, 4.98, 4.71, 4.89, 4.89, 1563456
2021-12-31T05:00:00Z, 4.74, 4.855, 4.66, 4.68, 4.68, 1803382
2021-12-30T05:00:00Z, 4.55, 4.85, 4.47, 4.72, 4.72, 2441438
2021-12-29T05:00:00Z, 4.81, 4.87, 4.58, 4.6, 4.6, 1588552
2021-12-28T05:00:00Z, 4.92, 4.97, 4.8, 4.8, 4.8, 1968120
2021-12-27T05:00:00Z, 5.08, 5.12, 4.9, 4.92, 4.92, 1635662
2021-12-23T05:00:00Z, 5.1, 5.21, 5.08, 5.11, 5.11, 1265848
2021-12-22T05:00:00Z, 5.14, 5.16, 5.07, 5.09, 5.09, 926944
2021-12-21T05:00:00Z, 5, 5.18, 4.97, 5.14, 5.14, 1265902
2021-12-20T05:00:00Z, 5.01, 5.095, 4.9, 4.97, 4.97, 1178074
2021-12-17T05:00:00Z, 4.95, 5.23, 4.9, 5.15, 5.15, 2104226
2021-12-16T05:00:00Z, 5.19, 5.29, 4.975, 5, 5, 1735547
2021-12-15T05:00:00Z, 5.08, 5.16, 4.9, 5.14, 5.14, 2327546
2021-12-14T05:00:00Z, 5.1, 5.2702, 5.08, 5.11, 5.11, 1632548
2021-12-13T05:00:00Z, 5.45, 5.45, 5.18, 5.2, 5.2, 1655032
2021-12-10T05:00:00Z, 5.68, 5.74, 5.45, 5.49, 5.49, 1975076
2021-12-09T05:00:00Z, 5.81, 5.88, 5.59, 5.62, 5.62, 1578435
2021-12-08T05:00:00Z, 5.79, 5.94, 5.7, 5.82, 5.82, 1254751
2021-12-07T05:00:00Z, 5.65, 5.89, 5.625, 5.76, 5.76, 1749922
