Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 17.53, 18.28, 17.31, 18.1, 18.1, 2545491
2022-02-07T05:00:00Z, 17.59, 18.07, 17.3013, 17.43, 17.43, 1823046
2022-02-04T05:00:00Z, 16.98, 17.76, 16.86, 17.54, 17.54, 2872802
2022-02-03T05:00:00Z, 17.51, 18.25, 17.12, 17.19, 17.19, 2871018
2022-02-02T05:00:00Z, 19.26, 19.5, 17.65, 18, 18, 3260945
2022-02-01T05:00:00Z, 19.15, 19.97, 18.4, 19.43, 19.43, 3900843
2022-01-31T05:00:00Z, 16.9, 18.94, 16.72, 18.76, 18.76, 5077386
2022-01-28T05:00:00Z, 15.71, 17.17, 15.47, 16.88, 16.88, 8228404
2022-01-27T05:00:00Z, 17.32, 18.14, 15.5501, 15.92, 15.92, 23525487
2022-01-26T05:00:00Z, 22.32, 23.84, 22.1, 22.5, 22.5, 7317299
2022-01-25T05:00:00Z, 20.47, 22.13, 20.12, 21.55, 21.55, 3179244
2022-01-24T05:00:00Z, 20.01, 21.13, 18.84, 21.06, 21.06, 3418383
2022-01-21T05:00:00Z, 21.38, 21.96, 20.53, 20.91, 20.91, 3027950
2022-01-20T05:00:00Z, 22.17, 23.63, 21.92, 21.98, 21.98, 2010889
2022-01-19T05:00:00Z, 22.83, 23.28, 21.915, 21.92, 21.92, 2506814
2022-01-18T05:00:00Z, 23.87, 24.44, 22.46, 22.52, 22.52, 3077711
2022-01-14T05:00:00Z, 23.61, 24.575, 23.31, 24.11, 24.11, 2091295
2022-01-13T05:00:00Z, 24.95, 25.47, 24.32, 24.43, 24.43, 1903343
2022-01-12T05:00:00Z, 25.47, 26.87, 24.9, 24.93, 24.93, 4278888
2022-01-11T05:00:00Z, 22.53, 24.86, 22.11, 24.52, 24.52, 3804608
2022-01-10T05:00:00Z, 21.86, 22.08, 20.95, 22.03, 22.03, 2151282
2022-01-07T05:00:00Z, 22.34, 23.44, 22.14, 22.43, 22.43, 1633804
2022-01-06T05:00:00Z, 23.1, 23.44, 21.84, 22.3, 22.3, 3590237
2022-01-05T05:00:00Z, 24.8, 25.55, 22.71, 22.95, 22.95, 2471982
2022-01-04T05:00:00Z, 25.21, 26.06, 24.52, 25.03, 25.03, 2346080
2022-01-03T05:00:00Z, 24.97, 25.42, 24.3501, 25.01, 25.01, 2299635
2021-12-31T05:00:00Z, 24.65, 24.8399, 24.11, 24.18, 24.18, 1268819
2021-12-30T05:00:00Z, 24.5, 25.2199, 24.0407, 24.48, 24.48, 1499196
2021-12-29T05:00:00Z, 24.52, 24.955, 23.8, 24.18, 24.18, 2325090
2021-12-28T05:00:00Z, 25.28, 26.24, 24.6864, 24.78, 24.78, 1926523
2021-12-27T05:00:00Z, 25.8, 25.9291, 25.04, 25.57, 25.57, 1594992
2021-12-23T05:00:00Z, 25.56, 25.91, 24.89, 25.75, 25.75, 2214347
2021-12-22T05:00:00Z, 24.75, 26.05, 24.46, 25.55, 25.55, 4347013
2021-12-21T05:00:00Z, 23.64, 24.38, 23.34, 24.19, 24.19, 2641733
2021-12-20T05:00:00Z, 22.64, 23.3, 22.201, 23.19, 23.19, 2724358
2021-12-17T05:00:00Z, 23.175, 24.15, 22.96, 23.68, 23.68, 4594617
2021-12-16T05:00:00Z, 27.8, 27.92, 23.57, 23.87, 23.87, 3685842
2021-12-15T05:00:00Z, 26.08, 27.5, 24.96, 26.9, 26.9, 3418994
2021-12-14T05:00:00Z, 26, 27.16, 25.79, 26.19, 26.19, 2315104
2021-12-13T05:00:00Z, 28.77, 29.24, 26.6, 26.84, 26.84, 3435285
2021-12-10T05:00:00Z, 30.54, 31.23, 28.89, 29.25, 29.25, 1634281
2021-12-09T05:00:00Z, 31.18, 31.86, 30.18, 30.42, 30.42, 1343178
2021-12-08T05:00:00Z, 31.52, 32.54, 30.71, 31.72, 31.72, 1804733
2021-12-07T05:00:00Z, 31.47, 32.87, 30.98, 31.42, 31.42, 2785044
2021-12-06T05:00:00Z, 29.06, 29.8699, 28.33, 29.17, 29.17, 2740988
2021-12-03T05:00:00Z, 31.58, 31.87, 28.99, 29.24, 29.24, 2247609
2021-12-02T05:00:00Z, 30.79, 32.1701, 30.51, 31.4, 31.4, 2613955
2021-12-01T05:00:00Z, 33.99, 34.45, 30.51, 30.81, 30.81, 3364965
2021-11-30T05:00:00Z, 35.07, 35.82, 32.095, 32.72, 32.72, 3200486
2021-11-29T05:00:00Z, 36.67, 36.91, 34.72, 35.5, 35.5, 1743584
2021-11-26T05:00:00Z, 35.89, 36.98, 34.1, 35.66, 35.66, 2381492
2021-11-24T05:00:00Z, 36.1, 38.645, 36.05, 38.07, 38.07, 1723657
2021-11-23T05:00:00Z, 37.02, 37.8399, 35.67, 36.57, 36.57, 2163582
2021-11-22T05:00:00Z, 39.31, 39.86, 36.27, 37.08, 37.08, 2860954
