Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 3.79, 4.18, 3.76, 4.14, 4.14, 4253014
2022-02-07T05:00:00Z, 3.73, 3.7759, 3.55, 3.57, 3.57, 3284152
2022-02-04T05:00:00Z, 3.78, 3.7904, 3.74, 3.77, 3.77, 981459
2022-02-03T05:00:00Z, 4, 4, 3.547, 3.81, 3.81, 2556684
2022-02-02T05:00:00Z, 4.28, 4.3, 4, 4.02, 4.02, 2335431
2022-02-01T05:00:00Z, 4.06, 4.54, 4.01, 4.46, 4.46, 3436023
2022-01-31T05:00:00Z, 4.41, 4.72, 4.34, 4.69, 4.69, 695112
2022-01-28T05:00:00Z, 4.5, 4.57, 4.36, 4.42, 4.42, 866587
2022-01-27T05:00:00Z, 4.55, 4.715, 4.51, 4.54, 4.54, 550959
2022-01-26T05:00:00Z, 4.75, 4.83, 4.5813, 4.65, 4.65, 657130
2022-01-25T05:00:00Z, 4.64, 4.75, 4.54, 4.7, 4.7, 370156
2022-01-24T05:00:00Z, 4.74, 4.79, 4.33, 4.7, 4.7, 1142069
2022-01-21T05:00:00Z, 4.8, 4.85, 4.555, 4.78, 4.78, 972555
2022-01-20T05:00:00Z, 5.28, 5.3099, 4.91, 4.96, 4.96, 811321
2022-01-19T05:00:00Z, 5.38, 5.51, 5.1105, 5.22, 5.22, 1283280
2022-01-18T05:00:00Z, 5.24, 5.35, 4.98, 5.21, 5.21, 1953273
2022-01-14T05:00:00Z, 4.79, 4.92, 4.57, 4.9, 4.9, 620001
2022-01-13T05:00:00Z, 4.84, 4.95, 4.75, 4.78, 4.78, 378774
2022-01-12T05:00:00Z, 4.85, 4.9521, 4.76, 4.87, 4.87, 362752
2022-01-11T05:00:00Z, 4.64, 4.9393, 4.63, 4.82, 4.82, 554179
2022-01-10T05:00:00Z, 4.89, 4.91, 4.5, 4.59, 4.59, 907759
2022-01-07T05:00:00Z, 4.92, 5.057, 4.85, 4.89, 4.89, 750928
2022-01-06T05:00:00Z, 5.15, 5.285, 4.91, 4.96, 4.96, 911727
2022-01-05T05:00:00Z, 5.5, 5.57, 5.13, 5.13, 5.13, 1642146
2022-01-04T05:00:00Z, 5.37, 5.37, 5.0397, 5.22, 5.22, 1069488
2022-01-03T05:00:00Z, 4.84, 5.18, 4.635, 5.1, 5.1, 3255449
2021-12-31T05:00:00Z, 4.67, 4.87, 4.51, 4.8, 4.8, 1117688
2021-12-30T05:00:00Z, 4.5, 4.85, 4.48, 4.75, 4.75, 814038
2021-12-29T05:00:00Z, 4.55, 4.61, 4.45, 4.52, 4.52, 774511
2021-12-28T05:00:00Z, 4.62, 4.7698, 4.53, 4.62, 4.62, 699601
2021-12-27T05:00:00Z, 4.71, 4.77, 4.59, 4.65, 4.65, 763217
2021-12-23T05:00:00Z, 4.74, 4.85, 4.59, 4.76, 4.76, 693153
2021-12-22T05:00:00Z, 4.63, 4.81, 4.56, 4.8, 4.8, 785364
2021-12-21T05:00:00Z, 4.56, 4.66, 4.47, 4.61, 4.61, 963040
2021-12-20T05:00:00Z, 4.39, 4.49, 4.25, 4.49, 4.49, 706060
2021-12-17T05:00:00Z, 4.7, 4.72, 4.46, 4.49, 4.49, 2021490
2021-12-16T05:00:00Z, 4.36, 4.7199, 4.31, 4.71, 4.71, 1236244
2021-12-15T05:00:00Z, 4.55, 4.61, 4.2402, 4.3, 4.3, 1588381
2021-12-14T05:00:00Z, 4.585, 4.7089, 4.55, 4.59, 4.59, 764358
2021-12-13T05:00:00Z, 4.86, 4.81, 4.46, 4.59, 4.59, 1488581
2021-12-10T05:00:00Z, 4.82, 4.93, 4.69, 4.71, 4.71, 733471
2021-12-09T05:00:00Z, 4.87, 4.91, 4.695, 4.78, 4.78, 997909
2021-12-08T05:00:00Z, 4.87, 5.0091, 4.87, 4.94, 4.94, 847919
2021-12-07T05:00:00Z, 4.8, 5.19, 4.8, 4.92, 4.92, 1327014
2021-12-06T05:00:00Z, 4.88, 4.9, 4.6, 4.76, 4.76, 1339412
2021-12-03T05:00:00Z, 4.88, 4.9709, 4.7327, 4.9, 4.9, 1082209
2021-12-02T05:00:00Z, 4.695, 4.96, 4.5601, 4.89, 4.89, 1145675
2021-12-01T05:00:00Z, 4.79, 4.97, 4.57, 4.59, 4.59, 1362009
2021-11-30T05:00:00Z, 5.06, 5.12, 4.68, 4.79, 4.79, 1995354
2021-11-29T05:00:00Z, 5.3, 5.4, 4.92, 5.03, 5.03, 2128117
2021-11-26T05:00:00Z, 5.4, 5.48, 5.12, 5.26, 5.26, 886269
2021-11-24T05:00:00Z, 5.69, 5.7999, 5.47, 5.5, 5.5, 1606501
2021-11-23T05:00:00Z, 6.25, 6.33, 5.64, 5.64, 5.64, 2612717
2021-11-22T05:00:00Z, 6.78, 6.929, 6.27, 6.39, 6.39, 444527
2021-11-19T05:00:00Z, 6.5, 6.65, 6.41, 6.63, 6.63, 432543
2021-11-18T05:00:00Z, 6.69, 6.82, 6.39, 6.55, 6.55, 595302
2021-11-17T05:00:00Z, 6.86, 6.894, 6.64, 6.77, 6.77, 548412
2021-11-16T05:00:00Z, 6.93, 6.98, 6.63, 6.92, 6.92, 720836
2021-11-15T05:00:00Z, 7.17, 7.21, 6.91, 6.99, 6.99, 662695
2021-11-12T05:00:00Z, 7.19, 7.257, 7.0418, 7.14, 7.14, 510929
2021-11-11T05:00:00Z, 7.35, 7.49, 7.01, 7.1, 7.1, 852577
2021-11-10T05:00:00Z, 7.14, 7.48, 7.05, 7.46, 7.46, 1308499
2021-11-09T05:00:00Z, 7.11, 7.34, 6.88, 7.14, 7.14, 1370692
2021-11-08T05:00:00Z, 6.88, 7.2, 6.77, 6.98, 6.98, 1905648
2021-11-05T04:00:00Z, 6.5, 6.51, 6.26, 6.41, 6.41, 1071829
2021-11-04T04:00:00Z, 6.83, 6.97, 6.41, 6.43, 6.43, 1465572
