Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 12.62, 12.69, 12.51, 12.68, 12.68, 13087662
2022-02-07T05:00:00Z, 12.61, 12.69, 12.51, 12.54, 12.54, 13120152
2022-02-04T05:00:00Z, 12.56, 12.65, 12.39, 12.51, 12.51, 10212396
2022-02-03T05:00:00Z, 12.77, 12.93, 12.55, 12.61, 12.61, 8585534
2022-02-02T05:00:00Z, 12.56, 12.79, 12.48, 12.79, 12.79, 9561128
2022-02-01T05:00:00Z, 12.36, 12.715, 12.3211, 12.58, 12.58, 16528114
2022-01-31T05:00:00Z, 12.05, 12.37, 11.98, 12.36, 12.36, 11936177
2022-01-28T05:00:00Z, 11.9, 12.15, 11.8, 12.14, 12.14, 10703171
2022-01-27T05:00:00Z, 12.04, 12.235, 11.78, 11.88, 11.88, 10841600
2022-01-26T05:00:00Z, 12.2, 12.28, 11.875, 12.02, 12.02, 14077178
2022-01-25T05:00:00Z, 12.2, 12.26, 11.93, 12.1, 12.1, 10637223
2022-01-24T05:00:00Z, 11.95, 12.27, 11.81, 12.25, 12.25, 13528498
2022-01-21T05:00:00Z, 12.08, 12.17, 11.93, 12.03, 12.03, 9981464
2022-01-20T05:00:00Z, 12.135, 12.39, 12.045, 12.05, 12.05, 13359287
2022-01-19T05:00:00Z, 12.23, 12.32, 11.9, 12.1, 12.1, 9059507
2022-01-18T05:00:00Z, 12.38, 12.475, 11.93, 12.13, 12.13, 13087515
2022-01-14T05:00:00Z, 12.21, 12.39, 12.02, 12.34, 12.34, 17003286
2022-01-13T05:00:00Z, 12.61, 12.7, 12.22, 12.27, 12.27, 37706805
2022-01-12T05:00:00Z, 13.39, 13.5, 13.22, 13.29, 13.29, 6927226
2022-01-11T05:00:00Z, 13.79, 13.8, 13.27, 13.34, 13.34, 9904675
2022-01-10T05:00:00Z, 13.8, 13.93, 13.47, 13.65, 13.65, 13135840
2022-01-07T05:00:00Z, 13.09, 13.81, 13.05, 13.77, 13.77, 14043458
2022-01-06T05:00:00Z, 13.2, 13.285, 12.83, 13.03, 13.03, 10643255
2022-01-05T05:00:00Z, 12.98, 13.19, 12.8, 12.8, 12.8, 11972013
2022-01-04T05:00:00Z, 12.81, 12.99, 12.76, 12.85, 12.85, 8677457
2022-01-03T05:00:00Z, 12.62, 12.835, 12.6, 12.7, 12.7, 9448276
2021-12-31T05:00:00Z, 12.69, 12.86, 12.535, 12.55, 12.55, 5999092
2021-12-30T05:00:00Z, 12.69, 12.815, 12.59, 12.74, 12.74, 5023353
2021-12-29T05:00:00Z, 12.73, 12.77, 12.58, 12.64, 12.64, 6052683
2021-12-28T05:00:00Z, 12.75, 12.93, 12.68, 12.76, 12.76, 5441392
2021-12-27T05:00:00Z, 12.79, 12.86, 12.595, 12.82, 12.82, 4524891
2021-12-23T05:00:00Z, 12.79, 12.9, 12.76, 12.84, 12.84, 3976007
2021-12-22T05:00:00Z, 12.64, 12.875, 12.49, 12.76, 12.76, 7023149
2021-12-21T05:00:00Z, 12.72, 12.905, 12.6, 12.68, 12.68, 9107171
2021-12-20T05:00:00Z, 12.44, 12.535, 12.08, 12.48, 12.48, 11462529
2021-12-17T05:00:00Z, 12.32, 12.69, 12.12, 12.59, 12.59, 34859767
2021-12-16T05:00:00Z, 12.08, 12.42, 12.04, 12.33, 12.33, 14409491
2021-12-15T05:00:00Z, 11.89, 12.11, 11.83, 11.96, 11.96, 14618595
2021-12-14T05:00:00Z, 11.92, 12.14, 11.77, 11.81, 11.81, 11260705
2021-12-13T05:00:00Z, 12.02, 12.16, 11.805, 11.96, 11.96, 9908136
2021-12-10T05:00:00Z, 12.19, 12.25, 11.93, 12.13, 12.13, 9836719
2021-12-09T05:00:00Z, 12.095, 12.129, 11.92, 12.07, 12.07, 8670703
