Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 4.91, 4.95, 4.68, 4.88, 4.88, 1788088
2022-02-07T05:00:00Z, 4.77, 5.085, 4.7, 4.93, 4.93, 2592059
2022-02-04T05:00:00Z, 4.56, 4.83, 4.47, 4.75, 4.75, 2095285
2022-02-03T05:00:00Z, 4.56, 4.67, 4.46, 4.53, 4.53, 2269725
2022-02-02T05:00:00Z, 5, 5, 4.515, 4.69, 4.69, 3056714
2022-02-01T05:00:00Z, 4.79, 4.945, 4.6299, 4.91, 4.91, 2396816
2022-01-31T05:00:00Z, 4.2, 4.67, 4.185, 4.67, 4.67, 3111230
2022-01-28T05:00:00Z, 4.18, 4.21, 3.96, 4.21, 4.21, 2879644
2022-01-27T05:00:00Z, 4.5, 4.525, 4.165, 4.21, 4.21, 1995939
2022-01-26T05:00:00Z, 4.57, 4.9, 4.38, 4.41, 4.41, 3062198
2022-01-25T05:00:00Z, 4.49, 4.65, 4.22, 4.4, 4.4, 2349023
2022-01-24T05:00:00Z, 4.25, 4.6284, 3.99, 4.58, 4.58, 4311608
2022-01-21T05:00:00Z, 4.62, 4.67, 4.4, 4.5, 4.5, 2896411
2022-01-20T05:00:00Z, 4.89, 5.13, 4.63, 4.65, 4.65, 2489263
2022-01-19T05:00:00Z, 4.93, 5.055, 4.73, 4.81, 4.81, 3019126
2022-01-18T05:00:00Z, 5.1, 5.3199, 4.81, 4.84, 4.84, 4380995
2022-01-14T05:00:00Z, 5.3, 5.37, 4.92, 5.18, 5.18, 5487943
2022-01-13T05:00:00Z, 5.85, 5.88, 5.31, 5.41, 5.41, 3733333
2022-01-12T05:00:00Z, 6.12, 6.18, 5.76, 5.78, 5.78, 2581892
2022-01-11T05:00:00Z, 6, 6.29, 5.88, 6.09, 6.09, 3092248
2022-01-10T05:00:00Z, 6.12, 6.18, 5.7, 6.06, 6.06, 2786177
2022-01-07T05:00:00Z, 6.21, 6.2909, 6.03, 6.16, 6.16, 2714491
2022-01-06T05:00:00Z, 6.35, 6.33, 5.895, 6.21, 6.21, 3281835
2022-01-05T05:00:00Z, 6.66, 6.805, 6.09, 6.16, 6.16, 3381479
2022-01-04T05:00:00Z, 7.08, 7.19, 6.58, 6.79, 6.79, 2504292
2022-01-03T05:00:00Z, 6.71, 7.17, 6.5635, 7.12, 7.12, 2888102
2021-12-31T05:00:00Z, 6.82, 7, 6.6, 6.66, 6.66, 2706587
2021-12-30T05:00:00Z, 6.53, 7.09, 6.52, 6.9, 6.9, 3416133
2021-12-29T05:00:00Z, 6.75, 6.85, 6.49, 6.55, 6.55, 2952879
2021-12-28T05:00:00Z, 6.81, 7.1, 6.74, 6.79, 6.79, 3030104
2021-12-27T05:00:00Z, 7.48, 7.495, 6.71, 6.78, 6.78, 4041261
2021-12-23T05:00:00Z, 6.9, 7.54, 6.72, 7.43, 7.43, 2437301
2021-12-22T05:00:00Z, 6.86, 7, 6.58, 6.96, 6.96, 3883236
2021-12-21T05:00:00Z, 6.71, 6.9, 6.47, 6.86, 6.86, 3587436
2021-12-20T05:00:00Z, 6.91, 6.98, 6.42, 6.61, 6.61, 4508767
2021-12-17T05:00:00Z, 7.13, 7.45, 6.85, 7.14, 7.14, 5008492
2021-12-16T05:00:00Z, 7.6, 7.9, 7.08, 7.16, 7.16, 3598261
2021-12-15T05:00:00Z, 7.43, 7.615, 7.15, 7.6, 7.6, 3368439
2021-12-14T05:00:00Z, 7.51, 7.71, 7.31, 7.48, 7.48, 1706585
2021-12-13T05:00:00Z, 7.85, 8.38, 7.33, 7.55, 7.55, 2779580
2021-12-10T05:00:00Z, 8.32, 8.65, 7.95, 8, 8, 1462330
2021-12-09T05:00:00Z, 8.39, 8.86, 8.22, 8.35, 8.35, 1763822
2021-12-08T05:00:00Z, 8.2, 8.4446, 8, 8.38, 8.38, 1197014
2021-12-07T05:00:00Z, 8.05, 8.32, 7.835, 8.19, 8.19, 2269307
2021-12-06T05:00:00Z, 7.7, 7.96, 7.26, 7.88, 7.88, 2512974
2021-12-03T05:00:00Z, 8.01, 8.04, 7.25, 7.65, 7.65, 3429025
2021-12-02T05:00:00Z, 7.71, 8.15, 7.51, 8, 8, 2740237
2021-12-01T05:00:00Z, 8.41, 8.46, 7.5, 7.54, 7.54, 2638350
2021-11-30T05:00:00Z, 8.71, 8.9499, 7.87, 8.22, 8.22, 5580293
2021-11-29T05:00:00Z, 9.21, 9.24, 8.71, 8.85, 8.85, 1990749
2021-11-26T05:00:00Z, 9.16, 9.6373, 8.865, 9.14, 9.14, 1159758
2021-11-24T05:00:00Z, 9.01, 9.29, 8.51, 9.195, 9.195, 2371933
2021-11-23T05:00:00Z, 9.3, 9.421, 8.58, 8.83, 8.83, 3557215
2021-11-22T05:00:00Z, 10.02, 10.1281, 8.99, 8.99, 8.99, 3485204
2021-11-19T05:00:00Z, 10.07, 10.54, 9.91, 9.97, 9.97, 2020723
2021-11-18T05:00:00Z, 10.8, 10.8431, 9.88, 10.16, 10.16, 2473717
2021-11-17T05:00:00Z, 11.04, 11.29, 10.79, 10.81, 10.81, 2267333
2021-11-16T05:00:00Z, 10.93, 11.3, 10.8, 10.99, 10.99, 2170873
2021-11-15T05:00:00Z, 12.07, 12.1317, 10.9, 11.17, 11.17, 4027316
2021-11-12T05:00:00Z, 12.98, 13.5, 12.12, 12.62, 12.62, 2783317
2021-11-11T05:00:00Z, 12.14, 13.2, 12.01, 13.06, 13.06, 4606442
2021-11-10T05:00:00Z, 11.56, 12.45, 11.27, 11.52, 11.52, 2877521
2021-11-09T05:00:00Z, 12.77, 12.77, 11.42, 11.93, 11.93, 3349364
2021-11-08T05:00:00Z, 13.31, 13.68, 12.66, 12.67, 12.67, 2949905
2021-11-05T04:00:00Z, 13.13, 13.34, 12.6, 13.25, 13.25, 3057788
2021-11-04T04:00:00Z, 12.65, 13.08, 12.27, 12.87, 12.87, 3012929
2021-11-03T04:00:00Z, 12.01, 12.65, 11.71, 12.37, 12.37, 2284056
2021-11-02T04:00:00Z, 11.74, 12.1795, 11.3, 12.04, 12.04, 2265081
2021-11-01T04:00:00Z, 11.7, 12.02, 11.54, 11.72, 11.72, 1817584
2021-10-29T04:00:00Z, 11.93, 12.069, 11, 11.59, 11.59, 3104870
2021-10-28T04:00:00Z, 12.37, 12.38, 11.65, 11.99, 11.99, 3303497
2021-10-27T04:00:00Z, 11.94, 12.48, 11.59, 12.4, 12.4, 3566243
2021-10-26T04:00:00Z, 11.5, 12.44, 11.4, 11.94, 11.94, 5437867
2021-10-25T04:00:00Z, 10.81, 11.76, 10.7, 11.36, 11.36, 3900342
2021-10-22T04:00:00Z, 10.03, 10.99, 9.28, 10.87, 10.87, 6641418
2021-10-21T04:00:00Z, 10.18, 10.58, 10.0233, 10.33, 10.33, 2570082
2021-10-20T04:00:00Z, 10.01, 10.735, 9.73, 10.2, 10.2, 6157258
2021-10-19T04:00:00Z, 9.01, 9.7399, 8.91, 9.63, 9.63, 3389154
2021-10-18T04:00:00Z, 9.26, 9.51, 8.75, 8.91, 8.91, 4428028
2021-10-15T04:00:00Z, 8.71, 9.84, 8.55, 9.21, 9.21, 20518199
2021-10-14T04:00:00Z, 8, 8.04, 7.81, 7.88, 7.88, 2284189
2021-10-13T04:00:00Z, 7.6, 8.03, 7.51, 7.95, 7.95, 879522
2021-10-12T04:00:00Z, 7.64, 7.71, 7.46, 7.54, 7.54, 1279171
2021-10-11T04:00:00Z, 7.55, 7.83, 7.5, 7.68, 7.68, 1112384
2021-10-08T04:00:00Z, 7.75, 7.79, 7.52, 7.53, 7.53, 1339071
2021-10-07T04:00:00Z, 8.08, 8.1, 7.72, 7.75, 7.75, 1724422
2021-10-06T04:00:00Z, 8.1, 8.1765, 7.8, 8, 8, 2063753
2021-10-05T04:00:00Z, 8.21, 8.22, 8.02, 8.16, 8.16, 1431073
2021-10-04T04:00:00Z, 8.8, 8.85, 8.14, 8.15, 8.15, 1269447
2021-10-01T04:00:00Z, 8.98, 9.06, 8.61, 8.89, 8.89, 1269007
2021-09-30T04:00:00Z, 8.7, 9.19, 8.49, 9.06, 9.06, 2018659
