Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 8.78, 8.95, 8.72, 8.82, 8.82, 1396674
2022-02-07T05:00:00Z, 9.06, 9.12, 8.84, 8.87, 8.87, 1357483
2022-02-04T05:00:00Z, 8.82, 9.115, 8.56, 9, 9, 1795826
2022-02-03T05:00:00Z, 9.36, 9.43, 8.73, 8.76, 8.76, 2624432
2022-02-02T05:00:00Z, 8.75, 9.7, 8.5839, 9.61, 9.61, 6921098
2022-02-01T05:00:00Z, 8.78, 8.95, 8.67, 8.79, 8.79, 2142131
2022-01-31T05:00:00Z, 8.77, 9.05, 8.43, 8.77, 8.77, 3043229
2022-01-28T05:00:00Z, 8.74, 8.88, 8.12, 8.87, 8.87, 3938964
2022-01-27T05:00:00Z, 9.05, 9.08, 8.64, 8.76, 8.76, 2763933
2022-01-26T05:00:00Z, 9.28, 9.3, 8.69, 8.94, 8.94, 4183472
2022-01-25T05:00:00Z, 9.88, 10, 8.985, 9.14, 9.14, 7881059
2022-01-24T05:00:00Z, 8.49, 9.57, 8.35, 9.27, 9.27, 5516713
2022-01-21T05:00:00Z, 9.07, 9.3056, 8.885, 8.98, 8.98, 4183373
2022-01-20T05:00:00Z, 8.52, 9.56, 8.34, 9.17, 9.17, 7443581
2022-01-19T05:00:00Z, 8.05, 8.5, 7.94, 8.44, 8.44, 3250727
2022-01-18T05:00:00Z, 7.75, 8.15, 7.64, 8.01, 8.01, 2703599
2022-01-14T05:00:00Z, 7.7, 7.9901, 7.58, 7.87, 7.87, 1496225
2022-01-13T05:00:00Z, 8, 8.06, 7.75, 7.81, 7.81, 1116012
2022-01-12T05:00:00Z, 7.94, 8.08, 7.83, 7.97, 7.97, 1255243
2022-01-11T05:00:00Z, 7.59, 7.97, 7.445, 7.93, 7.93, 1748209
2022-01-10T05:00:00Z, 7.46, 7.62, 7.18, 7.59, 7.59, 1314299
2022-01-07T05:00:00Z, 7.49, 7.62, 7.455, 7.55, 7.55, 665818
2022-01-06T05:00:00Z, 7.57, 7.595, 7.45, 7.5, 7.5, 854452
2022-01-05T05:00:00Z, 7.66, 7.815, 7.5, 7.53, 7.53, 1385565
2022-01-04T05:00:00Z, 7.79, 7.94, 7.565, 7.72, 7.72, 1030884
2022-01-03T05:00:00Z, 7.96, 8.1299, 7.72, 7.73, 7.73, 1206653
2021-12-31T05:00:00Z, 7.6, 8.005, 7.5402, 7.89, 7.89, 1259189
2021-12-30T05:00:00Z, 7.51, 7.695, 7.36, 7.54, 7.54, 1280848
2021-12-29T05:00:00Z, 7.44, 7.6, 7.34, 7.52, 7.52, 1801788
2021-12-28T05:00:00Z, 7.58, 7.69, 7.345, 7.43, 7.43, 1594830
2021-12-27T05:00:00Z, 7.61, 7.7, 7.52, 7.6, 7.6, 1714060
2021-12-23T05:00:00Z, 7.81, 7.88, 7.57, 7.59, 7.59, 1650729
2021-12-22T05:00:00Z, 8.01, 8.22, 7.87, 7.9, 7.9, 1918448
2021-12-21T05:00:00Z, 7.84, 8.23, 7.85, 8.02, 8.02, 2248228
2021-12-20T05:00:00Z, 7.64, 7.9875, 7.51, 7.71, 7.71, 2335896
2021-12-17T05:00:00Z, 7.75, 8.1199, 7.65, 7.86, 7.86, 2936410
2021-12-16T05:00:00Z, 7.95, 7.96, 7.62, 7.88, 7.88, 2785934
2021-12-15T05:00:00Z, 7.34, 8.13, 6.93, 7.94, 7.94, 10124474
2021-12-14T05:00:00Z, 7.2, 7.62, 7.14, 7.34, 7.34, 2582780
2021-12-13T05:00:00Z, 7.6, 7.63, 7.2, 7.43, 7.43, 2184460
2021-12-10T05:00:00Z, 7.59, 7.92, 7.55, 7.76, 7.76, 3154245
2021-12-09T05:00:00Z, 7.36, 7.62, 7.17, 7.53, 7.53, 2703642
2021-12-08T05:00:00Z, 7.35, 7.79, 7.162, 7.48, 7.48, 4699335
2021-12-07T05:00:00Z, 7.1, 7.52, 7.02, 7.33, 7.33, 3104627
2021-12-06T05:00:00Z, 6.58, 7.11, 6.35, 6.97, 6.97, 4772956
2021-12-03T05:00:00Z, 6.11, 6.71, 5.952, 6.55, 6.55, 3936565
2021-12-02T05:00:00Z, 5.99, 6.16, 5.82, 6.12, 6.12, 2373382
2021-12-01T05:00:00Z, 5.95, 6.18, 5.93, 5.99, 5.99, 2861629
2021-11-30T05:00:00Z, 5.93, 6.01, 5.775, 5.93, 5.93, 4199520
2021-11-29T05:00:00Z, 5.95, 6.125, 5.73, 6, 6, 2848655
2021-11-26T05:00:00Z, 5.91, 6.03, 5.62, 5.83, 5.83, 1868187
2021-11-24T05:00:00Z, 5.82, 6.3303, 5.81, 6.15, 6.15, 1951204
2021-11-23T05:00:00Z, 5.77, 6.07, 5.72, 5.94, 5.94, 2117225
2021-11-22T05:00:00Z, 5.82, 6.145, 5.68, 5.76, 5.76, 3135295
2021-11-19T05:00:00Z, 5.99, 6.01, 5.69, 5.72, 5.72, 3503376
2021-11-18T05:00:00Z, 6, 6.03, 5.7, 5.89, 5.89, 3975647
2021-11-17T05:00:00Z, 6.2, 6.25, 5.94, 6, 6, 3794646
